"lacode","region","positive","number_samples","round","prevalence","lower","upper"
"E06000046","South East",1,283,"round 1",0.00353356890459364,0.000624034244797714,0.019740730474746
"E06000047","North East",0,375,"round 1",0,0,0.00716310231868289
"E06000049","North West",1,439,"round 1",0.00227790432801822,0.000402219282344277,0.0127886387648001
"E06000050","North West",0,449,"round 1",0,0,0.0059896175579487
"E06000051","West Midlands",0,379,"round 1",0,0,0.0070880381500689
"E06000052","South West",0,310,"round 1",0,0,0.00865204826307334
"E06000053","South West",0,2,"round 1",0,0,0.574969390993653
"E06000054","South West",0,392,"round 1",0,0,0.00685458691666454
"E06000055","East of England",1,389,"round 1",0.0025706940874036,0.000453934854856402,0.0144158266978833
"E06000056","East of England",0,427,"round 1",0,0,0.00629627309982432
"E06000057","North East",1,380,"round 1",0.00263157894736842,0.000464689442598829,0.0147537260944859
"E06000058","South West",1,368,"round 1",0.00271739130434783,0.000479847451875318,0.0152296940264216
"E06000059","South West",1,361,"round 1",0.00277008310249307,0.000489155160927744,0.0155217961152127
"E07000004","South East",1,409,"round 1",0.00244498777506112,0.000431730839610913,0.0137176688776088
"E07000005","South East",1,462,"round 1",0.00216450216450216,0.000382190019182097,0.0121573955202461
"E07000006","South East",1,457,"round 1",0.00218818380743982,0.000386372660675846,0.0122892638492045
"E07000007","South East",0,423,"round 1",0,0,0.00635543392774061
"E07000008","East of England",0,401,"round 1",0,0,0.00670177434510025
"E07000009","East of England",1,404,"round 1",0.00247524752475248,0.000437075678684941,0.0138857909508754
"E07000010","East of England",0,312,"round 1",0,0,0.00859706322424554
"E07000011","East of England",0,381,"round 1",0,0,0.00705109295461375
"E07000012","East of England",0,412,"round 1",0,0,0.00652401082358547
"E07000026","North West",0,417,"round 1",0,0,0.00644628953868303
"E07000027","North West",1,455,"round 1",0.0021978021978022,0.000388071463602773,0.0123428156617841
"E07000028","North West",2,394,"round 1",0.0050761421319797,0.00139316681815444,0.0183168423999352
"E07000029","North West",0,405,"round 1",0,0,0.00663602322198995
"E07000030","North West",1,405,"round 1",0.00246913580246914,0.000435996149938458,0.0138518376659956
"E07000031","North West",0,410,"round 1",0,0,0.00655562663746082
"E07000032","East Midlands",0,361,"round 1",0,0,0.00743882930241036
"E07000033","East Midlands",0,385,"round 1",0,0,0.0069783460664285
"E07000034","East Midlands",2,375,"round 1",0.00533333333333333,0.00146381289204446,0.0192347105618141
"E07000035","East Midlands",1,377,"round 1",0.0026525198938992,0.000468388449657228,0.0148699070152921
"E07000036","East Midlands",0,393,"round 1",0,0,0.00683726447317075
