lacode,round,positive,tested,utm_x,utm_y,elog_comprate,comp_prev,elogit,prev
E07000029,round 1,0,405,302.599982707,510.00184889800005,-0.5768201396433252,0.35954063604240283,-6.698268054115413,0
E07000030,round 1,1,405,357.27044744100004,527.31022873,-0.39521281408404724,0.40236686390532544,-5.597186628390382,0.0024691358024691358
E07000031,round 1,0,410,344.32890169700005,487.5151588,-0.39694405837623037,0.40195121951219515,-6.710523109452429,0
E07000032,round 1,0,361,439.377978514,349.104581564,-0.5484139414118421,0.36609829488465395,-6.583409222158765,0
E07000033,round 1,0,385,448.332422781,367.163235904,-0.7477575480177879,0.3211618257261411,-6.647688373563329,0
E07000034,round 1,2,375,438.802521704,372.265121643,-0.705585966142966,0.3304272013949433,-5.006627272698717,0.005333333333333333
E07000035,round 1,1,377,423.280833701,358.973754551,-0.3819763260325334,0.4055496264674493,-5.5254529391317835,0.002652519893899204
E07000036,round 1,0,393,446.243752316,337.426554024,-0.5652271702040357,0.3622119815668203,-6.668228248417403,0
E07000037,round 1,0,410,404.17172601,384.710188078,-0.528865514839825,0.37066666666666664,-6.710523109452429,0
E07000038,round 1,0,388,439.437119864,371.61126214200004,-0.4806699725108052,0.3819784524975514,-6.655440350367647,0
E07000039,round 1,2,459,430.121112659,323.843348259,-0.25275483184287484,0.4370860927152318,-5.209486152841421,0.004357298474945534
E07000040,round 1,0,358,310.562751904,90.9737292498,-0.4712164856709448,0.384204909284952,-6.57507584059962,0
E07000041,round 1,1,362,293.099264764,92.50055885469999,-0.8771913906653461,0.2935928629359286,-5.484796933490655,0.0027624309392265192
E07000042,round 1,0,350,294.12974645099996,109.057108055,-0.49833610575442844,0.37780149413020275,-6.55250788703459,0
E07000043,round 1,0,328,257.377723364,134.66272002899998,-0.6998913050353184,0.33166833166833165,-6.487684018484611,0
E07000044,round 1,1,373,270.915288103,53.462102421800004,-0.4085755305225568,0.3991462113127001,-5.51477192971145,0.002680965147453083
E07000045,round 1,0,346,287.412181285,74.892720426,-0.5524163327925684,0.3651626442812172,-6.541029999189903,0
E07000046,round 1,0,336,243.97827669100002,119.52019102300001,-0.5715718821152391,0.3607257203842049,-6.511745329644728,0
E07000047,round 1,0,344,253.26121601100002,82.8500887391,-0.5347788647884836,0.36926360725720386,-6.535241271013659,0
E07000061,round 1,0,374,561.2560161,100.904572998,-0.7877403431251381,0.3125,-6.618738983517219,0
E07000062,round 1,0,401,580.7829005230001,110.64888511800001,-0.8607279968655243,0.29703703703703704,-6.688354713946762,0
E07000063,round 1,0,392,543.0694838339999,105.824937953,-0.44876191386148856,0.3895463510848126,-6.665683717782408,0
E07000064,round 1,1,353,576.844260723,114.52285430799999,-0.5874749442013405,0.35707121364092276,-5.459585514144159,0.0028328611898017
E07000065,round 1,1,369,555.099050663,118.917768289,-0.5145870467929519,0.37399193548387094,-5.503975603521227,0.0027100271002710027
E07000066,round 1,0,381,570.96965811,190.775726157,-0.8383642442998109,0.3017241379310345,-6.637258031284457,0
E07000067,round 1,1,424,578.774545958,223.814824053,-0.3846351154465674,0.40491958372753073,-5.643088405983945,0.0023584905660377358
E07000068,round 1,0,400,560.497442575,195.029963982,-0.464270290537635,0.3858643744030564,-6.68586094706836,0
E07000069,round 1,1,448,579.134517009,186.042439576,-0.5262444314331741,0.3712871287128713,-5.698211429606745,0.002232142857142857
E07000070,round 1,0,407,572.577139859,205.46723547300002,-0.54436170062490985,0.36705461056401073,-6.703188113240863,0
E07000071,round 1,0,331,598.903621984,223.991316407,-0.9573385552765067,0.27722772277227725,-6.4967749901858625,0
E07000072,round 1,1,400,544.39557039,199.383334711,-0.6621614578872368,0.34011874469889736,-5.584748657098165,0.0025
E07000073,round 1,0,378,545.572594891,209.307592573,-1.0362614735004314,0.26170798898071623,-6.6293632534374485,0
E07000074,round 1,0,383,589.2304118699999,204.93244649500002,-0.44581885257433956,0.3902439024390244,-6.642486801367256,0
E07000075,round 1,0,450,584.3103621959999,191.531309402,-0.3483715472141835,0.4136986301369863,-6.803505257608338,0
E07000076,round 1,1,347,617.274776405,221.094399228,-0.644463393710969,0.34408602150537637,-5.442417710521793,0.002881844380403458
E07000077,round 1,0,464,556.4862813679999,228.384794707,-0.22973861829894868,0.4427625354777673,-6.834108738813838,0
E07000078,round 1,1,423,394.247339807,222.138831017,-0.5698276453221146,0.36115843270868825,-5.640724338689064,0.002364066193853428
E07000079,round 1,0,421,407.527134218,210.258833142,-0.27855496654809714,0.43073811931243683,-6.736966958001855,0
E07000080,round 1,0,377,364.30558965,212.218782793,-0.46918630186063653,0.38469284994964753,-6.626717749249025,0
E07000081,round 1,0,367,383.935720647,216.804092688,-0.817010163765763,0.30623973727422005,-6.5998704992128365,0
E07000082,round 1,0,389,381.19014938199996,203.178790089,-0.3643960126106031,0.4098018769551616,-6.658011045870748,0
E07000083,round 1,0,425,391.45619301799996,226.16085741999999,-0.29721833891202093,0.4261645193260654,-6.7464121285733745,0
E07000084,round 1,0,466,460.43942346100005,153.552323897,-0.40225826409858484,0.4006849315068493,-6.838405200847344,0
E07000085,round 1,2,441,475.08964719500005,129.72950222900002,-0.2845769182277914,0.42926356589147285,-5.169346985251076,0.0045351473922902496
E07000086,round 1,0,395,446.69352090900003,116.381233263,-0.5445506150891016,0.3670064874884152,-6.673297967767653,0
E07000087,round 1,2,384,455.232230334,106.202561448,-0.4110697789553349,0.39855072463768115,-5.030437921392435,0.005208333333333333
E07000088,round 1,0,380,459.388608303,100.924730626,-0.5932339260780592,0.35576036866359445,-6.634633357861686,0
E07000089,round 1,1,447,479.634668219,155.505724148,-0.2940861038051282,0.4269340974212034,-5.69597429220839,0.0022371364653243847
E07000090,round 1,0,382,470.60372881,107.178721753,-0.5575702270175936,0.3639810426540284,-6.639875833826536,0
E07000091,round 1,0,385,430.391410432,104.23098022699999,-0.3742880495088305,0.4074074074074074,-6.647688373563329,0
E07000092,round 1,0,411,486.458638567,153.79490105099998,-0.8110645616185594,0.3075204765450484,-6.71295620067707,0
E07000093,round 1,0,406,435.92902167,134.62892792899999,-0.38038671262755525,0.40594059405940597,-6.70073110954781,0
E07000094,round 1,0,373,451.919651519,124.88549307900001,-0.5413302240789072,0.36774827925270404,-6.616065185132817,0
E07000095,round 1,0,401,535.850554024,204.74919651599998,-0.7732849678627428,0.315625,-6.688354713946762,0
E07000096,round 1,0,438,503.233071548,207.952440137,-0.46703982776775843,0.38521739130434784,-6.776506992372183,0
E07000098,round 1,0,452,518.86827969,197.956534167,-0.6591700887724287,0.34080717488789236,-6.807934943699926,0
E07000099,round 1,0,451,523.41500625,231.39368985200002,-0.37076660756580226,0.40827338129496404,-6.805722553416985,0
E07000102,round 1,0,424,507.929111481,196.09819724000002,-0.5346417253792023,0.3693230505569837,-6.744059186311348,0
E07000103,round 1,0,317,510.674250524,197.79112523999999,-1.3066767331551992,0.21285140562248997,-6.453624998892692,0
E07000105,round 1,0,371,598.857126792,141.17228661800002,-0.6682719483739837,0.3387387387387387,-6.610696044717759,0
E07000106,round 1,1,364,615.240352136,162.087963227,-0.9088964766314707,0.28705882352941176,-5.49031418886541,0.0027472527472527475
E07000107,round 1,0,370,555.799178667,173.367127663,-0.9079785778354863,0.2872503840245776,-6.608000625296087,0
E07000108,round 1,2,380,631.9645472010001,148.34929238,-0.6288707482719939,0.3476277372262774,-5.019925341003348,0.005263157894736842
E07000109,round 1,0,362,565.066952831,171.892247871,-0.9716746852350373,0.2743764172335601,-6.586171654854675,0
E07000110,round 1,1,417,577.230403223,153.662437913,-0.4959714934363441,0.3783783783783784,-5.626421353498733,0.002398081534772182
E07000111,round 1,1,421,552.383283775,159.370051606,-0.4592230478369899,0.3870673952641166,-5.635979371304838,0.0023752969121140144
E07000112,round 1,1,372,617.2393633700001,134.595269151,-0.6709315244097426,0.3381424706943192,-5.512083756049649,0.002688172043010753
E07000113,round 1,1,398,593.886210246,166.015649868,-0.7832229378528753,0.31347962382445144,-5.579729825986222,0.002512562814070352
E07000114,round 1,0,365,636.038614543,168.108033707,-0.7310885034683471,0.324801412180053,-6.594413459749778,0
E07000115,round 1,2,435,565.237930571,154.311397298,-0.38502080877603423,0.40482822655524603,-5.155601064346442,0.004597701149425287
E07000116,round 1,1,462,563.0522710600001,139.706009203,-0.3479927520937853,0.41379310344827586,-5.729016945834743,0.0021645021645021645
E07000117,round 1,1,367,383.51021091399997,433.043940957,-1.041055801497798,0.2607773851590106,-5.498533413218542,0.0027247956403269754
E07000118,round 1,0,460,357.184339457,418.332223199,-0.5329683210671737,0.3697211155378486,-6.825460036255307,0
E07000119,round 1,0,397,337.11899866699997,430.212638391,-0.506321111644886,0.37593984962406013,-6.678342114654332,0
E07000120,round 1,0,373,374.741180517,429.306243837,-1.0317987898161631,0.26256983240223464,-6.616065185132817,0
E07000121,round 1,1,323,346.928551955,463.19006744800004,-0.993083153163328,0.27011494252873564,-5.3706380281276624,0.0030959752321981426
E07000122,round 1,0,381,387.27457032499996,440.084247876,-1.0232064577987878,0.26424159231297184,-6.637258031284457,0
E07000123,round 1,0,362,353.71706532400003,431.36025152400003,-1.1871889995652227,0.2335907335907336,-6.586171654854675,0
E07000124,round 1,0,405,370.606045091,438.71983237100005,-0.41239401294359074,0.39823874755381605,-6.698268054115413,0
E07000125,round 1,1,448,382.775253675,422.253624733,-0.6028300154358162,0.35358255451713394,-5.698211429606745,0.002232142857142857
E07000126,round 1,2,432,353.629574642,425.067904289,-0.4960889997214104,0.37835497835497833,-5.14865659199363,0.004629629629629629
E07000127,round 1,1,407,345.25673925599995,409.716407142,-0.7332363058645478,0.32434575733544807,-5.602118820879701,0.002457002457002457
E07000128,round 1,0,378,336.35007835000005,443.925300359,-0.6951060450452784,0.3327526132404181,-6.6293632534374485,0
E07000129,round 1,0,401,454.35461187199996,299.51429104799996,-0.4140173899234815,0.3978494623655914,-6.688354713946762,0
E07000130,round 1,0,398,455.942630226,315.71642787999997,-0.6311663110785835,0.347114556416882,-6.680854678790215,0
E07000131,round 1,0,403,465.01032569299997,291.289205031,-0.2613280437539803,0.4349680170575693,-6.693323668269949,0
E07000132,round 1,1,437,444.375726103,298.78251232400004,-0.3230864670513477,0.4198473282442748,-5.673323267171493,0.002288329519450801
E07000133,round 1,0,416,475.457200953,321.795888613,-0.3594190845380389,0.4110127826941986,-6.725033642166843,0
E07000134,round 1,0,414,440.491534107,316.248952834,-0.3946281567782869,0.4025096525096525,-6.720220155135295,0
E07000135,round 1,0,370,461.323659144,299.55792826100003,-0.7616101103280822,0.3181434599156118,-6.608000625296087,0
E07000136,round 1,1,323,532.517016969,343.225908254,-1.0619973198824189,0.25673534072900156,-5.3706380281276624,0.0030959752321981426
E07000137,round 1,0,335,539.479403023,374.450834224,-0.6471880567577477,0.3434650455927052,-6.508769136971682,0
E07000138,round 1,0,364,496.71921559099997,370.69889559700005,-1.1012932554213675,0.24932975871313673,-6.591673732008658,0
E07000139,round 1,0,428,501.896333834,357.875900181,-0.23578013531872186,0.44126659856996936,-6.75343791859778,0
E07000140,round 1,0,345,530.006819943,322.986474261,-0.7194177719120443,0.3273584905660377,-6.53813982376767,0
E07000141,round 1,0,370,499.729757613,325.666478481,-0.4674836783112223,0.38509316770186336,-6.608000625296087,0
E07000142,round 1,1,381,496.321593002,386.62745599500005,-0.49875832098323497,0.3777120315581854,-5.536021069193576,0.0026246719160104987
E07000143,round 1,0,345,594.073271591,301.022419265,-0.6210237735559201,0.3493975903614458,-6.53813982376767,0
E07000144,round 1,0,412,624.14182679,314.00491017599995,-0.216189920609752,0.44610458911419426,-6.715383386334681,0
E07000145,round 1,0,294,651.096895249,307.786807367,-1.0415537400102484,0.26063829787234044,-6.3784261836515865,0
E07000146,round 1,2,376,564.056698447,317.39563005699995,-0.5242590471649555,0.3717328170377541,-5.009301071083119,0.005319148936170213
E07000147,round 1,0,349,618.080765639,333.262937761,-0.5074155607854486,0.37566702241195304,-6.54965074223381,0
E07000148,round 1,1,398,621.99862618,308.916854316,-0.9884091485344954,0.2710721510451787,-5.579729825986222,0.002512562814070352
E07000149,round 1,0,359,619.4457935209999,297.36750037099995,-0.4712164856709448,0.384204909284952,-6.577861357721047,0
E07000150,round 1,1,398,487.82560213299996,288.489746971,-0.9921008924597285,0.2703429724277068,-5.579729825986222,0.002512562814070352
E07000151,round 1,0,395,462.75806745700004,266.01586426399996,-0.4067065731962294,0.3996023856858847,-6.673297967767653,0
E07000152,round 1,0,406,497.896381955,274.43418265099996,-0.49457711267016824,0.3787037037037037,-6.70073110954781,0
E07000153,round 1,2,386,485.902180418,279.193044853,-0.6558757857627137,0.3415276558384548,-5.035653057071544,0.0051813471502590676
E07000154,round 1,1,376,476.233389719,261.590547844,-0.9713975623450397,0.27443881245474294,-5.522793363096025,0.0026595744680851063
E07000155,round 1,0,410,466.769495431,246.93156404299998,-0.2515837522793022,0.43736730360934184,-6.710523109452429,0
E07000156,round 1,0,354,488.70242141100005,267.322951283,-0.8774648631854897,0.2935323383084577,-6.5638555265321274,0
E07000163,round 1,0,400,392.477214509,455.24349012199997,-0.3375338078461716,0.41632231404958675,-6.68586094706836,0
E07000164,round 1,0,359,442.589084292,488.81367774800003,-0.4532313851207126,0.38847385272145146,-6.577861357721047,0
E07000165,round 1,0,380,431.462831726,459.380419844,-0.43913545259227216,0.39183673469387753,-6.634633357861686,0
E07000166,round 1,0,356,416.205602342,498.363206262,-0.48647560982465676,0.3805970149253731,-6.569481420414296,0
E07000167,round 1,0,356,476.586994474,476.81588408,-0.4757243694726299,0.3831376734258271,-6.569481420414296,0
E07000168,round 1,0,370,499.813679838,491.88097247400003,-0.6096777920061903,0.3519924098671727,-6.608000625296087,0
E07000169,round 1,0,394,457.22816066300004,432.61682446,-0.4356139949117029,0.3926805143422354,-6.670766320845875,0
E07000170,round 1,0,419,450.17887305200003,354.894443363,-0.6770418518357538,0.33679169992019153,-6.732210706467206,0
E07000171,round 1,1,412,464.730135589,382.191083313,-0.6840589629019731,0.33522267206477735,-5.61434391200896,0.0024271844660194173
E07000172,round 1,1,399,450.22059602400003,340.009523819,-0.5825409322765838,0.3582222222222222,-5.582242390122105,0.002506265664160401
E07000173,round 1,1,399,459.846550079,344.772493158,-0.5202456240134372,0.37267657992565056,-5.582242390122105,0.002506265664160401
E07000174,round 1,0,374,454.714360748,362.39456293,-0.8518407415675036,0.2988871224165342,-6.618738983517219,0
E07000175,round 1,0,393,472.58655236,357.091444132,-0.6126326634886498,0.3513274336283186,-6.668228248417403,0
E07000176,round 1,0,431,461.733263682,335.299702352,-0.28277939500366694,0.4297029702970297,-6.760414691083428,0
E07000177,round 1,1,390,449.892288215,229.882286967,-0.6562617309311289,0.34144222415291053,-5.559398757202638,0.002564102564102564
E07000178,round 1,0,341,453.13591506,205.996151779,-1.5397190881021998,0.1764102564102564,-6.52649485957079,0
E07000179,round 1,0,403,463.366992649,192.01215040300002,-0.4655348645858275,0.3855650522317189,-6.693323668269949,0
E07000180,round 1,0,412,443.948184054,195.467314074,-0.44979478226939695,0.3893058161350844,-6.715383386334681,0
E07000181,round 1,2,374,434.48817188699996,212.663355713,-0.5863139105858445,0.35734597156398107,-5.003946305945459,0.0053475935828877
E07000187,round 1,0,372,362.906990628,144.54747416799998,-0.5815699486104705,0.35843660629170637,-6.61338421837956,0
E07000188,round 1,0,360,332.628932839,142.371765844,-0.6124755600272814,0.35135135135135137,-6.580639137284949,0
E07000189,round 1,0,349,350.090553659,118.35819871700001,-0.5858882305398262,0.3574338085539715,-6.54965074223381,0
E07000192,round 1,2,415,400.852690931,312.743281717,-0.6536403716580027,0.3420408163265306,-5.108366782589591,0.004819277108433735
E07000193,round 1,1,375,420.422975753,325.977424099,-0.7225130753643099,0.3266897746967071,-5.52012669484911,0.0026666666666666666
E07000194,round 1,2,395,410.58038736,309.342252032,-0.4280951624976756,0.39447731755424065,-5.058790335983303,0.005063291139240506
E07000195,round 1,1,393,383.113458132,347.993797591,-0.7038626943730707,0.3308144416456759,-5.567071429114299,0.002544529262086514
E07000196,round 1,0,425,390.570501675,302.568401699,-0.3630573270778221,0.4101338432122371,-6.7464121285733745,0
E07000197,round 1,0,377,391.380687334,326.357234842,-0.5609255458174862,0.36320305052430885,-6.626717749249025,0
E07000198,round 1,0,395,396.622619182,351.364013396,-0.43458342532412864,0.3929273084479371,-6.673297967767653,0
E07000199,round 1,1,433,422.020067716,302.92149832800004,-0.6122054688276583,0.3514376996805112,-5.66411721826377,0.0023094688221709007
E07000200,round 1,0,372,598.461967995,241.767503543,-0.40413266287438576,0.400213447171825,-6.61338421837956,0
E07000202,round 1,2,367,616.547512188,244.420207161,-0.894246023678412,0.29007036747458953,-4.9849755473156785,0.005449591280653951
E07000203,round 1,0,378,607.6123363830001,262.304585168,-0.3775563199910879,0.4066168623265742,-6.6293632534374485,0
E07000207,round 1,1,491,512.32736315,165.01184287200002,-0.4434925036974037,0.39082278481012656,-5.7899601708972535,0.002036659877800407
E07000208,round 1,0,419,521.163424789,162.449373589,-0.5383075582321335,0.36846689895470386,-6.732210706467206,0
E07000209,round 1,1,435,498.833833785,151.133386093,-0.5076495775390217,0.3756388415672913,-5.668730836597282,0.0022988505747126436
E07000210,round 1,0,425,516.825260815,152.16460020399998,-0.40430028561187126,0.4001865671641791,-6.7464121285733745,0
E07000211,round 1,1,437,526.567879952,151.92340158800002,-0.4906460809511883,0.3796376186367558,-5.673323267171493,0.002288329519450801
E07000212,round 1,2,416,502.74160133,167.05870358500002,-0.7654957598938691,0.3173150266971777,-5.110782242701195,0.004807692307692308
E07000213,round 1,0,411,507.193796205,170.69215122,-0.7400261287883904,0.32285938727415553,-6.71295620067707,0
E07000214,round 1,0,412,490.360335236,160.147567438,-0.5055674854562368,0.3761220825852783,-6.715383386334681,0
E07000215,round 1,2,428,535.7568912759999,152.170903741,-0.4779201873235867,0.3826395039858282,-5.139321635057579,0.004672897196261682
E07000216,round 1,0,439,492.48438470300005,142.294425946,-0.3890993765208851,0.40384615384615385,-6.778784897685177,0
E07000217,round 1,0,431,500.47823163,158.844442203,-0.6728035553972963,0.3377431906614786,-6.760414691083428,0
E07000218,round 1,0,417,426.03406464200003,295.947718047,-0.5712683727110609,0.36082474226804123,-6.727431724850855,0
E07000219,round 1,1,388,435.54303027599997,289.805205614,-0.841809372405368,0.3010007698229407,-5.554250740685237,0.002577319587628866
E07000220,round 1,0,364,448.739295051,275.36852744500004,-0.7404420416519444,0.32275132275132273,-6.591673732008658,0
E07000221,round 1,0,409,422.690817404,255.507221058,-0.33750814831606046,0.4163306451612903,-6.70808408385307,0
E07000222,round 1,0,442,430.321940826,266.842986273,-0.42055279081682867,0.39629302736098854,-6.785587645007929,0
E07000223,round 1,1,433,520.794746465,105.267405562,-0.4276422996637564,0.3945945945945946,-5.66411721826377,0.0023094688221709007
E07000224,round 1,1,339,498.90190873800003,101.868109668,-0.7011676391578647,0.33138969873663754,-5.419058984244165,0.0029498525073746312
E07000225,round 1,0,363,486.40481788,109.298736911,-0.5416222228874102,0.36767676767676766,-6.588926477533519,0
E07000226,round 1,0,412,527.001106296,136.29494253000001,-0.9465419370749258,0.2794316644113667,-6.715383386334681,0
E07000227,round 1,1,407,515.453851653,125.156570425,-0.2983350418626771,0.42588726513569936,-5.602118820879701,0.002457002457002457
E07000228,round 1,1,454,533.469525278,126.698020784,-0.2273152556845968,0.443359375,-5.711530161447027,0.0022026431718061676
E07000229,round 1,1,408,513.34313206,103.846828425,-0.4469156837481662,0.3899905571293673,-5.604575824572753,0.0024509803921568627
E07000234,round 1,0,405,398.168738856,273.57923164,-0.4450623627325237,0.39043062200956935,-6.698268054115413,0
E07000235,round 1,2,369,378.126198878,250.31417145,-0.4138852775107868,0.39787234042553193,-4.990432586778736,0.005420054200542005
