lacode,round,positive,tested,utm_x,utm_y,elog_comprate,comp_prev,elogit,prev
E06000001,round 1,0,338,449.883104909,532.1342919260001,-1.0504826992226872,0.25894897182025894,-6.517671272912275,0
E06000002,round 1,0,329,450.229253905,517.3971694,-1.2611564321697437,0.22058823529411764,-6.490723534502507,0
E06000003,round 1,1,361,460.827180468,520.003597134,-0.8222965581817864,0.30511316010058676,-5.482026848616839,0.002770083102493075
E06000004,round 1,0,374,443.965418604,519.150730616,-0.8427704050022403,0.3007936507936508,-6.618738983517219,0
E06000005,round 1,0,309,429.17640998400003,515.229579318,-1.0143519450503697,0.2659303313508921,-6.428105272684596,0
E06000006,round 1,1,368,352.02280249700004,384.020815642,-1.1569912324691487,0.23904639175257733,-5.5012582105447265,0.002717391304347826
E06000007,round 1,1,419,361.748872539,389.199703128,-0.6747654000220197,0.3373015873015873,-5.631211781821365,0.002386634844868735
E06000008,round 1,1,330,368.498427743,426.313288627,-1.3874081536983698,0.19964349376114082,-5.392111245834397,0.0030303030303030303
E06000009,round 1,1,382,331.96950422599997,436.33839933599995,-1.0838036556823547,0.2526246719160105,-5.538645742616348,0.002617801047120419
E06000010,round 1,1,357,509.448558162,431.094060695,-1.1639306720695464,0.23778071334214002,-5.470869131746186,0.0028011204481792717
E06000011,round 1,0,341,501.274923404,439.897077021,-0.6161573620313346,0.3505050505050505,-6.52649485957079,0
E06000012,round 1,0,362,526.495425533,408.396545408,-0.9027937634535388,0.2883096366508689,-6.586171654854675,0
E06000013,round 1,0,363,491.52266027300004,410.696122841,-0.8198825558025051,0.3056255247691016,-6.588926477533519,0
E06000014,round 1,1,373,460.17540025399995,452.420488448,-0.7654987258777416,0.3172995780590717,-5.51477192971145,0.002680965147453083
E06000015,round 1,0,378,435.628501765,335.059448351,-0.9835959567051245,0.27201704545454547,-6.6293632534374485,0
E06000016,round 1,1,265,459.36390163199997,304.488655564,-1.6778098587225863,0.15718475073313784,-5.172376143190189,0.0037735849056603774
E06000017,round 1,1,382,489.78130790800003,307.552259805,-0.42483304728621935,0.39525283797729616,-5.538645742616348,0.002617801047120419
E06000018,round 1,1,319,455.596489149,341.137139113,-1.618783774852338,0.16519937856033143,-5.358157366904054,0.003134796238244514
E06000019,round 1,1,374,352.547566369,242.092230018,-0.4984665196471248,0.37777777777777777,-5.517452896464707,0.00267379679144385
E06000020,round 1,1,358,368.849526381,310.793092133,-0.8935017304660505,0.2902182700080841,-5.473670254025898,0.002793296089385475
E06000021,round 1,1,375,389.233738985,346.652941017,-1.0293363048308501,0.2630480167014614,-5.52012669484911,0.0026666666666666666
E06000022,round 1,0,417,370.672566592,162.63500660399998,-0.562513105684402,0.3628472222222222,-6.727431724850855,0
E06000023,round 1,0,411,359.350894067,173.612286587,-1.013472437517862,0.2661498708010336,-6.71295620067707,0
E06000024,round 1,1,373,340.796271182,166.23236550000001,-0.5643727182260616,0.3624031007751938,-5.51477192971145,0.002680965147453083
E06000025,round 1,0,385,365.657242755,179.20756180299998,-0.6131574151528797,0.3512064343163539,-6.647688373563329,0
E06000026,round 1,0,325,248.90878986700002,56.6491178065,-0.980637810491758,0.2725752508361204,-6.478509642208569,0
E06000027,round 1,0,338,290.19333749000003,62.173076368800004,-0.8172363249143135,0.306177260519248,-6.517671272912275,0
E06000030,round 1,0,361,415.26032457499997,185.86284987899998,-0.7985759067153936,0.3101694915254237,-6.583409222158765,0
E06000031,round 1,1,324,517.909885034,299.931339949,-1.1516438595769474,0.24,-5.373734005832791,0.0030864197530864196
E06000032,round 1,2,307,507.92241863,223.059116985,-1.4712637938714785,0.1865626874625075,-4.805659046737495,0.006514657980456026
E06000033,round 1,0,400,587.5317084999999,186.56638543399998,-0.8430402701345624,0.30074626865671644,-6.68586094706836,0
E06000034,round 1,0,426,562.842386407,180.052818307,-0.9367535679568795,0.281413612565445,-6.748759547491679,0
E06000035,round 1,2,404,576.87684367,167.356992133,-0.8394977853855968,0.30149253731343284,-5.081404364984463,0.0049504950495049506
E06000036,round 1,0,443,486.59279752199996,167.204839137,-0.5477061592743275,0.36628849270664504,-6.787844982309579,0
E06000037,round 1,0,447,453.145713872,169.81512697099998,-0.3797222204150296,0.40610961365678344,-6.796823718274855,0
E06000038,round 1,1,400,470.91656767100005,173.248050102,-1.0977878863130919,0.25,-5.584748657098165,0.0025
E06000039,round 1,0,302,497.56226935800004,180.320648003,-1.6665783760142185,0.15870570107858242,-6.405228458030842,0
E06000040,round 1,0,450,491.524328383,177.66727316499998,-0.5744679330618377,0.3600953895071542,-6.803505257608338,0
E06000041,round 1,0,455,477.659047413,170.324423818,-0.3270604024388663,0.4188817598533456,-6.814542897259958,0
E06000042,round 1,0,400,485.556325048,238.590088966,-0.8275343712683639,0.30401819560272936,-6.68586094706836,0
E06000043,round 1,0,513,530.718178571,105.731868465,-0.7258747872440496,0.32599118942731276,-6.934397209928558,0
E06000044,round 1,0,358,465.38626082999997,101.653990577,-1.2005563336300387,0.2312065698041693,-6.57507584059962,0
E06000045,round 1,2,382,442.56908501699996,113.45836199,-1.1512560221535317,0.2400990099009901,-5.025195445427586,0.005235602094240838
E06000046,round 1,1,283,453.01651381,88.44884073339999,-0.9630011149187224,0.27606177606177607,-5.238213442478331,0.0035335689045936395
E06000047,round 1,0,375,425.66090376299996,540.554259067,-0.7325452368600123,0.324486301369863,-6.621405651764134,0
E06000049,round 1,1,439,379.14006595,366.10258835400003,-0.432649802047506,0.39339875111507583,-5.677894703704073,0.002277904328018223
E06000050,round 1,0,449,348.670090271,370.59366813,-0.5099412549265694,0.375103734439834,-6.80128303447162,0
E06000051,round 1,0,379,351.82574746,311.39807891600003,-0.46918630186063653,0.38469284994964753,-6.6320017773956295,0
E06000052,round 1,0,312,190.89697001,51.987510719700005,-0.7867159580957341,0.3126873126873127,-6.437751649736401,0
E06000054,round 1,0,392,400.467564004,157.02943667600002,-0.35705128465696706,0.41158221302998965,-6.665683717782408,0
E06000055,round 1,1,389,504.57594159,250.60219023599998,-0.7748628699748648,0.3152789005658852,-5.556828061699537,0.002570694087403599
E06000056,round 1,0,427,505.805206036,232.495307183,-0.39962737991247893,0.40130963517305895,-6.75110146893676,0
E06000057,round 1,1,380,417.299477515,586.889456042,-0.5447533188907788,0.366954851104707,-5.53338948872752,0.002631578947368421
E06000058,round 1,1,368,408.07833282200005,93.244270049,-0.8134829618025922,0.3069883527454243,-5.5012582105447265,0.002717391304347826
E06000059,round 1,1,361,380.733147633,97.1587480849,-0.4487464562385615,0.3895410885805763,-5.482026848616839,0.002770083102493075
E07000004,round 1,1,409,479.972516909,217.82836068499998,-0.5912570367780138,0.3562231759656652,-5.607026806191893,0.0024449877750611247
E07000005,round 1,1,462,495.73654237799997,198.02222722500002,-0.22207116515245712,0.4446564885496183,-5.729016945834743,0.0021645021645021645
E07000006,round 1,1,457,497.72544351,185.25676602099998,-0.4442393054724848,0.39063829787234045,-5.718123591926859,0.002188183807439825
E07000007,round 1,0,423,485.826496512,193.30504515200002,-0.6528894163096666,0.34221146085552867,-6.741700694652055,0
E07000008,round 1,0,401,546.098538384,258.477984532,-1.161833337611396,0.23817966903073287,-6.688354713946762,0
E07000009,round 1,1,405,555.936159841,275.230592028,-0.5128014209017072,0.3744207599629286,-5.597186628390382,0.0024691358024691358
E07000010,round 1,0,312,540.509393523,300.30601429999996,-0.8594110636806106,0.29727187206020694,-6.437751649736401,0
E07000011,round 1,0,381,523.34905739,272.983523804,-0.5401940404762603,0.36801541425818884,-6.637258031284457,0
E07000012,round 1,0,412,542.190982973,256.650838629,-0.37476902095098763,0.4072978303747535,-6.715383386334681,0
E07000026,round 1,0,417,310.32709236200003,534.475127555,-0.6135492138321428,0.3511259382819016,-6.727431724850855,0
E07000027,round 1,1,455,320.660554533,470.708984372,-0.703453754028895,0.3309248554913295,-5.713732805509369,0.002197802197802198
E07000028,round 1,2,394,341.481741473,556.506488629,-0.622315372446585,0.34912280701754383,-5.056245805348308,0.005076142131979695
