lacode,round,swab,issued
E07000068,round 4,524,1859
E07000069,round 4,466,1932
E07000070,round 4,511,1812
E07000071,round 4,556,2203
E07000072,round 4,447,2003
E07000073,round 4,478,2528
E07000074,round 4,551,1714
E07000075,round 4,498,1775
E07000076,round 4,533,2085
E07000077,round 4,499,1651
E07000095,round 4,455,2219
E07000096,round 4,478,1809
E07000098,round 4,488,2104
E07000099,round 4,562,1790
E07000102,round 4,469,1908
E07000103,round 4,445,2400
E07000143,round 4,524,2014
E07000144,round 4,525,1751
E07000145,round 4,448,2462
E07000146,round 4,515,2061
E07000147,round 4,602,1949
E07000148,round 4,519,2584
E07000149,round 4,647,1887
E07000200,round 4,562,1727
E07000202,round 4,508,2462
E07000203,round 4,593,1747
E07000240,round 4,537,1750
E07000241,round 4,505,2201
E07000242,round 4,497,1680
E07000243,round 4,477,2261
E07000244,round 4,514,1873
E07000245,round 4,533,1967
E09000002,round 4,421,4191
E09000003,round 4,492,2824
E09000004,round 4,499,2352
E09000005,round 4,404,4546
E09000006,round 4,472,1965
E09000007,round 4,448,3674
E09000008,round 4,487,3156
E09000009,round 4,514,3774
E09000010,round 4,492,3532
E09000011,round 4,485,2929
E09000012,round 4,400,3753
E09000013,round 4,470,3757
E09000014,round 4,540,3603
E09000015,round 4,461,3130
E09000016,round 4,480,2278
E09000017,round 4,507,2898
E09000018,round 4,494,3699
E09000019,round 4,475,3236
E09000020,round 4,466,4544
E09000021,round 4,517,2474
E09000022,round 4,498,3626
E09000023,round 4,497,3169
E09000024,round 4,526,2909
E09000025,round 4,339,4547
E09000026,round 4,436,3495
E09000027,round 4,505,2021
E09000028,round 4,462,3643
E09000029,round 4,461,2269
E09000030,round 4,432,4407
E09000031,round 4,456,3422
E09000032,round 4,463,2943
E09000033,round 4,455,4544
E06000001,round 4,450,2371
E06000002,round 4,466,3086
E06000003,round 4,471,2266
E06000004,round 4,454,2202
E06000005,round 4,486,2129
E06000047,round 4,510,2095
E06000057,round 4,512,1877
E08000021,round 4,496,2654
E08000022,round 4,442,1803
E08000023,round 4,481,2123
E08000024,round 4,461,2191
E08000037,round 4,494,2157
E06000006,round 4,384,2374
E06000007,round 4,486,2110
E06000008,round 4,346,3248
E06000009,round 4,454,2597
E06000049,round 4,487,1898
E06000050,round 4,473,1890
E07000026,round 4,530,1939
E07000027,round 4,446,2035
E07000028,round 4,426,1947
E07000029,round 4,500,1950
E07000030,round 4,528,1794
E07000031,round 4,532,1764
E07000117,round 4,321,2545
E07000118,round 4,484,1955
E07000119,round 4,500,1855
E07000120,round 4,307,2596
E07000121,round 4,495,2483
E07000122,round 4,331,2641
E07000123,round 4,398,2769
E07000124,round 4,451,1684
E07000125,round 4,417,2053
E07000126,round 4,453,1860
E07000127,round 4,453,2027
E07000128,round 4,526,2090
E08000001,round 4,460,2653
E08000002,round 4,459,2206
E08000003,round 4,414,3867
E08000004,round 4,402,2744
E08000005,round 4,394,2686
E08000006,round 4,381,2611
E08000007,round 4,475,1970
E08000008,round 4,475,2350
E08000009,round 4,482,2092
E08000010,round 4,430,2223
E08000011,round 4,365,2610
E08000012,round 4,395,2994
E08000013,round 4,439,2220
E08000014,round 4,488,2192
E08000015,round 4,463,2108
E06000035,round 4,512,2270
E06000036,round 4,505,1959
E06000037,round 4,562,1839
E06000038,round 4,549,2849
E06000039,round 4,375,3794
E06000040,round 4,528,1968
E06000041,round 4,559,1801
E06000042,round 4,531,2342
E06000043,round 4,502,2325
E06000044,round 4,517,2561
E06000045,round 4,478,3064
E06000046,round 4,509,2349
E07000004,round 4,514,1933
E07000005,round 4,519,1694
E07000006,round 4,514,1940
E07000007,round 4,530,2081
E07000061,round 4,501,2250
E07000062,round 4,493,2338
E07000063,round 4,415,1576
E07000064,round 4,561,1916
E07000065,round 4,543,1861
E07000084,round 4,484,1768
E07000085,round 4,555,1701
E07000086,round 4,512,1925
E07000087,round 4,570,1705
E07000088,round 4,506,1945
E07000089,round 4,591,1703
E07000090,round 4,519,1972
E07000091,round 4,511,1703
E07000092,round 4,520,2189
E07000093,round 4,571,1803
E07000094,round 4,564,1811
E07000105,round 4,500,1967
E07000106,round 4,557,2358
E07000107,round 4,453,2175
E07000108,round 4,537,2014
E07000109,round 4,440,2375
E07000110,round 4,517,1883
E07000111,round 4,556,1767
E07000112,round 4,568,2025
E07000113,round 4,484,2079
E07000114,round 4,492,2097
E07000115,round 4,549,1765
E07000116,round 4,524,1782
E07000177,round 4,482,2016
E07000178,round 4,531,3841
E07000179,round 4,559,1849
E07000180,round 4,519,1880
E07000181,round 4,535,1965
E07000207,round 4,461,1792
E07000208,round 4,535,1966
E07000209,round 4,564,2030
E07000210,round 4,548,1758
E07000211,round 4,522,1909
E07000212,round 4,520,2251
E07000213,round 4,461,2130
E07000214,round 4,513,1865
E07000215,round 4,525,1826
E07000216,round 4,565,1736
E07000217,round 4,534,2059
E07000223,round 4,513,1868
E07000224,round 4,562,2123
E07000225,round 4,576,1943
E07000226,round 4,507,2379
E07000227,round 4,548,1724
E07000228,round 4,524,1657
E07000229,round 4,551,1939
E06000022,round 4,548,2013
E06000023,round 4,504,2506
E06000024,round 4,558,1915
E06000025,round 4,510,1951
E06000026,round 4,427,2282
E06000027,round 4,494,2219
E06000030,round 4,489,2113
E06000052,round 4,504,1946
E06000054,round 4,596,1762
E06000058,round 4,519,2252
E06000059,round 4,615,1900
E07000040,round 4,558,1762
E07000041,round 4,459,2321
E07000042,round 4,537,1900
E07000043,round 4,484,2037
E07000044,round 4,527,1789
E07000045,round 4,506,1800
E07000046,round 4,520,1911
E07000047,round 4,489,1760
E07000078,round 4,456,1906
E07000079,round 4,522,1687
E07000080,round 4,422,1833
E07000081,round 4,455,2284
E07000082,round 4,500,1780
E07000083,round 4,448,1701
E07000187,round 4,559,1929
E07000188,round 4,481,1925
E07000189,round 4,540,1917
E07000246,round 4,490,1948
E06000019,round 4,559,1953
E06000020,round 4,449,2271
E06000021,round 4,374,2577
E06000051,round 4,520,1901
E07000192,round 4,473,2024
E07000193,round 4,482,2223
E07000194,round 4,483,1768
E07000195,round 4,496,2146
E07000196,round 4,448,1747
E07000197,round 4,536,1967
E07000198,round 4,492,1799
E07000199,round 4,468,2015
E07000218,round 4,480,1958
E07000219,round 4,459,2231
E07000220,round 4,522,1994
E07000221,round 4,546,1760
E07000222,round 4,548,1899
E07000234,round 4,532,1844
E07000235,round 4,483,1843
E07000236,round 4,516,2297
E07000237,round 4,493,2230
E07000238,round 4,558,1819
E07000239,round 4,505,2046
E08000025,round 4,458,3693
E08000026,round 4,449,3077
E08000027,round 4,448,2323
E08000028,round 4,388,3423
E08000029,round 4,493,2153
E08000030,round 4,434,2698
E08000031,round 4,408,3182
E06000010,round 4,418,2736
E06000011,round 4,516,1918
E06000012,round 4,446,2383
E06000013,round 4,496,2228
E06000014,round 4,497,2136
E07000163,round 4,527,1681
E07000164,round 4,557,1767
E07000165,round 4,542,1811
E07000166,round 4,494,1777
E07000167,round 4,543,1813
E07000168,round 4,535,2053
E07000169,round 4,507,1793
E08000016,round 4,423,2204
E08000017,round 4,467,2431
E08000018,round 4,417,2284
E08000019,round 4,486,2569
E08000032,round 4,419,3035
E08000033,round 4,437,2115
E08000034,round 4,451,2349
E08000035,round 4,494,2456
E08000036,round 4,476,2185
