Parameter,Estimate,CI
Intercept,-7.344,"(-7.48, -7.208)"
Round 2,-0.676,"(-0.833, -0.518)"
Round 3,-1.572,"(-1.743, -1.401)"
Round 4,-0.656,"(-0.832, -0.481)"
Compliance (empirical logit),-0.677,"(-0.769, -0.585)"
$\sigma^2$,0.148,"(0.116, 0.19)"
$\phi_1$,22.606,"(16.099, 31.742)"
$\tau^2$,0.139,"(0.072, 0.268)"
$\phi_2$,26.095,"(16.928, 40.225)"
