"","date","region","count_pos","count_all","rolling_infections","rolling_total"
"1",2020-01-01,"North East",3,48,NA,NA
"2",2020-01-01,"North West",6,146,NA,NA
"3",2020-01-01,"Yorkshire and The Humber",4,90,NA,NA
"4",2020-01-01,"East Midlands",3,129,NA,NA
"5",2020-01-01,"West Midlands",6,136,NA,NA
"6",2020-01-01,"East of England",12,159,NA,NA
"7",2020-01-01,"London",3,76,NA,NA
"8",2020-01-01,"South East",8,207,NA,NA
"9",2020-01-01,"South West",3,101,NA,NA
"10",2020-01-02,"North East",0,17,NA,NA
"11",2020-01-02,"North West",8,88,NA,NA
"12",2020-01-02,"Yorkshire and The Humber",1,28,NA,NA
"13",2020-01-02,"East Midlands",2,80,NA,NA
"14",2020-01-02,"West Midlands",3,58,NA,NA
"15",2020-01-02,"East of England",0,78,NA,NA
"16",2020-01-02,"London",2,37,NA,NA
"17",2020-01-02,"South East",6,109,NA,NA
"18",2020-01-02,"South West",1,62,NA,NA
"19",2020-01-03,"North East",1,23,NA,NA
"20",2020-01-03,"North West",3,81,NA,NA
"21",2020-01-03,"Yorkshire and The Humber",2,59,NA,NA
"22",2020-01-03,"East Midlands",2,75,NA,NA
"23",2020-01-03,"West Midlands",3,59,NA,NA
"24",2020-01-03,"East of England",3,77,NA,NA
"25",2020-01-03,"London",6,38,NA,NA
"26",2020-01-03,"South East",2,109,NA,NA
"27",2020-01-03,"South West",0,50,NA,NA
"28",2020-01-04,"North East",1,13,NA,NA
"29",2020-01-04,"North West",1,41,NA,NA
"30",2020-01-04,"Yorkshire and The Humber",0,21,NA,NA
"31",2020-01-04,"East Midlands",4,57,NA,NA
"32",2020-01-04,"West Midlands",4,35,NA,NA
"33",2020-01-04,"East of England",0,67,NA,NA
"34",2020-01-04,"London",1,21,NA,NA
"35",2020-01-04,"South East",2,81,NA,NA
"36",2020-01-04,"South West",0,28,NA,NA
"37",2020-01-05,"North East",0,10,NA,NA
"38",2020-01-05,"North West",2,27,NA,NA
"39",2020-01-05,"Yorkshire and The Humber",0,23,NA,NA
"40",2020-01-05,"East Midlands",2,29,NA,NA
"41",2020-01-05,"West Midlands",1,25,NA,NA
"42",2020-01-05,"East of England",4,32,NA,NA
"43",2020-01-05,"London",3,20,NA,NA
"44",2020-01-05,"South East",2,73,NA,NA
"45",2020-01-05,"South West",0,23,NA,NA
"46",2020-01-06,"North East",1,43,NA,NA
