"level","estbinres","ci_l","ci_u","weighted_prev"
"23-30 Nov",0.0132041620037077,0.0120278081551827,0.0144938787719633,"1.32% (1.20%, 1.45%)"
"01-06 Dec",0.0132346987086847,0.0116819523543595,0.0149907031362186,"1.32% (1.17%, 1.50%)"
"07-12 Dec",0.0157681163812225,0.0133356833343096,0.0186358459774692,"1.58% (1.33%, 1.86%)"
"13-17 Dec",0.0213679069038853,0.0171218521444726,0.0266384040745514,"2.14% (1.71%, 2.66%)"
