"ageGroup","nDoses","count"
"12-17","0",22.9512195121951
"18-24","0",4.07821229050279
"25-34","0",3.45311130587204
"35-44","0",2.80569097602229
"45-54","0",1.38410735614417
"5-11","0",99.7734709287692
"55-64","0",0.797671661097337
"65-74","0",0.369451018876638
"75+","0",0.260170293282876
"12-17","1",66.0243902439024
"18-24","1",2.51396648044693
"25-34","1",1.59509202453988
"35-44","1",1.07451994826385
"45-54","1",0.583151830253636
"5-11","1",0.226529071230808
"55-64","1",0.339549423304948
"65-74","1",0.121226115568897
"75+","1",0.10643330179754
"12-17","2",10.609756097561
"18-24","2",77.8212290502793
"25-34","2",73.7423312883435
"35-44","2",68.0230822803701
"45-54","2",54.1769128082625
"5-11","2",0
"55-64","2",33.4159749919155
"65-74","2",7.58529123131097
"75+","2",2.86187322611164
"12-17","3",0.414634146341463
"18-24","3",15.5865921787709
"25-34","3",21.2094653812445
"35-44","3",28.0967067953437
"45-54","3",43.8558280053397
"5-11","3",0
"55-64","3",65.4468039236822
"65-74","3",91.9240316342435
"75+","3",96.771523178808
