LTLA name,Total sampled in LTLA,N. vaccinated,N. antibody positive,Weighted and adjusted antibody prevalence,Weighted and adjusted antibody prevalence LCI,Weighted and adjusted antibody prevalence UCI,Weighted vaccination prevalence,Weighted vaccination prevalence LCI,Weighted vaccination prevalence UCI
Basingstoke and Deane,228,215,182,100,90.7,100,98.9,93.8,99.8
Blaby,232,221,187,100,89.9,100,100,95.5,100
Bromley,266,256,215,100,94.6,100,100,98.2,100
Cheltenham,259,234,200,100,88.9,100,100,95.1,100
City of London,14,14,12,100,61.7,100,100,59.699999999999996,100
Elmbridge,203,194,159,100,87.4,100,100,96.1,100
Enfield,209,197,164,100,91.8,100,100,97.5,100
Gedling,262,247,208,100,88.7,100,100,95.89999999999999,100
Hackney,210,193,159,100,86.3,100,98.4,91.3,99.7
Hounslow,232,214,185,100,90.3,100,97.8,92.30000000000001,99.4
Kensington and Chelsea,235,206,170,100,87.8,100,96.7,88.6,99.1
Kingston upon Thames,247,230,197,100,88.7,100,97,89.60000000000001,99.2
Mansfield,217,206,170,100,87.3,100,98.4,91.4,99.7
Richmond upon Thames,259,235,200,100,90.3,100,97.8,92.30000000000001,99.4
Rushcliffe,274,266,219,100,88.7,100,100,96.3,100
Southwark,178,166,144,100,93.2,100,97.2,90.4,99.2
Tewkesbury,263,243,209,100,88.9,100,100,95.19999999999999,100
Tunbridge Wells,226,214,184,100,90.10000000000001,100,98.4,91.4,99.7
Waltham Forest,221,205,174,100,90.10000000000001,100,96.3,89.7,98.7
Sandwell,195,181,154,99.9,90.60000000000001,100,97.5,92.80000000000001,99.1
Harborough,269,261,210,99.8,85.8,100,98.3,91.10000000000001,99.7
Babergh,276,259,209,99.7,86.5,100,100,96.1,100
Bexley,226,210,167,99.6,88.7,100,98.9,94.19999999999999,99.8
Woking,259,246,199,99.6,83.39999999999999,100,100,94.39999999999999,100
Mole Valley,253,242,199,99.5,84.39999999999999,100,100,95,100
Stafford,261,247,204,99.5,88,100,100,96.8,100
Shropshire,273,259,214,99.4,92.7,100,98.6,96,99.5
Worcester,231,218,186,99.1,83.8,100,98,89.3,99.6
Lambeth,202,189,158,99,86.8,100,97.39999999999999,90.9,99.3
Mid Suffolk,259,249,204,99,86.8,100,100,96.5,100
Epsom and Ewell,244,235,192,98.7,80.4,100,100,93.2,100
Lewes,276,266,212,98.7,85.7,100,100,96.2,100
South Tyneside,237,225,183,98.7,86.9,100,98.8,93.30000000000001,99.8
Merton,241,219,175,98.4,85.3,100,97.1,90.2,99.2
Rugby,254,234,192,98.3,83.6,100,98.1,90.2,99.7
Camden,256,232,186,98.2,86.1,100,98.8,93.30000000000001,99.8
Coventry,199,181,148,98,88.5,100,98.3,94.1,99.5
Rochdale,269,250,204,98,86.8,100,98.9,93.89999999999999,99.8
Tameside,195,185,151,97.89999999999999,87.4,100,99,94.69999999999999,99.8
Ashfield,212,202,163,97.8,84.3,100,98.5,91.9,99.7
North West Leicestershire,232,225,178,97.7,83.39999999999999,100,100,95.7,100
Ribble Valley,270,256,213,97.7,80.30000000000001,100,97.6,87.4,99.6
Swindon,231,215,172,97.6,86.7,100,98.9,94.3,99.8
Barnet,234,214,174,97.5,88.8,100,99.3,96.1,99.9
Wychavon,270,262,211,97.5,86.1,100,100,97,100
Greenwich,214,199,159,97.3,84.89999999999999,100,97.39999999999999,90.9,99.3
Ipswich,257,238,189,97.3,82.8,100,100,95.5,100
Barrow-in-Furness,223,207,167,97.2,79.4,100,100,93.5,100
Kirklees,262,245,196,97.1,89.8,100,99,96.39999999999999,99.7
Salford,233,223,180,97.1,86,100,98.9,94.19999999999999,99.8
Brent,203,174,142,97,86.2,100,93,86.3,96.6
St. Helens,206,199,157,97,86.2,100,99,94.5,99.8
Darlington,258,241,196,96.89999999999999,82.3,100,100,95.3,100
St Albans,217,205,168,96.89999999999999,83.7,100,98.5,92,99.7
Bedford,240,231,189,96.8,85,100,97.6,91.60000000000001,99.3
