LTLA name,Total sampled in LTLA,N. vaccinated,N. antibody positive,Weighted and adjusted antibody prevalence,Weighted and adjusted antibody prevalence LCI,Weighted and adjusted antibody prevalence UCI,Weighted vaccination prevalence,Weighted vaccination prevalence LCI,Weighted vaccination prevalence UCI
Oldham,23,12,14,73.6,62.1,84.1,54.800000000000004,45.2,64
Knowsley,27,10,15,72.3,59.4,84.1,45.2,35,55.900000000000006
Rother,16,5,8,65.2,43.3,85.6,32.1,17.9,50.7
Derby,37,18,19,64.2,54.6,73.5,51.300000000000004,43.5,59.099999999999994
Hillingdon,34,14,17,62.9,53.800000000000004,71.7,37.7,31.1,44.7
Brighton and Hove,41,21,21,60.6,52.400000000000006,68.7,53.400000000000006,46.800000000000004,59.9
Wiltshire,26,10,11,59.5,51,68,39.7,33.300000000000004,46.5
Craven,15,5,7,58.599999999999994,32,85.1,35.3,17.299999999999997,58.699999999999996
East Lindsey,25,11,9,58.599999999999994,45,72.1,40.5,30.4,51.5
Preston,44,25,21,58.599999999999994,47.5,69.6,60.9,51.7,69.3
Sefton,27,9,12,58.599999999999994,47.9,69.19999999999999,34.699999999999996,26.900000000000002,43.4
South Ribble,37,17,16,58.599999999999994,45.2,71.89999999999999,52.1,40.8,63.1
Sunderland,29,15,15,57.8,48.3,67.30000000000001,51,43.1,58.8
Solihull,32,15,13,57.49999999999999,46.5,68.5,53.300000000000004,44.4,62
Redcar and Cleveland,31,15,15,57.199999999999996,44.9,69.6,50,40,60
Barking and Dagenham,45,13,16,56.8,46.800000000000004,66.9,32.7,25.900000000000002,40.300000000000004
Enfield,36,18,17,56.8,48,65.7,50.3,43.2,57.4
Wychavon,37,14,17,56.599999999999994,42.199999999999996,71.3,39.7,28.499999999999996,52
Colchester,33,16,16,56.49999999999999,45.9,67.30000000000001,52.1,43.2,61
Havant,31,20,14,55.60000000000001,43,68.5,64.4,54.2,73.6
St. Helens,42,21,18,55.00000000000001,45,65.10000000000001,51.1,42.699999999999996,59.5
Bath and North East Somerset,39,14,18,54.800000000000004,44,65.8,35.3,27.3,44.2
Bexley,27,11,12,54.7,44.4,65.2,35.9,28.1,44.5
Halton,35,17,17,54.50000000000001,42.5,66.9,46.2,36.5,56.3
Hertsmere,42,17,22,54.400000000000006,41.199999999999996,68.10000000000001,38.4,28.1,49.8
Wokingham,30,10,13,54.400000000000006,41.199999999999996,68.10000000000001,25.3,16.900000000000002,36.199999999999996
Croydon,41,14,17,53.6,45.300000000000004,62,35.699999999999996,29.599999999999998,42.3
Blackpool,32,16,14,53.5,42,65.5,50,40.2,59.8
Burnley,36,15,16,53.1,38.1,68.8,37.9,26.6,50.8
