LTLA name,Total sampled in LTLA,N. vaccinated,N. antibody positive,Weighted and adjusted antibody prevalence,Weighted and adjusted antibody prevalence LCI,Weighted and adjusted antibody prevalence UCI,Weighted vaccination prevalence,Weighted vaccination prevalence LCI,Weighted vaccination prevalence UCI
Gedling,10,6,7,94.1,76,100,60,44.6,73.7
Hillingdon,15,5,9,82,71.39999999999999,91.2,29.9,22.400000000000002,38.7
Fareham,15,4,8,74.3,56.89999999999999,89.2,28.9,17.7,43.4
Brent,17,8,12,73.5,64.1,82.19999999999999,50,42.3,57.699999999999996
Gloucester,15,4,8,73.3,55.7,88.5,40,27,54.50000000000001
Leeds,13,4,6,73.1,64.4,81.2,33,26.8,39.900000000000006
Castle Point,13,6,7,70.6,49.3,89.2,53.300000000000004,36.1,69.8
Greenwich,15,4,7,68.8,57.3,79.5,19.5,13.200000000000001,27.700000000000003
Oldham,13,4,6,68.2,56.39999999999999,79.3,18.9,12.7,27.200000000000003
Tower Hamlets,28,8,14,67.9,59.599999999999994,76,26.5,20.9,32.9
Middlesbrough,10,5,6,67.60000000000001,49.2,84.39999999999999,47.5,32.9,62.5
Southwark,18,7,9,66.9,56.2,77,40.699999999999996,32.4,49.5
Oadby and Wigston,19,6,9,65.2,43.3,85.6,37.9,22.7,56.00000000000001
Barking and Dagenham,12,2,5,65,48,81,11.1,5.2,22.2
Epping Forest,17,6,10,64.8,49.5,79.3,29.5,19.6,41.9
Sevenoaks,12,2,5,64.4,43.8,83.7,18.9,9.5,34.2
Liverpool,26,7,14,64.1,57.099999999999994,71,31,26,36.6
Lancaster,19,9,10,63.7,49.8,77.10000000000001,46.5,35.4,57.99999999999999
Uttlesford,12,7,6,63.6,40.6,85.2,57.699999999999996,38.9,74.5
Wigan,12,3,7,62.2,52,72.1,27.800000000000004,20.9,36
Calderdale,16,7,7,61.9,49.6,74,50.5,40.6,60.5
Eastbourne,16,8,8,61.9,42.9,80.30000000000001,48.699999999999996,33.900000000000006,63.800000000000004
York,18,8,10,61.9,49.6,73.8,44.6,34.8,54.7
Islington,22,7,10,60.8,50.8,70.6,23.599999999999998,17.299999999999997,31.2
Sutton,13,5,6,60.4,46,74.7,39.1,28.1,51.300000000000004
Bromsgrove,17,5,8,59.8,43.5,75.9,24.5,14.6,38.1
