"region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"South East","35-44",38,2020-09-14,2,603
"South East","35-44",39,2020-09-21,10,2706
"South East","35-44",40,2020-09-28,6,1737
"South East","35-44",41,2020-10-05,0,135
"South East","5-12",38,2020-09-14,2,548
"South East","5-12",39,2020-09-21,2,1711
"South East","5-12",40,2020-09-28,5,900
"South East","5-12",41,2020-10-05,0,75
"South East","13-17",38,2020-09-14,3,515
"South East","13-17",39,2020-09-21,3,1282
"South East","13-17",40,2020-09-28,2,564
"South East","13-17",41,2020-10-05,0,39
"South East","18-24",38,2020-09-14,1,244
"South East","18-24",39,2020-09-21,2,744
"South East","18-24",40,2020-09-28,4,428
"South East","18-24",41,2020-10-05,1,43
"South East","25-34",38,2020-09-14,1,399
"South East","25-34",39,2020-09-21,4,1590
"South East","25-34",40,2020-09-28,3,1085
"South East","25-34",41,2020-10-05,0,86
"South East","45-54",38,2020-09-14,0,716
"South East","45-54",39,2020-09-21,8,3619
"South East","45-54",40,2020-09-28,8,2289
"South East","45-54",41,2020-10-05,1,150
"South East","55-64",38,2020-09-14,0,769
"South East","55-64",39,2020-09-21,8,4036
"South East","55-64",40,2020-09-28,3,2287
"South East","55-64",41,2020-10-05,0,131
"South East","65+",38,2020-09-14,0,1420
"South East","65+",39,2020-09-21,18,6065
"South East","65+",40,2020-09-28,5,2257
"South East","65+",41,2020-10-05,1,94
"North East","35-44",38,2020-09-14,1,123
"North East","35-44",39,2020-09-21,1,414
"North East","35-44",40,2020-09-28,3,259
"North East","35-44",41,2020-10-05,0,23
"North East","5-12",38,2020-09-14,2,107
"North East","5-12",39,2020-09-21,3,217
"North East","5-12",40,2020-09-28,3,105
"North East","5-12",41,2020-10-05,0,10
"North East","13-17",38,2020-09-14,1,98
"North East","13-17",39,2020-09-21,2,193
"North East","13-17",40,2020-09-28,4,79
"North East","13-17",41,2020-10-05,0,3
"North East","18-24",38,2020-09-14,3,62
"North East","18-24",39,2020-09-21,3,156
"North East","18-24",40,2020-09-28,3,86
"North East","18-24",41,2020-10-05,0,8
"North East","25-34",38,2020-09-14,3,112
"North East","25-34",39,2020-09-21,3,303
"North East","25-34",40,2020-09-28,1,182
"North East","25-34",41,2020-10-05,0,17
"North East","45-54",38,2020-09-14,5,152
"North East","45-54",39,2020-09-21,5,570
"North East","45-54",40,2020-09-28,4,321
"North East","45-54",41,2020-10-05,0,16
"North East","55-64",38,2020-09-14,3,187
"North East","55-64",39,2020-09-21,0,725
"North East","55-64",40,2020-09-28,2,379
"North East","55-64",41,2020-10-05,0,21
"North East","65+",38,2020-09-14,1,309
"North East","65+",39,2020-09-21,2,1051
"North East","65+",40,2020-09-28,2,389
"North East","65+",41,2020-10-05,1,22
"North West","35-44",38,2020-09-14,4,310
"North West","35-44",39,2020-09-21,17,1313
"North West","35-44",40,2020-09-28,13,758
"North West","35-44",41,2020-10-05,1,34
"North West","5-12",38,2020-09-14,1,254
"North West","5-12",39,2020-09-21,5,780
"North West","5-12",40,2020-09-28,4,357
"North West","5-12",41,2020-10-05,0,10
"North West","13-17",38,2020-09-14,1,261
"North West","13-17",39,2020-09-21,7,642
"North West","13-17",40,2020-09-28,3,223
"North West","13-17",41,2020-10-05,0,8
"North West","18-24",38,2020-09-14,3,130
"North West","18-24",39,2020-09-21,13,396
"North West","18-24",40,2020-09-28,9,220
"North West","18-24",41,2020-10-05,0,21
"North West","25-34",38,2020-09-14,5,243
"North West","25-34",39,2020-09-21,15,869
"North West","25-34",40,2020-09-28,2,498
"North West","25-34",41,2020-10-05,1,31
"North West","45-54",38,2020-09-14,2,401
"North West","45-54",39,2020-09-21,17,1678
"North West","45-54",40,2020-09-28,10,992
"North West","45-54",41,2020-10-05,2,53
"North West","55-64",38,2020-09-14,1,451
"North West","55-64",39,2020-09-21,22,2059
"North West","55-64",40,2020-09-28,12,1087
"North West","55-64",41,2020-10-05,0,61
"North West","65+",38,2020-09-14,3,748
"North West","65+",39,2020-09-21,15,3072
"North West","65+",40,2020-09-28,7,1123
"North West","65+",41,2020-10-05,0,34
"Yorkshire and The Humber","35-44",38,2020-09-14,0,212
"Yorkshire and The Humber","35-44",39,2020-09-21,1,715
"Yorkshire and The Humber","35-44",40,2020-09-28,4,426
"Yorkshire and The Humber","35-44",41,2020-10-05,1,25
"Yorkshire and The Humber","5-12",38,2020-09-14,1,152
"Yorkshire and The Humber","5-12",39,2020-09-21,3,437
"Yorkshire and The Humber","5-12",40,2020-09-28,0,219
"Yorkshire and The Humber","5-12",41,2020-10-05,0,9
"Yorkshire and The Humber","13-17",38,2020-09-14,0,161
"Yorkshire and The Humber","13-17",39,2020-09-21,3,381
