"region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"South East","35-44",78,2021-06-21,1,98
"South East","35-44",79,2021-06-28,3,764
"South East","5-12",78,2021-06-21,1,85
"South East","5-12",79,2021-06-28,3,475
"South East","13-17",78,2021-06-21,0,110
"South East","13-17",79,2021-06-28,1,458
"South East","18-24",78,2021-06-21,0,50
"South East","18-24",79,2021-06-28,1,209
"South East","25-34",78,2021-06-21,0,71
"South East","25-34",79,2021-06-28,2,471
"South East","45-54",78,2021-06-21,1,165
"South East","45-54",79,2021-06-28,5,1136
"South East","55-64",78,2021-06-21,1,208
"South East","55-64",79,2021-06-28,7,1387
"South East","65+",78,2021-06-21,0,407
"South East","65+",79,2021-06-28,2,2426
"North East","35-44",78,2021-06-21,0,36
"North East","35-44",79,2021-06-28,0,171
"North East","5-12",78,2021-06-21,0,33
"North East","5-12",79,2021-06-28,0,107
"North East","13-17",78,2021-06-21,0,29
"North East","13-17",79,2021-06-28,3,98
"North East","18-24",78,2021-06-21,0,16
"North East","18-24",79,2021-06-28,2,68
"North East","25-34",78,2021-06-21,0,22
"North East","25-34",79,2021-06-28,0,119
"North East","45-54",78,2021-06-21,0,40
"North East","45-54",79,2021-06-28,1,253
"North East","55-64",78,2021-06-21,1,75
"North East","55-64",79,2021-06-28,2,411
"North East","65+",78,2021-06-21,0,127
"North East","65+",79,2021-06-28,4,742
"North West","35-44",78,2021-06-21,0,87
"North West","35-44",79,2021-06-28,4,541
"North West","5-12",78,2021-06-21,2,65
"North West","5-12",79,2021-06-28,2,303
"North West","13-17",78,2021-06-21,2,110
"North West","13-17",79,2021-06-28,10,283
"North West","18-24",78,2021-06-21,0,47
"North West","18-24",79,2021-06-28,2,155
"North West","25-34",78,2021-06-21,0,70
"North West","25-34",79,2021-06-28,1,360
"North West","45-54",78,2021-06-21,1,117
"North West","45-54",79,2021-06-28,6,752
"North West","55-64",78,2021-06-21,0,154
"North West","55-64",79,2021-06-28,3,973
"North West","65+",78,2021-06-21,1,309
"North West","65+",79,2021-06-28,5,1742
"Yorkshire and The Humber","35-44",78,2021-06-21,0,81
"Yorkshire and The Humber","35-44",79,2021-06-28,1,470
"Yorkshire and The Humber","5-12",78,2021-06-21,1,47
"Yorkshire and The Humber","5-12",79,2021-06-28,2,243
"Yorkshire and The Humber","13-17",78,2021-06-21,1,76
"Yorkshire and The Humber","13-17",79,2021-06-28,5,249
"Yorkshire and The Humber","18-24",78,2021-06-21,0,35
"Yorkshire and The Humber","18-24",79,2021-06-28,4,130
"Yorkshire and The Humber","25-34",78,2021-06-21,0,63
"Yorkshire and The Humber","25-34",79,2021-06-28,4,288
"Yorkshire and The Humber","45-54",78,2021-06-21,1,101
"Yorkshire and The Humber","45-54",79,2021-06-28,2,577
"Yorkshire and The Humber","55-64",78,2021-06-21,0,145
"Yorkshire and The Humber","55-64",79,2021-06-28,4,772
"Yorkshire and The Humber","65+",78,2021-06-21,0,225
"Yorkshire and The Humber","65+",79,2021-06-28,6,1439
"East Midlands","35-44",78,2021-06-21,1,56
"East Midlands","35-44",79,2021-06-28,2,359
"East Midlands","5-12",78,2021-06-21,1,50
"East Midlands","5-12",79,2021-06-28,2,217
"East Midlands","13-17",78,2021-06-21,0,73
"East Midlands","13-17",79,2021-06-28,3,200
"East Midlands","18-24",78,2021-06-21,0,38
"East Midlands","18-24",79,2021-06-28,3,125
"East Midlands","25-34",78,2021-06-21,0,51
"East Midlands","25-34",79,2021-06-28,0,239
"East Midlands","45-54",78,2021-06-21,1,80
"East Midlands","45-54",79,2021-06-28,4,528
"East Midlands","55-64",78,2021-06-21,1,118
"East Midlands","55-64",79,2021-06-28,0,662
"East Midlands","65+",78,2021-06-21,0,227
"East Midlands","65+",79,2021-06-28,1,1283
"West Midlands","35-44",78,2021-06-21,1,70
"West Midlands","35-44",79,2021-06-28,0,412
"West Midlands","5-12",78,2021-06-21,0,45
"West Midlands","5-12",79,2021-06-28,4,236
"West Midlands","13-17",78,2021-06-21,0,81
"West Midlands","13-17",79,2021-06-28,6,239
"West Midlands","18-24",78,2021-06-21,2,54
"West Midlands","18-24",79,2021-06-28,1,142
"West Midlands","25-34",78,2021-06-21,0,50
"West Midlands","25-34",79,2021-06-28,1,300
"West Midlands","45-54",78,2021-06-21,0,97
"West Midlands","45-54",79,2021-06-28,1,625
"West Midlands","55-64",78,2021-06-21,1,145
"West Midlands","55-64",79,2021-06-28,2,763
"West Midlands","65+",78,2021-06-21,0,232
"West Midlands","65+",79,2021-06-28,0,1401
"East of England","35-44",78,2021-06-21,0,78
"East of England","35-44",79,2021-06-28,3,488
"East of England","5-12",78,2021-06-21,0,61
"East of England","5-12",79,2021-06-28,3,354
"East of England","13-17",78,2021-06-21,2,90
"East of England","13-17",79,2021-06-28,3,293
"East of England","18-24",78,2021-06-21,0,45
"East of England","18-24",79,2021-06-28,1,155
"East of England","25-34",78,2021-06-21,0,50
"East of England","25-34",79,2021-06-28,5,321
"East of England","45-54",78,2021-06-21,0,133
"East of England","45-54",79,2021-06-28,1,691
"East of England","55-64",78,2021-06-21,0,134
"East of England","55-64",79,2021-06-28,1,844
"East of England","65+",78,2021-06-21,1,244
"East of England","65+",79,2021-06-28,2,1595
"London","35-44",78,2021-06-21,0,111
"London","35-44",79,2021-06-28,14,920
"London","5-12",78,2021-06-21,1,60
"London","5-12",79,2021-06-28,7,457
"London","13-17",78,2021-06-21,5,122
"London","13-17",79,2021-06-28,2,339
"London","18-24",78,2021-06-21,0,49
"London","18-24",79,2021-06-28,6,223
"London","25-34",78,2021-06-21,0,94
"London","25-34",79,2021-06-28,5,733
"London","45-54",78,2021-06-21,1,125
"London","45-54",79,2021-06-28,6,917
"London","55-64",78,2021-06-21,0,136
"London","55-64",79,2021-06-28,2,882
"London","65+",78,2021-06-21,0,159
"London","65+",79,2021-06-28,10,1273
"South West","35-44",78,2021-06-21,0,73
"South West","35-44",79,2021-06-28,1,445
"South West","5-12",78,2021-06-21,0,64
"South West","5-12",79,2021-06-28,1,280
"South West","13-17",78,2021-06-21,0,60
"South West","13-17",79,2021-06-28,2,277
"South West","18-24",78,2021-06-21,0,34
"South West","18-24",79,2021-06-28,2,126
"South West","25-34",78,2021-06-21,0,38
"South West","25-34",79,2021-06-28,3,303
"South West","45-54",78,2021-06-21,0,100
"South West","45-54",79,2021-06-28,5,699
"South West","55-64",78,2021-06-21,0,112
"South West","55-64",79,2021-06-28,1,905
"South West","65+",78,2021-06-21,0,272
"South West","65+",79,2021-06-28,2,1673
