"region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"South East","35-44",79,2021-06-28,1,121
"South East","35-44",80,2021-07-05,2,918
"South East","35-44",81,2021-07-12,2,106
"South East","5-12",79,2021-06-28,0,100
"South East","5-12",80,2021-07-05,1,532
"South East","5-12",81,2021-07-12,1,58
"South East","13-17",79,2021-06-28,0,58
"South East","13-17",80,2021-07-05,3,309
"South East","13-17",81,2021-07-12,0,36
"South East","18-24",79,2021-06-28,2,32
"South East","18-24",80,2021-07-05,3,189
"South East","18-24",81,2021-07-12,0,19
"South East","25-34",79,2021-06-28,0,68
"South East","25-34",80,2021-07-05,3,510
"South East","25-34",81,2021-07-12,0,73
"South East","45-54",79,2021-06-28,2,170
"South East","45-54",80,2021-07-05,4,1296
"South East","45-54",81,2021-07-12,1,151
"South East","55-64",79,2021-06-28,0,226
"South East","55-64",80,2021-07-05,3,1442
"South East","55-64",81,2021-07-12,0,146
"South East","65+",79,2021-06-28,0,277
"South East","65+",80,2021-07-05,5,1918
"South East","65+",81,2021-07-12,0,118
"North East","35-44",79,2021-06-28,0,41
"North East","35-44",80,2021-07-05,0,194
"North East","35-44",81,2021-07-12,0,18
"North East","5-12",79,2021-06-28,0,23
"North East","5-12",80,2021-07-05,2,97
"North East","5-12",81,2021-07-12,1,8
"North East","13-17",79,2021-06-28,0,13
"North East","13-17",80,2021-07-05,3,66
"North East","13-17",81,2021-07-12,0,9
"North East","18-24",79,2021-06-28,0,6
"North East","18-24",80,2021-07-05,1,50
"North East","18-24",81,2021-07-12,0,3
"North East","25-34",79,2021-06-28,1,21
"North East","25-34",80,2021-07-05,2,153
"North East","25-34",81,2021-07-12,0,14
"North East","45-54",79,2021-06-28,0,39
"North East","45-54",80,2021-07-05,3,304
"North East","45-54",81,2021-07-12,0,23
"North East","55-64",79,2021-06-28,0,69
"North East","55-64",80,2021-07-05,1,377
"North East","55-64",81,2021-07-12,0,29
"North East","65+",79,2021-06-28,0,67
"North East","65+",80,2021-07-05,0,486
"North East","65+",81,2021-07-12,0,31
"North West","35-44",79,2021-06-28,0,78
"North West","35-44",80,2021-07-05,6,559
"North West","35-44",81,2021-07-12,2,53
"North West","5-12",79,2021-06-28,1,49
"North West","5-12",80,2021-07-05,3,333
"North West","5-12",81,2021-07-12,0,31
"North West","13-17",79,2021-06-28,0,42
"North West","13-17",80,2021-07-05,4,180
"North West","13-17",81,2021-07-12,0,18
"North West","18-24",79,2021-06-28,1,11
"North West","18-24",80,2021-07-05,3,127
"North West","18-24",81,2021-07-12,0,13
"North West","25-34",79,2021-06-28,0,40
"North West","25-34",80,2021-07-05,3,364
"North West","25-34",81,2021-07-12,1,43
"North West","45-54",79,2021-06-28,0,110
"North West","45-54",80,2021-07-05,4,815
"North West","45-54",81,2021-07-12,1,76
"North West","55-64",79,2021-06-28,0,150
"North West","55-64",80,2021-07-05,6,994
"North West","55-64",81,2021-07-12,1,100
"North West","65+",79,2021-06-28,2,181
"North West","65+",80,2021-07-05,4,1303
"North West","65+",81,2021-07-12,0,64
"Yorkshire and The Humber","35-44",79,2021-06-28,1,59
"Yorkshire and The Humber","35-44",80,2021-07-05,5,483
"Yorkshire and The Humber","35-44",81,2021-07-12,2,55
"Yorkshire and The Humber","5-12",79,2021-06-28,1,58
"Yorkshire and The Humber","5-12",80,2021-07-05,6,254
"Yorkshire and The Humber","5-12",81,2021-07-12,1,28
"Yorkshire and The Humber","13-17",79,2021-06-28,1,31
"Yorkshire and The Humber","13-17",80,2021-07-05,7,164
"Yorkshire and The Humber","13-17",81,2021-07-12,2,11
"Yorkshire and The Humber","18-24",79,2021-06-28,0,10
"Yorkshire and The Humber","18-24",80,2021-07-05,1,95
"Yorkshire and The Humber","18-24",81,2021-07-12,0,9
"Yorkshire and The Humber","25-34",79,2021-06-28,0,42
"Yorkshire and The Humber","25-34",80,2021-07-05,4,256
"Yorkshire and The Humber","25-34",81,2021-07-12,0,36
"Yorkshire and The Humber","45-54",79,2021-06-28,0,109
"Yorkshire and The Humber","45-54",80,2021-07-05,1,655
"Yorkshire and The Humber","45-54",81,2021-07-12,0,61
"Yorkshire and The Humber","55-64",79,2021-06-28,0,124
"Yorkshire and The Humber","55-64",80,2021-07-05,3,786
"Yorkshire and The Humber","55-64",81,2021-07-12,0,63
"Yorkshire and The Humber","65+",79,2021-06-28,1,135
"Yorkshire and The Humber","65+",80,2021-07-05,3,1031
"Yorkshire and The Humber","65+",81,2021-07-12,0,49
"East Midlands","35-44",79,2021-06-28,0,44
"East Midlands","35-44",80,2021-07-05,1,388
"East Midlands","35-44",81,2021-07-12,1,44
"East Midlands","5-12",79,2021-06-28,1,25
"East Midlands","5-12",80,2021-07-05,3,244
"East Midlands","5-12",81,2021-07-12,0,26
"East Midlands","13-17",79,2021-06-28,0,24
"East Midlands","13-17",80,2021-07-05,4,124
"East Midlands","13-17",81,2021-07-12,0,12
"East Midlands","18-24",79,2021-06-28,0,17
"East Midlands","18-24",80,2021-07-05,4,96
"East Midlands","18-24",81,2021-07-12,1,7
"East Midlands","25-34",79,2021-06-28,0,29
"East Midlands","25-34",80,2021-07-05,2,252
"East Midlands","25-34",81,2021-07-12,0,25
"East Midlands","45-54",79,2021-06-28,0,101
"East Midlands","45-54",80,2021-07-05,4,549
"East Midlands","45-54",81,2021-07-12,0,45
"East Midlands","55-64",79,2021-06-28,0,97
"East Midlands","55-64",80,2021-07-05,4,754
"East Midlands","55-64",81,2021-07-12,1,47
"East Midlands","65+",79,2021-06-28,0,126
"East Midlands","65+",80,2021-07-05,2,958
"East Midlands","65+",81,2021-07-12,0,69
"West Midlands","35-44",79,2021-06-28,0,78
"West Midlands","35-44",80,2021-07-05,3,484
"West Midlands","35-44",81,2021-07-12,0,55
"West Midlands","5-12",79,2021-06-28,1,59
"West Midlands","5-12",80,2021-07-05,6,286
"West Midlands","5-12",81,2021-07-12,0,28
"West Midlands","13-17",79,2021-06-28,1,42
"West Midlands","13-17",80,2021-07-05,3,159
"West Midlands","13-17",81,2021-07-12,0,17
"West Midlands","18-24",79,2021-06-28,0,25
"West Midlands","18-24",80,2021-07-05,1,115
"West Midlands","18-24",81,2021-07-12,0,17
"West Midlands","25-34",79,2021-06-28,0,41
"West Midlands","25-34",80,2021-07-05,1,301
"West Midlands","25-34",81,2021-07-12,0,34
"West Midlands","45-54",79,2021-06-28,0,112
"West Midlands","45-54",80,2021-07-05,3,627
"West Midlands","45-54",81,2021-07-12,0,63
"West Midlands","55-64",79,2021-06-28,0,140
"West Midlands","55-64",80,2021-07-05,3,849
"West Midlands","55-64",81,2021-07-12,2,72
"West Midlands","65+",79,2021-06-28,2,155
"West Midlands","65+",80,2021-07-05,4,1112
"West Midlands","65+",81,2021-07-12,0,66
"East of England","35-44",79,2021-06-28,1,71
"East of England","35-44",80,2021-07-05,3,570
"East of England","35-44",81,2021-07-12,0,62
"East of England","5-12",79,2021-06-28,0,52
"East of England","5-12",80,2021-07-05,2,340
"East of England","5-12",81,2021-07-12,1,37
"East of England","13-17",79,2021-06-28,0,39
"East of England","13-17",80,2021-07-05,0,224
"East of England","13-17",81,2021-07-12,0,24
"East of England","18-24",79,2021-06-28,0,15
"East of England","18-24",80,2021-07-05,0,116
"East of England","18-24",81,2021-07-12,0,16
"East of England","25-34",79,2021-06-28,1,32
"East of England","25-34",80,2021-07-05,1,328
"East of England","25-34",81,2021-07-12,0,42
"East of England","45-54",79,2021-06-28,0,94
"East of England","45-54",80,2021-07-05,4,839
"East of England","45-54",81,2021-07-12,0,87
"East of England","55-64",79,2021-06-28,1,135
"East of England","55-64",80,2021-07-05,1,933
"East of England","55-64",81,2021-07-12,0,103
"East of England","65+",79,2021-06-28,0,158
"East of England","65+",80,2021-07-05,3,1246
"East of England","65+",81,2021-07-12,2,60
"London","35-44",79,2021-06-28,2,110
"London","35-44",80,2021-07-05,5,1128
"London","35-44",81,2021-07-12,3,158
"London","5-12",79,2021-06-28,1,80
"London","5-12",80,2021-07-05,6,593
"London","5-12",81,2021-07-12,1,67
"London","13-17",79,2021-06-28,0,58
"London","13-17",80,2021-07-05,8,300
"London","13-17",81,2021-07-12,0,20
"London","18-24",79,2021-06-28,0,28
"London","18-24",80,2021-07-05,4,217
"London","18-24",81,2021-07-12,0,25
"London","25-34",79,2021-06-28,1,89
"London","25-34",80,2021-07-05,7,884
"London","25-34",81,2021-07-12,2,129
"London","45-54",79,2021-06-28,1,144
"London","45-54",80,2021-07-05,6,1137
"London","45-54",81,2021-07-12,0,103
"London","55-64",79,2021-06-28,1,139
"London","55-64",80,2021-07-05,3,975
"London","55-64",81,2021-07-12,0,102
"London","65+",79,2021-06-28,0,128
"London","65+",80,2021-07-05,1,1141
"London","65+",81,2021-07-12,0,96
"South West","35-44",79,2021-06-28,0,62
"South West","35-44",80,2021-07-05,2,565
"South West","35-44",81,2021-07-12,0,67
"South West","5-12",79,2021-06-28,0,40
"South West","5-12",80,2021-07-05,1,306
"South West","5-12",81,2021-07-12,0,26
"South West","13-17",79,2021-06-28,0,36
"South West","13-17",80,2021-07-05,5,189
"South West","13-17",81,2021-07-12,0,21
"South West","18-24",79,2021-06-28,0,10
"South West","18-24",80,2021-07-05,2,120
"South West","18-24",81,2021-07-12,0,19
"South West","25-34",79,2021-06-28,0,33
"South West","25-34",80,2021-07-05,4,312
"South West","25-34",81,2021-07-12,0,47
"South West","45-54",79,2021-06-28,0,88
"South West","45-54",80,2021-07-05,4,728
"South West","45-54",81,2021-07-12,0,75
"South West","55-64",79,2021-06-28,0,98
"South West","55-64",80,2021-07-05,3,905
"South West","55-64",81,2021-07-12,0,87
"South West","65+",79,2021-06-28,1,135
"South West","65+",80,2021-07-05,0,1327
"South West","65+",81,2021-07-12,0,94
