"region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"South East","35-44",58,2021-02-01,1,418
"South East","35-44",59,2021-02-08,5,1707
"South East","5-12",58,2021-02-01,4,293
"South East","5-12",59,2021-02-08,1,1212
"South East","13-17",58,2021-02-01,1,363
"South East","13-17",59,2021-02-08,3,1086
"South East","18-24",58,2021-02-01,0,166
"South East","18-24",59,2021-02-08,2,572
"South East","25-34",58,2021-02-01,1,276
"South East","25-34",59,2021-02-08,4,1011
"South East","45-54",58,2021-02-01,1,568
"South East","45-54",59,2021-02-08,8,2407
"South East","55-64",58,2021-02-01,3,707
"South East","55-64",59,2021-02-08,7,2964
"South East","(64,101]",58,2021-02-01,3,1141
"South East","(64,101]",59,2021-02-08,11,4227
"North East","35-44",58,2021-02-01,1,62
"North East","35-44",59,2021-02-08,2,258
"North East","5-12",58,2021-02-01,1,54
"North East","5-12",59,2021-02-08,3,140
"North East","13-17",58,2021-02-01,1,46
"North East","13-17",59,2021-02-08,5,145
"North East","18-24",58,2021-02-01,0,33
"North East","18-24",59,2021-02-08,1,90
"North East","25-34",58,2021-02-01,0,64
"North East","25-34",59,2021-02-08,0,190
"North East","45-54",58,2021-02-01,2,90
"North East","45-54",59,2021-02-08,1,337
"North East","55-64",58,2021-02-01,1,114
"North East","55-64",59,2021-02-08,5,459
"North East","(64,101]",58,2021-02-01,1,184
"North East","(64,101]",59,2021-02-08,2,700
"North West","35-44",58,2021-02-01,3,194
"North West","35-44",59,2021-02-08,4,853
"North West","5-12",58,2021-02-01,5,158
"North West","5-12",59,2021-02-08,10,533
"North West","13-17",58,2021-02-01,3,185
"North West","13-17",59,2021-02-08,4,567
"North West","18-24",58,2021-02-01,1,99
"North West","18-24",59,2021-02-08,2,295
"North West","25-34",58,2021-02-01,4,178
"North West","25-34",59,2021-02-08,7,568
"North West","45-54",58,2021-02-01,4,304
"North West","45-54",59,2021-02-08,2,1215
"North West","55-64",58,2021-02-01,4,401
"North West","55-64",59,2021-02-08,11,1729
"North West","(64,101]",58,2021-02-01,4,611
"North West","(64,101]",59,2021-02-08,8,2513
"Yorkshire and The Humber","35-44",58,2021-02-01,1,130
"Yorkshire and The Humber","35-44",59,2021-02-08,0,468
"Yorkshire and The Humber","5-12",58,2021-02-01,0,96
"Yorkshire and The Humber","5-12",59,2021-02-08,3,345
"Yorkshire and The Humber","13-17",58,2021-02-01,0,79
"Yorkshire and The Humber","13-17",59,2021-02-08,1,319
"Yorkshire and The Humber","18-24",58,2021-02-01,1,54
"Yorkshire and The Humber","18-24",59,2021-02-08,1,172
"Yorkshire and The Humber","25-34",58,2021-02-01,0,88
"Yorkshire and The Humber","25-34",59,2021-02-08,2,316
"Yorkshire and The Humber","45-54",58,2021-02-01,1,164
"Yorkshire and The Humber","45-54",59,2021-02-08,7,691
"Yorkshire and The Humber","55-64",58,2021-02-01,1,228
"Yorkshire and The Humber","55-64",59,2021-02-08,2,993
"Yorkshire and The Humber","(64,101]",58,2021-02-01,3,373
"Yorkshire and The Humber","(64,101]",59,2021-02-08,4,1442
"East Midlands","35-44",58,2021-02-01,3,282
"East Midlands","35-44",59,2021-02-08,7,912
"East Midlands","5-12",58,2021-02-01,2,195
"East Midlands","5-12",59,2021-02-08,6,711
"East Midlands","13-17",58,2021-02-01,2,207
"East Midlands","13-17",59,2021-02-08,2,605
"East Midlands","18-24",58,2021-02-01,0,117
"East Midlands","18-24",59,2021-02-08,4,308
"East Midlands","25-34",58,2021-02-01,2,210
"East Midlands","25-34",59,2021-02-08,4,687
"East Midlands","45-54",58,2021-02-01,0,316
"East Midlands","45-54",59,2021-02-08,10,1384
"East Midlands","55-64",58,2021-02-01,4,490
"East Midlands","55-64",59,2021-02-08,8,1912
"East Midlands","(64,101]",58,2021-02-01,1,708
"East Midlands","(64,101]",59,2021-02-08,3,2722
"West Midlands","35-44",58,2021-02-01,0,173
"West Midlands","35-44",59,2021-02-08,4,694
"West Midlands","5-12",58,2021-02-01,0,130
"West Midlands","5-12",59,2021-02-08,3,453
"West Midlands","13-17",58,2021-02-01,0,138
"West Midlands","13-17",59,2021-02-08,2,462
"West Midlands","18-24",58,2021-02-01,0,108
"West Midlands","18-24",59,2021-02-08,3,237
"West Midlands","25-34",58,2021-02-01,0,154
"West Midlands","25-34",59,2021-02-08,2,469
"West Midlands","45-54",58,2021-02-01,3,244
"West Midlands","45-54",59,2021-02-08,3,968
"West Midlands","55-64",58,2021-02-01,2,309
"West Midlands","55-64",59,2021-02-08,5,1334
"West Midlands","(64,101]",58,2021-02-01,1,453
"West Midlands","(64,101]",59,2021-02-08,3,1895
"East of England","35-44",58,2021-02-01,0,271
"East of England","35-44",59,2021-02-08,3,1071
"East of England","5-12",58,2021-02-01,0,211
"East of England","5-12",59,2021-02-08,5,707
"East of England","13-17",58,2021-02-01,3,212
"East of England","13-17",59,2021-02-08,1,643
"East of England","18-24",58,2021-02-01,1,145
"East of England","18-24",59,2021-02-08,6,328
"East of England","25-34",58,2021-02-01,1,230
"East of England","25-34",59,2021-02-08,2,685
"East of England","45-54",58,2021-02-01,1,370
"East of England","45-54",59,2021-02-08,8,1365
"East of England","55-64",58,2021-02-01,5,524
"East of England","55-64",59,2021-02-08,5,1662
"East of England","(64,101]",58,2021-02-01,0,653
"East of England","(64,101]",59,2021-02-08,6,2535
"London","35-44",58,2021-02-01,1,178
"London","35-44",59,2021-02-08,6,935
"London","5-12",58,2021-02-01,0,81
"London","5-12",59,2021-02-08,2,507
"London","13-17",58,2021-02-01,0,101
"London","13-17",59,2021-02-08,1,395
"London","18-24",58,2021-02-01,0,55
"London","18-24",59,2021-02-08,1,252
"London","25-34",58,2021-02-01,1,120
"London","25-34",59,2021-02-08,4,844
"London","45-54",58,2021-02-01,2,191
"London","45-54",59,2021-02-08,3,871
"London","55-64",58,2021-02-01,3,171
"London","55-64",59,2021-02-08,6,840
"London","(64,101]",58,2021-02-01,2,212
"London","(64,101]",59,2021-02-08,4,1000
"South West","35-44",58,2021-02-01,1,175
"South West","35-44",59,2021-02-08,0,672
"South West","5-12",58,2021-02-01,2,135
"South West","5-12",59,2021-02-08,0,487
"South West","13-17",58,2021-02-01,0,117
"South West","13-17",59,2021-02-08,1,435
"South West","18-24",58,2021-02-01,0,92
"South West","18-24",59,2021-02-08,0,216
"South West","25-34",58,2021-02-01,0,152
"South West","25-34",59,2021-02-08,1,437
"South West","45-54",58,2021-02-01,2,224
"South West","45-54",59,2021-02-08,3,989
"South West","55-64",58,2021-02-01,2,362
"South West","55-64",59,2021-02-08,4,1370
"South West","(64,101]",58,2021-02-01,1,593
"South West","(64,101]",59,2021-02-08,5,2182
