"region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"South East","35-44",42,2020-10-12,3,541
"South East","35-44",43,2020-10-19,19,2484
"South East","35-44",44,2020-10-26,11,1491
"South East","35-44",45,2020-11-02,2,228
"South East","5-12",42,2020-10-12,2,372
"South East","5-12",43,2020-10-19,6,1421
"South East","5-12",44,2020-10-26,4,818
"South East","5-12",45,2020-11-02,1,110
"South East","13-17",42,2020-10-12,5,417
"South East","13-17",43,2020-10-19,7,1078
"South East","13-17",44,2020-10-26,6,427
"South East","13-17",45,2020-11-02,1,43
"South East","18-24",42,2020-10-12,2,182
"South East","18-24",43,2020-10-19,9,706
"South East","18-24",44,2020-10-26,6,426
"South East","18-24",45,2020-11-02,1,54
"South East","25-34",42,2020-10-12,3,420
"South East","25-34",43,2020-10-19,16,1532
"South East","25-34",44,2020-10-26,8,1042
"South East","25-34",45,2020-11-02,5,130
"South East","45-54",42,2020-10-12,2,731
"South East","45-54",43,2020-10-19,25,3337
"South East","45-54",44,2020-10-26,11,1913
"South East","45-54",45,2020-11-02,3,210
"South East","55-64",42,2020-10-12,4,838
"South East","55-64",43,2020-10-19,28,3668
"South East","55-64",44,2020-10-26,11,1926
"South East","55-64",45,2020-11-02,1,164
"South East","65+",42,2020-10-12,2,1438
"South East","65+",43,2020-10-19,27,5737
"South East","65+",44,2020-10-26,11,1963
"South East","65+",45,2020-11-02,2,144
"North East","35-44",42,2020-10-12,1,110
"North East","35-44",43,2020-10-19,3,378
"North East","35-44",44,2020-10-26,3,193
"North East","35-44",45,2020-11-02,0,28
"North East","5-12",42,2020-10-12,0,69
"North East","5-12",43,2020-10-19,6,199
"North East","5-12",44,2020-10-26,3,102
"North East","5-12",45,2020-11-02,0,16
"North East","13-17",42,2020-10-12,2,76
"North East","13-17",43,2020-10-19,2,160
"North East","13-17",44,2020-10-26,0,49
"North East","13-17",45,2020-11-02,NA,2
"North East","18-24",42,2020-10-12,1,43
"North East","18-24",43,2020-10-19,2,115
"North East","18-24",44,2020-10-26,4,61
"North East","18-24",45,2020-11-02,0,6
"North East","25-34",42,2020-10-12,0,76
"North East","25-34",43,2020-10-19,5,293
"North East","25-34",44,2020-10-26,2,154
"North East","25-34",45,2020-11-02,0,13
"North East","45-54",42,2020-10-12,2,156
"North East","45-54",43,2020-10-19,9,475
"North East","45-54",44,2020-10-26,3,276
"North East","45-54",45,2020-11-02,1,36
"North East","55-64",42,2020-10-12,0,170
"North East","55-64",43,2020-10-19,9,679
"North East","55-64",44,2020-10-26,5,309
"North East","55-64",45,2020-11-02,2,26
"North East","65+",42,2020-10-12,8,285
"North East","65+",43,2020-10-19,10,948
"North East","65+",44,2020-10-26,5,308
"North East","65+",45,2020-11-02,0,20
"North West","35-44",42,2020-10-12,5,318
"North West","35-44",43,2020-10-19,21,1082
"North West","35-44",44,2020-10-26,12,648
"North West","35-44",45,2020-11-02,0,66
"North West","5-12",42,2020-10-12,7,191
"North West","5-12",43,2020-10-19,8,576
"North West","5-12",44,2020-10-26,4,302
"North West","5-12",45,2020-11-02,2,26
"North West","13-17",42,2020-10-12,6,247
"North West","13-17",43,2020-10-19,12,457
"North West","13-17",44,2020-10-26,8,219
"North West","13-17",45,2020-11-02,0,11
"North West","18-24",42,2020-10-12,6,136
"North West","18-24",43,2020-10-19,10,350
"North West","18-24",44,2020-10-26,9,209
"North West","18-24",45,2020-11-02,1,16
"North West","25-34",42,2020-10-12,5,260
"North West","25-34",43,2020-10-19,28,769
"North West","25-34",44,2020-10-26,16,454
"North West","25-34",45,2020-11-02,2,51
"North West","45-54",42,2020-10-12,9,414
"North West","45-54",43,2020-10-19,30,1536
"North West","45-54",44,2020-10-26,20,953
"North West","45-54",45,2020-11-02,3,100
"North West","55-64",42,2020-10-12,7,559
"North West","55-64",43,2020-10-19,50,1960
"North West","55-64",44,2020-10-26,8,944
"North West","55-64",45,2020-11-02,2,64
"North West","65+",42,2020-10-12,7,893
"North West","65+",43,2020-10-19,50,2902
"North West","65+",44,2020-10-26,24,1053
"North West","65+",45,2020-11-02,0,62
"Yorkshire and The Humber","35-44",42,2020-10-12,7,223
"Yorkshire and The Humber","35-44",43,2020-10-19,14,656
"Yorkshire and The Humber","35-44",44,2020-10-26,6,362
"Yorkshire and The Humber","35-44",45,2020-11-02,1,42
"Yorkshire and The Humber","5-12",42,2020-10-12,2,129
"Yorkshire and The Humber","5-12",43,2020-10-19,10,333
"Yorkshire and The Humber","5-12",44,2020-10-26,5,197
"Yorkshire and The Humber","5-12",45,2020-11-02,0,16
"Yorkshire and The Humber","13-17",42,2020-10-12,1,142
"Yorkshire and The Humber","13-17",43,2020-10-19,6,300
"Yorkshire and The Humber","13-17",44,2020-10-26,3,106
"Yorkshire and The Humber","13-17",45,2020-11-02,0,8
"Yorkshire and The Humber","18-24",42,2020-10-12,2,82
"Yorkshire and The Humber","18-24",43,2020-10-19,2,175
"Yorkshire and The Humber","18-24",44,2020-10-26,4,113
"Yorkshire and The Humber","18-24",45,2020-11-02,0,5
"Yorkshire and The Humber","25-34",42,2020-10-12,4,139
"Yorkshire and The Humber","25-34",43,2020-10-19,10,490
"Yorkshire and The Humber","25-34",44,2020-10-26,1,290
"Yorkshire and The Humber","25-34",45,2020-11-02,0,28
"Yorkshire and The Humber","45-54",42,2020-10-12,4,287
"Yorkshire and The Humber","45-54",43,2020-10-19,25,905
"Yorkshire and The Humber","45-54",44,2020-10-26,7,543
"Yorkshire and The Humber","45-54",45,2020-11-02,2,50
"Yorkshire and The Humber","55-64",42,2020-10-12,8,367
"Yorkshire and The Humber","55-64",43,2020-10-19,19,1208
"Yorkshire and The Humber","55-64",44,2020-10-26,9,550
"Yorkshire and The Humber","55-64",45,2020-11-02,0,32
"Yorkshire and The Humber","65+",42,2020-10-12,8,566
"Yorkshire and The Humber","65+",43,2020-10-19,18,1722
"Yorkshire and The Humber","65+",44,2020-10-26,9,592
"Yorkshire and The Humber","65+",45,2020-11-02,1,30
"East Midlands","35-44",42,2020-10-12,4,426
"East Midlands","35-44",43,2020-10-19,16,1248
"East Midlands","35-44",44,2020-10-26,10,763
"East Midlands","35-44",45,2020-11-02,1,75
"East Midlands","5-12",42,2020-10-12,2,243
"East Midlands","5-12",43,2020-10-19,4,742
"East Midlands","5-12",44,2020-10-26,2,417
"East Midlands","5-12",45,2020-11-02,0,44
"East Midlands","13-17",42,2020-10-12,4,257
"East Midlands","13-17",43,2020-10-19,8,592
"East Midlands","13-17",44,2020-10-26,3,262
"East Midlands","13-17",45,2020-11-02,1,19
"East Midlands","18-24",42,2020-10-12,3,146
"East Midlands","18-24",43,2020-10-19,10,410
"East Midlands","18-24",44,2020-10-26,2,223
"East Midlands","18-24",45,2020-11-02,0,34
"East Midlands","25-34",42,2020-10-12,6,294
"East Midlands","25-34",43,2020-10-19,14,864
"East Midlands","25-34",44,2020-10-26,8,560
"East Midlands","25-34",45,2020-11-02,2,61
"East Midlands","45-54",42,2020-10-12,8,500
"East Midlands","45-54",43,2020-10-19,27,1749
"East Midlands","45-54",44,2020-10-26,8,994
"East Midlands","45-54",45,2020-11-02,2,91
"East Midlands","55-64",42,2020-10-12,7,600
"East Midlands","55-64",43,2020-10-19,22,2166
"East Midlands","55-64",44,2020-10-26,14,1030
"East Midlands","55-64",45,2020-11-02,1,82
"East Midlands","65+",42,2020-10-12,4,1018
"East Midlands","65+",43,2020-10-19,30,3275
"East Midlands","65+",44,2020-10-26,10,1122
"East Midlands","65+",45,2020-11-02,0,65
"West Midlands","35-44",42,2020-10-12,1,273
"West Midlands","35-44",43,2020-10-19,9,907
"West Midlands","35-44",44,2020-10-26,8,547
"West Midlands","35-44",45,2020-11-02,0,79
"West Midlands","5-12",42,2020-10-12,1,176
"West Midlands","5-12",43,2020-10-19,7,465
"West Midlands","5-12",44,2020-10-26,1,291
"West Midlands","5-12",45,2020-11-02,0,34
"West Midlands","13-17",42,2020-10-12,3,221
"West Midlands","13-17",43,2020-10-19,11,440
"West Midlands","13-17",44,2020-10-26,6,177
"West Midlands","13-17",45,2020-11-02,1,23
"West Midlands","18-24",42,2020-10-12,3,103
"West Midlands","18-24",43,2020-10-19,6,297
"West Midlands","18-24",44,2020-10-26,3,152
"West Midlands","18-24",45,2020-11-02,0,28
"West Midlands","25-34",42,2020-10-12,2,211
"West Midlands","25-34",43,2020-10-19,9,643
"West Midlands","25-34",44,2020-10-26,4,380
"West Midlands","25-34",45,2020-11-02,2,46
"West Midlands","45-54",42,2020-10-12,2,345
"West Midlands","45-54",43,2020-10-19,20,1282
"West Midlands","45-54",44,2020-10-26,12,786
"West Midlands","45-54",45,2020-11-02,3,98
"West Midlands","55-64",42,2020-10-12,2,386
"West Midlands","55-64",43,2020-10-19,28,1547
"West Midlands","55-64",44,2020-10-26,13,747
"West Midlands","55-64",45,2020-11-02,0,77
"West Midlands","65+",42,2020-10-12,6,676
"West Midlands","65+",43,2020-10-19,23,2420
"West Midlands","65+",44,2020-10-26,8,844
"West Midlands","65+",45,2020-11-02,1,54
"East of England","35-44",42,2020-10-12,3,443
"East of England","35-44",43,2020-10-19,10,1505
"East of England","35-44",44,2020-10-26,6,973
"East of England","35-44",45,2020-11-02,0,114
"East of England","5-12",42,2020-10-12,1,253
"East of England","5-12",43,2020-10-19,10,830
"East of England","5-12",44,2020-10-26,6,556
"East of England","5-12",45,2020-11-02,1,56
"East of England","13-17",42,2020-10-12,2,270
"East of England","13-17",43,2020-10-19,2,650
"East of England","13-17",44,2020-10-26,1,316
"East of England","13-17",45,2020-11-02,0,28
"East of England","18-24",42,2020-10-12,1,145
"East of England","18-24",43,2020-10-19,6,435
"East of England","18-24",44,2020-10-26,1,323
"East of England","18-24",45,2020-11-02,1,35
"East of England","25-34",42,2020-10-12,0,277
"East of England","25-34",43,2020-10-19,6,1040
"East of England","25-34",44,2020-10-26,7,683
"East of England","25-34",45,2020-11-02,1,84
"East of England","45-54",42,2020-10-12,2,523
"East of England","45-54",43,2020-10-19,14,2036
"East of England","45-54",44,2020-10-26,13,1155
"East of England","45-54",45,2020-11-02,0,147
"East of England","55-64",42,2020-10-12,2,578
"East of England","55-64",43,2020-10-19,19,2451
"East of England","55-64",44,2020-10-26,10,1199
"East of England","55-64",45,2020-11-02,1,122
"East of England","65+",42,2020-10-12,3,1046
"East of England","65+",43,2020-10-19,16,3545
"East of England","65+",44,2020-10-26,5,1274
"East of England","65+",45,2020-11-02,0,80
"London","35-44",42,2020-10-12,1,252
"London","35-44",43,2020-10-19,13,1369
"London","35-44",44,2020-10-26,9,1104
"London","35-44",45,2020-11-02,2,168
"London","5-12",42,2020-10-12,0,147
"London","5-12",43,2020-10-19,5,543
"London","5-12",44,2020-10-26,5,426
"London","5-12",45,2020-11-02,0,53
"London","13-17",42,2020-10-12,2,156
"London","13-17",43,2020-10-19,5,407
"London","13-17",44,2020-10-26,2,225
"London","13-17",45,2020-11-02,0,22
"London","18-24",42,2020-10-12,0,93
"London","18-24",43,2020-10-19,9,345
"London","18-24",44,2020-10-26,3,223
"London","18-24",45,2020-11-02,0,32
"London","25-34",42,2020-10-12,2,245
"London","25-34",43,2020-10-19,15,1268
"London","25-34",44,2020-10-26,9,944
"London","25-34",45,2020-11-02,3,141
"London","45-54",42,2020-10-12,0,249
"London","45-54",43,2020-10-19,16,1320
"London","45-54",44,2020-10-26,10,943
"London","45-54",45,2020-11-02,2,129
"London","55-64",42,2020-10-12,3,241
"London","55-64",43,2020-10-19,9,1165
"London","55-64",44,2020-10-26,4,790
"London","55-64",45,2020-11-02,1,84
"London","65+",42,2020-10-12,1,368
"London","65+",43,2020-10-19,7,1430
"London","65+",44,2020-10-26,3,722
"London","65+",45,2020-11-02,0,50
"South West","35-44",42,2020-10-12,0,202
"South West","35-44",43,2020-10-19,9,859
"South West","35-44",44,2020-10-26,2,626
"South West","35-44",45,2020-11-02,2,92
"South West","5-12",42,2020-10-12,1,146
"South West","5-12",43,2020-10-19,3,505
"South West","5-12",44,2020-10-26,3,344
"South West","5-12",45,2020-11-02,0,35
"South West","13-17",42,2020-10-12,0,143
"South West","13-17",43,2020-10-19,4,408
"South West","13-17",44,2020-10-26,2,200
"South West","13-17",45,2020-11-02,1,23
"South West","18-24",42,2020-10-12,2,70
"South West","18-24",43,2020-10-19,7,268
"South West","18-24",44,2020-10-26,2,197
"South West","18-24",45,2020-11-02,2,30
"South West","25-34",42,2020-10-12,1,164
"South West","25-34",43,2020-10-19,6,550
"South West","25-34",44,2020-10-26,2,489
"South West","25-34",45,2020-11-02,1,64
"South West","45-54",42,2020-10-12,3,251
"South West","45-54",43,2020-10-19,9,1227
"South West","45-54",44,2020-10-26,6,910
"South West","45-54",45,2020-11-02,0,121
"South West","55-64",42,2020-10-12,4,380
"South West","55-64",43,2020-10-19,10,1471
"South West","55-64",44,2020-10-26,12,970
"South West","55-64",45,2020-11-02,0,84
"South West","65+",42,2020-10-12,0,629
"South West","65+",43,2020-10-19,19,2559
"South West","65+",44,2020-10-26,2,1096
"South West","65+",45,2020-11-02,0,76
