"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"South East","35-44",80,2021-07-05,2,891
"South East","35-44",81,2021-07-12,2,105
"South East","5-12",79,2021-06-28,0,97
"South East","5-12",80,2021-07-05,1,507
"South East","5-12",81,2021-07-12,1,57
"South East","13-17",79,2021-06-28,0,55
"South East","13-17",80,2021-07-05,3,294
"South East","13-17",81,2021-07-12,0,36
"South East","18-24",79,2021-06-28,2,29
"South East","18-24",80,2021-07-05,3,182
"South East","18-24",81,2021-07-12,0,19
"South East","25-34",79,2021-06-28,0,66
"South East","25-34",80,2021-07-05,3,498
"South East","25-34",81,2021-07-12,0,72
"South East","45-54",79,2021-06-28,2,163
"South East","45-54",80,2021-07-05,3,1259
"South East","45-54",81,2021-07-12,0,147
"South East","55-64",79,2021-06-28,0,215
"South East","55-64",80,2021-07-05,3,1406
"South East","55-64",81,2021-07-12,0,142
"South East","65+",79,2021-06-28,0,266
"South East","65+",80,2021-07-05,4,1884
"South East","65+",81,2021-07-12,0,118
"South West","35-44",79,2021-06-28,0,62
"South West","35-44",80,2021-07-05,2,566
"South West","35-44",81,2021-07-12,0,67
"South West","5-12",79,2021-06-28,0,40
"South West","5-12",80,2021-07-05,1,306
"South West","5-12",81,2021-07-12,0,26
"South West","13-17",79,2021-06-28,0,36
"South West","13-17",80,2021-07-05,5,189
"South West","13-17",81,2021-07-12,0,21
"South West","18-24",79,2021-06-28,0,10
"South West","18-24",80,2021-07-05,2,120
"South West","18-24",81,2021-07-12,0,19
"South West","25-34",79,2021-06-28,0,33
"South West","25-34",80,2021-07-05,4,312
"South West","25-34",81,2021-07-12,0,47
"South West","45-54",79,2021-06-28,0,88
"South West","45-54",80,2021-07-05,4,729
"South West","45-54",81,2021-07-12,0,75
"South West","55-64",79,2021-06-28,0,98
"South West","55-64",80,2021-07-05,3,905
"South West","55-64",81,2021-07-12,0,87
"South West","65+",79,2021-06-28,1,135
"South West","65+",80,2021-07-05,0,1327
"South West","65+",81,2021-07-12,0,94
