"region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"South East","35-44",30,2020-07-20,1,441
"South East","35-44",31,2020-07-27,0,2188
"South East","35-44",32,2020-08-03,0,1724
"South East","35-44",33,2020-08-10,0,189
"South East","5-12",30,2020-07-20,0,304
"South East","5-12",31,2020-07-27,0,1379
"South East","5-12",32,2020-08-03,1,836
"South East","5-12",33,2020-08-10,0,97
"South East","13-17",30,2020-07-20,0,306
"South East","13-17",31,2020-07-27,0,1232
"South East","13-17",32,2020-08-03,0,541
"South East","13-17",33,2020-08-10,0,49
"South East","18-24",30,2020-07-20,0,227
"South East","18-24",31,2020-07-27,0,748
"South East","18-24",32,2020-08-03,1,558
"South East","18-24",33,2020-08-10,0,59
"South East","25-34",30,2020-07-20,0,346
"South East","25-34",31,2020-07-27,0,1469
"South East","25-34",32,2020-08-03,0,1127
"South East","25-34",33,2020-08-10,0,119
"South East","45-54",30,2020-07-20,0,610
"South East","45-54",31,2020-07-27,0,3073
"South East","45-54",32,2020-08-03,0,2101
"South East","45-54",33,2020-08-10,0,196
"South East","55-64",30,2020-07-20,0,697
"South East","55-64",31,2020-07-27,1,3655
"South East","55-64",32,2020-08-03,0,2184
"South East","55-64",33,2020-08-10,0,166
"South East","65+",30,2020-07-20,0,1205
"South East","65+",31,2020-07-27,1,5542
"South East","65+",32,2020-08-03,2,2529
"South East","65+",33,2020-08-10,0,171
"North East","35-44",30,2020-07-20,0,70
"North East","35-44",31,2020-07-27,0,355
"North East","35-44",32,2020-08-03,0,256
"North East","35-44",33,2020-08-10,0,21
"North East","5-12",30,2020-07-20,0,37
"North East","5-12",31,2020-07-27,0,198
"North East","5-12",32,2020-08-03,0,105
"North East","5-12",33,2020-08-10,0,9
"North East","13-17",30,2020-07-20,0,45
"North East","13-17",31,2020-07-27,0,177
"North East","13-17",32,2020-08-03,0,56
"North East","13-17",33,2020-08-10,0,4
"North East","18-24",30,2020-07-20,0,27
"North East","18-24",31,2020-07-27,0,153
"North East","18-24",32,2020-08-03,0,86
"North East","18-24",33,2020-08-10,0,11
"North East","25-34",30,2020-07-20,0,74
"North East","25-34",31,2020-07-27,0,274
"North East","25-34",32,2020-08-03,0,166
"North East","25-34",33,2020-08-10,0,18
"North East","45-54",30,2020-07-20,0,84
"North East","45-54",31,2020-07-27,0,474
"North East","45-54",32,2020-08-03,0,331
"North East","45-54",33,2020-08-10,0,48
"North East","55-64",30,2020-07-20,0,101
"North East","55-64",31,2020-07-27,0,609
"North East","55-64",32,2020-08-03,0,360
"North East","55-64",33,2020-08-10,0,36
"North East","65+",30,2020-07-20,0,209
"North East","65+",31,2020-07-27,0,950
"North East","65+",32,2020-08-03,1,412
"North East","65+",33,2020-08-10,0,26
"North West","35-44",30,2020-07-20,0,255
"North West","35-44",31,2020-07-27,1,1116
"North West","35-44",32,2020-08-03,1,826
"North West","35-44",33,2020-08-10,0,77
"North West","5-12",30,2020-07-20,0,164
"North West","5-12",31,2020-07-27,0,718
"North West","5-12",32,2020-08-03,0,397
"North West","5-12",33,2020-08-10,0,36
"North West","13-17",30,2020-07-20,0,164
"North West","13-17",31,2020-07-27,0,632
"North West","13-17",32,2020-08-03,0,261
"North West","13-17",33,2020-08-10,0,22
"North West","18-24",30,2020-07-20,0,142
"North West","18-24",31,2020-07-27,1,428
"North West","18-24",32,2020-08-03,0,281
"North West","18-24",33,2020-08-10,0,34
"North West","25-34",30,2020-07-20,0,226
"North West","25-34",31,2020-07-27,1,895
"North West","25-34",32,2020-08-03,1,624
"North West","25-34",33,2020-08-10,0,56
"North West","45-54",30,2020-07-20,0,299
"North West","45-54",31,2020-07-27,0,1621
"North West","45-54",32,2020-08-03,1,1152
"North West","45-54",33,2020-08-10,0,61
"North West","55-64",30,2020-07-20,0,406
"North West","55-64",31,2020-07-27,1,2050
"North West","55-64",32,2020-08-03,0,1244
"North West","55-64",33,2020-08-10,0,90
"North West","65+",30,2020-07-20,0,733
"North West","65+",31,2020-07-27,1,3044
"North West","65+",32,2020-08-03,2,1425
"North West","65+",33,2020-08-10,0,72
"Yorkshire and The Humber","35-44",30,2020-07-20,0,112
"Yorkshire and The Humber","35-44",31,2020-07-27,0,615
"Yorkshire and The Humber","35-44",32,2020-08-03,1,428
"Yorkshire and The Humber","35-44",33,2020-08-10,0,32
"Yorkshire and The Humber","5-12",30,2020-07-20,0,93
"Yorkshire and The Humber","5-12",31,2020-07-27,1,395
"Yorkshire and The Humber","5-12",32,2020-08-03,0,230
"Yorkshire and The Humber","5-12",33,2020-08-10,0,11
"Yorkshire and The Humber","13-17",30,2020-07-20,0,93
"Yorkshire and The Humber","13-17",31,2020-07-27,0,331
"Yorkshire and The Humber","13-17",32,2020-08-03,0,152
"Yorkshire and The Humber","13-17",33,2020-08-10,0,10
"Yorkshire and The Humber","18-24",30,2020-07-20,0,77
"Yorkshire and The Humber","18-24",31,2020-07-27,0,226
"Yorkshire and The Humber","18-24",32,2020-08-03,0,146
"Yorkshire and The Humber","18-24",33,2020-08-10,0,17
"Yorkshire and The Humber","25-34",30,2020-07-20,1,120
"Yorkshire and The Humber","25-34",31,2020-07-27,0,466
"Yorkshire and The Humber","25-34",32,2020-08-03,0,347
"Yorkshire and The Humber","25-34",33,2020-08-10,0,23
"Yorkshire and The Humber","45-54",30,2020-07-20,0,161
"Yorkshire and The Humber","45-54",31,2020-07-27,0,976
"Yorkshire and The Humber","45-54",32,2020-08-03,0,604
"Yorkshire and The Humber","45-54",33,2020-08-10,0,38
"Yorkshire and The Humber","55-64",30,2020-07-20,0,215
"Yorkshire and The Humber","55-64",31,2020-07-27,0,1240
"Yorkshire and The Humber","55-64",32,2020-08-03,2,692
"Yorkshire and The Humber","55-64",33,2020-08-10,0,54
"Yorkshire and The Humber","65+",30,2020-07-20,0,377
"Yorkshire and The Humber","65+",31,2020-07-27,0,1765
"Yorkshire and The Humber","65+",32,2020-08-03,1,827
"Yorkshire and The Humber","65+",33,2020-08-10,0,31
"East Midlands","35-44",30,2020-07-20,1,264
"East Midlands","35-44",31,2020-07-27,0,1143
"East Midlands","35-44",32,2020-08-03,0,874
"East Midlands","35-44",33,2020-08-10,0,88
"East Midlands","5-12",30,2020-07-20,0,170
"East Midlands","5-12",31,2020-07-27,0,811
"East Midlands","5-12",32,2020-08-03,0,392
"East Midlands","5-12",33,2020-08-10,0,42
"East Midlands","13-17",30,2020-07-20,0,210
"East Midlands","13-17",31,2020-07-27,3,677
"East Midlands","13-17",32,2020-08-03,0,254
"East Midlands","13-17",33,2020-08-10,0,39
"East Midlands","18-24",30,2020-07-20,0,134
"East Midlands","18-24",31,2020-07-27,0,464
"East Midlands","18-24",32,2020-08-03,2,279
"East Midlands","18-24",33,2020-08-10,0,23
"East Midlands","25-34",30,2020-07-20,0,263
"East Midlands","25-34",31,2020-07-27,0,885
"East Midlands","25-34",32,2020-08-03,1,605
"East Midlands","25-34",33,2020-08-10,0,55
"East Midlands","45-54",30,2020-07-20,0,416
"East Midlands","45-54",31,2020-07-27,0,1837
"East Midlands","45-54",32,2020-08-03,1,1151
"East Midlands","45-54",33,2020-08-10,0,112
"East Midlands","55-64",30,2020-07-20,0,451
"East Midlands","55-64",31,2020-07-27,0,2233
"East Midlands","55-64",32,2020-08-03,0,1289
"East Midlands","55-64",33,2020-08-10,0,97
"East Midlands","65+",30,2020-07-20,0,783
"East Midlands","65+",31,2020-07-27,1,3299
"East Midlands","65+",32,2020-08-03,0,1432
"East Midlands","65+",33,2020-08-10,0,87
"West Midlands","35-44",30,2020-07-20,0,180
"West Midlands","35-44",31,2020-07-27,0,920
"West Midlands","35-44",32,2020-08-03,1,625
"West Midlands","35-44",33,2020-08-10,0,68
"West Midlands","5-12",30,2020-07-20,0,127
"West Midlands","5-12",31,2020-07-27,0,546
"West Midlands","5-12",32,2020-08-03,0,326
"West Midlands","5-12",33,2020-08-10,0,31
"West Midlands","13-17",30,2020-07-20,0,135
"West Midlands","13-17",31,2020-07-27,0,493
"West Midlands","13-17",32,2020-08-03,0,201
"West Midlands","13-17",33,2020-08-10,0,19
"West Midlands","18-24",30,2020-07-20,0,112
"West Midlands","18-24",31,2020-07-27,0,345
"West Midlands","18-24",32,2020-08-03,0,241
"West Midlands","18-24",33,2020-08-10,0,31
"West Midlands","25-34",30,2020-07-20,0,167
"West Midlands","25-34",31,2020-07-27,0,695
"West Midlands","25-34",32,2020-08-03,0,458
"West Midlands","25-34",33,2020-08-10,0,34
"West Midlands","45-54",30,2020-07-20,0,251
"West Midlands","45-54",31,2020-07-27,0,1331
"West Midlands","45-54",32,2020-08-03,0,853
"West Midlands","45-54",33,2020-08-10,0,89
"West Midlands","55-64",30,2020-07-20,0,305
"West Midlands","55-64",31,2020-07-27,0,1491
"West Midlands","55-64",32,2020-08-03,0,978
"West Midlands","55-64",33,2020-08-10,0,78
"West Midlands","65+",30,2020-07-20,1,466
"West Midlands","65+",31,2020-07-27,2,2374
"West Midlands","65+",32,2020-08-03,1,1133
"West Midlands","65+",33,2020-08-10,0,71
"East of England","35-44",30,2020-07-20,0,297
"East of England","35-44",31,2020-07-27,0,1428
"East of England","35-44",32,2020-08-03,1,1043
"East of England","35-44",33,2020-08-10,0,110
"East of England","5-12",30,2020-07-20,0,195
"East of England","5-12",31,2020-07-27,0,955
"East of England","5-12",32,2020-08-03,0,516
"East of England","5-12",33,2020-08-10,0,49
"East of England","13-17",30,2020-07-20,0,238
