region,age_group,react_week_number,react_week_start_date,number_positive,number_samples,round
Yorkshire and The Humber,55-64,18,27/04/2020,0,2,Round 1
Yorkshire and The Humber,65+,18,27/04/2020,0,2,Round 1
East Midlands,5-12,19,04/05/2020,0,13,Round 1
East Midlands,13-17,19,04/05/2020,0,15,Round 1
East Midlands,18-24,19,04/05/2020,0,21,Round 1
East Midlands,25-34,19,04/05/2020,0,68,Round 1
East Midlands,35-44,19,04/05/2020,0,61,Round 1
East Midlands,45-54,19,04/05/2020,1,91,Round 1
East Midlands,55-64,19,04/05/2020,1,37,Round 1
East Midlands,65+,19,04/05/2020,0,67,Round 1
East of England,5-12,19,04/05/2020,0,13,Round 1
East of England,13-17,19,04/05/2020,0,17,Round 1
East of England,18-24,19,04/05/2020,0,16,Round 1
East of England,25-34,19,04/05/2020,0,59,Round 1
East of England,35-44,19,04/05/2020,1,77,Round 1
East of England,45-54,19,04/05/2020,0,113,Round 1
East of England,55-64,19,04/05/2020,0,38,Round 1
East of England,65+,19,04/05/2020,0,90,Round 1
London,5-12,19,04/05/2020,0,6,Round 1
London,13-17,19,04/05/2020,0,5,Round 1
London,18-24,19,04/05/2020,0,10,Round 1
London,25-34,19,04/05/2020,1,44,Round 1
London,35-44,19,04/05/2020,0,46,Round 1
London,45-54,19,04/05/2020,0,37,Round 1
London,55-64,19,04/05/2020,0,16,Round 1
London,65+,19,04/05/2020,0,31,Round 1
North East,5-12,19,04/05/2020,0,1,Round 1
North East,13-17,19,04/05/2020,0,1,Round 1
North East,25-34,19,04/05/2020,0,11,Round 1
North East,35-44,19,04/05/2020,0,8,Round 1
North East,45-54,19,04/05/2020,0,21,Round 1
North East,55-64,19,04/05/2020,0,4,Round 1
North East,65+,19,04/05/2020,0,9,Round 1
North West,5-12,19,04/05/2020,0,14,Round 1
North West,13-17,19,04/05/2020,0,14,Round 1
North West,18-24,19,04/05/2020,0,22,Round 1
North West,25-34,19,04/05/2020,1,52,Round 1
North West,35-44,19,04/05/2020,0,69,Round 1
North West,45-54,19,04/05/2020,0,78,Round 1
North West,55-64,19,04/05/2020,0,44,Round 1
North West,65+,19,04/05/2020,0,52,Round 1
South East,5-12,19,04/05/2020,0,18,Round 1
South East,13-17,19,04/05/2020,0,7,Round 1
South East,18-24,19,04/05/2020,1,27,Round 1
South East,25-34,19,04/05/2020,0,63,Round 1
South East,35-44,19,04/05/2020,0,87,Round 1
South East,45-54,19,04/05/2020,0,105,Round 1
South East,55-64,19,04/05/2020,0,64,Round 1
South East,65+,19,04/05/2020,0,144,Round 1
South West,5-12,19,04/05/2020,0,15,Round 1
South West,13-17,19,04/05/2020,0,6,Round 1
South West,18-24,19,04/05/2020,0,13,Round 1
South West,25-34,19,04/05/2020,0,19,Round 1
South West,35-44,19,04/05/2020,0,30,Round 1
South West,45-54,19,04/05/2020,0,48,Round 1
South West,55-64,19,04/05/2020,0,35,Round 1
South West,65+,19,04/05/2020,0,64,Round 1
West Midlands,5-12,19,04/05/2020,0,5,Round 1
West Midlands,13-17,19,04/05/2020,0,13,Round 1
