"region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"South East","35-44",34,2020-08-17,0,520
"South East","35-44",35,2020-08-24,2,2107
"South East","35-44",36,2020-08-31,0,1675
"South East","35-44",37,2020-09-07,0,154
"South East","5-12",34,2020-08-17,0,358
"South East","5-12",35,2020-08-24,0,1217
"South East","5-12",36,2020-08-31,0,1003
"South East","5-12",37,2020-09-07,0,69
"South East","13-17",34,2020-08-17,0,393
"South East","13-17",35,2020-08-24,1,1048
"South East","13-17",36,2020-08-31,0,559
"South East","13-17",37,2020-09-07,0,40
"South East","18-24",34,2020-08-17,0,254
"South East","18-24",35,2020-08-24,0,673
"South East","18-24",36,2020-08-31,0,476
"South East","18-24",37,2020-09-07,0,38
"South East","25-34",34,2020-08-17,0,387
"South East","25-34",35,2020-08-24,0,1337
"South East","25-34",36,2020-08-31,3,981
"South East","25-34",37,2020-09-07,0,92
"South East","45-54",34,2020-08-17,1,676
"South East","45-54",35,2020-08-24,4,2968
"South East","45-54",36,2020-08-31,1,1997
"South East","45-54",37,2020-09-07,0,195
"South East","55-64",34,2020-08-17,0,943
"South East","55-64",35,2020-08-24,3,3502
"South East","55-64",36,2020-08-31,2,1871
"South East","55-64",37,2020-09-07,0,128
"South East","65+",34,2020-08-17,0,1669
"South East","65+",35,2020-08-24,2,5439
"South East","65+",36,2020-08-31,1,1926
"South East","65+",37,2020-09-07,0,112
"North East","35-44",34,2020-08-17,0,111
"North East","35-44",35,2020-08-24,1,313
"North East","35-44",36,2020-08-31,1,232
"North East","35-44",37,2020-09-07,0,22
"North East","5-12",34,2020-08-17,0,53
"North East","5-12",35,2020-08-24,0,175
"North East","5-12",36,2020-08-31,0,128
"North East","5-12",37,2020-09-07,0,6
"North East","13-17",34,2020-08-17,0,49
"North East","13-17",35,2020-08-24,0,140
"North East","13-17",36,2020-08-31,0,78
"North East","13-17",37,2020-09-07,0,1
"North East","18-24",34,2020-08-17,0,45
"North East","18-24",35,2020-08-24,0,131
"North East","18-24",36,2020-08-31,1,71
"North East","18-24",37,2020-09-07,0,9
"North East","25-34",34,2020-08-17,0,89
"North East","25-34",35,2020-08-24,0,308
"North East","25-34",36,2020-08-31,1,163
"North East","25-34",37,2020-09-07,0,15
"North East","45-54",34,2020-08-17,0,128
"North East","45-54",35,2020-08-24,2,493
"North East","45-54",36,2020-08-31,0,278
"North East","45-54",37,2020-09-07,0,19
"North East","55-64",34,2020-08-17,0,187
"North East","55-64",35,2020-08-24,1,667
"North East","55-64",36,2020-08-31,0,317
"North East","55-64",37,2020-09-07,0,28
"North East","65+",34,2020-08-17,0,296
"North East","65+",35,2020-08-24,2,905
"North East","65+",36,2020-08-31,0,234
"North East","65+",37,2020-09-07,0,20
"North West","35-44",34,2020-08-17,0,295
"North West","35-44",35,2020-08-24,3,981
"North West","35-44",36,2020-08-31,3,676
"North West","35-44",37,2020-09-07,0,71
"North West","5-12",34,2020-08-17,0,199
"North West","5-12",35,2020-08-24,2,535
"North West","5-12",36,2020-08-31,2,387
"North West","5-12",37,2020-09-07,0,27
"North West","13-17",34,2020-08-17,0,199
"North West","13-17",35,2020-08-24,0,464
"North West","13-17",36,2020-08-31,0,224
"North West","13-17",37,2020-09-07,0,14
"North West","18-24",34,2020-08-17,0,148
"North West","18-24",35,2020-08-24,2,333
"North West","18-24",36,2020-08-31,3,193
"North West","18-24",37,2020-09-07,0,17
"North West","25-34",34,2020-08-17,0,245
"North West","25-34",35,2020-08-24,1,734
"North West","25-34",36,2020-08-31,1,453
"North West","25-34",37,2020-09-07,0,62
"North West","45-54",34,2020-08-17,0,407
"North West","45-54",35,2020-08-24,3,1485
"North West","45-54",36,2020-08-31,0,895
"North West","45-54",37,2020-09-07,1,73
"North West","55-64",34,2020-08-17,1,574
"North West","55-64",35,2020-08-24,1,1767
"North West","55-64",36,2020-08-31,2,913
"North West","55-64",37,2020-09-07,1,82
"North West","65+",34,2020-08-17,1,970
"North West","65+",35,2020-08-24,1,2863
"North West","65+",36,2020-08-31,1,835
"North West","65+",37,2020-09-07,0,64
"Yorkshire and The Humber","35-44",34,2020-08-17,0,150
"Yorkshire and The Humber","35-44",35,2020-08-24,3,559
"Yorkshire and The Humber","35-44",36,2020-08-31,0,356
"Yorkshire and The Humber","35-44",37,2020-09-07,0,28
"Yorkshire and The Humber","5-12",34,2020-08-17,0,106
"Yorkshire and The Humber","5-12",35,2020-08-24,0,320
"Yorkshire and The Humber","5-12",36,2020-08-31,0,232
"Yorkshire and The Humber","5-12",37,2020-09-07,0,14
"Yorkshire and The Humber","13-17",34,2020-08-17,0,127
"Yorkshire and The Humber","13-17",35,2020-08-24,0,291
"Yorkshire and The Humber","13-17",36,2020-08-31,1,149
"Yorkshire and The Humber","13-17",37,2020-09-07,1,14
"Yorkshire and The Humber","18-24",34,2020-08-17,1,73
"Yorkshire and The Humber","18-24",35,2020-08-24,0,193
"Yorkshire and The Humber","18-24",36,2020-08-31,0,107
"Yorkshire and The Humber","18-24",37,2020-09-07,0,15
"Yorkshire and The Humber","25-34",34,2020-08-17,1,128
"Yorkshire and The Humber","25-34",35,2020-08-24,2,474
"Yorkshire and The Humber","25-34",36,2020-08-31,0,220
"Yorkshire and The Humber","25-34",37,2020-09-07,0,20
"Yorkshire and The Humber","45-54",34,2020-08-17,0,241
"Yorkshire and The Humber","45-54",35,2020-08-24,2,838
"Yorkshire and The Humber","45-54",36,2020-08-31,0,515
"Yorkshire and The Humber","45-54",37,2020-09-07,0,36
"Yorkshire and The Humber","55-64",34,2020-08-17,0,325
"Yorkshire and The Humber","55-64",35,2020-08-24,3,1149
"Yorkshire and The Humber","55-64",36,2020-08-31,0,480
"Yorkshire and The Humber","55-64",37,2020-09-07,0,47
"Yorkshire and The Humber","65+",34,2020-08-17,1,624
"Yorkshire and The Humber","65+",35,2020-08-24,2,1739
"Yorkshire and The Humber","65+",36,2020-08-31,0,492
"Yorkshire and The Humber","65+",37,2020-09-07,0,30
"East Midlands","35-44",34,2020-08-17,0,330
"East Midlands","35-44",35,2020-08-24,2,1131
"East Midlands","35-44",36,2020-08-31,0,738
"East Midlands","35-44",37,2020-09-07,0,71
"East Midlands","5-12",34,2020-08-17,0,226
"East Midlands","5-12",35,2020-08-24,0,636
"East Midlands","5-12",36,2020-08-31,1,450
"East Midlands","5-12",37,2020-09-07,0,29
"East Midlands","13-17",34,2020-08-17,0,227
