"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"North East and Yorkshire","35-44",37,2020-09-07,0,55
"North East and Yorkshire","5-12",34,2020-08-17,0,184
"North East and Yorkshire","5-12",35,2020-08-24,0,563
"North East and Yorkshire","5-12",36,2020-08-31,0,406
"North East and Yorkshire","5-12",37,2020-09-07,0,24
"North East and Yorkshire","13-17",34,2020-08-17,0,210
"North East and Yorkshire","13-17",35,2020-08-24,0,492
"North East and Yorkshire","13-17",36,2020-08-31,1,256
"North East and Yorkshire","13-17",37,2020-09-07,1,18
"North East and Yorkshire","18-24",34,2020-08-17,1,134
"North East and Yorkshire","18-24",35,2020-08-24,0,364
"North East and Yorkshire","18-24",36,2020-08-31,1,203
"North East and Yorkshire","18-24",37,2020-09-07,0,26
"North East and Yorkshire","25-34",34,2020-08-17,1,253
"North East and Yorkshire","25-34",35,2020-08-24,2,878
"North East and Yorkshire","25-34",36,2020-08-31,1,443
"North East and Yorkshire","25-34",37,2020-09-07,0,43
"North East and Yorkshire","45-54",34,2020-08-17,0,442
"North East and Yorkshire","45-54",35,2020-08-24,4,1528
"North East and Yorkshire","45-54",36,2020-08-31,0,904
"North East and Yorkshire","45-54",37,2020-09-07,0,67
"North East and Yorkshire","55-64",34,2020-08-17,0,589
"North East and Yorkshire","55-64",35,2020-08-24,4,2072
"North East and Yorkshire","55-64",36,2020-08-31,1,931
"North East and Yorkshire","55-64",37,2020-09-07,0,88
"North East and Yorkshire","65+",34,2020-08-17,1,1072
"North East and Yorkshire","65+",35,2020-08-24,4,3052
"North East and Yorkshire","65+",36,2020-08-31,0,850
"North East and Yorkshire","65+",37,2020-09-07,0,55
"North West","35-44",34,2020-08-17,0,268
"North West","35-44",35,2020-08-24,3,909
"North West","35-44",36,2020-08-31,3,624
"North West","35-44",37,2020-09-07,0,67
"North West","5-12",34,2020-08-17,0,177
"North West","5-12",35,2020-08-24,2,495
"North West","5-12",36,2020-08-31,2,356
"North West","5-12",37,2020-09-07,0,24
"North West","13-17",34,2020-08-17,0,179
"North West","13-17",35,2020-08-24,0,416
"North West","13-17",36,2020-08-31,0,202
"North West","13-17",37,2020-09-07,0,12
"North West","18-24",34,2020-08-17,0,136
"North West","18-24",35,2020-08-24,2,304
"North West","18-24",36,2020-08-31,3,172
"North West","18-24",37,2020-09-07,0,17
"North West","25-34",34,2020-08-17,0,219
"North West","25-34",35,2020-08-24,1,663
"North West","25-34",36,2020-08-31,1,410
"North West","25-34",37,2020-09-07,0,55
"North West","45-54",34,2020-08-17,0,352
"North West","45-54",35,2020-08-24,3,1341
"North West","45-54",36,2020-08-31,0,809
"North West","45-54",37,2020-09-07,1,62
"North West","55-64",34,2020-08-17,1,516
"North West","55-64",35,2020-08-24,1,1585
"North West","55-64",36,2020-08-31,1,806
"North West","55-64",37,2020-09-07,1,72
"North West","65+",34,2020-08-17,1,868
"North West","65+",35,2020-08-24,1,2578
"North West","65+",36,2020-08-31,1,743
"North West","65+",37,2020-09-07,0,61
"South East","35-44",34,2020-08-17,0,510
"South East","35-44",35,2020-08-24,2,2061
"South East","35-44",36,2020-08-31,0,1642
"South East","35-44",37,2020-09-07,0,150
"South East","5-12",34,2020-08-17,0,348
"South East","5-12",35,2020-08-24,0,1193
"South East","5-12",36,2020-08-31,0,984
"South East","5-12",37,2020-09-07,0,67
"South East","13-17",34,2020-08-17,0,387
"South East","13-17",35,2020-08-24,1,1031
"South East","13-17",36,2020-08-31,0,549
"South East","13-17",37,2020-09-07,0,39
"South East","18-24",34,2020-08-17,0,249
"South East","18-24",35,2020-08-24,0,657
"South East","18-24",36,2020-08-31,0,471
"South East","18-24",37,2020-09-07,0,38
"South East","25-34",34,2020-08-17,0,380
"South East","25-34",35,2020-08-24,0,1307
"South East","25-34",36,2020-08-31,3,968
"South East","25-34",37,2020-09-07,0,91
"South East","45-54",34,2020-08-17,1,666
"South East","45-54",35,2020-08-24,4,2912
"South East","45-54",36,2020-08-31,1,1970
"South East","45-54",37,2020-09-07,0,191
"South East","55-64",34,2020-08-17,0,934
"South East","55-64",35,2020-08-24,3,3446
"South East","55-64",36,2020-08-31,2,1843
"South East","55-64",37,2020-09-07,0,126
"South East","65+",34,2020-08-17,0,1655
"South East","65+",35,2020-08-24,2,5367
"South East","65+",36,2020-08-31,1,1901
"South East","65+",37,2020-09-07,0,110
"South West","35-44",34,2020-08-17,0,185
"South West","35-44",35,2020-08-24,0,659
"South West","35-44",36,2020-08-31,0,698
"South West","35-44",37,2020-09-07,1,92
"South West","5-12",34,2020-08-17,0,119
"South West","5-12",35,2020-08-24,0,381
"South West","5-12",36,2020-08-31,0,428
"South West","5-12",37,2020-09-07,0,44
"South West","13-17",34,2020-08-17,0,118
"South West","13-17",35,2020-08-24,0,342
"South West","13-17",36,2020-08-31,0,262
"South West","13-17",37,2020-09-07,0,29
"South West","18-24",34,2020-08-17,0,81
"South West","18-24",35,2020-08-24,2,222
"South West","18-24",36,2020-08-31,0,212
"South West","18-24",37,2020-09-07,0,19
"South West","25-34",34,2020-08-17,0,133
"South West","25-34",35,2020-08-24,1,487
"South West","25-34",36,2020-08-31,0,436
"South West","25-34",37,2020-09-07,0,53
"South West","45-54",34,2020-08-17,0,260
"South West","45-54",35,2020-08-24,0,1028
"South West","45-54",36,2020-08-31,1,911
"South West","45-54",37,2020-09-07,0,144
"South West","55-64",34,2020-08-17,0,337
"South West","55-64",35,2020-08-24,0,1389
"South West","55-64",36,2020-08-31,1,981
"South West","55-64",37,2020-09-07,1,135
"South West","65+",34,2020-08-17,0,677
"South West","65+",35,2020-08-24,1,2429
"South West","65+",36,2020-08-31,2,1173
"South West","65+",37,2020-09-07,0,129
NA,"55-64",34,2020-08-17,0,1
