"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"East of England","35-44",34,2020-08-17,2,340
"East of England","35-44",35,2020-08-24,2,1470
"East of England","35-44",36,2020-08-31,0,1040
"East of England","35-44",37,2020-09-07,1,109
"East of England","5-12",34,2020-08-17,0,260
"East of England","5-12",35,2020-08-24,0,837
"East of England","5-12",36,2020-08-31,2,622
"East of England","5-12",37,2020-09-07,0,53
"East of England","13-17",34,2020-08-17,0,265
"East of England","13-17",35,2020-08-24,0,658
"East of England","13-17",36,2020-08-31,0,355
"East of England","13-17",37,2020-09-07,0,22
"East of England","18-24",34,2020-08-17,0,169
"East of England","18-24",35,2020-08-24,2,494
"East of England","18-24",36,2020-08-31,1,305
"East of England","18-24",37,2020-09-07,0,25
"East of England","25-34",34,2020-08-17,0,248
"East of England","25-34",35,2020-08-24,0,1022
"East of England","25-34",36,2020-08-31,3,672
"East of England","25-34",37,2020-09-07,0,66
"East of England","45-54",34,2020-08-17,0,451
"East of England","45-54",35,2020-08-24,1,2012
"East of England","45-54",36,2020-08-31,0,1269
"East of England","45-54",37,2020-09-07,0,130
"East of England","55-64",34,2020-08-17,0,619
"East of England","55-64",35,2020-08-24,1,2370
"East of England","55-64",36,2020-08-31,0,1316
"East of England","55-64",37,2020-09-07,1,114
"East of England","65+",34,2020-08-17,0,1078
"East of England","65+",35,2020-08-24,2,3796
"East of England","65+",36,2020-08-31,0,1242
"East of England","65+",37,2020-09-07,0,80
"London","35-44",34,2020-08-17,0,218
"London","35-44",35,2020-08-24,2,1294
"London","35-44",36,2020-08-31,4,997
"London","35-44",37,2020-09-07,0,121
"London","5-12",34,2020-08-17,0,110
"London","5-12",35,2020-08-24,2,519
"London","5-12",36,2020-08-31,2,534
"London","5-12",37,2020-09-07,0,54
"London","13-17",34,2020-08-17,0,140
"London","13-17",35,2020-08-24,0,429
"London","13-17",36,2020-08-31,1,270
"London","13-17",37,2020-09-07,0,10
"London","18-24",34,2020-08-17,0,91
"London","18-24",35,2020-08-24,2,362
"London","18-24",36,2020-08-31,1,252
"London","18-24",37,2020-09-07,0,28
"London","25-34",34,2020-08-17,0,198
"London","25-34",35,2020-08-24,0,1114
"London","25-34",36,2020-08-31,1,763
"London","25-34",37,2020-09-07,0,115
"London","45-54",34,2020-08-17,0,240
"London","45-54",35,2020-08-24,0,1237
"London","45-54",36,2020-08-31,0,935
"London","45-54",37,2020-09-07,0,103
"London","55-64",34,2020-08-17,0,273
"London","55-64",35,2020-08-24,0,1181
"London","55-64",36,2020-08-31,0,755
"London","55-64",37,2020-09-07,0,88
"London","65+",34,2020-08-17,0,338
"London","65+",35,2020-08-24,0,1469
"London","65+",36,2020-08-31,0,661
"London","65+",37,2020-09-07,0,45
"Midlands","35-44",34,2020-08-17,0,567
"Midlands","35-44",35,2020-08-24,2,1894
"Midlands","35-44",36,2020-08-31,1,1325
"Midlands","35-44",37,2020-09-07,0,126
"Midlands","5-12",34,2020-08-17,0,379
"Midlands","5-12",35,2020-08-24,1,1076
"Midlands","5-12",36,2020-08-31,0,762
"Midlands","5-12",37,2020-09-07,0,51
"Midlands","13-17",34,2020-08-17,0,356
"Midlands","13-17",35,2020-08-24,0,985
"Midlands","13-17",36,2020-08-31,1,474
"Midlands","13-17",37,2020-09-07,1,32
"Midlands","18-24",34,2020-08-17,0,246
"Midlands","18-24",35,2020-08-24,0,675
"Midlands","18-24",36,2020-08-31,1,403
"Midlands","18-24",37,2020-09-07,0,36
"Midlands","25-34",34,2020-08-17,1,449
"Midlands","25-34",35,2020-08-24,1,1395
"Midlands","25-34",36,2020-08-31,2,911
"Midlands","25-34",37,2020-09-07,1,93
"Midlands","45-54",34,2020-08-17,0,761
"Midlands","45-54",35,2020-08-24,1,2896
"Midlands","45-54",36,2020-08-31,2,1767
"Midlands","45-54",37,2020-09-07,0,165
"Midlands","55-64",34,2020-08-17,0,915
"Midlands","55-64",35,2020-08-24,3,3578
"Midlands","55-64",36,2020-08-31,0,1660
"Midlands","55-64",37,2020-09-07,0,142
"Midlands","65+",34,2020-08-17,0,1659
"Midlands","65+",35,2020-08-24,1,5418
"Midlands","65+",36,2020-08-31,0,1754
"Midlands","65+",37,2020-09-07,0,123
"North East and Yorkshire","35-44",34,2020-08-17,0,297
"North East and Yorkshire","35-44",35,2020-08-24,4,986
"North East and Yorkshire","35-44",36,2020-08-31,1,668
