"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"East of England","35-44",58,2021-02-01,0,285
"East of England","35-44",59,2021-02-08,5,1572
"East of England","35-44",60,2021-02-15,3,1201
"East of England","35-44",61,2021-02-22,0,102
"East of England","5-12",58,2021-02-01,0,216
"East of England","5-12",59,2021-02-08,9,1043
"East of England","5-12",60,2021-02-15,3,794
"East of England","5-12",61,2021-02-22,0,49
"East of England","13-17",58,2021-02-01,3,222
"East of England","13-17",59,2021-02-08,1,851
"East of England","13-17",60,2021-02-15,1,411
"East of England","13-17",61,2021-02-22,0,16
"East of England","18-24",58,2021-02-01,1,152
"East of England","18-24",59,2021-02-08,6,495
"East of England","18-24",60,2021-02-15,1,352
"East of England","18-24",61,2021-02-22,0,37
"East of England","25-34",58,2021-02-01,1,234
"East of England","25-34",59,2021-02-08,8,1034
"East of England","25-34",60,2021-02-15,1,809
"East of England","25-34",61,2021-02-22,0,67
"East of England","45-54",58,2021-02-01,1,386
"East of England","45-54",59,2021-02-08,10,1987
"East of England","45-54",60,2021-02-15,3,1561
"East of England","45-54",61,2021-02-22,0,93
"East of England","55-64",58,2021-02-01,5,547
"East of England","55-64",59,2021-02-08,10,2432
"East of England","55-64",60,2021-02-15,4,1535
"East of England","55-64",61,2021-02-22,1,73
"East of England","65+",58,2021-02-01,0,686
"East of England","65+",59,2021-02-08,8,3405
"East of England","65+",60,2021-02-15,3,1637
"East of England","65+",61,2021-02-22,0,50
"London","35-44",58,2021-02-01,1,182
"London","35-44",59,2021-02-08,7,1255
"London","35-44",60,2021-02-15,10,1215
"London","35-44",61,2021-02-22,0,126
"London","5-12",58,2021-02-01,0,89
"London","5-12",59,2021-02-08,5,718
"London","5-12",60,2021-02-15,2,582
"London","5-12",61,2021-02-22,0,61
"London","13-17",58,2021-02-01,0,107
"London","13-17",59,2021-02-08,2,554
"London","13-17",60,2021-02-15,1,261
"London","13-17",61,2021-02-22,0,14
"London","18-24",58,2021-02-01,0,57
"London","18-24",59,2021-02-08,2,359
"London","18-24",60,2021-02-15,0,262
"London","18-24",61,2021-02-22,0,29
"London","25-34",58,2021-02-01,1,128
"London","25-34",59,2021-02-08,5,1102
"London","25-34",60,2021-02-15,6,992
"London","25-34",61,2021-02-22,0,94
"London","45-54",58,2021-02-01,2,201
"London","45-54",59,2021-02-08,5,1209
"London","45-54",60,2021-02-15,10,1104
"London","45-54",61,2021-02-22,1,97
"London","55-64",58,2021-02-01,3,178
"London","55-64",59,2021-02-08,8,1147
"London","55-64",60,2021-02-15,8,918
"London","55-64",61,2021-02-22,2,50
"London","65+",58,2021-02-01,2,223
"London","65+",59,2021-02-08,5,1291
"London","65+",60,2021-02-15,3,841
"London","65+",61,2021-02-22,0,33
"Midlands","35-44",58,2021-02-01,3,449
"Midlands","35-44",59,2021-02-08,14,2226
"Midlands","35-44",60,2021-02-15,11,1480
"Midlands","35-44",61,2021-02-22,0,105
"Midlands","5-12",58,2021-02-01,2,324
"Midlands","5-12",59,2021-02-08,13,1612
"Midlands","5-12",60,2021-02-15,3,903
"Midlands","5-12",61,2021-02-22,2,75
"Midlands","13-17",58,2021-02-01,2,338
"Midlands","13-17",59,2021-02-08,5,1328
"Midlands","13-17",60,2021-02-15,2,505
"Midlands","13-17",61,2021-02-22,0,34
"Midlands","18-24",58,2021-02-01,0,223
"Midlands","18-24",59,2021-02-08,10,718
"Midlands","18-24",60,2021-02-15,2,439
"Midlands","18-24",61,2021-02-22,0,47
"Midlands","25-34",58,2021-02-01,2,362
"Midlands","25-34",59,2021-02-08,13,1590
"Midlands","25-34",60,2021-02-15,0,1021
"Midlands","25-34",61,2021-02-22,0,88
"Midlands","45-54",58,2021-02-01,3,559
"Midlands","45-54",59,2021-02-08,18,3177
"Midlands","45-54",60,2021-02-15,12,2034
"Midlands","45-54",61,2021-02-22,1,154
"Midlands","55-64",58,2021-02-01,6,778
"Midlands","55-64",59,2021-02-08,17,4174
"Midlands","55-64",60,2021-02-15,7,2046
"Midlands","55-64",61,2021-02-22,0,113
"Midlands","65+",58,2021-02-01,2,1157
"Midlands","65+",59,2021-02-08,8,5524
"Midlands","65+",60,2021-02-15,4,2097
"Midlands","65+",61,2021-02-22,0,67
"North East and Yorkshire","35-44",58,2021-02-01,2,221
"North East and Yorkshire","35-44",59,2021-02-08,2,1162
"North East and Yorkshire","35-44",60,2021-02-15,4,827
"North East and Yorkshire","35-44",61,2021-02-22,0,66
"North East and Yorkshire","5-12",58,2021-02-01,1,170
"North East and Yorkshire","5-12",59,2021-02-08,6,794
"North East and Yorkshire","5-12",60,2021-02-15,1,471
"North East and Yorkshire","5-12",61,2021-02-22,0,43
"North East and Yorkshire","13-17",58,2021-02-01,1,154
