nhs_region,age_group,react_week_number,react_week_start_date,number_positive,number_samples,round
East of England,55-64,20,11/05/2020,1,712,Round 1
East of England,65+,20,11/05/2020,1,804,Round 1
London,5-12,20,11/05/2020,2,129,Round 1
London,13-17,20,11/05/2020,0,99,Round 1
London,18-24,20,11/05/2020,1,120,Round 1
London,25-34,20,11/05/2020,0,256,Round 1
London,35-44,20,11/05/2020,1,289,Round 1
London,45-54,20,11/05/2020,2,271,Round 1
London,55-64,20,11/05/2020,0,222,Round 1
London,65+,20,11/05/2020,1,197,Round 1
Midlands,5-12,20,11/05/2020,2,571,Round 1
Midlands,13-17,20,11/05/2020,0,371,Round 1
Midlands,18-24,20,11/05/2020,0,433,Round 1
Midlands,25-34,20,11/05/2020,3,667,Round 1
Midlands,35-44,20,11/05/2020,3,773,Round 1
Midlands,45-54,20,11/05/2020,4,1028,Round 1
Midlands,55-64,20,11/05/2020,2,1087,Round 1
Midlands,65+,20,11/05/2020,2,1209,Round 1
North East and Yorkshire,5-12,20,11/05/2020,0,207,Round 1
North East and Yorkshire,13-17,20,11/05/2020,0,155,Round 1
North East and Yorkshire,18-24,20,11/05/2020,1,154,Round 1
North East and Yorkshire,25-34,20,11/05/2020,0,300,Round 1
North East and Yorkshire,35-44,20,11/05/2020,1,290,Round 1
North East and Yorkshire,45-54,20,11/05/2020,0,406,Round 1
North East and Yorkshire,55-64,20,11/05/2020,1,450,Round 1
North East and Yorkshire,65+,20,11/05/2020,1,503,Round 1
North West,5-12,20,11/05/2020,1,221,Round 1
North West,13-17,20,11/05/2020,0,175,Round 1
North West,18-24,20,11/05/2020,4,181,Round 1
North West,25-34,20,11/05/2020,2,321,Round 1
North West,35-44,20,11/05/2020,1,367,Round 1
North West,45-54,20,11/05/2020,1,435,Round 1
North West,55-64,20,11/05/2020,0,429,Round 1
North West,65+,20,11/05/2020,1,543,Round 1
South East,5-12,20,11/05/2020,0,480,Round 1
South East,13-17,20,11/05/2020,2,305,Round 1
South East,18-24,20,11/05/2020,1,325,Round 1
South East,25-34,20,11/05/2020,5,487,Round 1
South East,35-44,20,11/05/2020,3,650,Round 1
South East,45-54,20,11/05/2020,1,874,Round 1
South East,55-64,20,11/05/2020,3,924,Round 1
South East,65+,20,11/05/2020,1,1027,Round 1
South West,5-12,20,11/05/2020,1,186,Round 1
South West,13-17,20,11/05/2020,0,133,Round 1
South West,18-24,20,11/05/2020,0,164,Round 1
South West,25-34,20,11/05/2020,0,219,Round 1
South West,35-44,20,11/05/2020,0,281,Round 1
South West,45-54,20,11/05/2020,0,384,Round 1
South West,55-64,20,11/05/2020,2,487,Round 1
South West,65+,20,11/05/2020,0,520,Round 1
East of England,5-12,21,18/05/2020,0,790,Round 1
East of England,13-17,21,18/05/2020,2,535,Round 1
East of England,18-24,21,18/05/2020,1,526,Round 1
East of England,25-34,21,18/05/2020,0,981,Round 1
East of England,35-44,21,18/05/2020,1,1291,Round 1
East of England,45-54,21,18/05/2020,2,1647,Round 1
East of England,55-64,21,18/05/2020,0,1702,Round 1
East of England,65+,21,18/05/2020,1,1985,Round 1
London,5-12,21,18/05/2020,2,429,Round 1
London,13-17,21,18/05/2020,1,327,Round 1
London,18-24,21,18/05/2020,0,332,Round 1
London,25-34,21,18/05/2020,2,962,Round 1
London,35-44,21,18/05/2020,1,1090,Round 1
London,45-54,21,18/05/2020,1,908,Round 1
London,55-64,21,18/05/2020,2,784,Round 1
London,65+,21,18/05/2020,0,760,Round 1
Midlands,5-12,21,18/05/2020,1,996,Round 1
Midlands,13-17,21,18/05/2020,0,749,Round 1
Midlands,18-24,21,18/05/2020,0,761,Round 1
Midlands,25-34,21,18/05/2020,2,1378,Round 1
Midlands,35-44,21,18/05/2020,2,1696,Round 1
Midlands,45-54,21,18/05/2020,3,2338,Round 1
Midlands,55-64,21,18/05/2020,2,2518,Round 1
Midlands,65+,21,18/05/2020,2,2859,Round 1
North East and Yorkshire,5-12,21,18/05/2020,1,547,Round 1
North East and Yorkshire,13-17,21,18/05/2020,1,429,Round 1
North East and Yorkshire,18-24,21,18/05/2020,2,444,Round 1
North East and Yorkshire,25-34,21,18/05/2020,0,802,Round 1
North East and Yorkshire,35-44,21,18/05/2020,1,932,Round 1
North East and Yorkshire,45-54,21,18/05/2020,1,1282,Round 1
North East and Yorkshire,55-64,21,18/05/2020,0,1558,Round 1
North East and Yorkshire,65+,21,18/05/2020,1,1677,Round 1
North West,5-12,21,18/05/2020,0,604,Round 1
North West,13-17,21,18/05/2020,1,418,Round 1
North West,18-24,21,18/05/2020,0,430,Round 1
North West,25-34,21,18/05/2020,1,840,Round 1
North West,35-44,21,18/05/2020,3,962,Round 1
North West,45-54,21,18/05/2020,0,1358,Round 1
North West,55-64,21,18/05/2020,1,1377,Round 1
North West,65+,21,18/05/2020,1,1643,Round 1
South East,5-12,21,18/05/2020,2,1193,Round 1
South East,13-17,21,18/05/2020,1,882,Round 1
South East,18-24,21,18/05/2020,1,725,Round 1
South East,25-34,21,18/05/2020,1,1470,Round 1
South East,35-44,21,18/05/2020,0,1861,Round 1
South East,45-54,21,18/05/2020,5,2536,Round 1
South East,55-64,21,18/05/2020,2,2635,Round 1
South East,65+,21,18/05/2020,2,3068,Round 1
South West,5-12,21,18/05/2020,0,429,Round 1
South West,13-17,21,18/05/2020,0,317,Round 1
South West,18-24,21,18/05/2020,0,279,Round 1
South West,25-34,21,18/05/2020,1,498,Round 1
South West,35-44,21,18/05/2020,0,696,Round 1
South West,45-54,21,18/05/2020,1,929,Round 1
South West,55-64,21,18/05/2020,1,1068,Round 1
South West,65+,21,18/05/2020,0,1342,Round 1
East of England,5-12,22,25/05/2020,0,299,Round 1
East of England,13-17,22,25/05/2020,0,184,Round 1
East of England,18-24,22,25/05/2020,0,150,Round 1
East of England,25-34,22,25/05/2020,0,316,Round 1
East of England,35-44,22,25/05/2020,0,403,Round 1
East of England,45-54,22,25/05/2020,0,497,Round 1
East of England,55-64,22,25/05/2020,0,417,Round 1
East of England,65+,22,25/05/2020,1,511,Round 1
London,5-12,22,25/05/2020,0,207,Round 1
London,13-17,22,25/05/2020,0,133,Round 1
London,18-24,22,25/05/2020,0,111,Round 1
London,25-34,22,25/05/2020,0,383,Round 1
London,35-44,22,25/05/2020,0,428,Round 1
London,45-54,22,25/05/2020,1,337,Round 1
London,55-64,22,25/05/2020,1,295,Round 1
London,65+,22,25/05/2020,0,287,Round 1
Midlands,5-12,22,25/05/2020,0,378,Round 1
Midlands,13-17,22,25/05/2020,0,261,Round 1
Midlands,18-24,22,25/05/2020,0,207,Round 1
Midlands,25-34,22,25/05/2020,1,377,Round 1
Midlands,35-44,22,25/05/2020,1,536,Round 1
Midlands,45-54,22,25/05/2020,1,648,Round 1
Midlands,55-64,22,25/05/2020,0,660,Round 1
Midlands,65+,22,25/05/2020,1,713,Round 1
North East and Yorkshire,5-12,22,25/05/2020,0,230,Round 1
North East and Yorkshire,13-17,22,25/05/2020,1,163,Round 1
North East and Yorkshire,18-24,22,25/05/2020,1,137,Round 1
North East and Yorkshire,25-34,22,25/05/2020,0,256,Round 1
North East and Yorkshire,35-44,22,25/05/2020,0,332,Round 1
North East and Yorkshire,45-54,22,25/05/2020,1,451,Round 1
North East and Yorkshire,55-64,22,25/05/2020,0,478,Round 1
North East and Yorkshire,65+,22,25/05/2020,1,570,Round 1
North West,5-12,22,25/05/2020,0,212,Round 1
North West,13-17,22,25/05/2020,0,168,Round 1
North West,18-24,22,25/05/2020,0,107,Round 1
North West,25-34,22,25/05/2020,1,262,Round 1
North West,35-44,22,25/05/2020,0,316,Round 1
North West,45-54,22,25/05/2020,0,416,Round 1
North West,55-64,22,25/05/2020,0,426,Round 1
North West,65+,22,25/05/2020,1,486,Round 1
South East,5-12,22,25/05/2020,1,442,Round 1
South East,13-17,22,25/05/2020,2,311,Round 1
South East,18-24,22,25/05/2020,2,218,Round 1
South East,25-34,22,25/05/2020,2,478,Round 1
South East,35-44,22,25/05/2020,0,708,Round 1
South East,45-54,22,25/05/2020,0,811,Round 1
South East,55-64,22,25/05/2020,0,743,Round 1
South East,65+,22,25/05/2020,0,902,Round 1
South West,5-12,22,25/05/2020,0,171,Round 1
South West,13-17,22,25/05/2020,0,104,Round 1
South West,18-24,22,25/05/2020,0,69,Round 1
South West,25-34,22,25/05/2020,0,171,Round 1
South West,35-44,22,25/05/2020,0,213,Round 1
South West,45-54,22,25/05/2020,0,294,Round 1
South West,55-64,22,25/05/2020,0,272,Round 1
South West,65+,22,25/05/2020,0,354,Round 1
East of England,5-12,23,01/06/2020,0,14,Round 1
East of England,13-17,23,01/06/2020,0,6,Round 1
East of England,18-24,23,01/06/2020,0,5,Round 1
East of England,25-34,23,01/06/2020,0,8,Round 1
East of England,35-44,23,01/06/2020,0,7,Round 1
East of England,45-54,23,01/06/2020,0,4,Round 1
East of England,55-64,23,01/06/2020,0,10,Round 1
East of England,65+,23,01/06/2020,0,9,Round 1
London,5-12,23,01/06/2020,0,10,Round 1
London,13-17,23,01/06/2020,0,4,Round 1
London,18-24,23,01/06/2020,0,4,Round 1
London,25-34,23,01/06/2020,0,14,Round 1
London,35-44,23,01/06/2020,0,6,Round 1
London,45-54,23,01/06/2020,0,13,Round 1
London,55-64,23,01/06/2020,0,5,Round 1
London,65+,23,01/06/2020,0,9,Round 1
Midlands,5-12,23,01/06/2020,0,20,Round 1
Midlands,13-17,23,01/06/2020,0,7,Round 1
Midlands,18-24,23,01/06/2020,0,4,Round 1
Midlands,25-34,23,01/06/2020,0,5,Round 1
Midlands,35-44,23,01/06/2020,0,7,Round 1
Midlands,45-54,23,01/06/2020,0,18,Round 1
Midlands,55-64,23,01/06/2020,0,10,Round 1
Midlands,65+,23,01/06/2020,0,11,Round 1
North East and Yorkshire,5-12,23,01/06/2020,0,8,Round 1
North East and Yorkshire,13-17,23,01/06/2020,0,2,Round 1
North East and Yorkshire,18-24,23,01/06/2020,0,5,Round 1
North East and Yorkshire,35-44,23,01/06/2020,0,7,Round 1
North East and Yorkshire,45-54,23,01/06/2020,0,3,Round 1
North East and Yorkshire,55-64,23,01/06/2020,0,6,Round 1
North East and Yorkshire,65+,23,01/06/2020,0,5,Round 1
North West,5-12,23,01/06/2020,0,17,Round 1
North West,13-17,23,01/06/2020,0,8,Round 1
North West,18-24,23,01/06/2020,0,1,Round 1
North West,25-34,23,01/06/2020,0,8,Round 1
North West,35-44,23,01/06/2020,0,12,Round 1
North West,45-54,23,01/06/2020,0,6,Round 1
North West,55-64,23,01/06/2020,0,3,Round 1
North West,65+,23,01/06/2020,0,8,Round 1
South East,5-12,23,01/06/2020,0,26,Round 1
South East,13-17,23,01/06/2020,0,11,Round 1
South East,18-24,23,01/06/2020,1,10,Round 1
South East,25-34,23,01/06/2020,0,11,Round 1
South East,35-44,23,01/06/2020,0,16,Round 1
South East,45-54,23,01/06/2020,0,15,Round 1
South East,55-64,23,01/06/2020,1,16,Round 1
South East,65+,23,01/06/2020,0,14,Round 1
South West,5-12,23,01/06/2020,0,11,Round 1
South West,13-17,23,01/06/2020,0,3,Round 1
South West,18-24,23,01/06/2020,0,1,Round 1
South West,35-44,23,01/06/2020,0,3,Round 1
South West,45-54,23,01/06/2020,0,6,Round 1
South West,55-64,23,01/06/2020,0,3,Round 1
South West,65+,23,01/06/2020,0,5,Round 1
East of England,5-12,25,15/06/2020,0,186,Round 2
East of England,13-17,25,15/06/2020,0,127,Round 2
East of England,18-24,25,15/06/2020,0,134,Round 2
East of England,25-34,25,15/06/2020,1,172,Round 2
East of England,35-44,25,15/06/2020,0,223,Round 2
East of England,45-54,25,15/06/2020,1,219,Round 2
East of England,55-64,25,15/06/2020,2,224,Round 2
East of England,65+,25,15/06/2020,0,282,Round 2
London,5-12,25,15/06/2020,0,81,Round 2
London,13-17,25,15/06/2020,0,64,Round 2
London,18-24,25,15/06/2020,0,82,Round 2
London,25-34,25,15/06/2020,0,131,Round 2
London,35-44,25,15/06/2020,0,117,Round 2
London,45-54,25,15/06/2020,0,105,Round 2
London,55-64,25,15/06/2020,0,79,Round 2
London,65+,25,15/06/2020,0,98,Round 2
Midlands,5-12,25,15/06/2020,0,227,Round 2
Midlands,13-17,25,15/06/2020,1,186,Round 2
Midlands,18-24,25,15/06/2020,0,158,Round 2
Midlands,25-34,25,15/06/2020,0,273,Round 2
Midlands,35-44,25,15/06/2020,2,254,Round 2
Midlands,45-54,25,15/06/2020,0,290,Round 2
Midlands,55-64,25,15/06/2020,1,320,Round 2
Midlands,65+,25,15/06/2020,0,461,Round 2
North East and Yorkshire,5-12,25,15/06/2020,0,135,Round 2
North East and Yorkshire,13-17,25,15/06/2020,0,107,Round 2
North East and Yorkshire,18-24,25,15/06/2020,0,93,Round 2
North East and Yorkshire,25-34,25,15/06/2020,0,154,Round 2
North East and Yorkshire,35-44,25,15/06/2020,0,152,Round 2
North East and Yorkshire,45-54,25,15/06/2020,0,199,Round 2
North East and Yorkshire,55-64,25,15/06/2020,0,195,Round 2
North East and Yorkshire,65+,25,15/06/2020,0,226,Round 2
North West,5-12,25,15/06/2020,0,147,Round 2
North West,13-17,25,15/06/2020,0,100,Round 2
North West,18-24,25,15/06/2020,0,94,Round 2
North West,25-34,25,15/06/2020,0,152,Round 2
North West,35-44,25,15/06/2020,1,194,Round 2
North West,45-54,25,15/06/2020,0,173,Round 2
North West,55-64,25,15/06/2020,1,180,Round 2
North West,65+,25,15/06/2020,0,239,Round 2
South East,5-12,25,15/06/2020,0,197,Round 2
South East,13-17,25,15/06/2020,0,131,Round 2
South East,18-24,25,15/06/2020,0,145,Round 2
South East,25-34,25,15/06/2020,0,185,Round 2
South East,35-44,25,15/06/2020,0,195,Round 2
South East,45-54,25,15/06/2020,1,286,Round 2
South East,55-64,25,15/06/2020,1,259,Round 2
South East,65+,25,15/06/2020,1,337,Round 2
South West,5-12,25,15/06/2020,0,108,Round 2
South West,13-17,25,15/06/2020,0,84,Round 2
South West,18-24,25,15/06/2020,0,57,Round 2
South West,25-34,25,15/06/2020,0,103,Round 2
South West,35-44,25,15/06/2020,1,110,Round 2
South West,45-54,25,15/06/2020,0,129,Round 2
South West,55-64,25,15/06/2020,1,140,Round 2
South West,65+,25,15/06/2020,0,201,Round 2
East of England,5-12,26,22/06/2020,0,1061,Round 2
East of England,13-17,26,22/06/2020,0,809,Round 2
East of England,18-24,26,22/06/2020,0,616,Round 2
East of England,25-34,26,22/06/2020,1,1256,Round 2
East of England,35-44,26,22/06/2020,1,1638,Round 2
East of England,45-54,26,22/06/2020,1,2201,Round 2
East of England,55-64,26,22/06/2020,3,2529,Round 2
East of England,65+,26,22/06/2020,0,3720,Round 2
London,5-12,26,22/06/2020,3,687,Round 2
London,13-17,26,22/06/2020,1,537,Round 2
London,18-24,26,22/06/2020,0,455,Round 2
London,25-34,26,22/06/2020,3,1275,Round 2
London,35-44,26,22/06/2020,1,1389,Round 2
London,45-54,26,22/06/2020,1,1213,Round 2
London,55-64,26,22/06/2020,2,1174,Round 2
London,65+,26,22/06/2020,3,1359,Round 2
Midlands,5-12,26,22/06/2020,0,1533,Round 2
Midlands,13-17,26,22/06/2020,1,1196,Round 2
Midlands,18-24,26,22/06/2020,0,945,Round 2
Midlands,25-34,26,22/06/2020,1,1818,Round 2
Midlands,35-44,26,22/06/2020,2,2342,Round 2
Midlands,45-54,26,22/06/2020,5,3197,Round 2
Midlands,55-64,26,22/06/2020,3,3708,Round 2
Midlands,65+,26,22/06/2020,4,5489,Round 2
North East and Yorkshire,5-12,26,22/06/2020,0,768,Round 2
North East and Yorkshire,13-17,26,22/06/2020,0,572,Round 2
North East and Yorkshire,18-24,26,22/06/2020,0,518,Round 2
North East and Yorkshire,25-34,26,22/06/2020,1,947,Round 2
North East and Yorkshire,35-44,26,22/06/2020,0,1226,Round 2
North East and Yorkshire,45-54,26,22/06/2020,0,1626,Round 2
North East and Yorkshire,55-64,26,22/06/2020,1,2105,Round 2
North East and Yorkshire,65+,26,22/06/2020,1,2992,Round 2
North West,5-12,26,22/06/2020,0,685,Round 2
North West,13-17,26,22/06/2020,0,550,Round 2
North West,18-24,26,22/06/2020,1,506,Round 2
North West,25-34,26,22/06/2020,2,904,Round 2
North West,35-44,26,22/06/2020,1,1133,Round 2
North West,45-54,26,22/06/2020,2,1540,Round 2
North West,55-64,26,22/06/2020,4,1865,Round 2
North West,65+,26,22/06/2020,1,2628,Round 2
South East,5-12,26,22/06/2020,1,1569,Round 2
South East,13-17,26,22/06/2020,0,1199,Round 2
South East,18-24,26,22/06/2020,1,912,Round 2
South East,25-34,26,22/06/2020,2,1530,Round 2
South East,35-44,26,22/06/2020,3,2324,Round 2
South East,45-54,26,22/06/2020,1,3071,Round 2
South East,55-64,26,22/06/2020,1,3454,Round 2
South East,65+,26,22/06/2020,1,5182,Round 2
South West,5-12,26,22/06/2020,0,613,Round 2
South West,13-17,26,22/06/2020,0,452,Round 2
South West,18-24,26,22/06/2020,0,374,Round 2
South West,25-34,26,22/06/2020,1,694,Round 2
South West,35-44,26,22/06/2020,0,863,Round 2
South West,45-54,26,22/06/2020,0,1209,Round 2
South West,55-64,26,22/06/2020,3,1609,Round 2
South West,65+,26,22/06/2020,5,2491,Round 2
East of England,5-12,27,29/06/2020,0,690,Round 2
East of England,13-17,27,29/06/2020,0,440,Round 2
East of England,18-24,27,29/06/2020,1,335,Round 2
East of England,25-34,27,29/06/2020,0,797,Round 2
East of England,35-44,27,29/06/2020,1,1146,Round 2
East of England,45-54,27,29/06/2020,1,1431,Round 2
East of England,55-64,27,29/06/2020,1,1417,Round 2
East of England,65+,27,29/06/2020,3,1498,Round 2
London,5-12,27,29/06/2020,1,516,Round 2
London,13-17,27,29/06/2020,0,344,Round 2
London,18-24,27,29/06/2020,0,334,Round 2
London,25-34,27,29/06/2020,3,1095,Round 2
London,35-44,27,29/06/2020,1,1254,Round 2
London,45-54,27,29/06/2020,1,1146,Round 2
London,55-64,27,29/06/2020,0,864,Round 2
London,65+,27,29/06/2020,2,832,Round 2
Midlands,5-12,27,29/06/2020,0,1020,Round 2
Midlands,13-17,27,29/06/2020,1,651,Round 2
Midlands,18-24,27,29/06/2020,0,540,Round 2
Midlands,25-34,27,29/06/2020,1,1183,Round 2
Midlands,35-44,27,29/06/2020,2,1531,Round 2
Midlands,45-54,27,29/06/2020,0,2223,Round 2
Midlands,55-64,27,29/06/2020,2,2097,Round 2
Midlands,65+,27,29/06/2020,0,2312,Round 2
North East and Yorkshire,5-12,27,29/06/2020,0,500,Round 2
North East and Yorkshire,13-17,27,29/06/2020,0,337,Round 2
North East and Yorkshire,18-24,27,29/06/2020,0,259,Round 2
North East and Yorkshire,25-34,27,29/06/2020,0,647,Round 2
North East and Yorkshire,35-44,27,29/06/2020,0,801,Round 2
North East and Yorkshire,45-54,27,29/06/2020,2,1148,Round 2
North East and Yorkshire,55-64,27,29/06/2020,2,1248,Round 2
North East and Yorkshire,65+,27,29/06/2020,0,1238,Round 2
North West,5-12,27,29/06/2020,0,464,Round 2
North West,13-17,27,29/06/2020,0,281,Round 2
North West,18-24,27,29/06/2020,0,269,Round 2
North West,25-34,27,29/06/2020,0,543,Round 2
North West,35-44,27,29/06/2020,0,770,Round 2
North West,45-54,27,29/06/2020,2,988,Round 2
North West,55-64,27,29/06/2020,1,1019,Round 2
North West,65+,27,29/06/2020,1,1043,Round 2
South East,5-12,27,29/06/2020,1,1101,Round 2
South East,13-17,27,29/06/2020,0,678,Round 2
South East,18-24,27,29/06/2020,1,550,Round 2
South East,25-34,27,29/06/2020,0,1223,Round 2
South East,35-44,27,29/06/2020,2,1824,Round 2
South East,45-54,27,29/06/2020,2,2274,Round 2
South East,55-64,27,29/06/2020,1,2279,Round 2
South East,65+,27,29/06/2020,1,2433,Round 2
South West,5-12,27,29/06/2020,0,411,Round 2
South West,13-17,27,29/06/2020,0,321,Round 2
South West,18-24,27,29/06/2020,0,257,Round 2
South West,25-34,27,29/06/2020,1,478,Round 2
South West,35-44,27,29/06/2020,0,682,Round 2
South West,45-54,27,29/06/2020,0,959,Round 2
South West,55-64,27,29/06/2020,0,1008,Round 2
South West,65+,27,29/06/2020,0,1283,Round 2
East of England,5-12,28,06/07/2020,0,24,Round 2
East of England,13-17,28,06/07/2020,0,18,Round 2
East of England,18-24,28,06/07/2020,0,22,Round 2
East of England,25-34,28,06/07/2020,0,45,Round 2
East of England,35-44,28,06/07/2020,0,54,Round 2
East of England,45-54,28,06/07/2020,0,48,Round 2
East of England,55-64,28,06/07/2020,0,54,Round 2
East of England,65+,28,06/07/2020,0,41,Round 2
London,5-12,28,06/07/2020,0,22,Round 2
London,13-17,28,06/07/2020,0,14,Round 2
London,18-24,28,06/07/2020,0,12,Round 2
London,25-34,28,06/07/2020,0,50,Round 2
London,35-44,28,06/07/2020,1,70,Round 2
London,45-54,28,06/07/2020,0,51,Round 2
London,55-64,28,06/07/2020,0,42,Round 2
London,65+,28,06/07/2020,0,29,Round 2
Midlands,5-12,28,06/07/2020,0,59,Round 2
Midlands,13-17,28,06/07/2020,0,30,Round 2
Midlands,18-24,28,06/07/2020,0,29,Round 2
Midlands,25-34,28,06/07/2020,0,69,Round 2
Midlands,35-44,28,06/07/2020,0,103,Round 2
Midlands,45-54,28,06/07/2020,0,103,Round 2
Midlands,55-64,28,06/07/2020,0,89,Round 2
Midlands,65+,28,06/07/2020,0,74,Round 2
North East and Yorkshire,5-12,28,06/07/2020,0,22,Round 2
North East and Yorkshire,13-17,28,06/07/2020,0,10,Round 2
North East and Yorkshire,18-24,28,06/07/2020,0,16,Round 2
North East and Yorkshire,25-34,28,06/07/2020,0,32,Round 2
North East and Yorkshire,35-44,28,06/07/2020,0,30,Round 2
North East and Yorkshire,45-54,28,06/07/2020,0,51,Round 2
North East and Yorkshire,55-64,28,06/07/2020,0,41,Round 2
North East and Yorkshire,65+,28,06/07/2020,0,27,Round 2
North West,5-12,28,06/07/2020,0,10,Round 2
North West,13-17,28,06/07/2020,0,21,Round 2
North West,18-24,28,06/07/2020,0,8,Round 2
North West,25-34,28,06/07/2020,0,36,Round 2
North West,35-44,28,06/07/2020,0,32,Round 2
North West,45-54,28,06/07/2020,0,34,Round 2
