"region","age_group","react_week_number","react_week_start_date","number_positive","number_samples","round"
"South East","35-44",18,2020-04-27,0,3,"Round 1"
"South East","35-44",19,2020-05-04,0,87,"Round 1"
"South East","35-44",20,2020-05-11,3,667,"Round 1"
"South East","35-44",21,2020-05-18,0,1895,"Round 1"
"South East","35-44",22,2020-05-25,0,725,"Round 1"
"South East","35-44",23,2020-06-01,0,16,"Round 1"
"South East","5-12",19,2020-05-04,0,18,"Round 1"
"South East","5-12",20,2020-05-11,0,490,"Round 1"
"South East","5-12",21,2020-05-18,2,1214,"Round 1"
"South East","5-12",22,2020-05-25,1,450,"Round 1"
"South East","5-12",23,2020-06-01,0,26,"Round 1"
"South East","13-17",18,2020-04-27,0,2,"Round 1"
"South East","13-17",19,2020-05-04,0,7,"Round 1"
"South East","13-17",20,2020-05-11,2,312,"Round 1"
"South East","13-17",21,2020-05-18,1,898,"Round 1"
"South East","13-17",22,2020-05-25,2,314,"Round 1"
"South East","13-17",23,2020-06-01,0,11,"Round 1"
"South East","18-24",18,2020-04-27,0,2,"Round 1"
"South East","18-24",19,2020-05-04,1,27,"Round 1"
"South East","18-24",20,2020-05-11,1,330,"Round 1"
"South East","18-24",21,2020-05-18,1,735,"Round 1"
"South East","18-24",22,2020-05-25,2,221,"Round 1"
"South East","18-24",23,2020-06-01,1,10,"Round 1"
"South East","25-34",18,2020-04-27,0,2,"Round 1"
"South East","25-34",19,2020-05-04,0,63,"Round 1"
"South East","25-34",20,2020-05-11,5,496,"Round 1"
"South East","25-34",21,2020-05-18,1,1496,"Round 1"
"South East","25-34",22,2020-05-25,2,488,"Round 1"
"South East","25-34",23,2020-06-01,0,11,"Round 1"
"South East","45-54",18,2020-04-27,0,1,"Round 1"
"South East","45-54",19,2020-05-04,0,105,"Round 1"
"South East","45-54",20,2020-05-11,1,892,"Round 1"
"South East","45-54",21,2020-05-18,5,2575,"Round 1"
"South East","45-54",22,2020-05-25,0,822,"Round 1"
"South East","45-54",23,2020-06-01,0,15,"Round 1"
"South East","55-64",18,2020-04-27,0,5,"Round 1"
"South East","55-64",19,2020-05-04,0,64,"Round 1"
"South East","55-64",20,2020-05-11,3,941,"Round 1"
"South East","55-64",21,2020-05-18,2,2668,"Round 1"
"South East","55-64",22,2020-05-25,0,756,"Round 1"
"South East","55-64",23,2020-06-01,1,17,"Round 1"
"South East","65+",18,2020-04-27,0,12,"Round 1"
"South East","65+",19,2020-05-04,0,144,"Round 1"
"South East","65+",20,2020-05-11,1,1048,"Round 1"
"South East","65+",21,2020-05-18,2,3099,"Round 1"
"South East","65+",22,2020-05-25,0,912,"Round 1"
"South East","65+",23,2020-06-01,0,15,"Round 1"
"North East","35-44",19,2020-05-04,0,8,"Round 1"
"North East","35-44",20,2020-05-11,1,76,"Round 1"
"North East","35-44",21,2020-05-18,0,310,"Round 1"
"North East","35-44",22,2020-05-25,0,132,"Round 1"
"North East","35-44",23,2020-06-01,0,5,"Round 1"
"North East","5-12",19,2020-05-04,0,1,"Round 1"
"North East","5-12",20,2020-05-11,0,52,"Round 1"
"North East","5-12",21,2020-05-18,0,178,"Round 1"
"North East","5-12",22,2020-05-25,0,71,"Round 1"
"North East","5-12",23,2020-06-01,0,2,"Round 1"
"North East","13-17",19,2020-05-04,0,1,"Round 1"
"North East","13-17",20,2020-05-11,0,25,"Round 1"
"North East","13-17",21,2020-05-18,1,128,"Round 1"
"North East","13-17",22,2020-05-25,0,72,"Round 1"
"North East","13-17",23,2020-06-01,0,1,"Round 1"
"North East","18-24",20,2020-05-11,0,39,"Round 1"
"North East","18-24",21,2020-05-18,0,151,"Round 1"
"North East","18-24",22,2020-05-25,1,57,"Round 1"
"North East","18-24",23,2020-06-01,0,2,"Round 1"
"North East","25-34",19,2020-05-04,0,11,"Round 1"
"North East","25-34",20,2020-05-11,0,86,"Round 1"
"North East","25-34",21,2020-05-18,0,279,"Round 1"
"North East","25-34",22,2020-05-25,0,98,"Round 1"
"North East","45-54",18,2020-04-27,0,2,"Round 1"
"North East","45-54",19,2020-05-04,0,21,"Round 1"
"North East","45-54",20,2020-05-11,0,112,"Round 1"
"North East","45-54",21,2020-05-18,0,375,"Round 1"
"North East","45-54",22,2020-05-25,0,183,"Round 1"
"North East","45-54",23,2020-06-01,0,1,"Round 1"
"North East","55-64",19,2020-05-04,0,4,"Round 1"
"North East","55-64",20,2020-05-11,1,107,"Round 1"
"North East","55-64",21,2020-05-18,0,464,"Round 1"
"North East","55-64",22,2020-05-25,0,204,"Round 1"
