"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"East of England","35-44",73,2021-05-17,0,127
"East of England","35-44",74,2021-05-24,1,656
"East of England","35-44",75,2021-05-31,2,559
"East of England","35-44",76,2021-06-07,0,85
"East of England","5-12",73,2021-05-17,0,105
"East of England","5-12",74,2021-05-24,1,418
"East of England","5-12",75,2021-05-31,2,369
"East of England","5-12",76,2021-06-07,0,59
"East of England","13-17",73,2021-05-17,0,85
"East of England","13-17",74,2021-05-24,0,337
"East of England","13-17",75,2021-05-31,0,230
"East of England","13-17",76,2021-06-07,0,40
"East of England","18-24",73,2021-05-17,0,53
"East of England","18-24",74,2021-05-24,0,229
"East of England","18-24",75,2021-05-31,0,163
"East of England","18-24",76,2021-06-07,1,24
"East of England","25-34",73,2021-05-17,0,76
"East of England","25-34",74,2021-05-24,0,431
"East of England","25-34",75,2021-05-31,0,340
"East of England","25-34",76,2021-06-07,0,63
"East of England","45-54",73,2021-05-17,0,159
"East of England","45-54",74,2021-05-24,3,952
"East of England","45-54",75,2021-05-31,1,844
"East of England","45-54",76,2021-06-07,0,105
"East of England","55-64",73,2021-05-17,0,243
"East of England","55-64",74,2021-05-24,2,1242
"East of England","55-64",75,2021-05-31,1,961
"East of England","55-64",76,2021-06-07,0,97
"East of England","65+",73,2021-05-17,0,427
"East of England","65+",74,2021-05-24,3,2195
"East of England","65+",75,2021-05-31,1,1246
"East of England","65+",76,2021-06-07,0,78
"London","35-44",73,2021-05-17,0,189
"London","35-44",74,2021-05-24,1,1315
"London","35-44",75,2021-05-31,2,1046
"London","35-44",76,2021-06-07,1,209
"London","5-12",73,2021-05-17,1,115
"London","5-12",74,2021-05-24,2,696
"London","5-12",75,2021-05-31,1,537
"London","5-12",76,2021-06-07,0,75
"London","13-17",73,2021-05-17,0,123
"London","13-17",74,2021-05-24,0,437
"London","13-17",75,2021-05-31,0,345
"London","13-17",76,2021-06-07,0,31
"London","18-24",73,2021-05-17,0,70
"London","18-24",74,2021-05-24,0,332
"London","18-24",75,2021-05-31,0,245
"London","18-24",76,2021-06-07,0,29
"London","25-34",73,2021-05-17,0,165
"London","25-34",74,2021-05-24,0,1056
"London","25-34",75,2021-05-31,3,946
"London","25-34",76,2021-06-07,0,140
"London","45-54",73,2021-05-17,0,204
"London","45-54",74,2021-05-24,2,1315
"London","45-54",75,2021-05-31,1,1099
"London","45-54",76,2021-06-07,1,178
"London","55-64",73,2021-05-17,0,238
"London","55-64",74,2021-05-24,1,1238
"London","55-64",75,2021-05-31,2,1141
"London","55-64",76,2021-06-07,0,115
"London","65+",73,2021-05-17,0,333
"London","65+",74,2021-05-24,0,1685
"London","65+",75,2021-05-31,3,1095
"London","65+",76,2021-06-07,0,95
"Midlands","35-44",73,2021-05-17,1,179
"Midlands","35-44",74,2021-05-24,1,957
"Midlands","35-44",75,2021-05-31,0,863
"Midlands","35-44",76,2021-06-07,0,144
"Midlands","5-12",73,2021-05-17,0,156
"Midlands","5-12",74,2021-05-24,2,561
"Midlands","5-12",75,2021-05-31,3,497
"Midlands","5-12",76,2021-06-07,1,87
"Midlands","13-17",73,2021-05-17,0,143
"Midlands","13-17",74,2021-05-24,0,556
"Midlands","13-17",75,2021-05-31,1,385
"Midlands","13-17",76,2021-06-07,1,48
"Midlands","18-24",73,2021-05-17,0,98
"Midlands","18-24",74,2021-05-24,2,355
"Midlands","18-24",75,2021-05-31,0,303
"Midlands","18-24",76,2021-06-07,1,42
"Midlands","25-34",73,2021-05-17,0,131
"Midlands","25-34",74,2021-05-24,0,646
"Midlands","25-34",75,2021-05-31,1,635
"Midlands","25-34",76,2021-06-07,0,73
"Midlands","45-54",73,2021-05-17,0,270
"Midlands","45-54",74,2021-05-24,0,1440
"Midlands","45-54",75,2021-05-31,2,1405
"Midlands","45-54",76,2021-06-07,0,156
"Midlands","55-64",73,2021-05-17,0,322
"Midlands","55-64",74,2021-05-24,2,1736
"Midlands","55-64",75,2021-05-31,1,1656
"Midlands","55-64",76,2021-06-07,0,150
"Midlands","65+",73,2021-05-17,0,654
"Midlands","65+",74,2021-05-24,2,2986
"Midlands","65+",75,2021-05-31,3,1971
"Midlands","65+",76,2021-06-07,0,155
"North East and Yorkshire","35-44",73,2021-05-17,0,116
"North East and Yorkshire","35-44",74,2021-05-24,0,802
"North East and Yorkshire","35-44",75,2021-05-31,3,694
"North East and Yorkshire","35-44",76,2021-06-07,0,92
"North East and Yorkshire","5-12",73,2021-05-17,0,114
"North East and Yorkshire","5-12",74,2021-05-24,3,480
"North East and Yorkshire","5-12",75,2021-05-31,4,374
"North East and Yorkshire","5-12",76,2021-06-07,0,62
"North East and Yorkshire","13-17",73,2021-05-17,1,117
"North East and Yorkshire","13-17",74,2021-05-24,1,433
"North East and Yorkshire","13-17",75,2021-05-31,2,273
"North East and Yorkshire","13-17",76,2021-06-07,0,27
"North East and Yorkshire","18-24",73,2021-05-17,0,68
"North East and Yorkshire","18-24",74,2021-05-24,1,320
"North East and Yorkshire","18-24",75,2021-05-31,1,227
"North East and Yorkshire","18-24",76,2021-06-07,1,24
"North East and Yorkshire","25-34",73,2021-05-17,0,120
"North East and Yorkshire","25-34",74,2021-05-24,0,582
"North East and Yorkshire","25-34",75,2021-05-31,0,480
"North East and Yorkshire","25-34",76,2021-06-07,0,46
"North East and Yorkshire","45-54",73,2021-05-17,0,217
"North East and Yorkshire","45-54",74,2021-05-24,2,1161
"North East and Yorkshire","45-54",75,2021-05-31,2,997
"North East and Yorkshire","45-54",76,2021-06-07,0,148
"North East and Yorkshire","55-64",73,2021-05-17,0,282
"North East and Yorkshire","55-64",74,2021-05-24,0,1649
"North East and Yorkshire","55-64",75,2021-05-31,0,1299
"North East and Yorkshire","55-64",76,2021-06-07,0,125
"North East and Yorkshire","65+",73,2021-05-17,1,548
"North East and Yorkshire","65+",74,2021-05-24,0,2767
"North East and Yorkshire","65+",75,2021-05-31,1,1586
"North East and Yorkshire","65+",76,2021-06-07,0,117
"North West","35-44",73,2021-05-17,0,97
"North West","35-44",74,2021-05-24,2,610
"North West","35-44",75,2021-05-31,0,555
"North West","35-44",76,2021-06-07,0,81
"North West","5-12",73,2021-05-17,0,83
"North West","5-12",74,2021-05-24,3,339
"North West","5-12",75,2021-05-31,1,305
"North West","5-12",76,2021-06-07,0,42
"North West","13-17",73,2021-05-17,0,80
"North West","13-17",74,2021-05-24,2,353
"North West","13-17",75,2021-05-31,0,212
"North West","13-17",76,2021-06-07,0,26
"North West","18-24",73,2021-05-17,0,56
"North West","18-24",74,2021-05-24,1,227
"North West","18-24",75,2021-05-31,2,136
"North West","18-24",76,2021-06-07,0,24
"North West","25-34",73,2021-05-17,0,89
"North West","25-34",74,2021-05-24,3,477
"North West","25-34",75,2021-05-31,2,398
"North West","25-34",76,2021-06-07,0,42
"North West","45-54",73,2021-05-17,0,162
"North West","45-54",74,2021-05-24,1,926
"North West","45-54",75,2021-05-31,1,814
"North West","45-54",76,2021-06-07,0,102
"North West","55-64",73,2021-05-17,0,237
"North West","55-64",74,2021-05-24,1,1234
"North West","55-64",75,2021-05-31,0,1025
"North West","55-64",76,2021-06-07,0,102
"North West","65+",73,2021-05-17,0,451
"North West","65+",74,2021-05-24,1,2086
"North West","65+",75,2021-05-31,1,1230
"North West","65+",76,2021-06-07,0,103
"South East","35-44",73,2021-05-17,1,156
"South East","35-44",74,2021-05-24,0,1011
"South East","35-44",75,2021-05-31,0,738
"South East","35-44",76,2021-06-07,0,133
"South East","5-12",73,2021-05-17,0,163
"South East","5-12",74,2021-05-24,0,605
"South East","5-12",75,2021-05-31,1,480
"South East","5-12",76,2021-06-07,0,76
"South East","13-17",73,2021-05-17,0,115
"South East","13-17",74,2021-05-24,0,478
"South East","13-17",75,2021-05-31,1,330
"South East","13-17",76,2021-06-07,0,51
"South East","18-24",73,2021-05-17,0,73
"South East","18-24",74,2021-05-24,1,294
"South East","18-24",75,2021-05-31,1,229
"South East","18-24",76,2021-06-07,0,35
"South East","25-34",73,2021-05-17,0,110
"South East","25-34",74,2021-05-24,1,563
"South East","25-34",75,2021-05-31,0,527
"South East","25-34",76,2021-06-07,1,68
"South East","45-54",73,2021-05-17,0,264
"South East","45-54",74,2021-05-24,3,1430
"South East","45-54",75,2021-05-31,1,1165
"South East","45-54",76,2021-06-07,1,162
"South East","55-64",73,2021-05-17,0,364
"South East","55-64",74,2021-05-24,0,1774
"South East","55-64",75,2021-05-31,3,1394
"South East","55-64",76,2021-06-07,0,124
"South East","65+",73,2021-05-17,0,663
"South East","65+",74,2021-05-24,3,2842
"South East","65+",75,2021-05-31,2,1694
"South East","65+",76,2021-06-07,0,129
"South West","35-44",73,2021-05-17,0,93
"South West","35-44",74,2021-05-24,0,561
"South West","35-44",75,2021-05-31,0,423
"South West","35-44",76,2021-06-07,0,70
"South West","5-12",73,2021-05-17,0,90
"South West","5-12",74,2021-05-24,1,368
"South West","5-12",75,2021-05-31,0,270
"South West","5-12",76,2021-06-07,0,45
"South West","13-17",73,2021-05-17,0,94
"South West","13-17",74,2021-05-24,0,292
"South West","13-17",75,2021-05-31,1,223
"South West","13-17",76,2021-06-07,0,25
"South West","18-24",73,2021-05-17,0,52
"South West","18-24",74,2021-05-24,0,168
"South West","18-24",75,2021-05-31,0,141
"South West","18-24",76,2021-06-07,0,16
"South West","25-34",73,2021-05-17,0,68
"South West","25-34",74,2021-05-24,0,396
"South West","25-34",75,2021-05-31,0,311
"South West","25-34",76,2021-06-07,0,44
"South West","45-54",73,2021-05-17,0,160
"South West","45-54",74,2021-05-24,1,918
"South West","45-54",75,2021-05-31,1,698
"South West","45-54",76,2021-06-07,0,88
"South West","55-64",73,2021-05-17,0,216
"South West","55-64",74,2021-05-24,2,1237
"South West","55-64",75,2021-05-31,1,846
"South West","55-64",76,2021-06-07,0,69
"South West","65+",73,2021-05-17,0,474
"South West","65+",74,2021-05-24,0,2101
"South West","65+",75,2021-05-31,0,1143
"South West","65+",76,2021-06-07,0,86
NA,"55-64",75,2021-05-31,0,1
