"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"East of England","35-44",63,2021-03-08,0,197
"East of England","35-44",64,2021-03-15,3,1252
"East of England","35-44",65,2021-03-22,0,954
"East of England","35-44",66,2021-03-29,0,71
"East of England","5-12",63,2021-03-08,0,167
"East of England","5-12",64,2021-03-15,3,817
"East of England","5-12",65,2021-03-22,2,537
"East of England","5-12",66,2021-03-29,0,52
"East of England","13-17",63,2021-03-08,1,191
"East of England","13-17",64,2021-03-15,0,630
"East of England","13-17",65,2021-03-22,1,286
"East of England","13-17",66,2021-03-29,0,16
"East of England","18-24",63,2021-03-08,0,121
"East of England","18-24",64,2021-03-15,0,450
"East of England","18-24",65,2021-03-22,0,260
"East of England","18-24",66,2021-03-29,0,37
"East of England","25-34",63,2021-03-08,1,153
"East of England","25-34",64,2021-03-15,2,835
"East of England","25-34",65,2021-03-22,1,599
"East of England","25-34",66,2021-03-29,0,57
"East of England","45-54",63,2021-03-08,1,296
"East of England","45-54",64,2021-03-15,2,1781
"East of England","45-54",65,2021-03-22,1,1078
"East of England","45-54",66,2021-03-29,0,100
"East of England","55-64",63,2021-03-08,1,392
"East of England","55-64",64,2021-03-15,1,2265
"East of England","55-64",65,2021-03-22,1,1130
"East of England","55-64",66,2021-03-29,0,76
"East of England","65+",63,2021-03-08,0,680
"East of England","65+",64,2021-03-15,4,3823
"East of England","65+",65,2021-03-22,2,1307
"East of England","65+",66,2021-03-29,0,47
"London","35-44",63,2021-03-08,1,147
"London","35-44",64,2021-03-15,2,1178
"London","35-44",65,2021-03-22,2,1066
"London","35-44",66,2021-03-29,0,100
"London","5-12",63,2021-03-08,1,85
"London","5-12",64,2021-03-15,3,582
"London","5-12",65,2021-03-22,1,487
"London","5-12",66,2021-03-29,0,50
"London","13-17",63,2021-03-08,0,127
"London","13-17",64,2021-03-15,0,391
"London","13-17",65,2021-03-22,0,206
"London","13-17",66,2021-03-29,0,15
"London","18-24",63,2021-03-08,0,87
"London","18-24",64,2021-03-15,0,299
"London","18-24",65,2021-03-22,0,238
"London","18-24",66,2021-03-29,2,30
"London","25-34",63,2021-03-08,0,141
"London","25-34",64,2021-03-15,1,1057
"London","25-34",65,2021-03-22,2,881
"London","25-34",66,2021-03-29,0,84
"London","45-54",63,2021-03-08,0,165
"London","45-54",64,2021-03-15,1,1107
"London","45-54",65,2021-03-22,2,912
"London","45-54",66,2021-03-29,0,70
"London","55-64",63,2021-03-08,0,166
"London","55-64",64,2021-03-15,1,995
"London","55-64",65,2021-03-22,1,794
"London","55-64",66,2021-03-29,0,44
"London","65+",63,2021-03-08,0,213
"London","65+",64,2021-03-15,0,1437
"London","65+",65,2021-03-22,2,751
"London","65+",66,2021-03-29,0,37
"Midlands","35-44",63,2021-03-08,0,367
"Midlands","35-44",64,2021-03-15,7,1784
