"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"East of England","35-44",30,2020-07-20,0,306
"East of England","35-44",31,2020-07-27,0,1480
"East of England","35-44",32,2020-08-03,1,1085
"East of England","35-44",33,2020-08-10,0,114
"East of England","5-12",30,2020-07-20,0,202
"East of England","5-12",31,2020-07-27,0,986
"East of England","5-12",32,2020-08-03,0,532
"East of England","5-12",33,2020-08-10,0,51
"East of England","13-17",30,2020-07-20,0,239
"East of England","13-17",31,2020-07-27,1,836
"East of England","13-17",32,2020-08-03,0,328
"East of England","13-17",33,2020-08-10,0,32
"East of England","18-24",30,2020-07-20,0,159
"East of England","18-24",31,2020-07-27,0,575
"East of England","18-24",32,2020-08-03,2,350
"East of England","18-24",33,2020-08-10,0,41
"East of England","25-34",30,2020-07-20,0,242
"East of England","25-34",31,2020-07-27,0,1087
"East of England","25-34",32,2020-08-03,0,720
"East of England","25-34",33,2020-08-10,0,79
"East of England","45-54",30,2020-07-20,0,380
"East of England","45-54",31,2020-07-27,0,2087
"East of England","45-54",32,2020-08-03,0,1448
"East of England","45-54",33,2020-08-10,0,132
"East of England","55-64",30,2020-07-20,0,427
"East of England","55-64",31,2020-07-27,0,2455
"East of England","55-64",32,2020-08-03,0,1468
"East of England","55-64",33,2020-08-10,0,97
"East of England","65+",30,2020-07-20,0,760
"East of England","65+",31,2020-07-27,2,3778
"East of England","65+",32,2020-08-03,0,1721
"East of England","65+",33,2020-08-10,0,108
"London","35-44",30,2020-07-20,0,183
"London","35-44",31,2020-07-27,0,1204
"London","35-44",32,2020-08-03,1,1039
"London","35-44",33,2020-08-10,0,107
"London","5-12",30,2020-07-20,0,110
"London","5-12",31,2020-07-27,0,586
"London","5-12",32,2020-08-03,0,421
"London","5-12",33,2020-08-10,0,32
"London","13-17",30,2020-07-20,1,122
"London","13-17",31,2020-07-27,1,466
"London","13-17",32,2020-08-03,0,253
"London","13-17",33,2020-08-10,0,26
"London","18-24",30,2020-07-20,0,83
"London","18-24",31,2020-07-27,0,384
"London","18-24",32,2020-08-03,0,316
"London","18-24",33,2020-08-10,0,29
"London","25-34",30,2020-07-20,0,193
"London","25-34",31,2020-07-27,1,1152
"London","25-34",32,2020-08-03,2,962
"London","25-34",33,2020-08-10,0,121
"London","45-54",30,2020-07-20,0,187
"London","45-54",31,2020-07-27,0,1166
"London","45-54",32,2020-08-03,1,981
"London","45-54",33,2020-08-10,0,98
"London","55-64",30,2020-07-20,0,165
"London","55-64",31,2020-07-27,0,1173
"London","55-64",32,2020-08-03,0,862
"London","55-64",33,2020-08-10,0,85
"London","65+",30,2020-07-20,0,240
"London","65+",31,2020-07-27,0,1381
"London","65+",32,2020-08-03,0,837
"London","65+",33,2020-08-10,0,47
"Midlands","35-44",30,2020-07-20,1,428
"Midlands","35-44",31,2020-07-27,0,2020
"Midlands","35-44",32,2020-08-03,1,1462
"Midlands","35-44",33,2020-08-10,0,154
"Midlands","5-12",30,2020-07-20,0,292
"Midlands","5-12",31,2020-07-27,0,1323
"Midlands","5-12",32,2020-08-03,0,707
"Midlands","5-12",33,2020-08-10,0,73
"Midlands","13-17",30,2020-07-20,0,338
"Midlands","13-17",31,2020-07-27,3,1146
"Midlands","13-17",32,2020-08-03,0,447
"Midlands","13-17",33,2020-08-10,0,58
"Midlands","18-24",30,2020-07-20,0,239
"Midlands","18-24",31,2020-07-27,0,794
