"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"London","55-64",56,2021-01-18,6,263
"London","65+",53,2020-12-28,0,5
"London","65+",54,2021-01-04,33,1657
"London","65+",55,2021-01-11,12,618
"London","65+",56,2021-01-18,3,204
"Midlands","35-44",53,2020-12-28,0,14
"Midlands","35-44",54,2021-01-04,27,2302
"Midlands","35-44",55,2021-01-11,22,1556
"Midlands","35-44",56,2021-01-18,6,406
"Midlands","5-12",53,2020-12-28,0,8
"Midlands","5-12",54,2021-01-04,10,1083
"Midlands","5-12",55,2021-01-11,16,1079
"Midlands","5-12",56,2021-01-18,1,214
"Midlands","13-17",53,2020-12-28,0,5
"Midlands","13-17",54,2021-01-04,16,1060
"Midlands","13-17",55,2021-01-11,16,779
"Midlands","13-17",56,2021-01-18,0,90
"Midlands","18-24",53,2020-12-28,0,5
"Midlands","18-24",54,2021-01-04,16,731
"Midlands","18-24",55,2021-01-11,12,489
"Midlands","18-24",56,2021-01-18,3,133
"Midlands","25-34",53,2020-12-28,0,9
"Midlands","25-34",54,2021-01-04,20,1538
"Midlands","25-34",55,2021-01-11,23,1101
"Midlands","25-34",56,2021-01-18,4,262
"Midlands","45-54",53,2020-12-28,0,10
"Midlands","45-54",54,2021-01-04,46,3296
"Midlands","45-54",55,2021-01-11,26,2196
"Midlands","45-54",56,2021-01-18,5,498
"Midlands","55-64",53,2020-12-28,0,16
"Midlands","55-64",54,2021-01-04,48,4335
"Midlands","55-64",55,2021-01-11,25,2152
"Midlands","55-64",56,2021-01-18,6,456
"Midlands","65+",53,2020-12-28,0,26
"Midlands","65+",54,2021-01-04,52,7132
"Midlands","65+",55,2021-01-11,16,2298
"Midlands","65+",56,2021-01-18,3,337
"North East and Yorkshire","35-44",53,2020-12-28,0,12
"North East and Yorkshire","35-44",54,2021-01-04,10,1282
"North East and Yorkshire","35-44",55,2021-01-11,7,698
"North East and Yorkshire","35-44",56,2021-01-18,2,214
"North East and Yorkshire","5-12",53,2020-12-28,0,3
"North East and Yorkshire","5-12",54,2021-01-04,13,617
"North East and Yorkshire","5-12",55,2021-01-11,4,417
"North East and Yorkshire","5-12",56,2021-01-18,0,116
"North East and Yorkshire","13-17",53,2020-12-28,0,1
"North East and Yorkshire","13-17",54,2021-01-04,8,596
"North East and Yorkshire","13-17",55,2021-01-11,2,278
"North East and Yorkshire","13-17",56,2021-01-18,0,53
"North East and Yorkshire","18-24",53,2020-12-28,0,10
"North East and Yorkshire","18-24",54,2021-01-04,9,431
"North East and Yorkshire","18-24",55,2021-01-11,3,225
"North East and Yorkshire","18-24",56,2021-01-18,1,63
"North East and Yorkshire","25-34",53,2020-12-28,0,4
"North East and Yorkshire","25-34",54,2021-01-04,8,910
"North East and Yorkshire","25-34",55,2021-01-11,8,460
"North East and Yorkshire","25-34",56,2021-01-18,2,139
"North East and Yorkshire","45-54",53,2020-12-28,0,9
"North East and Yorkshire","45-54",54,2021-01-04,20,1864
"North East and Yorkshire","45-54",55,2021-01-11,7,869
"North East and Yorkshire","45-54",56,2021-01-18,3,260
"North East and Yorkshire","55-64",53,2020-12-28,0,9
"North East and Yorkshire","55-64",54,2021-01-04,29,2705
"North East and Yorkshire","55-64",55,2021-01-11,6,922
"North East and Yorkshire","55-64",56,2021-01-18,3,259
"North East and Yorkshire","65+",53,2020-12-28,0,20
"North East and Yorkshire","65+",54,2021-01-04,22,4113
"North East and Yorkshire","65+",55,2021-01-11,9,922
"North East and Yorkshire","65+",56,2021-01-18,1,192
"North West","35-44",53,2020-12-28,0,8
"North West","35-44",54,2021-01-04,10,1019
"North West","35-44",55,2021-01-11,11,709
"North West","35-44",56,2021-01-18,1,195
"North West","5-12",53,2020-12-28,0,4
"North West","5-12",54,2021-01-04,4,532
"North West","5-12",55,2021-01-11,5,396
"North West","5-12",56,2021-01-18,1,90
"North West","13-17",53,2020-12-28,0,1
"North West","13-17",54,2021-01-04,7,460
"North West","13-17",55,2021-01-11,5,257
"North West","13-17",56,2021-01-18,1,41
"North West","18-24",53,2020-12-28,0,3
"North West","18-24",54,2021-01-04,5,343
"North West","18-24",55,2021-01-11,1,210
"North West","18-24",56,2021-01-18,1,51
"North West","25-34",53,2020-12-28,0,3
"North West","25-34",54,2021-01-04,13,714
"North West","25-34",55,2021-01-11,9,480
"North West","25-34",56,2021-01-18,1,116
"North West","45-54",53,2020-12-28,0,8
"North West","45-54",54,2021-01-04,24,1529
"North West","45-54",55,2021-01-11,8,851
"North West","45-54",56,2021-01-18,7,239
"North West","55-64",53,2020-12-28,0,8
"North West","55-64",54,2021-01-04,34,2063
"North West","55-64",55,2021-01-11,13,953
"North West","55-64",56,2021-01-18,0,232
"North West","65+",53,2020-12-28,0,15
"North West","65+",54,2021-01-04,24,3305
"North West","65+",55,2021-01-11,12,999
"North West","65+",56,2021-01-18,1,185
"South East","35-44",53,2020-12-28,0,10
"South East","35-44",54,2021-01-04,37,2614
"South East","35-44",55,2021-01-11,21,1853
"South East","35-44",56,2021-01-18,7,516
"South East","5-12",53,2020-12-28,0,5
"South East","5-12",54,2021-01-04,27,1272
"South East","5-12",55,2021-01-11,17,1338
"South East","5-12",56,2021-01-18,3,287
"South East","13-17",53,2020-12-28,0,1
"South East","13-17",54,2021-01-04,32,1079
"South East","13-17",55,2021-01-11,18,966
"South East","13-17",56,2021-01-18,1,151
"South East","18-24",53,2020-12-28,0,5
"South East","18-24",54,2021-01-04,23,815
"South East","18-24",55,2021-01-11,14,549
"South East","18-24",56,2021-01-18,3,126
"South East","25-34",53,2020-12-28,0,7
"South East","25-34",54,2021-01-04,31,1554
"South East","25-34",55,2021-01-11,18,1177
"South East","25-34",56,2021-01-18,0,332
"South East","45-54",53,2020-12-28,0,18
"South East","45-54",54,2021-01-04,62,3684
"South East","45-54",55,2021-01-11,33,2312
"South East","45-54",56,2021-01-18,5,576
"South East","55-64",53,2020-12-28,0,20
"South East","55-64",54,2021-01-04,58,4428
"South East","55-64",55,2021-01-11,44,2124
"South East","55-64",56,2021-01-18,5,517
"South East","65+",53,2020-12-28,0,35
"South East","65+",54,2021-01-04,71,7215
"South East","65+",55,2021-01-11,30,2230
"South East","65+",56,2021-01-18,2,366
"South West","35-44",53,2020-12-28,0,1
"South West","35-44",54,2021-01-04,11,868
"South West","35-44",55,2021-01-11,1,656
"South West","35-44",56,2021-01-18,1,324
"South West","5-12",53,2020-12-28,0,1
"South West","5-12",54,2021-01-04,2,404
"South West","5-12",55,2021-01-11,4,494
"South West","5-12",56,2021-01-18,3,175
"South West","13-17",53,2020-12-28,0,2
"South West","13-17",54,2021-01-04,1,360
"South West","13-17",55,2021-01-11,4,352
"South West","13-17",56,2021-01-18,0,114
"South West","18-24",54,2021-01-04,7,292
"South West","18-24",55,2021-01-11,0,231
"South West","18-24",56,2021-01-18,1,124
"South West","25-34",53,2020-12-28,1,7
"South West","25-34",54,2021-01-04,12,597
"South West","25-34",55,2021-01-11,3,440
"South West","25-34",56,2021-01-18,1,207
"South West","45-54",53,2020-12-28,0,5
"South West","45-54",54,2021-01-04,13,1272
"South West","45-54",55,2021-01-11,5,911
"South West","45-54",56,2021-01-18,1,393
"South West","55-64",53,2020-12-28,0,7
"South West","55-64",54,2021-01-04,12,1873
"South West","55-64",55,2021-01-11,2,1021
"South West","55-64",56,2021-01-18,3,397
"South West","65+",53,2020-12-28,0,14
"South West","65+",54,2021-01-04,29,3100
"South West","65+",55,2021-01-11,5,1328
"South West","65+",56,2021-01-18,1,364
