"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"East of England","35-44",53,2020-12-28,1,11
"East of England","35-44",54,2021-01-04,38,1744
"East of England","35-44",55,2021-01-11,20,1204
"East of England","35-44",56,2021-01-18,5,377
"East of England","5-12",53,2020-12-28,0,5
"East of England","5-12",54,2021-01-04,15,807
"East of England","5-12",55,2021-01-11,17,807
"East of England","5-12",56,2021-01-18,0,202
"East of England","13-17",53,2020-12-28,NA,3
"East of England","13-17",54,2021-01-04,18,728
"East of England","13-17",55,2021-01-11,11,558
"East of England","13-17",56,2021-01-18,3,110
"East of England","18-24",53,2020-12-28,1,6
"East of England","18-24",54,2021-01-04,8,537
"East of England","18-24",55,2021-01-11,12,394
"East of England","18-24",56,2021-01-18,1,101
"East of England","25-34",53,2020-12-28,0,12
"East of England","25-34",54,2021-01-04,27,1197
"East of England","25-34",55,2021-01-11,13,865
"East of England","25-34",56,2021-01-18,6,229
"East of England","45-54",53,2020-12-28,0,9
"East of England","45-54",54,2021-01-04,47,2404
"East of England","45-54",55,2021-01-11,18,1444
"East of England","45-54",56,2021-01-18,7,384
"East of England","55-64",53,2020-12-28,0,11
"East of England","55-64",54,2021-01-04,51,3035
"East of England","55-64",55,2021-01-11,16,1450
"East of England","55-64",56,2021-01-18,6,346
"East of England","65+",53,2020-12-28,0,21
"East of England","65+",54,2021-01-04,34,4725
"East of England","65+",55,2021-01-11,19,1549
"East of England","65+",56,2021-01-18,2,271
"London","35-44",53,2020-12-28,NA,5
"London","35-44",54,2021-01-04,33,1373
"London","35-44",55,2021-01-11,27,944
"London","35-44",56,2021-01-18,10,442
"London","5-12",53,2020-12-28,0,2
"London","5-12",54,2021-01-04,14,513
"London","5-12",55,2021-01-11,8,495
"London","5-12",56,2021-01-18,3,179
"London","13-17",53,2020-12-28,0,3
"London","13-17",54,2021-01-04,17,431
"London","13-17",55,2021-01-11,7,299
"London","13-17",56,2021-01-18,3,64
"London","18-24",53,2020-12-28,0,1
"London","18-24",54,2021-01-04,16,364
"London","18-24",55,2021-01-11,10,282
"London","18-24",56,2021-01-18,5,93
"London","25-34",53,2020-12-28,0,5
"London","25-34",54,2021-01-04,35,1166
"London","25-34",55,2021-01-11,18,794
"London","25-34",56,2021-01-18,7,390
"London","45-54",53,2020-12-28,0,3
"London","45-54",54,2021-01-04,36,1337
"London","45-54",55,2021-01-11,26,845
"London","45-54",56,2021-01-18,6,357
"London","55-64",53,2020-12-28,0,6
"London","55-64",54,2021-01-04,25,1354
"London","55-64",55,2021-01-11,15,703
