"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"East of England","35-44",38,2020-09-14,0,421
"East of England","35-44",39,2020-09-21,5,1792
"East of England","35-44",40,2020-09-28,0,1183
"East of England","35-44",41,2020-10-05,0,89
"East of England","5-12",38,2020-09-14,2,392
"East of England","5-12",39,2020-09-21,5,1138
"East of England","5-12",40,2020-09-28,1,586
"East of England","5-12",41,2020-10-05,0,43
"East of England","13-17",38,2020-09-14,2,357
"East of England","13-17",39,2020-09-21,3,861
"East of England","13-17",40,2020-09-28,3,361
"East of England","13-17",41,2020-10-05,0,21
"East of England","18-24",38,2020-09-14,1,143
"East of England","18-24",39,2020-09-21,2,582
"East of England","18-24",40,2020-09-28,2,304
"East of England","18-24",41,2020-10-05,0,29
"East of England","25-34",38,2020-09-14,1,294
"East of England","25-34",39,2020-09-21,1,1122
"East of England","25-34",40,2020-09-28,1,720
"East of England","25-34",41,2020-10-05,1,68
"East of England","45-54",38,2020-09-14,3,482
"East of England","45-54",39,2020-09-21,7,2350
"East of England","45-54",40,2020-09-28,8,1518
"East of England","45-54",41,2020-10-05,1,105
"East of England","55-64",38,2020-09-14,0,552
"East of England","55-64",39,2020-09-21,5,2519
"East of England","55-64",40,2020-09-28,7,1536
"East of England","55-64",41,2020-10-05,0,81
"East of England","65+",38,2020-09-14,2,942
"East of England","65+",39,2020-09-21,12,4027
"East of England","65+",40,2020-09-28,8,1591
"East of England","65+",41,2020-10-05,0,74
"London","35-44",38,2020-09-14,1,231
"London","35-44",39,2020-09-21,12,1558
"London","35-44",40,2020-09-28,11,1238
"London","35-44",41,2020-10-05,0,112
"London","5-12",38,2020-09-14,0,198
"London","5-12",39,2020-09-21,3,849
"London","5-12",40,2020-09-28,4,533
"London","5-12",41,2020-10-05,0,36
"London","13-17",38,2020-09-14,0,225
"London","13-17",39,2020-09-21,2,587
"London","13-17",40,2020-09-28,1,242
"London","13-17",41,2020-10-05,0,17
"London","18-24",38,2020-09-14,0,89
"London","18-24",39,2020-09-21,2,355
"London","18-24",40,2020-09-28,0,242
"London","18-24",41,2020-10-05,0,21
"London","25-34",38,2020-09-14,1,217
"London","25-34",39,2020-09-21,9,1249
"London","25-34",40,2020-09-28,5,977
"London","25-34",41,2020-10-05,0,90
"London","45-54",38,2020-09-14,2,244
"London","45-54",39,2020-09-21,10,1457
"London","45-54",40,2020-09-28,5,1087
"London","45-54",41,2020-10-05,0,92
"London","55-64",38,2020-09-14,1,248
"London","55-64",39,2020-09-21,4,1353
"London","55-64",40,2020-09-28,0,925
"London","55-64",41,2020-10-05,1,74
"London","65+",38,2020-09-14,1,341
"London","65+",39,2020-09-21,1,1587
"London","65+",40,2020-09-28,2,848
"London","65+",41,2020-10-05,0,43
"Midlands","35-44",38,2020-09-14,4,641
"Midlands","35-44",39,2020-09-21,10,2325
"Midlands","35-44",40,2020-09-28,8,1472
"Midlands","35-44",41,2020-10-05,0,115
"Midlands","5-12",38,2020-09-14,1,566
"Midlands","5-12",39,2020-09-21,3,1455
"Midlands","5-12",40,2020-09-28,1,752
"Midlands","5-12",41,2020-10-05,1,64
"Midlands","13-17",38,2020-09-14,1,579
"Midlands","13-17",39,2020-09-21,7,1158
"Midlands","13-17",40,2020-09-28,3,500
"Midlands","13-17",41,2020-10-05,1,31
"Midlands","18-24",38,2020-09-14,3,253
"Midlands","18-24",39,2020-09-21,8,776
"Midlands","18-24",40,2020-09-28,6,406
"Midlands","18-24",41,2020-10-05,3,41
"Midlands","25-34",38,2020-09-14,2,455
"Midlands","25-34",39,2020-09-21,8,1671
"Midlands","25-34",40,2020-09-28,7,959
"Midlands","25-34",41,2020-10-05,0,72
"Midlands","45-54",38,2020-09-14,7,776
"Midlands","45-54",39,2020-09-21,11,3321
"Midlands","45-54",40,2020-09-28,12,2109
"Midlands","45-54",41,2020-10-05,1,162
"Midlands","55-64",38,2020-09-14,6,837
"Midlands","55-64",39,2020-09-21,11,3745
"Midlands","55-64",40,2020-09-28,7,2140
"Midlands","55-64",41,2020-10-05,0,132
"Midlands","65+",38,2020-09-14,3,1415
"Midlands","65+",39,2020-09-21,14,5748
"Midlands","65+",40,2020-09-28,13,2488
"Midlands","65+",41,2020-10-05,2,92
"North East and Yorkshire","35-44",38,2020-09-14,1,373
"North East and Yorkshire","35-44",39,2020-09-21,3,1268
"North East and Yorkshire","35-44",40,2020-09-28,8,748
"North East and Yorkshire","35-44",41,2020-10-05,1,49
"North East and Yorkshire","5-12",38,2020-09-14,3,293
"North East and Yorkshire","5-12",39,2020-09-21,6,735
"North East and Yorkshire","5-12",40,2020-09-28,3,353
"North East and Yorkshire","5-12",41,2020-10-05,0,19
"North East and Yorkshire","13-17",38,2020-09-14,1,286
"North East and Yorkshire","13-17",39,2020-09-21,5,645
"North East and Yorkshire","13-17",40,2020-09-28,6,239
"North East and Yorkshire","13-17",41,2020-10-05,0,8
"North East and Yorkshire","18-24",38,2020-09-14,4,164
"North East and Yorkshire","18-24",39,2020-09-21,6,420
"North East and Yorkshire","18-24",40,2020-09-28,9,264
"North East and Yorkshire","18-24",41,2020-10-05,0,26
"North East and Yorkshire","25-34",38,2020-09-14,6,286
"North East and Yorkshire","25-34",39,2020-09-21,5,914
"North East and Yorkshire","25-34",40,2020-09-28,5,539
"North East and Yorkshire","25-34",41,2020-10-05,0,29
"North East and Yorkshire","45-54",38,2020-09-14,7,434
"North East and Yorkshire","45-54",39,2020-09-21,11,1808
