"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples","round"
"East of England","35-44",18,2020-04-27,0,3,"Round 1"
"East of England","35-44",19,2020-05-04,1,81,"Round 1"
"East of England","35-44",20,2020-05-11,2,464,"Round 1"
"East of England","35-44",21,2020-05-18,1,1291,"Round 1"
"East of England","35-44",22,2020-05-25,0,403,"Round 1"
"East of England","35-44",23,2020-06-01,0,7,"Round 1"
"East of England","5-12",19,2020-05-04,0,13,"Round 1"
"East of England","5-12",20,2020-05-11,1,359,"Round 1"
"East of England","5-12",21,2020-05-18,0,790,"Round 1"
"East of England","5-12",22,2020-05-25,0,299,"Round 1"
"East of England","5-12",23,2020-06-01,0,14,"Round 1"
"East of England","13-17",19,2020-05-04,0,17,"Round 1"
"East of England","13-17",20,2020-05-11,0,227,"Round 1"
"East of England","13-17",21,2020-05-18,2,535,"Round 1"
"East of England","13-17",22,2020-05-25,0,184,"Round 1"
"East of England","13-17",23,2020-06-01,0,6,"Round 1"
"East of England","18-24",18,2020-04-27,0,2,"Round 1"
"East of England","18-24",19,2020-05-04,0,18,"Round 1"
"East of England","18-24",20,2020-05-11,1,289,"Round 1"
"East of England","18-24",21,2020-05-18,1,526,"Round 1"
"East of England","18-24",22,2020-05-25,0,150,"Round 1"
"East of England","18-24",23,2020-06-01,0,5,"Round 1"
"East of England","25-34",18,2020-04-27,0,5,"Round 1"
"East of England","25-34",19,2020-05-04,0,60,"Round 1"
"East of England","25-34",20,2020-05-11,0,435,"Round 1"
"East of England","25-34",21,2020-05-18,0,981,"Round 1"
"East of England","25-34",22,2020-05-25,0,316,"Round 1"
"East of England","25-34",23,2020-06-01,0,8,"Round 1"
"East of England","45-54",18,2020-04-27,0,4,"Round 1"
"East of England","45-54",19,2020-05-04,0,113,"Round 1"
"East of England","45-54",20,2020-05-11,2,616,"Round 1"
"East of England","45-54",21,2020-05-18,2,1647,"Round 1"
"East of England","45-54",22,2020-05-25,0,497,"Round 1"
"East of England","45-54",23,2020-06-01,0,4,"Round 1"
"East of England","55-64",18,2020-04-27,0,6,"Round 1"
"East of England","55-64",19,2020-05-04,0,39,"Round 1"
"East of England","55-64",20,2020-05-11,1,712,"Round 1"
"East of England","55-64",21,2020-05-18,0,1702,"Round 1"
"East of England","55-64",22,2020-05-25,0,417,"Round 1"
"East of England","55-64",23,2020-06-01,0,10,"Round 1"
"East of England","65+",18,2020-04-27,0,6,"Round 1"
"East of England","65+",19,2020-05-04,0,91,"Round 1"
"East of England","65+",20,2020-05-11,1,804,"Round 1"
"East of England","65+",21,2020-05-18,1,1985,"Round 1"
"East of England","65+",22,2020-05-25,1,511,"Round 1"
"East of England","65+",23,2020-06-01,0,9,"Round 1"
"London","35-44",18,2020-04-27,0,5,"Round 1"
"London","35-44",19,2020-05-04,0,45,"Round 1"
"London","35-44",20,2020-05-11,1,289,"Round 1"
"London","35-44",21,2020-05-18,1,1090,"Round 1"
"London","35-44",22,2020-05-25,0,428,"Round 1"
"London","35-44",23,2020-06-01,0,6,"Round 1"
"London","5-12",18,2020-04-27,0,1,"Round 1"
"London","5-12",19,2020-05-04,0,6,"Round 1"
"London","5-12",20,2020-05-11,2,129,"Round 1"
"London","5-12",21,2020-05-18,2,429,"Round 1"
"London","5-12",22,2020-05-25,0,207,"Round 1"
"London","5-12",23,2020-06-01,0,10,"Round 1"
"London","13-17",18,2020-04-27,0,1,"Round 1"
"London","13-17",19,2020-05-04,0,5,"Round 1"
"London","13-17",20,2020-05-11,0,99,"Round 1"
"London","13-17",21,2020-05-18,1,327,"Round 1"
"London","13-17",22,2020-05-25,0,133,"Round 1"
"London","13-17",23,2020-06-01,0,4,"Round 1"
"London","18-24",19,2020-05-04,0,10,"Round 1"
"London","18-24",20,2020-05-11,1,120,"Round 1"
"London","18-24",21,2020-05-18,0,332,"Round 1"
"London","18-24",22,2020-05-25,0,111,"Round 1"
"London","18-24",23,2020-06-01,0,4,"Round 1"
"London","25-34",18,2020-04-27,0,3,"Round 1"
"London","25-34",19,2020-05-04,1,44,"Round 1"
"London","25-34",20,2020-05-11,0,256,"Round 1"
"London","25-34",21,2020-05-18,2,962,"Round 1"
"London","25-34",22,2020-05-25,0,383,"Round 1"
"London","25-34",23,2020-06-01,0,14,"Round 1"
"London","45-54",19,2020-05-04,0,37,"Round 1"
"London","45-54",20,2020-05-11,2,271,"Round 1"
"London","45-54",21,2020-05-18,1,908,"Round 1"
"London","45-54",22,2020-05-25,1,337,"Round 1"
"London","45-54",23,2020-06-01,0,13,"Round 1"
"London","55-64",18,2020-04-27,0,1,"Round 1"
"London","55-64",19,2020-05-04,0,16,"Round 1"
"London","55-64",20,2020-05-11,0,222,"Round 1"
"London","55-64",21,2020-05-18,2,784,"Round 1"
"London","55-64",22,2020-05-25,1,295,"Round 1"
"London","55-64",23,2020-06-01,0,5,"Round 1"
"London","65+",19,2020-05-04,0,31,"Round 1"
"London","65+",20,2020-05-11,1,197,"Round 1"
"London","65+",21,2020-05-18,0,760,"Round 1"
"London","65+",22,2020-05-25,0,287,"Round 1"
"London","65+",23,2020-06-01,0,9,"Round 1"
"Midlands","35-44",18,2020-04-27,0,4,"Round 1"
"Midlands","35-44",19,2020-05-04,0,103,"Round 1"
"Midlands","35-44",20,2020-05-11,3,773,"Round 1"
"Midlands","35-44",21,2020-05-18,2,1696,"Round 1"
"Midlands","35-44",22,2020-05-25,1,536,"Round 1"
"Midlands","35-44",23,2020-06-01,0,7,"Round 1"
"Midlands","5-12",18,2020-04-27,0,1,"Round 1"
"Midlands","5-12",19,2020-05-04,0,18,"Round 1"
"Midlands","5-12",20,2020-05-11,2,571,"Round 1"
"Midlands","5-12",21,2020-05-18,1,996,"Round 1"
"Midlands","5-12",22,2020-05-25,0,378,"Round 1"
"Midlands","5-12",23,2020-06-01,0,20,"Round 1"
"Midlands","13-17",18,2020-04-27,0,2,"Round 1"
"Midlands","13-17",19,2020-05-04,0,28,"Round 1"
