"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples","round"
"Midlands","13-17",20,2020-05-11,0,371,"Round 1"
"Midlands","13-17",21,2020-05-18,0,749,"Round 1"
"Midlands","13-17",22,2020-05-25,0,261,"Round 1"
"Midlands","13-17",23,2020-06-01,0,7,"Round 1"
"Midlands","18-24",18,2020-04-27,0,1,"Round 1"
"Midlands","18-24",19,2020-05-04,0,34,"Round 1"
"Midlands","18-24",20,2020-05-11,0,433,"Round 1"
"Midlands","18-24",21,2020-05-18,0,761,"Round 1"
"Midlands","18-24",22,2020-05-25,0,207,"Round 1"
"Midlands","18-24",23,2020-06-01,0,4,"Round 1"
"Midlands","25-34",18,2020-04-27,0,5,"Round 1"
"Midlands","25-34",19,2020-05-04,0,112,"Round 1"
"Midlands","25-34",20,2020-05-11,3,667,"Round 1"
"Midlands","25-34",21,2020-05-18,2,1378,"Round 1"
"Midlands","25-34",22,2020-05-25,1,377,"Round 1"
"Midlands","25-34",23,2020-06-01,0,5,"Round 1"
"Midlands","45-54",18,2020-04-27,0,7,"Round 1"
"Midlands","45-54",19,2020-05-04,1,167,"Round 1"
"Midlands","45-54",20,2020-05-11,4,1028,"Round 1"
"Midlands","45-54",21,2020-05-18,3,2338,"Round 1"
"Midlands","45-54",22,2020-05-25,1,648,"Round 1"
"Midlands","45-54",23,2020-06-01,0,18,"Round 1"
"Midlands","55-64",18,2020-04-27,0,8,"Round 1"
"Midlands","55-64",19,2020-05-04,1,55,"Round 1"
"Midlands","55-64",20,2020-05-11,2,1087,"Round 1"
"Midlands","55-64",21,2020-05-18,2,2518,"Round 1"
"Midlands","55-64",22,2020-05-25,0,660,"Round 1"
"Midlands","55-64",23,2020-06-01,0,10,"Round 1"
"Midlands","65+",18,2020-04-27,0,14,"Round 1"
"Midlands","65+",19,2020-05-04,0,100,"Round 1"
"Midlands","65+",20,2020-05-11,2,1209,"Round 1"
"Midlands","65+",21,2020-05-18,2,2859,"Round 1"
"Midlands","65+",22,2020-05-25,1,713,"Round 1"
"Midlands","65+",23,2020-06-01,0,11,"Round 1"
"North East and Yorkshire","35-44",18,2020-04-27,0,1,"Round 1"
"North East and Yorkshire","35-44",19,2020-05-04,0,42,"Round 1"
"North East and Yorkshire","35-44",20,2020-05-11,1,290,"Round 1"
"North East and Yorkshire","35-44",21,2020-05-18,1,932,"Round 1"
"North East and Yorkshire","35-44",22,2020-05-25,0,332,"Round 1"
"North East and Yorkshire","35-44",23,2020-06-01,0,7,"Round 1"
"North East and Yorkshire","5-12",19,2020-05-04,0,14,"Round 1"
"North East and Yorkshire","5-12",20,2020-05-11,0,207,"Round 1"
"North East and Yorkshire","5-12",21,2020-05-18,1,547,"Round 1"
"North East and Yorkshire","5-12",22,2020-05-25,0,230,"Round 1"
"North East and Yorkshire","5-12",23,2020-06-01,0,8,"Round 1"
"North East and Yorkshire","13-17",19,2020-05-04,0,12,"Round 1"
"North East and Yorkshire","13-17",20,2020-05-11,0,155,"Round 1"
"North East and Yorkshire","13-17",21,2020-05-18,1,429,"Round 1"
"North East and Yorkshire","13-17",22,2020-05-25,1,163,"Round 1"
"North East and Yorkshire","13-17",23,2020-06-01,0,2,"Round 1"
"North East and Yorkshire","18-24",18,2020-04-27,0,1,"Round 1"
"North East and Yorkshire","18-24",19,2020-05-04,0,10,"Round 1"
"North East and Yorkshire","18-24",20,2020-05-11,1,154,"Round 1"
"North East and Yorkshire","18-24",21,2020-05-18,2,444,"Round 1"
"North East and Yorkshire","18-24",22,2020-05-25,1,137,"Round 1"
"North East and Yorkshire","18-24",23,2020-06-01,0,5,"Round 1"
"North East and Yorkshire","25-34",18,2020-04-27,0,2,"Round 1"
"North East and Yorkshire","25-34",19,2020-05-04,0,48,"Round 1"
"North East and Yorkshire","25-34",20,2020-05-11,0,300,"Round 1"
"North East and Yorkshire","25-34",21,2020-05-18,0,802,"Round 1"
"North East and Yorkshire","25-34",22,2020-05-25,0,256,"Round 1"
"North East and Yorkshire","45-54",18,2020-04-27,0,4,"Round 1"
"North East and Yorkshire","45-54",19,2020-05-04,0,69,"Round 1"
"North East and Yorkshire","45-54",20,2020-05-11,0,406,"Round 1"
"North East and Yorkshire","45-54",21,2020-05-18,1,1282,"Round 1"
"North East and Yorkshire","45-54",22,2020-05-25,1,451,"Round 1"
"North East and Yorkshire","45-54",23,2020-06-01,0,3,"Round 1"
"North East and Yorkshire","55-64",18,2020-04-27,0,2,"Round 1"
"North East and Yorkshire","55-64",19,2020-05-04,0,31,"Round 1"
"North East and Yorkshire","55-64",20,2020-05-11,1,450,"Round 1"
"North East and Yorkshire","55-64",21,2020-05-18,0,1558,"Round 1"
"North East and Yorkshire","55-64",22,2020-05-25,0,478,"Round 1"
"North East and Yorkshire","55-64",23,2020-06-01,0,6,"Round 1"
"North East and Yorkshire","65+",18,2020-04-27,0,4,"Round 1"
"North East and Yorkshire","65+",19,2020-05-04,0,57,"Round 1"
"North East and Yorkshire","65+",20,2020-05-11,1,503,"Round 1"
"North East and Yorkshire","65+",21,2020-05-18,1,1677,"Round 1"
"North East and Yorkshire","65+",22,2020-05-25,1,570,"Round 1"
"North East and Yorkshire","65+",23,2020-06-01,0,5,"Round 1"
"North West","35-44",18,2020-04-27,0,4,"Round 1"
"North West","35-44",19,2020-05-04,0,62,"Round 1"
"North West","35-44",20,2020-05-11,1,367,"Round 1"
"North West","35-44",21,2020-05-18,3,962,"Round 1"
"North West","35-44",22,2020-05-25,0,316,"Round 1"
"North West","35-44",23,2020-06-01,0,12,"Round 1"
"North West","5-12",19,2020-05-04,0,9,"Round 1"
"North West","5-12",20,2020-05-11,1,221,"Round 1"
"North West","5-12",21,2020-05-18,0,604,"Round 1"
"North West","5-12",22,2020-05-25,0,212,"Round 1"
"North West","5-12",23,2020-06-01,0,17,"Round 1"
"North West","13-17",19,2020-05-04,0,11,"Round 1"
"North West","13-17",20,2020-05-11,0,175,"Round 1"
"North West","13-17",21,2020-05-18,1,418,"Round 1"
"North West","13-17",22,2020-05-25,0,168,"Round 1"
"North West","13-17",23,2020-06-01,0,8,"Round 1"
"North West","18-24",18,2020-04-27,0,1,"Round 1"
"North West","18-24",19,2020-05-04,0,21,"Round 1"
"North West","18-24",20,2020-05-11,4,181,"Round 1"
"North West","18-24",21,2020-05-18,0,430,"Round 1"
"North West","18-24",22,2020-05-25,0,107,"Round 1"
"North West","18-24",23,2020-06-01,0,1,"Round 1"
"North West","25-34",18,2020-04-27,0,1,"Round 1"
"North West","25-34",19,2020-05-04,1,47,"Round 1"
"North West","25-34",20,2020-05-11,2,321,"Round 1"
"North West","25-34",21,2020-05-18,1,840,"Round 1"
"North West","25-34",22,2020-05-25,1,262,"Round 1"
"North West","25-34",23,2020-06-01,0,8,"Round 1"
"North West","45-54",18,2020-04-27,0,4,"Round 1"
"North West","45-54",19,2020-05-04,0,75,"Round 1"
"North West","45-54",20,2020-05-11,1,435,"Round 1"
"North West","45-54",21,2020-05-18,0,1358,"Round 1"
"North West","45-54",22,2020-05-25,0,416,"Round 1"
"North West","45-54",23,2020-06-01,0,6,"Round 1"
"North West","55-64",18,2020-04-27,0,1,"Round 1"
"North West","55-64",19,2020-05-04,0,41,"Round 1"
"North West","55-64",20,2020-05-11,0,429,"Round 1"
"North West","55-64",21,2020-05-18,1,1377,"Round 1"
"North West","55-64",22,2020-05-25,0,426,"Round 1"
"North West","55-64",23,2020-06-01,0,3,"Round 1"
"North West","65+",18,2020-04-27,0,4,"Round 1"
"North West","65+",19,2020-05-04,0,39,"Round 1"
"North West","65+",20,2020-05-11,1,543,"Round 1"
"North West","65+",21,2020-05-18,1,1643,"Round 1"
"North West","65+",22,2020-05-25,1,486,"Round 1"
"North West","65+",23,2020-06-01,0,8,"Round 1"
"South East","35-44",18,2020-04-27,0,3,"Round 1"
"South East","35-44",19,2020-05-04,0,84,"Round 1"
"South East","35-44",20,2020-05-11,3,650,"Round 1"
"South East","35-44",21,2020-05-18,0,1861,"Round 1"
"South East","35-44",22,2020-05-25,0,708,"Round 1"
"South East","35-44",23,2020-06-01,0,16,"Round 1"
"South East","5-12",19,2020-05-04,0,18,"Round 1"
"South East","5-12",20,2020-05-11,0,480,"Round 1"
"South East","5-12",21,2020-05-18,2,1193,"Round 1"
"South East","5-12",22,2020-05-25,1,442,"Round 1"
"South East","5-12",23,2020-06-01,0,26,"Round 1"
"South East","13-17",18,2020-04-27,0,2,"Round 1"
"South East","13-17",19,2020-05-04,0,7,"Round 1"
"South East","13-17",20,2020-05-11,2,305,"Round 1"
"South East","13-17",21,2020-05-18,1,882,"Round 1"
"South East","13-17",22,2020-05-25,2,311,"Round 1"
"South East","13-17",23,2020-06-01,0,11,"Round 1"
"South East","18-24",18,2020-04-27,0,1,"Round 1"
"South East","18-24",19,2020-05-04,1,25,"Round 1"
"South East","18-24",20,2020-05-11,1,325,"Round 1"
"South East","18-24",21,2020-05-18,1,725,"Round 1"
"South East","18-24",22,2020-05-25,2,218,"Round 1"
"South East","18-24",23,2020-06-01,1,10,"Round 1"
"South East","25-34",18,2020-04-27,0,2,"Round 1"
"South East","25-34",19,2020-05-04,0,63,"Round 1"
"South East","25-34",20,2020-05-11,5,487,"Round 1"
"South East","25-34",21,2020-05-18,1,1470,"Round 1"
"South East","25-34",22,2020-05-25,2,478,"Round 1"
"South East","25-34",23,2020-06-01,0,11,"Round 1"
"South East","45-54",18,2020-04-27,0,1,"Round 1"
"South East","45-54",19,2020-05-04,0,105,"Round 1"
"South East","45-54",20,2020-05-11,1,874,"Round 1"
"South East","45-54",21,2020-05-18,5,2536,"Round 1"
"South East","45-54",22,2020-05-25,0,811,"Round 1"
"South East","45-54",23,2020-06-01,0,15,"Round 1"
"South East","55-64",18,2020-04-27,0,5,"Round 1"
"South East","55-64",19,2020-05-04,0,63,"Round 1"
"South East","55-64",20,2020-05-11,3,924,"Round 1"
"South East","55-64",21,2020-05-18,2,2635,"Round 1"
"South East","55-64",22,2020-05-25,0,743,"Round 1"
"South East","55-64",23,2020-06-01,1,16,"Round 1"
"South East","65+",18,2020-04-27,0,12,"Round 1"
"South East","65+",19,2020-05-04,0,142,"Round 1"
"South East","65+",20,2020-05-11,1,1027,"Round 1"
"South East","65+",21,2020-05-18,2,3068,"Round 1"
"South East","65+",22,2020-05-25,0,902,"Round 1"
"South East","65+",23,2020-06-01,0,14,"Round 1"
"South West","35-44",19,2020-05-04,0,30,"Round 1"
"South West","35-44",20,2020-05-11,0,281,"Round 1"
"South West","35-44",21,2020-05-18,0,696,"Round 1"
"South West","35-44",22,2020-05-25,0,213,"Round 1"
"South West","35-44",23,2020-06-01,0,3,"Round 1"
"South West","5-12",18,2020-04-27,0,2,"Round 1"
"South West","5-12",19,2020-05-04,0,15,"Round 1"
"South West","5-12",20,2020-05-11,1,186,"Round 1"
"South West","5-12",21,2020-05-18,0,429,"Round 1"
"South West","5-12",22,2020-05-25,0,171,"Round 1"
"South West","5-12",23,2020-06-01,0,11,"Round 1"
"South West","13-17",18,2020-04-27,0,1,"Round 1"
"South West","13-17",19,2020-05-04,0,6,"Round 1"
"South West","13-17",20,2020-05-11,0,133,"Round 1"
"South West","13-17",21,2020-05-18,0,317,"Round 1"
"South West","13-17",22,2020-05-25,0,104,"Round 1"
"South West","13-17",23,2020-06-01,0,3,"Round 1"
"South West","18-24",18,2020-04-27,0,2,"Round 1"
"South West","18-24",19,2020-05-04,0,13,"Round 1"
"South West","18-24",20,2020-05-11,0,164,"Round 1"
"South West","18-24",21,2020-05-18,0,279,"Round 1"
"South West","18-24",22,2020-05-25,0,69,"Round 1"
"South West","18-24",23,2020-06-01,0,1,"Round 1"
"South West","25-34",19,2020-05-04,0,19,"Round 1"
"South West","25-34",20,2020-05-11,0,219,"Round 1"
"South West","25-34",21,2020-05-18,1,498,"Round 1"
"South West","25-34",22,2020-05-25,0,171,"Round 1"
"South West","45-54",18,2020-04-27,0,3,"Round 1"
"South West","45-54",19,2020-05-04,0,48,"Round 1"
"South West","45-54",20,2020-05-11,0,384,"Round 1"
"South West","45-54",21,2020-05-18,1,929,"Round 1"
"South West","45-54",22,2020-05-25,0,294,"Round 1"
"South West","45-54",23,2020-06-01,0,6,"Round 1"
"South West","55-64",18,2020-04-27,0,3,"Round 1"
"South West","55-64",19,2020-05-04,0,35,"Round 1"
"South West","55-64",20,2020-05-11,2,487,"Round 1"
"South West","55-64",21,2020-05-18,1,1068,"Round 1"
"South West","55-64",22,2020-05-25,0,272,"Round 1"
"South West","55-64",23,2020-06-01,0,3,"Round 1"
"South West","65+",18,2020-04-27,0,2,"Round 1"
"South West","65+",19,2020-05-04,0,64,"Round 1"
"South West","65+",20,2020-05-11,0,520,"Round 1"
"South West","65+",21,2020-05-18,0,1342,"Round 1"
"South West","65+",22,2020-05-25,0,354,"Round 1"
"South West","65+",23,2020-06-01,0,5,"Round 1"
"East of England","35-44",25,2020-06-15,0,223,"Round 2"
"East of England","35-44",26,2020-06-22,1,1638,"Round 2"
"East of England","35-44",27,2020-06-29,1,1146,"Round 2"
"East of England","35-44",28,2020-07-06,0,54,"Round 2"
"East of England","5-12",25,2020-06-15,0,186,"Round 2"
"East of England","5-12",26,2020-06-22,0,1061,"Round 2"
"East of England","5-12",27,2020-06-29,0,690,"Round 2"
"East of England","5-12",28,2020-07-06,0,24,"Round 2"
"East of England","13-17",25,2020-06-15,0,127,"Round 2"
"East of England","13-17",26,2020-06-22,0,809,"Round 2"
"East of England","13-17",27,2020-06-29,0,440,"Round 2"
"East of England","13-17",28,2020-07-06,0,18,"Round 2"
"East of England","18-24",25,2020-06-15,0,134,"Round 2"
"East of England","18-24",26,2020-06-22,0,616,"Round 2"
"East of England","18-24",27,2020-06-29,1,335,"Round 2"
"East of England","18-24",28,2020-07-06,0,22,"Round 2"
"East of England","25-34",25,2020-06-15,1,172,"Round 2"
"East of England","25-34",26,2020-06-22,1,1256,"Round 2"
"East of England","25-34",27,2020-06-29,0,797,"Round 2"
"East of England","25-34",28,2020-07-06,0,45,"Round 2"
"East of England","45-54",25,2020-06-15,1,219,"Round 2"
"East of England","45-54",26,2020-06-22,1,2201,"Round 2"
"East of England","45-54",27,2020-06-29,1,1431,"Round 2"
"East of England","45-54",28,2020-07-06,0,48,"Round 2"
"East of England","55-64",25,2020-06-15,2,224,"Round 2"
"East of England","55-64",26,2020-06-22,3,2529,"Round 2"
"East of England","55-64",27,2020-06-29,1,1417,"Round 2"
"East of England","55-64",28,2020-07-06,0,54,"Round 2"
"East of England","65+",25,2020-06-15,0,282,"Round 2"
"East of England","65+",26,2020-06-22,0,3720,"Round 2"
"East of England","65+",27,2020-06-29,3,1498,"Round 2"
"East of England","65+",28,2020-07-06,0,41,"Round 2"
"London","35-44",25,2020-06-15,0,117,"Round 2"
"London","35-44",26,2020-06-22,1,1389,"Round 2"
"London","35-44",27,2020-06-29,1,1254,"Round 2"
"London","35-44",28,2020-07-06,1,70,"Round 2"
"London","5-12",25,2020-06-15,0,81,"Round 2"
"London","5-12",26,2020-06-22,3,687,"Round 2"
"London","5-12",27,2020-06-29,1,516,"Round 2"
"London","5-12",28,2020-07-06,0,22,"Round 2"
"London","13-17",25,2020-06-15,0,64,"Round 2"
"London","13-17",26,2020-06-22,1,537,"Round 2"
"London","13-17",27,2020-06-29,0,344,"Round 2"
"London","13-17",28,2020-07-06,0,14,"Round 2"
"London","18-24",25,2020-06-15,0,82,"Round 2"
"London","18-24",26,2020-06-22,0,455,"Round 2"
"London","18-24",27,2020-06-29,0,334,"Round 2"
"London","18-24",28,2020-07-06,0,12,"Round 2"
"London","25-34",25,2020-06-15,0,131,"Round 2"
"London","25-34",26,2020-06-22,3,1275,"Round 2"
"London","25-34",27,2020-06-29,3,1095,"Round 2"
"London","25-34",28,2020-07-06,0,50,"Round 2"
"London","45-54",25,2020-06-15,0,105,"Round 2"
"London","45-54",26,2020-06-22,1,1213,"Round 2"
"London","45-54",27,2020-06-29,1,1146,"Round 2"
"London","45-54",28,2020-07-06,0,51,"Round 2"
"London","55-64",25,2020-06-15,0,79,"Round 2"
"London","55-64",26,2020-06-22,2,1174,"Round 2"
"London","55-64",27,2020-06-29,0,864,"Round 2"
"London","55-64",28,2020-07-06,0,42,"Round 2"
"London","65+",25,2020-06-15,0,98,"Round 2"
"London","65+",26,2020-06-22,3,1359,"Round 2"
"London","65+",27,2020-06-29,2,832,"Round 2"
"London","65+",28,2020-07-06,0,29,"Round 2"
"Midlands","35-44",25,2020-06-15,2,254,"Round 2"
"Midlands","35-44",26,2020-06-22,2,2342,"Round 2"
"Midlands","35-44",27,2020-06-29,2,1531,"Round 2"
"Midlands","35-44",28,2020-07-06,0,103,"Round 2"
"Midlands","5-12",25,2020-06-15,0,227,"Round 2"
"Midlands","5-12",26,2020-06-22,0,1533,"Round 2"
"Midlands","5-12",27,2020-06-29,0,1020,"Round 2"
"Midlands","5-12",28,2020-07-06,0,59,"Round 2"
"Midlands","13-17",25,2020-06-15,1,186,"Round 2"
"Midlands","13-17",26,2020-06-22,1,1196,"Round 2"
"Midlands","13-17",27,2020-06-29,1,651,"Round 2"
"Midlands","13-17",28,2020-07-06,0,30,"Round 2"
"Midlands","18-24",25,2020-06-15,0,158,"Round 2"
"Midlands","18-24",26,2020-06-22,0,945,"Round 2"
"Midlands","18-24",27,2020-06-29,0,540,"Round 2"
"Midlands","18-24",28,2020-07-06,0,29,"Round 2"
"Midlands","25-34",25,2020-06-15,0,273,"Round 2"
"Midlands","25-34",26,2020-06-22,1,1818,"Round 2"
"Midlands","25-34",27,2020-06-29,1,1183,"Round 2"
"Midlands","25-34",28,2020-07-06,0,69,"Round 2"
"Midlands","45-54",25,2020-06-15,0,290,"Round 2"
"Midlands","45-54",26,2020-06-22,5,3197,"Round 2"
"Midlands","45-54",27,2020-06-29,0,2223,"Round 2"
"Midlands","45-54",28,2020-07-06,0,103,"Round 2"
"Midlands","55-64",25,2020-06-15,1,320,"Round 2"
"Midlands","55-64",26,2020-06-22,3,3708,"Round 2"
"Midlands","55-64",27,2020-06-29,2,2097,"Round 2"
"Midlands","55-64",28,2020-07-06,0,89,"Round 2"
"Midlands","65+",25,2020-06-15,0,461,"Round 2"
"Midlands","65+",26,2020-06-22,4,5489,"Round 2"
"Midlands","65+",27,2020-06-29,0,2312,"Round 2"
"Midlands","65+",28,2020-07-06,0,74,"Round 2"
"North East and Yorkshire","35-44",25,2020-06-15,0,152,"Round 2"
"North East and Yorkshire","35-44",26,2020-06-22,0,1226,"Round 2"
"North East and Yorkshire","35-44",27,2020-06-29,0,801,"Round 2"
"North East and Yorkshire","35-44",28,2020-07-06,0,30,"Round 2"
"North East and Yorkshire","5-12",25,2020-06-15,0,135,"Round 2"
"North East and Yorkshire","5-12",26,2020-06-22,0,768,"Round 2"
"North East and Yorkshire","5-12",27,2020-06-29,0,500,"Round 2"
"North East and Yorkshire","5-12",28,2020-07-06,0,22,"Round 2"
"North East and Yorkshire","13-17",25,2020-06-15,0,107,"Round 2"
"North East and Yorkshire","13-17",26,2020-06-22,0,572,"Round 2"
"North East and Yorkshire","13-17",27,2020-06-29,0,337,"Round 2"
"North East and Yorkshire","13-17",28,2020-07-06,0,10,"Round 2"
"North East and Yorkshire","18-24",25,2020-06-15,0,93,"Round 2"
"North East and Yorkshire","18-24",26,2020-06-22,0,518,"Round 2"
"North East and Yorkshire","18-24",27,2020-06-29,0,259,"Round 2"
"North East and Yorkshire","18-24",28,2020-07-06,0,16,"Round 2"
"North East and Yorkshire","25-34",25,2020-06-15,0,154,"Round 2"
"North East and Yorkshire","25-34",26,2020-06-22,1,947,"Round 2"
"North East and Yorkshire","25-34",27,2020-06-29,0,647,"Round 2"
"North East and Yorkshire","25-34",28,2020-07-06,0,32,"Round 2"
"North East and Yorkshire","45-54",25,2020-06-15,0,199,"Round 2"
"North East and Yorkshire","45-54",26,2020-06-22,0,1626,"Round 2"
"North East and Yorkshire","45-54",27,2020-06-29,2,1148,"Round 2"
"North East and Yorkshire","45-54",28,2020-07-06,0,51,"Round 2"
"North East and Yorkshire","55-64",25,2020-06-15,0,195,"Round 2"
"North East and Yorkshire","55-64",26,2020-06-22,1,2105,"Round 2"
"North East and Yorkshire","55-64",27,2020-06-29,2,1248,"Round 2"
"North East and Yorkshire","55-64",28,2020-07-06,0,41,"Round 2"
"North East and Yorkshire","65+",25,2020-06-15,0,226,"Round 2"
"North East and Yorkshire","65+",26,2020-06-22,1,2992,"Round 2"
"North East and Yorkshire","65+",27,2020-06-29,0,1238,"Round 2"
"North East and Yorkshire","65+",28,2020-07-06,0,27,"Round 2"
"North West","35-44",25,2020-06-15,1,194,"Round 2"
"North West","35-44",26,2020-06-22,1,1133,"Round 2"
"North West","35-44",27,2020-06-29,0,770,"Round 2"
"North West","35-44",28,2020-07-06,0,32,"Round 2"
"North West","5-12",25,2020-06-15,0,147,"Round 2"
"North West","5-12",26,2020-06-22,0,685,"Round 2"
"North West","5-12",27,2020-06-29,0,464,"Round 2"
"North West","5-12",28,2020-07-06,0,10,"Round 2"
"North West","13-17",25,2020-06-15,0,100,"Round 2"
"North West","13-17",26,2020-06-22,0,550,"Round 2"
"North West","13-17",27,2020-06-29,0,281,"Round 2"
"North West","13-17",28,2020-07-06,0,21,"Round 2"
"North West","18-24",25,2020-06-15,0,94,"Round 2"
"North West","18-24",26,2020-06-22,1,506,"Round 2"
"North West","18-24",27,2020-06-29,0,269,"Round 2"
"North West","18-24",28,2020-07-06,0,8,"Round 2"
"North West","25-34",25,2020-06-15,0,152,"Round 2"
"North West","25-34",26,2020-06-22,2,904,"Round 2"
"North West","25-34",27,2020-06-29,0,543,"Round 2"
"North West","25-34",28,2020-07-06,0,36,"Round 2"
"North West","45-54",25,2020-06-15,0,173,"Round 2"
