"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"East of England","35-44",46,2020-11-09,0,20
"East of England","35-44",47,2020-11-16,7,1891
"East of England","35-44",48,2020-11-23,5,1007
"East of England","35-44",49,2020-11-30,0,267
"East of England","5-12",46,2020-11-09,0,18
"East of England","5-12",47,2020-11-16,10,1188
"East of England","5-12",48,2020-11-23,3,547
"East of England","5-12",49,2020-11-30,1,140
"East of England","13-17",46,2020-11-09,0,25
"East of England","13-17",47,2020-11-16,12,1053
"East of England","13-17",48,2020-11-23,4,372
"East of England","13-17",49,2020-11-30,3,87
"East of England","18-24",46,2020-11-09,0,16
"East of England","18-24",47,2020-11-16,6,628
"East of England","18-24",48,2020-11-23,2,290
"East of England","18-24",49,2020-11-30,1,66
"East of England","25-34",46,2020-11-09,0,22
"East of England","25-34",47,2020-11-16,9,1206
"East of England","25-34",48,2020-11-23,7,680
"East of England","25-34",49,2020-11-30,0,186
"East of England","45-54",46,2020-11-09,0,30
"East of England","45-54",47,2020-11-16,12,2547
"East of England","45-54",48,2020-11-23,11,1295
"East of England","45-54",49,2020-11-30,3,344
"East of England","55-64",46,2020-11-09,0,37
"East of England","55-64",47,2020-11-16,10,2907
"East of England","55-64",48,2020-11-23,3,1290
"East of England","55-64",49,2020-11-30,1,294
"East of England","65+",46,2020-11-09,0,89
"East of England","65+",47,2020-11-16,14,4706
"East of England","65+",48,2020-11-23,5,1714
"East of England","65+",49,2020-11-30,2,288
"London","35-44",46,2020-11-09,0,12
"London","35-44",47,2020-11-16,16,1415
"London","35-44",48,2020-11-23,11,960
"London","35-44",49,2020-11-30,0,355
"London","5-12",46,2020-11-09,0,10
"London","5-12",47,2020-11-16,9,676
"London","5-12",48,2020-11-23,8,369
"London","5-12",49,2020-11-30,1,138
"London","13-17",46,2020-11-09,0,12
"London","13-17",47,2020-11-16,10,552
"London","13-17",48,2020-11-23,8,268
"London","13-17",49,2020-11-30,5,61
"London","18-24",46,2020-11-09,0,6
"London","18-24",47,2020-11-16,9,406
"London","18-24",48,2020-11-23,2,226
"London","18-24",49,2020-11-30,0,64
"London","25-34",46,2020-11-09,0,14
"London","25-34",47,2020-11-16,10,1217
"London","25-34",48,2020-11-23,9,828
"London","25-34",49,2020-11-30,3,312
"London","45-54",46,2020-11-09,0,15
"London","45-54",47,2020-11-16,10,1416
"London","45-54",48,2020-11-23,8,845
"London","45-54",49,2020-11-30,2,291
"London","55-64",46,2020-11-09,0,20
"London","55-64",47,2020-11-16,3,1326
"London","55-64",48,2020-11-23,6,780
"London","55-64",49,2020-11-30,2,222
"London","65+",46,2020-11-09,0,27
"London","65+",47,2020-11-16,1,1666
"London","65+",48,2020-11-23,2,791
"London","65+",49,2020-11-30,1,185
"Midlands","35-44",46,2020-11-09,0,36
"Midlands","35-44",47,2020-11-16,22,2609
"Midlands","35-44",48,2020-11-23,10,1286
"Midlands","35-44",49,2020-11-30,1,285
"Midlands","5-12",46,2020-11-09,0,33
"Midlands","5-12",47,2020-11-16,26,1599
"Midlands","5-12",48,2020-11-23,12,684
"Midlands","5-12",49,2020-11-30,0,133
"Midlands","13-17",46,2020-11-09,3,35
"Midlands","13-17",47,2020-11-16,27,1526
"Midlands","13-17",48,2020-11-23,12,564
"Midlands","13-17",49,2020-11-30,0,96
"Midlands","18-24",46,2020-11-09,2,21
"Midlands","18-24",47,2020-11-16,20,926
"Midlands","18-24",48,2020-11-23,6,417
"Midlands","18-24",49,2020-11-30,0,73
"Midlands","25-34",46,2020-11-09,0,34
"Midlands","25-34",47,2020-11-16,14,1932
"Midlands","25-34",48,2020-11-23,11,942
"Midlands","25-34",49,2020-11-30,3,222
"Midlands","45-54",46,2020-11-09,2,37
"Midlands","45-54",47,2020-11-16,49,3830
"Midlands","45-54",48,2020-11-23,17,1778
"Midlands","45-54",49,2020-11-30,3,400
"Midlands","55-64",46,2020-11-09,1,52
"Midlands","55-64",47,2020-11-16,44,4594
"Midlands","55-64",48,2020-11-23,21,1984
"Midlands","55-64",49,2020-11-30,1,407
"Midlands","65+",46,2020-11-09,2,132
"Midlands","65+",47,2020-11-16,49,7335
"Midlands","65+",48,2020-11-23,12,2490
"Midlands","65+",49,2020-11-30,0,373
"North East and Yorkshire","35-44",46,2020-11-09,1,16
"North East and Yorkshire","35-44",47,2020-11-16,13,1312
"North East and Yorkshire","35-44",48,2020-11-23,14,644
"North East and Yorkshire","35-44",49,2020-11-30,1,163
"North East and Yorkshire","5-12",46,2020-11-09,0,12
"North East and Yorkshire","5-12",47,2020-11-16,6,776
"North East and Yorkshire","5-12",48,2020-11-23,9,367
"North East and Yorkshire","5-12",49,2020-11-30,1,79
"North East and Yorkshire","13-17",46,2020-11-09,0,14
"North East and Yorkshire","13-17",47,2020-11-16,12,730
"North East and Yorkshire","13-17",48,2020-11-23,4,295
"North East and Yorkshire","13-17",49,2020-11-30,2,47
"North East and Yorkshire","18-24",46,2020-11-09,0,8
"North East and Yorkshire","18-24",47,2020-11-16,8,452
"North East and Yorkshire","18-24",48,2020-11-23,1,197
"North East and Yorkshire","18-24",49,2020-11-30,0,54
"North East and Yorkshire","25-34",46,2020-11-09,0,14
"North East and Yorkshire","25-34",47,2020-11-16,14,990
"North East and Yorkshire","25-34",48,2020-11-23,3,484
"North East and Yorkshire","25-34",49,2020-11-30,2,135
"North East and Yorkshire","45-54",46,2020-11-09,0,26
"North East and Yorkshire","45-54",47,2020-11-16,17,1840
"North East and Yorkshire","45-54",48,2020-11-23,11,980
"North East and Yorkshire","45-54",49,2020-11-30,1,245
"North East and Yorkshire","55-64",46,2020-11-09,0,31
"North East and Yorkshire","55-64",47,2020-11-16,15,2494
"North East and Yorkshire","55-64",48,2020-11-23,3,1096
"North East and Yorkshire","55-64",49,2020-11-30,1,255
"North East and Yorkshire","65+",46,2020-11-09,1,84
"North East and Yorkshire","65+",47,2020-11-16,14,3916
"North East and Yorkshire","65+",48,2020-11-23,10,1500
"North East and Yorkshire","65+",49,2020-11-30,2,250
"North West","35-44",46,2020-11-09,0,21
"North West","35-44",47,2020-11-16,14,1102
"North West","35-44",48,2020-11-23,7,612
"North West","35-44",49,2020-11-30,0,141
"North West","5-12",46,2020-11-09,0,12
"North West","5-12",47,2020-11-16,13,630
"North West","5-12",48,2020-11-23,1,302
"North West","5-12",49,2020-11-30,1,67
"North West","13-17",46,2020-11-09,0,16
"North West","13-17",47,2020-11-16,14,619
"North West","13-17",48,2020-11-23,1,211
"North West","13-17",49,2020-11-30,1,41
"North West","18-24",46,2020-11-09,0,14
"North West","18-24",47,2020-11-16,3,384
"North West","18-24",48,2020-11-23,4,173
"North West","18-24",49,2020-11-30,0,35
"North West","25-34",46,2020-11-09,0,16
"North West","25-34",47,2020-11-16,11,757
"North West","25-34",48,2020-11-23,7,405
"North West","25-34",49,2020-11-30,2,112
"North West","45-54",46,2020-11-09,0,23
"North West","45-54",47,2020-11-16,12,1551
"North West","45-54",48,2020-11-23,6,802
"North West","45-54",49,2020-11-30,1,229
"North West","55-64",46,2020-11-09,1,28
"North West","55-64",47,2020-11-16,16,2075
"North West","55-64",48,2020-11-23,7,959
"North West","55-64",49,2020-11-30,1,215
"North West","65+",46,2020-11-09,1,70
"North West","65+",47,2020-11-16,26,3410
"North West","65+",48,2020-11-23,3,1206
"North West","65+",49,2020-11-30,4,224
"South East","35-44",46,2020-11-09,0,22
"South East","35-44",47,2020-11-16,15,2724
"South East","35-44",48,2020-11-23,11,1611
"South East","35-44",49,2020-11-30,4,416
"South East","5-12",46,2020-11-09,1,29
"South East","5-12",47,2020-11-16,19,1837
"South East","5-12",48,2020-11-23,12,865
"South East","5-12",49,2020-11-30,6,214
"South East","13-17",46,2020-11-09,0,20
"South East","13-17",47,2020-11-16,26,1528
"South East","13-17",48,2020-11-23,12,619
"South East","13-17",49,2020-11-30,2,108
"South East","18-24",46,2020-11-09,0,19
"South East","18-24",47,2020-11-16,11,832
"South East","18-24",48,2020-11-23,4,444
"South East","18-24",49,2020-11-30,1,104
"South East","25-34",46,2020-11-09,0,16
"South East","25-34",47,2020-11-16,10,1677
"South East","25-34",48,2020-11-23,5,957
"South East","25-34",49,2020-11-30,0,274
"South East","45-54",46,2020-11-09,0,32
"South East","45-54",47,2020-11-16,30,3755
"South East","45-54",48,2020-11-23,4,1934
"South East","45-54",49,2020-11-30,3,506
"South East","55-64",46,2020-11-09,0,38
"South East","55-64",47,2020-11-16,22,4459
"South East","55-64",48,2020-11-23,10,2031
"South East","55-64",49,2020-11-30,3,468
"South East","65+",46,2020-11-09,1,89
"South East","65+",47,2020-11-16,26,7078
"South East","65+",48,2020-11-23,8,2507
"South East","65+",49,2020-11-30,1,456
"South West","35-44",46,2020-11-09,0,10
"South West","35-44",47,2020-11-16,8,1040
"South West","35-44",48,2020-11-23,0,634
"South West","35-44",49,2020-11-30,0,199
"South West","5-12",46,2020-11-09,0,11
"South West","5-12",47,2020-11-16,6,660
"South West","5-12",48,2020-11-23,1,350
"South West","5-12",49,2020-11-30,1,93
"South West","13-17",46,2020-11-09,0,14
"South West","13-17",47,2020-11-16,9,518
"South West","13-17",48,2020-11-23,5,328
"South West","13-17",49,2020-11-30,0,80
"South West","18-24",46,2020-11-09,0,10
"South West","18-24",47,2020-11-16,3,321
"South West","18-24",48,2020-11-23,2,212
"South West","18-24",49,2020-11-30,1,66
"South West","25-34",46,2020-11-09,0,15
"South West","25-34",47,2020-11-16,4,651
"South West","25-34",48,2020-11-23,4,474
"South West","25-34",49,2020-11-30,1,153
"South West","45-54",46,2020-11-09,0,12
"South West","45-54",47,2020-11-16,12,1347
"South West","45-54",48,2020-11-23,6,929
"South West","45-54",49,2020-11-30,0,247
"South West","55-64",46,2020-11-09,0,17
"South West","55-64",47,2020-11-16,9,1892
"South West","55-64",48,2020-11-23,6,1072
"South West","55-64",49,2020-11-30,1,301
"South West","65+",46,2020-11-09,0,53
"South West","65+",47,2020-11-16,6,3159
"South West","65+",48,2020-11-23,4,1483
"South West","65+",49,2020-11-30,1,287
