"ltla","ltla_code","region","positive","number_samples","prevalence","lower","upper"
"Doncaster","E08000017","Yorkshire and The Humber",6,422,0.014218009478673,0.00653210075661442,0.0306682668744864
"Manchester","E08000003","North West",4,377,0.0106100795755968,0.00413357336211002,0.0269593093754001
"North Lincolnshire","E06000013","Yorkshire and The Humber",4,424,0.00943396226415094,0.0036746267893276,0.0240025853568118
"Walsall","E08000030","West Midlands",3,367,0.00817438692098093,0.00278384620461994,0.0237543376650875
"Stevenage","E07000243","East of England",3,396,0.00757575757575758,0.00257971892077585,0.0220336837256652
"Wolverhampton","E08000031","West Midlands",3,413,0.00726392251815981,0.00247340224326604,0.0211361946728782
"Chorley","E07000118","North West",3,416,0.00721153846153846,0.00245554357994368,0.0209853496761395
"Sunderland","E08000024","North East",3,422,0.00710900473933649,0.00242058890895139,0.0206900280045558
"Barnsley","E08000016","Yorkshire and The Humber",3,437,0.0068649885583524,0.00233740644431485,0.0199868523652383
"South Holland","E07000140","East Midlands",3,450,0.00666666666666667,0.00226980569990087,0.0194149889115635
"Wyre","E07000128","North West",3,455,0.00659340659340659,0.00224483513773295,0.0192036600483569
"West Lindsey","E07000142","East Midlands",3,460,0.00652173913043478,0.00222040800965208,0.018996882151766
"Fenland","E07000010","East of England",3,464,0.00646551724137931,0.00220124576123203,0.0188346385862174
"Charnwood","E07000130","East Midlands",3,464,0.00646551724137931,0.00220124576123203,0.0188346385862174
"Herefordshire, County of","E06000019","West Midlands",3,475,0.00631578947368421,0.00215021543655529,0.0184024302030516
"Rutland","E06000017","East Midlands",3,524,0.00572519083969466,0.00194895225704835,0.0166957727001044
"Blackburn with Darwen","E06000008","North West",2,358,0.00558659217877095,0.0015333843806686,0.0201375950760549
"Rochdale","E08000005","North West",2,364,0.00549450549450549,0.00150808706255788,0.0198094089201787
"Burnley","E07000117","North West",2,368,0.00543478260869565,0.00149168085902057,0.0195964970046408
"Salford","E08000006","North West",2,371,0.00539083557951483,0.00147960856581901,0.0194397925200814
"Tameside","E08000008","North West",2,371,0.00539083557951483,0.00147960856581901,0.0194397925200814
"Rossendale","E07000125","North West",2,388,0.00515463917525773,0.00141472802465978,0.0185970870709
