date,pos_65_and_over,tot_65_and_over,pos_64_and_under,tot_64_and_under
2020-05-01,0,35.47467467,0,53.57125924
2020-05-02,0,9.332900995,0,24.29032461
2020-05-03,0,1.868125421,0,25.56486082
2020-05-04,0,25.67501272,0,45.20781064
2020-05-05,0,113.0637393,1.624343257,364.4615371
2020-05-06,0,52.45912557,2.129874436,214.7184831
2020-05-07,0,67.31839581,1.957496626,260.5568023
2020-05-08,0,20.41185845,0,102.3448496
2020-05-09,0,237.4087495,0.641399478,746.4513013
2020-05-10,0,11.55001798,0,97.24573265
2020-05-11,0,248.2668381,6.918061745,903.0926722
2020-05-12,0,193.6739332,0,721.5338998
2020-05-13,0,242.5786214,2.428652726,884.6394854
2020-05-14,3.507125632,454.7917789,7.967201432,1556.032935
2020-05-15,0,754.5541415,9.288451414,3137.767217
2020-05-16,1.825327991,1258.319392,9.256726439,4801.978013
2020-05-17,0.251170175,1358.845518,21.05363617,5425.339744
2020-05-18,0,1185.373648,9.81238125,4149.75898
2020-05-19,1.360188778,1870.556501,7.691709535,6565.05301
2020-05-20,1.880297054,1825.725241,8.252823555,7677.03726
2020-05-21,1.482976135,2174.088229,15.50706651,8124.603754
2020-05-22,0,2870.007571,8.048553974,9212.49308
2020-05-23,1.000809469,2282.015266,5.985722267,7576.263263
2020-05-24,0,1015.665717,3.700706129,3736.494328
2020-05-25,0,565.6159299,11.48209282,1800.311026
2020-05-26,2.010413923,1067.326256,4.573709455,3576.955574
2020-05-27,0,999.2386085,2.057613238,4115.112737
2020-05-28,1.307165743,803.145502,0.506469544,3223.231118
2020-05-29,0.609410736,262.9541742,0,1273.931759
2020-05-30,0,190.3173867,0,976.5723091
2020-05-31,0,293.3262763,7.899096402,1385.264384
2020-06-01,0,78.56170995,1.424705224,421.9192345
2020-06-19,0,113.3871665,0,358.2706574
2020-06-20,0.852430047,774.4184097,2.843985425,3663.267411
2020-06-21,0,736.3333299,5.301033435,3879.638146
2020-06-22,2.992829375,2252.173707,9.8438362,8386.173913
2020-06-23,7.992208208,2603.133743,11.41832061,8225.611397
2020-06-24,0,2688.440706,17.52207602,9030.236804
2020-06-25,4.111830905,4160.247167,7.958721562,10254.94314
2020-06-26,2.373554644,4718.456377,6.112822732,10681.10288
2020-06-27,2.633218146,3206.718735,0.763726789,9638.773611
2020-06-28,0,1967.917646,12.89701556,8059.622382
2020-06-29,1.966613367,2836.408285,9.287615588,9721.751481
2020-06-30,3.277063735,2591.079575,9.795839718,10452.24256
2020-07-01,0,1927.502219,5.395141392,8293.502262
2020-07-02,0,1179.734283,2.325197167,5766.976414
2020-07-03,0,777.5546384,2.344839558,4776.926078
2020-07-04,3.474547489,408.5346524,1.00199724,3599.926469
2020-07-05,0,174.5906023,0,1422.323877
2020-07-06,0,289.8163301,1.245852925,2116.114927
2020-07-07,0,0,0,9.122848548
2020-07-24,0,174.1060498,0,790.8418906
2020-07-25,0,1814.804622,0.926451655,5615.66952
2020-07-26,0.57649195,2342.979881,6.961598796,7037.464449
2020-07-27,0,3803.063638,1.026275348,10207.62752
2020-07-28,0,3702.740899,2.339403901,9557.30657
2020-07-29,1.119575488,3268.750117,11.07293849,9261.245603
2020-07-30,2.568203696,2892.836468,2.275865465,9679.630444
2020-07-31,2.242161472,2829.509262,0.548908637,9367.30036
2020-08-01,0,2245.303855,0.177508294,7227.927356
2020-08-02,0,1577.744865,0,6526.44343
2020-08-03,2.985692154,2690.175578,5.13694469,9537.19848
2020-08-04,1.260071741,2381.628931,10.24248486,8495.097667
2020-08-05,0,1782.114234,0,7442.395257
2020-08-06,0,1277.784101,5.216171163,5615.680498
2020-08-07,0.546306062,858.6253959,3.039395411,4913.418909
2020-08-08,0,556.4076123,1.450159563,3500.733822
2020-08-09,0,388.863483,0.554185742,2231.42944
2020-08-10,0,616.7910859,0,3955.710572
2020-08-11,0,2.439178317,0,18.65466135
2020-08-20,0,88.78002758,0,271.6335282
2020-08-21,0,262.2400174,10.30365659,740.3252916
2020-08-22,1.136934602,2951.554642,2.619312347,8273.963856
2020-08-23,0,2540.897526,4.770376306,7061.314842
2020-08-24,0,3803.614916,3.799285384,9956.293857
2020-08-25,4.32670486,3846.525563,4.817329374,8817.550947
2020-08-26,2.026895336,3397.953421,7.790546699,8682.397237
2020-08-27,0.849059352,3220.791676,15.94160875,8641.502862
2020-08-28,0.446751218,2972.711705,14.92202613,9685.070093
2020-08-29,0,1879.218792,18.50932209,7106.715265
2020-08-30,0.380986515,881.4828006,15.76040037,4024.513737
2020-08-31,0.279724092,1073.026267,5.00999329,4266.030537
2020-09-01,1.260357778,1660.800335,16.03972496,8925.050828
2020-09-02,0,1378.071379,5.019013554,6737.081462
2020-09-03,0,1008.835892,18.17267495,5290.998298
2020-09-04,0,802.8168875,8.432296507,4974.472458
2020-09-05,0.845103504,525.8782126,9.886795732,4354.954774
2020-09-06,0,381.6668909,2.302315025,3402.649474
2020-09-07,0,484.8110936,10.09764937,3572.040942
2020-09-08,0,1.531625758,0,29.29706353
2020-09-18,0,229.2965359,6.976462522,762.715533
2020-09-19,2.492184844,2472.899311,55.89105919,8366.054665
2020-09-20,6.017413537,2539.24077,48.24852104,8891.340316
2020-09-21,10.93121858,3797.580313,46.76575419,10084.02489
2020-09-22,9.096110235,3535.883897,47.53265603,8792.139856
2020-09-23,18.76674926,3606.199223,111.5418631,9570.240113
2020-09-24,11.3501194,3734.95523,43.18210368,9669.770043
2020-09-25,6.505542672,3411.750486,77.42063691,10082.36526
2020-09-26,6.882221898,2333.562041,86.20544419,9735.026385
2020-09-27,2.911103394,1852.023008,29.17539489,9180.453204
2020-09-28,9.303819037,2615.208202,60.87210119,9418.482783
2020-09-29,17.8971754,2056.19072,53.43956896,7731.078563
2020-09-30,1.034575969,1649.791888,41.21531725,6782.672781
2020-10-01,8.287884496,1155.828946,34.31640309,5349.411734
2020-10-02,6.776973741,916.7546446,61.82156091,4864.756403
2020-10-03,6.459852829,558.8898715,32.63938857,5046.952678
2020-10-04,0.729488282,285.9145853,7.923533329,2593.414388
2020-10-05,3.040024432,387.8034819,16.57127455,2979.765422
2020-10-16,0.937182714,253.667759,12.1371232,668.4244699
2020-10-17,19.06458075,2819.148332,117.2129503,8132.693467
2020-10-18,14.34465482,2572.941936,107.746044,8825.416264
2020-10-19,24.02561441,3991.914989,97.21514524,10301.15462
2020-10-20,32.75180764,3588.814067,155.8605046,8805.169614
2020-10-21,27.56126397,3446.303403,123.9711713,8745.566583
2020-10-22,25.28814357,3017.196632,152.6527036,9001.435856
2020-10-23,36.58177596,2843.724609,147.5415247,9007.840273
2020-10-24,14.42162061,1861.216631,167.0483521,7972.230111
2020-10-25,16.98143215,1291.373526,105.0010621,6517.478477
2020-10-26,14.41954334,1807.109829,91.2458447,7361.851255
2020-10-27,19.01517868,1651.899746,101.2880858,7196.7619
2020-10-28,15.21978071,1388.735638,86.93239045,5965.33507
2020-10-29,0.873436224,1049.144632,56.15807218,5074.736831
2020-10-30,1.354597909,819.1494563,39.9177308,4743.934325
2020-10-31,7.549928099,578.6415919,55.35398293,4074.363764
2020-11-01,1.18327533,318.3938261,43.63789884,2469.295982
2020-11-02,4.730811735,485.2092844,54.48952838,4146.762133
2020-11-13,1.26633783,53.31242595,0,126.5833346
2020-11-14,0,66.05627364,2.613299584,313.5157994
2020-11-15,3.365991163,325.9223213,11.48145902,795.4892898
2020-11-16,31.99184481,4517.190737,182.7968406,13050.28365
2020-11-17,33.11440491,4199.481361,86.06464296,10162.4369
2020-11-18,21.94250853,3988.577056,128.9285759,10451.06019
