date,logit(p),lb_2.5,lb_25,ub_97.5,ub_75
2020-07-05,-7.463185455,-7.847222283,-7.587804751,-7.129429899,-7.344255173
2020-07-06,-7.509158613,-7.928928863,-7.642757743,-7.152875569,-7.383200045
2020-07-07,-7.553520264,-8.006062664,-7.694639074,-7.174052304,-7.419409869
2020-07-08,-7.595063224,-8.077617641,-7.74353129,-7.193101738,-7.453039386
2020-07-09,-7.633739391,-8.144195906,-7.788395834,-7.212065451,-7.484847437
2020-07-10,-7.669234976,-8.203930855,-7.829866723,-7.229793624,-7.514334993
2020-07-11,-7.701348934,-8.256698296,-7.867339051,-7.248955618,-7.542373101
2020-07-12,-7.729722741,-8.304226999,-7.900742398,-7.267565721,-7.568449814
2020-07-13,-7.756153646,-8.345898365,-7.930400474,-7.289224068,-7.592974898
2020-07-14,-7.779876309,-8.377175172,-7.957200312,-7.30926233,-7.616729552
2020-07-15,-7.801814103,-8.398298003,-7.980123913,-7.333622266,-7.639496051
2020-07-16,-7.822409799,-8.411490956,-8.000435031,-7.358450277,-7.661407951
2020-07-17,-7.841469334,-8.417727792,-8.018099929,-7.383154871,-7.681865564
2020-07-18,-7.858185292,-8.419566783,-8.032610801,-7.407894914,-7.70021045
2020-07-19,-7.873341976,-8.414775304,-8.044082865,-7.431786745,-7.717465962
2020-07-20,-7.886798979,-8.406847485,-8.051812612,-7.455738817,-7.733944177
2020-07-21,-7.897211721,-8.392337796,-8.055635859,-7.479631133,-7.748721254
2020-07-22,-7.90512629,-8.375531708,-8.055854927,-7.503436613,-7.761931643
2020-07-23,-7.910627492,-8.354996472,-8.052849876,-7.527382223,-7.773503615
2020-07-24,-7.913168477,-8.328990102,-8.046585264,-7.548262534,-7.782550143
2020-07-25,-7.9126197,-8.298460673,-8.037760474,-7.569207823,-7.790165616
2020-07-26,-7.909655892,-8.263689336,-8.026167378,-7.587953468,-7.79427102
2020-07-27,-7.903361801,-8.229883983,-8.012409392,-7.603875489,-7.796054658
2020-07-28,-7.894933055,-8.197728336,-7.996975317,-7.612596791,-7.794533594
2020-07-29,-7.88417613,-8.172124143,-7.981459557,-7.614613094,-7.789236689
2020-07-30,-7.87143026,-8.14832697,-7.964923412,-7.611994075,-7.780953988
2020-07-31,-7.857460965,-8.12778356,-7.948320753,-7.604072169,-7.769296623
2020-08-01,-7.841784017,-8.111164492,-7.932399086,-7.591146906,-7.75432094
2020-08-02,-7.824820659,-8.099297176,-7.91645054,-7.572548188,-7.73667396
2020-08-03,-7.807049069,-8.089509959,-7.900735104,-7.550425512,-7.717308454
2020-08-04,-7.788981908,-8.080643448,-7.885157551,-7.524190575,-7.697208556
2020-08-05,-7.770688314,-8.071361774,-7.868821057,-7.495052231,-7.67642218
2020-08-06,-7.751791883,-8.062566269,-7.852689895,-7.463082235,-7.654520575
2020-08-07,-7.732336404,-8.052244713,-7.83653547,-7.428955589,-7.630677617
2020-08-08,-7.711587629,-8.04292527,-7.819480474,-7.394582988,-7.605799106
2020-08-09,-7.689890357,-8.031805959,-7.80150311,-7.36039805,-7.580124806
2020-08-10,-7.666483605,-8.018255211,-7.781727517,-7.326523631,-7.552469707
2020-08-11,-7.640857548,-8.001776655,-7.759707272,-7.292346094,-7.523764666
2020-08-12,-7.612522236,-7.982212236,-7.734184511,-7.257169298,-7.492747681
2020-08-13,-7.581501117,-7.958283428,-7.704817823,-7.22293122,-7.460122626
2020-08-14,-7.547593609,-7.927899861,-7.67068888,-7.189766843,-7.425845974
2020-08-15,-7.510045145,-7.889518081,-7.63164285,-7.158024881,-7.389231005
2020-08-16,-7.469875906,-7.844589439,-7.5886216,-7.126785632,-7.351347856
