,NorthWest,NorthEast,SouthWest,SouthEast,London,EastMidlands,WestMidlands,Yorkshire,EastofEngland
2020-05-01,9.142745641,1.071127999,4.616290716,15.05498989,11.0125292,9.282128652,13.44530754,10.88303488,14.53777938
2020-05-02,2.104919401,3.833829115,7.755588771,3.916968115,3.569112891,7.121515334,2.699005628,0.387113883,2.235172468
2020-05-03,4.130217707,0,0.616524006,1.112530472,5.14291253,1.014868796,6.875955609,5.433981392,3.105995729
2020-05-04,5.790854011,0.938854548,4.653374965,6.290564941,8.84521435,13.11432816,6.113508417,9.510581784,15.62554218
2020-05-05,68.00528525,13.59340935,39.77113875,87.46673116,56.11124437,45.2172743,54.48403516,42.5092538,70.36690428
2020-05-06,19.08195334,15.37291585,37.85658199,49.40773252,38.05393269,22.34628467,30.44030112,25.24019468,29.37771182
2020-05-07,55.64958896,5.62189601,37.55232076,53.49302001,37.57947343,27.87050353,34.73951057,21.85815653,53.51072829
2020-05-08,17.74303535,1.229170429,11.98124681,13.789015,38.11076527,10.55443644,9.950303776,10.91071346,8.48802153
2020-05-09,124.4523906,32.43075575,118.7127388,155.3623526,88.84785284,110.3685556,98.54690263,126.0834006,129.0551015
2020-05-10,10.86141363,0,2.393969399,21.71916356,30.30516639,14.77399201,6.463517377,9.596899227,12.68162904
2020-05-11,126.0528364,47.84444551,156.0028507,211.0309314,71.93663339,122.947643,115.3909081,132.6532604,167.5000015
2020-05-12,104.4759061,40.84662175,107.6466393,159.9433751,101.8171434,82.25985793,84.94849337,94.74898376,138.5208124
2020-05-13,126.9587051,49.15115762,156.0284981,215.0463963,107.4627761,113.8411641,135.4070122,81.7734354,141.5489616
2020-05-14,250.8272126,72.54713884,271.4703887,305.4427307,258.7814782,240.7492856,178.5984533,190.2398729,242.1681529
2020-05-15,446.6823563,114.7847335,437.5439079,606.5321323,461.128991,562.121199,455.6466396,284.6639653,523.2174337
2020-05-16,768.3178226,186.5409746,710.6677956,967.338701,590.4948671,578.5160011,907.8803628,569.4910286,781.049852
2020-05-17,761.5800325,247.5938108,732.4560321,1217.878152,811.300257,686.5038964,800.4120385,656.4057353,870.0553073
2020-05-18,543.2726875,206.0482022,671.832748,958.1036927,704.0778,516.7371288,572.9583438,493.3657473,668.7362782
2020-05-19,1048.827438,367.697031,906.4021224,1465.329306,1155.6145,710.204384,968.1024947,771.3172669,1042.114967
2020-05-20,1281.086342,451.0553583,895.0849105,1715.993845,1392.610967,801.9587806,964.4426223,949.3242812,1051.205394
2020-05-21,1294.522999,424.4259892,1059.815587,1945.075109,1662.873423,837.091197,1000.752947,857.0601752,1217.074559
2020-05-22,1627.605124,582.640547,1225.927407,1969.867911,1859.573331,1062.720183,1132.224827,1315.974055,1305.967265
2020-05-23,1378.717916,542.5963245,1043.814662,1619.41811,1456.849297,937.9722304,854.2676812,999.4627475,1025.179561
2020-05-24,630.9208269,298.8048048,444.6867469,847.0894125,685.4656899,394.7703272,417.8711395,487.5855727,544.9655247
2020-05-25,355.8484461,144.8548589,111.0005237,511.303045,302.1156515,234.7655108,160.3505682,336.8025341,208.8858175
2020-05-26,536.2724355,235.3362202,632.7217276,726.2324486,765.1417528,334.1891729,490.8407369,413.2117965,510.3355387
