,South East,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South West
01/05/2020,19,1,8,5,15,11,17,7,7
02/05/2020,6,2,3,1,10,2,4,1,5
03/05/2020,2,0,4,4,2,3,4,3,1
04/05/2020,10,1,9,8,20,8,16,4,7
05/05/2020,113,13,73,33,77,51,93,39,42
06/05/2020,62,8,24,17,34,33,41,23,29
07/05/2020,70,7,63,20,47,37,64,26,31
08/05/2020,17,1,19,6,14,10,13,27,11
09/05/2020,218,25,145,85,159,111,180,54,106
10/05/2020,25,0,12,6,22,9,16,22,4
11/05/2020,305,41,142,101,190,131,210,48,140
12/05/2020,217,31,113,69,141,99,169,68,106
13/05/2020,287,34,143,65,187,129,184,67,138
14/05/2020,416,56,277,115,358,176,316,166,270
15/05/2020,847,91,531,213,848,438,709,302,410
16/05/2020,1364,164,859,402,896,842,1032,380,650
17/05/2020,1740,209,867,493,1034,816,1164,553,657
18/05/2020,1355,183,654,386,803,559,913,465,630
19/05/2020,2086,284,1126,587,1097,854,1419,759,858
20/05/2020,2373,368,1447,678,1245,920,1419,885,793
21/05/2020,2647,352,1391,593,1266,949,1631,1009,908
22/05/2020,2736,483,1751,900,1620,1111,1731,1141,1076
23/05/2020,2218,440,1460,742,1381,834,1375,912,894
24/05/2020,1165,245,617,332,592,403,719,427,392
25/05/2020,671,129,350,217,343,143,281,181,71
26/05/2020,967,202,550,272,474,429,656,444,578
27/05/2020,1160,261,626,318,539,472,633,541,427
28/05/2020,869,262,494,257,351,350,524,458,275
29/05/2020,382,93,188,98,154,147,222,180,95
30/05/2020,257,43,133,56,114,93,156,163,91
31/05/2020,382,68,208,96,131,138,227,216,106
01/06/2020,121,12,65,22,41,41,61,65,32
19/06/2020,62,18,87,40,83,47,68,38,46
20/06/2020,744,113,706,332,697,372,732,294,538
21/06/2020,978,148,603,433,714,324,714,425,347
22/06/2020,2000,276,1491,792,1668,976,1778,954,1433
23/06/2020,2147,339,1609,786,1555,1103,1810,919,1250
24/06/2020,2588,434,1540,810,1685,1158,1902,1095,1125
25/06/2020,3606,487,1699,1002,2038,1394,2257,1486,1288
26/06/2020,3844,581,1881,1036,2093,1522,2286,1572,1314
27/06/2020,3057,578,1532,886,1840,1241,1953,1146,1122
28/06/2020,2304,551,1161,698,1373,1065,1486,923,755
29/06/2020,3244,496,1430,817,1628,1233,1890,1467,1082
30/06/2020,3120,564,1464,789,1579,1233,1856,1533,1149
01/07/2020,2341,427,1061,643,1247,1004,1414,1242,925
02/07/2020,1566,274,734,426,787,690,1005,811,750
03/07/2020,1184,223,589,259,634,573,699,705,696
04/07/2020,801,164,429,217,496,437,499,427,501
05/07/2020,313,51,173,97,151,128,163,208,287
06/07/2020,464,80,204,121,279,284,296,288,392
07/07/2020,1,0,0,0,5,2,1,2,1
24/07/2020,171,29,139,58,127,77,135,60,95
25/07/2020,1728,257,985,519,1216,729,1085,503,792
26/07/2020,2238,361,1265,671,1348,937,1425,721,824
27/07/2020,3318,559,1858,1115,1992,1376,2183,1169,1386
28/07/2020,3125,525,1769,1040,1853,1340,2140,1203,1337
29/07/2020,2992,482,1609,857,1690,1219,1967,1181,1273
30/07/2020,2915,523,1559,904,1685,1252,1953,1194,1166
31/07/2020,2910,427,1466,852,1723,1176,1941,1168,1244
01/08/2020,2231,347,1250,683,1319,924,1507,858,1011
02/08/2020,1799,327,994,563,1090,911,1212,740,721
03/08/2020,2861,449,1518,881,1530,1106,1880,1272,1168
04/08/2020,2412,406,1280,759,1384,948,1592,1244,1055
05/08/2020,2073,339,1131,597,1119,880,1345,976,868
06/08/2020,1572,200,852,469,827,685,975,771,695
07/08/2020,1259,182,654,340,686,553,765,668,631
08/08/2020,878,120,469,224,464,380,527,430,525
09/08/2020,545,76,307,157,269,265,348,312,326
10/08/2020,1043,172,445,216,543,420,628,541,512
11/08/2020,3,1,3,0,0,1,2,4,7
20/08/2020,63,10,46,20,30,33,61,29,35
21/08/2020,187,46,125,78,109,87,132,79,74
22/08/2020,2601,445,1556,911,1661,1119,1655,800,1008
23/08/2020,2350,457,1311,765,1449,985,1500,700,792
24/08/2020,3427,554,1787,1052,1996,1349,2201,1281,1146
25/08/2020,3097,538,1567,935,1810,1277,2098,1164,1201
26/08/2020,2922,486,1413,899,1672,1187,2011,1145,1202
27/08/2020,2852,484,1349,843,1577,1101,1915,1244,1180
28/08/2020,2976,463,1406,882,1690,1343,1895,1306,1131
29/08/2020,2104,354,1028,594,1166,850,1497,886,906
30/08/2020,917,254,613,359,755,585,669,580,162
31/08/2020,1759,62,433,302,334,223,1167,707,688
01/09/2020,2391,432,1152,617,1353,1083,1499,1141,1029
02/09/2020,1915,286,843,479,1002,810,1133,901,768
03/09/2020,1351,226,692,369,740,592,936,743,668
04/09/2020,1300,199,606,329,646,545,782,712,733
05/09/2020,1067,156,492,237,563,498,642,546,684
06/09/2020,707,140,358,220,465,396,473,419,528
07/09/2020,823,119,397,203,414,366,577,560,642
08/09/2020,5,1,13,1,1,1,5,4,3
18/09/2020,199,44,119,72,124,95,122,86,71
19/09/2020,2275,515,1330,840,1535,1088,1622,812,912
20/09/2020,2742,591,1350,866,1660,1149,1741,898,849
21/09/2020,3450,590,1726,1113,1973,1289,2147,1372,1178
22/09/2020,3060,538,1543,862,1736,1218,2035,1225,1072
23/09/2020,3247,514,1627,972,1818,1225,2051,1255,1200
24/09/2020,3388,484,1648,975,1796,1308,2131,1423,1194
25/09/2020,3329,537,1633,980,1734,1309,2120,1368,1278
26/09/2020,2793,502,1421,899,1498,1143,1840,1186,1098
27/09/2020,2492,465,1212,735,1416,1183,1691,1167,875
28/09/2020,2846,469,1407,792,1515,1153,1830,1414,1122
29/09/2020,2222,358,985,552,1171,984,1509,1197,1039
30/09/2020,1926,314,870,531,974,791,1281,1053,920
01/10/2020,1404,205,655,407,771,635,942,860,813
02/10/2020,1355,187,526,330,692,556,846,638,834
03/10/2020,1143,184,529,342,697,566,805,597,763
04/10/2020,653,83,287,188,353,226,395,338,401
05/10/2020,753,120,253,137,395,325,491,486,533
16/10/2020,174,42,110,70,128,86,122,70,67
17/10/2020,2265,468,1471,965,1619,1106,1643,793,1000
18/10/2020,2500,476,1437,900,1737,1200,1771,889,918
19/10/2020,3608,574,1819,1128,2058,1403,2270,1348,1419
20/10/2020,3195,488,1541,926,1761,1189,2003,1157,1230
21/10/2020,3149,518,1438,914,1707,1235,1959,1212,1208
22/10/2020,2992,504,1432,816,1625,1186,1923,1265,1224
23/10/2020,2894,479,1398,793,1622,1235,1749,1221,1162
24/10/2020,2274,401,1123,701,1237,994,1434,897,951
25/10/2020,1860,286,883,512,1041,764,1155,752,657
26/10/2020,2120,299,1009,607,1169,857,1428,1124,937
27/10/2020,1934,298,949,551,1122,814,1249,1049,887
28/10/2020,1614,260,814,422,838,649,997,881,829
29/10/2020,1383,192,672,346,745,519,887,734,727
30/10/2020,1383,182,562,323,634,474,810,682,658
31/10/2020,978,153,484,302,576,434,689,517,534
01/11/2020,598,68,294,202,287,178,422,398,261
02/11/2020,1083,147,396,211,471,439,667,679,525
13/11/2020,32,3,24,19,20,26,29,7,26
14/11/2020,56,8,42,35,47,37,50,27,27
15/11/2020,183,17,158,95,150,106,170,82,89
16/11/2020,4141,425,2123,1497,2662,1862,2960,1568,1624
17/11/2020,3672,480,1862,1218,2494,1498,2397,1220,1409
18/11/2020,3676,538,1847,1010,2233,1481,2329,1317,1463
19/11/2020,3721,517,1760,981,2004,1462,2267,1314,1463
20/11/2020,3474,524,1649,957,1907,1389,2126,1264,1432
21/11/2020,3348,555,1535,1017,2069,1491,2175,1162,1341
22/11/2020,2231,407,1024,656,1330,1012,1451,839,838
23/11/2020,2427,379,1092,651,1361,1019,1434,989,1087
24/11/2020,1935,350,946,566,1153,756,1302,869,966
25/11/2020,1638,264,753,438,807,615,1100,723,861
26/11/2020,1352,213,617,367,690,563,904,647,745
27/11/2020,1372,209,646,423,647,559,843,686,713
28/11/2020,1353,207,638,361,720,558,831,564,658
29/11/2020,1039,148,457,311,523,414,613,591,445
30/11/2020,943,141,426,268,413,334,572,536,547
01/12/2020,877,151,402,201,401,308,553,551,463
02/12/2020,770,133,311,211,331,253,491,543,410
03/12/2020,4,0,2,0,2,0,5,0,5
