"","round","age_group","category","x","n","p","lower","upper"
"1","1-3","5-12","asymptomatic",21287,22829,0.932454334399229,0.929125541915657,0.935637612315951
"2","1-3","5-12","symptomatic",1542,22829,0.067545665600771,0.0643623876840493,0.0708744580843432
"3","1-3","5-12","classic covid symptoms",393,22829,0.017214945902142,0.0156070803851008,0.0189852615380533
"4","1-3","13-17","asymptomatic",16763,18938,0.885151547153871,0.880532216360973,0.889614658308742
"5","1-3","13-17","symptomatic",2175,18938,0.114848452846129,0.110385341691258,0.119467783639027
"6","1-3","13-17","classic covid symptoms",533,18938,0.0281444714330975,0.0258829860331137,0.0305973440945835
"7","1-3","18-24","asymptomatic",14938,17498,0.85369756543605,0.848383545596702,0.858856319941084
"8","1-3","18-24","symptomatic",2560,17498,0.14630243456395,0.141143680058916,0.151616454403297
"9","1-3","18-24","classic covid symptoms",771,17498,0.0440621785346897,0.0411200422792633,0.0472044613141349
"10","1-3","25-34","asymptomatic",30588,36108,0.847125290794284,0.843376548992692,0.850800180504354
"11","1-3","25-34","symptomatic",5520,36108,0.152874709205716,0.149199819495646,0.156623451007308
"12","1-3","25-34","classic covid symptoms",1462,36108,0.0404896421845574,0.0385050167907766,0.042572029976816
"13","1-3","35-44","asymptomatic",40139,47157,0.851177979939352,0.84793705846512,0.854361691418725
"14","1-3","35-44","symptomatic",7018,47157,0.148822020060648,0.145638308581275,0.152062941534879
"15","1-3","35-44","classic covid symptoms",1743,47157,0.0369616387810929,0.0352961726136316,0.0387025379875758
"16","1-3","45-54","asymptomatic",53143,62217,0.85415561663211,0.851360386554273,0.856907116211114
"17","1-3","45-54","symptomatic",9074,62217,0.14584438336789,0.143092883788886,0.148639613445727
"18","1-3","45-54","classic covid symptoms",2391,62217,0.0384300110902165,0.0369477909416419,0.0399692250712013
"19","1-3","55-64","asymptomatic",59609,68971,0.864261791187601,0.861685331810763,0.866797676446653
"20","1-3","55-64","symptomatic",9362,68971,0.135738208812399,0.133202323553347,0.138314668189237
"21","1-3","55-64","classic covid symptoms",2360,68971,0.0342172797262618,0.0328863310683121,0.0356001106387111
"22","1-3","65+","asymptomatic",75973,85729,0.886199535746364,0.884056410403841,0.888308051956892
"23","1-3","65+","symptomatic",9756,85729,0.113800464253636,0.111691948043108,0.115943589596159
"24","1-3","65+","classic covid symptoms",1826,85729,0.0212996768888008,0.0203544237912456,0.0222878285430208
"25","4","5-12","asymptomatic",7851,8749,0.897359698251229,0.890824982336523,0.903545626649328
"26","4","5-12","symptomatic",898,8749,0.102640301748771,0.0964543733506717,0.109175017663477
"27","4","5-12","classic covid symptoms",234,8749,0.0267459138187221,0.023567250636569,0.0303399817793906
"28","4","13-17","asymptomatic",5718,6472,0.883498145859085,0.875453419760086,0.891087890981636
"29","4","13-17","symptomatic",754,6472,0.116501854140915,0.108912109018364,0.124546580239914
"30","4","13-17","classic covid symptoms",190,6472,0.0293572311495674,0.0255155710662327,0.0337572603119764
"31","4","18-24","asymptomatic",4169,5027,0.829321663019694,0.818670865955795,0.839469532047554
"32","4","18-24","symptomatic",858,5027,0.170678336980306,0.160530467952446,0.181329134044205
"33","4","18-24","classic covid symptoms",235,5027,0.0467475631589417,0.0412501417736946,0.0529371751392438
"34","4","25-34","asymptomatic",9059,11173,0.810793878098989,0.803425023538835,0.817949094147969
"35","4","25-34","symptomatic",2114,11173,0.189206121901011,0.182050905852031,0.196574976461165
"36","4","25-34","classic covid symptoms",495,11173,0.0443032310033116,0.0406418872844932,0.04827781892073
"37","4","35-44","asymptomatic",13039,15990,0.815447154471545,0.809358759445079,0.82138401901584
"38","4","35-44","symptomatic",2951,15990,0.184552845528455,0.17861598098416,0.190641240554921
"39","4","35-44","classic covid symptoms",607,15990,0.0379612257661038,0.0351084417681261,0.0410359580595368
"40","4","45-54","asymptomatic",18405,21705,0.847961299239806,0.843122993490357,0.852676458942539
"41","4","45-54","symptomatic",3300,21705,0.152038700760193,0.147323541057461,0.156877006509643
"42","4","45-54","classic covid symptoms",748,21705,0.0344621055056439,0.0321165580516135,0.036972410222706
"43","4","55-64","asymptomatic",22019,25262,0.871625366162616,0.867443839529873,0.875693887768934
"44","4","55-64","symptomatic",3243,25262,0.128374633837384,0.124306112231066,0.132556160470127
"45","4","55-64","classic covid symptoms",700,25262,0.0277096033568205,0.0257562129452969,0.0298066093382488
"46","4","65+","asymptomatic",30800,34134,0.902326126442843,0.899131322394144,0.905430384681897
"47","4","65+","symptomatic",3334,34134,0.0976738735571571,0.0945696153181036,0.100868677605856
"48","4","65+","classic covid symptoms",597,34134,0.0174898927755317,0.0161525612667267,0.0189358159602169
"49","5","5-12","asymptomatic",5863,10595,0.553374233128834,0.543890312286291,0.562819463908988
"50","5","5-12","symptomatic",4732,10595,0.446625766871166,0.437180536091012,0.456109687713709
"51","5","5-12","classic covid symptoms",1258,10595,0.118735252477584,0.112713572960253,0.125033304244292
"52","5","13-17","asymptomatic",4675,7568,0.617732558139535,0.606727275457211,0.628618381169564
"53","5","13-17","symptomatic",2893,7568,0.382267441860465,0.371381618830436,0.393272724542789
"54","5","13-17","classic covid symptoms",1005,7568,0.132795983086681,0.125336364682365,0.140628192258364
"55","5","18-24","asymptomatic",3712,5104,0.727272727272727,0.714887044643507,0.739316559501961
"56","5","18-24","symptomatic",1392,5104,0.272727272727273,0.260683440498039,0.285112955356493
"57","5","18-24","classic covid symptoms",477,5104,0.0934561128526646,0.0857737162625571,0.101750009080681
"58","5","25-34","asymptomatic",8554,12327,0.693923906871096,0.685728928118279,0.701998058394875
"59","5","25-34","symptomatic",3773,12327,0.306076093128904,0.298001941605126,0.314271071881721
"60","5","25-34","classic covid symptoms",953,12327,0.0773099699845867,0.0727257279751206,0.0821575754230036
"61","5","35-44","asymptomatic",12556,18697,0.671551585815906,0.664785080475284,0.678247612151187
"62","5","35-44","symptomatic",6141,18697,0.328448414184094,0.321752387848813,0.335214919524717
"63","5","35-44","classic covid symptoms",1411,18697,0.075466652404129,0.0717670657112432,0.079340651288722
"64","5","45-54","asymptomatic",18483,24403,0.757406876203745,0.751988514644279,0.762744209833664
"65","5","45-54","symptomatic",5920,24403,0.242593123796255,0.237255790166336,0.248011485355721
"66","5","45-54","classic covid symptoms",1278,24403,0.0523706101708806,0.0496453460102402,0.0552367815333695
"67","5","55-64","asymptomatic",22532,27266,0.826377173036016,0.821835240714529,0.830827152899903
"68","5","55-64","symptomatic",4734,27266,0.173622826963984,0.169172847100097,0.178164759285471
"69","5","55-64","classic covid symptoms",1048,27266,0.0384361475830705,0.0362185031391463,0.0407838315459159
"70","5","65+","asymptomatic",32191,36481,0.88240453934925,0.87905865404488,0.885669898537457
"71","5","65+","symptomatic",4290,36481,0.11759546065075,0.114330101462543,0.12094134595512
"72","5","65+","classic covid symptoms",759,36481,0.0208053507305173,0.0193903532551133,0.0223212562235341
"73","6","5-12","asymptomatic",7099,8826,0.804328121459325,0.795919959014567,0.81247148550379
"74","6","5-12","symptomatic",1727,8826,0.195671878540675,0.18752851449621,0.204080040985433
"75","6","5-12","classic covid symptoms",437,8826,0.0495128030818038,0.0451797037974353,0.054237874979561
"76","6","13-17","asymptomatic",4711,6297,0.748134032078768,0.737263448900004,0.758702053552885
"77","6","13-17","symptomatic",1586,6297,0.251865967921232,0.241297946447115,0.262736551099996
"78","6","13-17","classic covid symptoms",518,6297,0.0822613943147531,0.0757269795136692,0.089305177796843
"79","6","18-24","asymptomatic",3665,4808,0.762271214642263,0.750032160020673,0.774091508970305
"80","6","18-24","symptomatic",1143,4808,0.237728785357737,0.225908491029695,0.249967839979327
"81","6","18-24","classic covid symptoms",316,4808,0.0657237936772047,0.0590604079514958,0.0730805747184796
"82","6","25-34","asymptomatic",8861,12126,0.73074385617681,0.722776646047252,0.738564915505529
"83","6","25-34","symptomatic",3265,12126,0.26925614382319,0.261435084494471,0.277223353952748
"84","6","25-34","classic covid symptoms",813,12126,0.0670460168233548,0.0627302293337084,0.0716360329421675
"85","6","35-44","asymptomatic",12430,17234,0.721248694441221,0.714505640346296,0.727893137842822
"86","6","35-44","symptomatic",4804,17234,0.278751305558779,0.272106862157178,0.285494359653704
"87","6","35-44","classic covid symptoms",1003,17234,0.058198909133109,0.0548010064280538,0.061793722884313
"88","6","45-54","asymptomatic",17310,22598,0.765996990884149,0.760432087478974,0.771471475418917
"89","6","45-54","symptomatic",5288,22598,0.234003009115851,0.228528524581083,0.239567912521026
"90","6","45-54","classic covid symptoms",1160,22598,0.0513319762810868,0.0485303056215306,0.0542861601542604
"91","6","55-64","asymptomatic",21257,25779,0.824585903254587,0.819894993611494,0.829180090945359
"92","6","55-64","symptomatic",4522,25779,0.175414096745413,0.170819909054641,0.180105006388505
"93","6","55-64","classic covid symptoms",936,25779,0.0363086232980333,0.0340933986589596,0.0386620213290472
"94","6","65+","asymptomatic",30308,34307,0.883434867519748,0.879996164477149,0.886787711446607
"95","6","65+","symptomatic",3999,34307,0.116565132480252,0.113212288553393,0.120003835522852
"96","6","65+","classic covid symptoms",678,34307,0.0197627306380622,0.018342792650838,0.0212902038308354
"97","7","5-12","asymptomatic",8087,9495,0.851711427066877,0.844420954865014,0.85871742563694
"98","7","5-12","symptomatic",1408,9495,0.148288572933123,0.14128257436306,0.155579045134986
"99","7","5-12","classic covid symptoms",290,9495,0.0305423907319642,0.0272666223472835,0.0341978690174539
"100","7","13-17","asymptomatic",5983,7197,0.831318604974295,0.822490891892193,0.839792818598086
"101","7","13-17","symptomatic",1214,7197,0.168681395025705,0.160207181401914,0.177509108107807
"102","7","13-17","classic covid symptoms",354,7197,0.0491871613172155,0.0444269364109723,0.0544283797199948
"103","7","18-24","asymptomatic",4040,5010,0.806387225548902,0.795212875981314,0.817092085237403
"104","7","18-24","symptomatic",970,5010,0.193612774451098,0.182907914762597,0.204787124018686
"105","7","18-24","classic covid symptoms",296,5010,0.0590818363273453,0.0528846374392357,0.0659546724421027
"106","7","25-34","asymptomatic",9084,11821,0.768462904999577,0.760772415408824,0.775978967017997
"107","7","25-34","symptomatic",2737,11821,0.231537095000423,0.224021032982003,0.239227584591175
"108","7","25-34","classic covid symptoms",618,11821,0.0522798409610016,0.0484106838089571,0.0564398939462177
