"","round","age_group","category","x","n","p","lower","upper"
"109","7","35-44","asymptomatic",13077,17172,0.761530398322851,0.755098559663769,0.767845251941296
"110","7","35-44","symptomatic",4095,17172,0.238469601677149,0.232154748058704,0.244901440336231
"111","7","35-44","classic covid symptoms",819,17172,0.0476939203354298,0.0446062790390159,0.0509838824536266
"112","7","45-54","asymptomatic",18476,22990,0.803653762505437,0.798468400899212,0.808737664472872
"113","7","45-54","symptomatic",4514,22990,0.196346237494563,0.191262335527129,0.201531599100788
"114","7","45-54","classic covid symptoms",994,22990,0.0432361896476729,0.0406825257479958,0.0459424717491754
"115","7","55-64","asymptomatic",22920,27150,0.844198895027624,0.839836323954702,0.848464078341737
"116","7","55-64","symptomatic",4230,27150,0.155801104972376,0.151535921658263,0.160163676045298
"117","7","55-64","classic covid symptoms",895,27150,0.0329650092081031,0.0309064168239441,0.0351557446400642
"118","7","65+","asymptomatic",34306,37979,0.903288659522368,0.900275198618696,0.906220545866638
"119","7","65+","symptomatic",3673,37979,0.0967113404776324,0.0937794541333623,0.0997248013813038
"120","7","65+","classic covid symptoms",610,37979,0.0160615076752942,0.0148452588293577,0.0173756443947344
"121","8","5-12","asymptomatic",8396,9404,0.892811569544875,0.886398009918869,0.898904339439185
"122","8","5-12","symptomatic",1008,9404,0.107188430455125,0.101095660560815,0.113601990081131
"123","8","5-12","classic covid symptoms",239,9404,0.0254147171416419,0.0224223946372256,0.028794609914751
"124","8","13-17","asymptomatic",5791,6753,0.857544794905968,0.849005227833572,0.865677812967393
"125","8","13-17","symptomatic",962,6753,0.142455205094032,0.134322187032607,0.150994772166428
"126","8","13-17","classic covid symptoms",288,6753,0.0426477121279431,0.0380827942818855,0.0477326658490818
"127","8","18-24","asymptomatic",4204,5374,0.782285076293264,0.771051715422949,0.793115157704866
"128","8","18-24","symptomatic",1170,5374,0.217714923706736,0.206884842295134,0.228948284577051
"129","8","18-24","classic covid symptoms",326,5374,0.0606624488276889,0.0545886441586235,0.0673639020148952
"130","8","25-34","asymptomatic",9426,12438,0.757838880849011,0.750231426804432,0.765287117715581
"131","8","25-34","symptomatic",3012,12438,0.242161119150989,0.234712882284419,0.249768573195568
"132","8","25-34","classic covid symptoms",768,12438,0.0617462614568259,0.0576500828867549,0.0661130645474231
"133","8","35-44","asymptomatic",13595,18287,0.743424290479576,0.737043634901296,0.749702697685091
"134","8","35-44","symptomatic",4692,18287,0.256575709520424,0.250297302314909,0.262956365098704
"135","8","35-44","classic covid symptoms",1045,18287,0.0571444195330016,0.0538722609178131,0.0606025959953961
"136","8","45-54","asymptomatic",18933,24249,0.780774464926389,0.775522951579979,0.785937033350881
"137","8","45-54","symptomatic",5316,24249,0.219225535073611,0.214062966649119,0.224477048420021
"138","8","45-54","classic covid symptoms",1240,24249,0.0511361293249206,0.0484340626116464,0.05398038903263
"139","8","55-64","asymptomatic",23516,28389,0.828349008418754,0.823918309696237,0.832690858042001
"140","8","55-64","symptomatic",4873,28389,0.171650991581246,0.167309141957999,0.176081690303763
"141","8","55-64","classic covid symptoms",1079,28389,0.0380076790306104,0.0358451514832499,0.0402952186856218
"142","8","65+","asymptomatic",33793,37672,0.897032278615417,0.893922711441239,0.900060882334515
"143","8","65+","symptomatic",3879,37672,0.102967721384583,0.0999391176654852,0.106077288558761
"144","8","65+","classic covid symptoms",668,37672,0.0177320025483117,0.0164476352796629,0.0191147146756826
"145","9","5-12","asymptomatic",10122,11138,0.908780750583588,0.90329178901378,0.913987835153824
"146","9","5-12","symptomatic",1016,11138,0.0912192494164123,0.0860121648461765,0.09670821098622
"147","9","5-12","classic covid symptoms",221,11138,0.0198419824025857,0.0174127779356341,0.0226022824534844
"148","9","13-17","asymptomatic",7155,8050,0.888819875776398,0.881766496675784,0.89550234230092
"149","9","13-17","symptomatic",895,8050,0.111180124223602,0.10449765769908,0.118233503324216
"150","9","13-17","classic covid symptoms",229,8050,0.0284472049689441,0.0250343858496279,0.0323098592763894
"151","9","18-24","asymptomatic",4576,5509,0.830640769649664,0.820506866857416,0.840313878163484
"152","9","18-24","symptomatic",933,5509,0.169359230350336,0.159686121836516,0.179493133142584
"153","9","18-24","classic covid symptoms",251,5509,0.0455618079506262,0.0403646555995695,0.0513922836483993
"154","9","25-34","asymptomatic",9719,12269,0.792159100171163,0.784888346731644,0.799246959183802
"155","9","25-34","symptomatic",2550,12269,0.207840899828837,0.200753040816198,0.215111653268356
"156","9","25-34","classic covid symptoms",589,12269,0.0480071725487,0.044363795222889,0.0519335017629923
"157","9","35-44","asymptomatic",13978,17816,0.784575662325999,0.778477840865775,0.790550790698215
"158","9","35-44","symptomatic",3838,17816,0.215424337674001,0.209449209301785,0.221522159134225
"159","9","35-44","classic covid symptoms",815,17816,0.0457453973955995,0.0427741362389817,0.0489125076964476
"160","9","45-54","asymptomatic",19660,23951,0.820842553546825,0.815934604835281,0.825647600015455
"161","9","45-54","symptomatic",4291,23951,0.179157446453175,0.174352399984545,0.184065395164719
"162","9","45-54","classic covid symptoms",986,23951,0.0411673834077909,0.0387239519409508,0.043757973986935
"163","9","55-64","asymptomatic",24165,28381,0.851449913674642,0.847264740193949,0.855539960298777
"164","9","55-64","symptomatic",4216,28381,0.148550086325359,0.144460039701223,0.152735259806051
"165","9","55-64","classic covid symptoms",950,28381,0.0334730981994997,0.0314428106157445,0.0356296604982017
"166","9","65+","asymptomatic",30851,34851,0.885225675016499,0.881836640801588,0.888529795428602
"167","9","65+","symptomatic",4000,34851,0.114774324983501,0.111470204571397,0.118163359198412
"168","9","65+","classic covid symptoms",704,34851,0.0202002811970962,0.0187752714857279,0.0217310513012719
"169","10","5-12","asymptomatic",7771,8771,0.88598791471896,0.879166848936915,0.89247102415464
"170","10","5-12","symptomatic",1000,8771,0.11401208528104,0.10752897584536,0.120833151063085
"171","10","5-12","classic covid symptoms",185,8771,0.0210922357769924,0.0182880950839718,0.0243156899046332
"172","10","13-17","asymptomatic",5475,5980,0.915551839464883,0.908234796880711,0.922335336737017
"173","10","13-17","symptomatic",505,5980,0.0844481605351171,0.0776646632629836,0.0917652031192891
"174","10","13-17","classic covid symptoms",93,5980,0.0155518394648829,0.0127123970505777,0.0190132862127801
"175","10","18-24","asymptomatic",4057,4745,0.855005268703899,0.844699813729426,0.86473637806895
"176","10","18-24","symptomatic",688,4745,0.144994731296101,0.13526362193105,0.155300186270574
"177","10","18-24","classic covid symptoms",137,4745,0.0288724973656481,0.0244758848844191,0.0340313239221878
"178","10","25-34","asymptomatic",8336,10267,0.811921690854193,0.804246742456069,0.819363311859328
"179","10","25-34","symptomatic",1931,10267,0.188078309145807,0.180636688140672,0.195753257543931
"180","10","25-34","classic covid symptoms",413,10267,0.0402259666893932,0.036594047343989,0.0442018117049323
"181","10","35-44","asymptomatic",11933,14768,0.808030877573131,0.801599000125063,0.814302546433124
"182","10","35-44","symptomatic",2835,14768,0.191969122426869,0.185697453566876,0.198400999874937
"183","10","35-44","classic covid symptoms",525,14768,0.0355498374864572,0.0326821795292525,0.0386590585796506
"184","10","45-54","asymptomatic",16044,19364,0.828547820698203,0.823174171988607,0.833791139662327
"185","10","45-54","symptomatic",3320,19364,0.171452179301797,0.166208860337673,0.176825828011394
"186","10","45-54","classic covid symptoms",716,19364,0.0369758314397852,0.0344085102595119,0.0397268270145738
"187","10","55-64","asymptomatic",18961,23270,0.814825956166738,0.809783308538011,0.819764676736545
"188","10","55-64","symptomatic",4309,23270,0.185174043833262,0.180235323263455,0.190216691461989
"189","10","55-64","classic covid symptoms",864,23270,0.0371293510958315,0.0347753857154206,0.0396361145040386
"190","10","65+","asymptomatic",30446,34092,0.893054088935821,0.88972916979684,0.896290440024719
"191","10","65+","symptomatic",3646,34092,0.106945911064179,0.103709559975281,0.11027083020316
"192","10","65+","classic covid symptoms",530,34092,0.0155461691892526,0.0142864899394048,0.0169150118656042
