"ltla","ltla_code","region","positive","number_samples","prevalence","lower","upper"
"Harrow","E09000015","London",16,389,0.0411311053984576,0.0254738029172503,0.0657626437864398
"Brent","E09000005","London",13,322,0.0403726708074534,0.0237433887179362,0.0678393672907626
"Newham","E09000025","London",9,227,0.039647577092511,0.0209965951765429,0.0736201124646068
"Enfield","E09000010","London",14,364,0.0384615384615385,0.0230467080891588,0.0635162881613954
"Southwark","E09000028","London",14,369,0.037940379403794,0.022732590375868,0.0626695505807986
"Luton","E06000032","East of England",13,368,0.0353260869565217,0.0207590130381913,0.0594941650644796
"Hastings","E07000062","South East",17,500,0.034,0.0213345198085322,0.0537713655016345
"Wigan","E08000010","North West",14,417,0.0335731414868106,0.0201023331175653,0.0555590784503968
"Havering","E09000016","London",13,393,0.0330788804071247,0.019431625047647,0.0557658074720673
"Stevenage","E07000243","East of England",11,336,0.0327380952380952,0.0183769866027967,0.0576627611971575
"Waltham Forest","E09000031","London",11,343,0.032069970845481,0.018000003982407,0.0565050996132197
"Hounslow","E09000018","London",13,411,0.0316301703163017,0.0185763946638737,0.0533582159835939
"Southend-on-Sea","E06000033","East of England",14,443,0.0316027088036117,0.0189167692587424,0.0523421933825716
"Knowsley","E08000011","North West",8,257,0.0311284046692607,0.0158559940462795,0.0602111269949864
"Thurrock","E06000034","East of England",5,163,0.0306748466257669,0.0131721900164431,0.0697895565334336
"Bromley","E09000006","London",15,491,0.0305498981670061,0.0185995263275904,0.0497889609696241
"Gravesham","E07000109","South East",13,429,0.0303030303030303,0.0177932744151751,0.0511498875961516
"Adur","E07000223","South East",15,497,0.0301810865191147,0.0183739579682624,0.0491952462673032
"Three Rivers","E07000102","East of England",15,499,0.030060120240481,0.0182999794871187,0.0490004752129809
"Wolverhampton","E08000031","West Midlands",10,341,0.0293255131964809,0.0160055608305595,0.0531318883097739
"Lewisham","E09000023","London",11,380,0.0289473684210526,0.016239191490753,0.0510840697851103
"Barking and Dagenham","E09000002","London",7,244,0.0286885245901639,0.0139648209229152,0.0580225653101601
"Kensington and Chelsea","E09000020","London",10,349,0.0286532951289398,0.0156369500534455,0.0519329406855274
"Broxbourne","E07000095","East of England",13,454,0.0286343612334802,0.0168090883338533,0.0483694974970577
"Haringey","E09000014","London",10,358,0.0279329608938547,0.0152420454062413,0.0506471948659975
"Camden","E09000007","London",12,435,0.0275862068965517,0.0158495842779451,0.0475935072100673
"Hammersmith and Fulham","E09000013","London",11,401,0.027431421446384,0.0153850034863584,0.0484460549629676
"Isle of Wight","E06000046","South East",15,552,0.0271739130434783,0.0165356914245323,0.0443476023342566
"Hillingdon","E09000017","London",11,406,0.0270935960591133,0.0151947067836377,0.0478576230003039
"Dudley","E08000027","West Midlands",11,416,0.0264423076923077,0.0148278954585915,0.046722621475303
"Rushmoor","E07000092","South East",12,456,0.0263157894736842,0.0151166274579206,0.0454291504110347
"Hertsmere","E07000098","East of England",13,498,0.0261044176706827,0.0153179037450642,0.0441460131876266
"Spelthorne","E07000213","South East",12,465,0.0258064516129032,0.0148228525115152,0.044560673191876
"Tower Hamlets","E09000030","London",9,351,0.0256410256410256,0.0135473207299108,0.048005404516129
"Milton Keynes","E06000042","South East",11,449,0.0244988864142539,0.0137338029610737,0.043331331684485
"Harlow","E07000073","East of England",10,413,0.0242130750605327,0.0132042033166789,0.0439913042706545
"Epsom and Ewell","E07000208","South East",13,537,0.0242085661080074,0.0142012372101476,0.0409747452039289
"Slough","E06000039","South East",9,372,0.0241935483870968,0.012779483118382,0.0453340067803314
"Greenwich","E09000011","London",9,372,0.0241935483870968,0.012779483118382,0.0453340067803314
"Sandwell","E08000028","West Midlands",9,375,0.024,0.0126768403652889,0.0449764557884241
"Sefton","E08000014","North West",10,421,0.0237529691211401,0.0129523193928893,0.0431661651045394
"Welwyn Hatfield","E07000241","East of England",11,473,0.0232558139534884,0.0130343478370003,0.0411586304426238
"Reading","E06000038","South East",10,431,0.0232018561484919,0.0126506639376116,0.042177270099205
"Basingstoke and Deane","E07000084","South East",12,525,0.0228571428571429,0.0131226914798673,0.0395234434937031
"Dartford","E07000107","South East",10,443,0.0225733634311512,0.0123067206970693,0.0410488002602219
"Tameside","E08000008","North West",9,402,0.0223880597014925,0.0118222519405914,0.0419954602373651
"Watford","E07000103","East of England",9,403,0.0223325062034739,0.011792807804008,0.0418926225943729
"Castle Point","E07000069","East of England",10,449,0.022271714922049,0.0121416684322803,0.0405069094668876
"East Hertfordshire","E07000242","East of England",11,494,0.0222672064777328,0.0124782760774876,0.03942872837712
"Epping Forest","E07000072","East of England",8,360,0.0222222222222222,0.011302428091526,0.0432308262687811
"Westminster","E09000033","London",8,362,0.0220994475138122,0.0112397516537405,0.0429953776414846
"Ealing","E09000009","London",9,414,0.0217391304347826,0.0114783442596121,0.0407937756069491
"Crawley","E07000226","South East",9,416,0.0216346153846154,0.011422962227738,0.0406001487867037
"Sevenoaks","E07000111","South East",12,556,0.0215827338129496,0.0123885374451869,0.0373424326036233
"Corby","E07000150","East Midlands",8,371,0.0215633423180593,0.0109661006453955,0.0419668350099032
"Barnet","E09000003","London",9,422,0.0213270142180095,0.0112599769975824,0.0400301413511122
"Lewes","E07000063","South East",11,519,0.0211946050096339,0.011875159916511,0.0375498777975628
"Birmingham","E08000025","West Midlands",8,378,0.0211640211640212,0.0107623022692037,0.0412002553901293
"Leicester","E06000016","East Midlands",6,284,0.0211267605633803,0.00971769522177623,0.045317666555494
"Coventry","E08000026","West Midlands",9,427,0.0210772833723653,0.0111276671425839,0.0395672192791614
"Brentwood","E07000068","East of England",9,429,0.020979020979021,0.0110756097746043,0.0393850343610167
"Barrow-in-Furness","E07000027","North West",8,382,0.0209424083769634,0.0106492113659613,0.0407746529365908
"Darlington","E06000005","North East",9,431,0.0208816705336427,0.0110240372154015,0.0392045193714727
"Walsall","E08000030","West Midlands",8,389,0.0205655526992288,0.0104569181175803,0.0400506298389362
"Wycombe","E07000007","South East",11,539,0.0204081632653061,0.0114330817852333,0.0361709808757762
"Basildon","E07000066","East of England",8,394,0.0203045685279188,0.0103237634540619,0.0395490147111635
"Norwich","E07000148","East of England",10,495,0.0202020202020202,0.0110096384833992,0.036784021003239
"Tendring","E07000076","East of England",11,547,0.020109689213894,0.0112653315361243,0.0356473661319462
