"level","prevalence_r1","lower_r1","upper_r1","prevalence_r2","lower_r2","upper_r2","prevalence_r3","lower_r3","upper_r3","prevalence_r4","lower_r4","upper_r4"
"Male","0.00159615167587043","0.00115400142605846","0.00220733535436948","0.000900748938821847","0.000636984185581794","0.00127359517914",0.000384023621430741,0.000236406696143245,0.000623757908940969,0.00105274751976328,0.000768507526897191,0.00144196473323914
"Female","0.00152471174476372","0.0011866850256216","0.00195883639535713","0.000868179268834527","0.000638742788297781","0.00117993205406423",0.000411378163347652,0.000262356964260897,0.000644990181584159,0.00144001359929988,0.0010394275104248,0.00199467373010397
"5-12","0.00198140395491257","0.00115691003619606","0.003391494009878","0.000561729946626021","0.000242467911622862","0.00130082330494589",0.000217085619824802,4.83737371608724e-05,0.000973636821394719,0.00120540288097036,0.000629090571548733,0.00230845758449197
"13-17","0.00242249130032307","0.000884846955385837","0.00661448993412944","0.000496062339968424","0.000172508914495822","0.0014255992431096",0.000998635056590736,0.000387489747851119,0.00257119387604158,0.000717101462266508,0.000303130084068592,0.00169545647830338
"18-24","0.00383857052400145","0.00220170688726328","0.00668421172492859","0.000632458048510718","0.000182641359328329","0.00218767786123381",0.000648343196139408,0.000261789294191383,0.00160476022873475,0.00434171206190257,0.00232983935165649,0.00807682095024214
"25-34","0.00154363598027761","0.000964287240649484","0.00247019977949713","0.00150676235911437","0.00079476480401069","0.00285478727410806",0.000566970613413916,0.000261801073102103,0.00122742559643569,0.00171275387105346,0.000994836770240182,0.00294722248387408
"35-44","0.00138254733335494","0.000848678971490958","0.0022514931296858","0.000740667654533112","0.000448582706831144","0.00122270476756926",0.000660494773364866,0.000286184754417192,0.00152363046947461,0.00182048533298439,0.0011478494645027,0.00288614460785898
"45-54","0.0015428654985626","0.000994501254336368","0.00239287147755956","0.000640873890863529","0.000372638322311479","0.00110198012932073",0.000161976161819854,4.53398085806257e-05,0.00057848517070068,0.000844475677823187,0.000498505712759669,0.00143021008084546
"55-64","0.00122192143572442","0.000732154146876866","0.00203864531701429","0.00123881815712299","0.000800137401173456","0.00191754705425455",0.000108247912076539,4.70232559998119e-05,0.000249167697580931,0.000758728356395965,0.000461617385492088,0.00124683043184569
"65+","0.00061348030492632","0.00034224689346947","0.00109943196414713","0.000878572762379825","0.000542617438189132","0.00142223495853677",0.000320524697901672,0.000175614490414429,0.000584939183809547,0.000347670866978348,0.000203084219869401,0.000595135298128776
"South East","0.00164644442214659","0.00115045312903435","0.0023557665787498","0.000667026707491121","0.000419137668446272","0.00106136817246918",0.000195703462090619,9.0318566471743e-05,0.000424000703323403,0.000561165907727538,0.000345163779383857,0.000912217963837298
"North East","0.00104890681140278","0.000382680374144097","0.00287166647187677","0.000383441069421722","5.39662919968638e-05","0.00271895436942171",5.28648234680343e-05,7.44275285213255e-06,0.00037538732297733,0.00169827832667486,0.000768274149514197,0.00374983789200289
"North West","0.00195976140425818","0.00112666500414728","0.00340677806404235","0.00138879795055119","0.000686633610299687","0.00280699171019615",0.000706043288511006,0.000330800922085142,0.00150629857617245,0.00263752115953212,0.00161520605823519,0.00430410238706109
"Yorkshire and The Humber","0.00190882027693258","0.000776325043288103","0.00468564123266186","0.00078578764286963","0.000310141814003956","0.00198945115054664",0.000673388847484088,0.00025540661231138,0.00177420031376596,0.0022575302922469,0.0011100873127199,0.00458558417516249
