date,p,lb_2.5,lb_5,ub_95,ub_97.5
2020-05-01,0.43171554,0.169417375,0.204652073,0.813830674,0.916027236
2020-05-02,0.407721923,0.17598902,0.209258629,0.723371951,0.803891013
2020-05-03,0.385151612,0.1823715,0.212882438,0.646433038,0.70981275
2020-05-04,0.363788291,0.187833693,0.215447962,0.580753395,0.630627287
2020-05-05,0.344071267,0.192483159,0.216900613,0.523978069,0.564345022
2020-05-06,0.325308945,0.195949012,0.216757526,0.47500282,0.507055331
2020-05-07,0.307296385,0.197317106,0.214857531,0.43152723,0.458359629
2020-05-08,0.289723708,0.196216938,0.210940864,0.393664274,0.41585717
2020-05-09,0.272739061,0.192735671,0.205279489,0.359876582,0.378557195
2020-05-10,0.2559132,0.18758624,0.197999432,0.329282101,0.345212466
2020-05-11,0.239426023,0.180941057,0.189496096,0.301231377,0.314725204
2020-05-12,0.223312219,0.173059193,0.180314767,0.275705617,0.286993105
2020-05-13,0.207676044,0.164231771,0.17056995,0.252360583,0.261918933
2020-05-14,0.192648291,0.154907162,0.160463869,0.231157893,0.239253901
2020-05-15,0.178382706,0.145400456,0.150296214,0.211420473,0.218418907
2020-05-16,0.164953173,0.135928204,0.140323339,0.19324962,0.199061755
2020-05-17,0.152429839,0.126683956,0.130591027,0.177049833,0.182037334
2020-05-18,0.141071522,0.117719755,0.121206753,0.163109689,0.16759825
2020-05-19,0.130965225,0.108892642,0.112250124,0.151698725,0.155817333
2020-05-20,0.122155662,0.100726971,0.10401188,0.142267888,0.146314977
2020-05-21,0.114679412,0.0932858,0.096632546,0.134607522,0.138551388
2020-05-22,0.108380218,0.086719056,0.090086167,0.128478037,0.132588212
2020-05-23,0.103120391,0.080993823,0.08431492,0.123835339,0.128172831
2020-05-24,0.098825625,0.076136166,0.079440246,0.120556632,0.1249971
2020-05-25,0.095438714,0.072083734,0.075418607,0.118382223,0.123078522
2020-05-26,0.092861081,0.068686598,0.072159775,0.117236714,0.122258177
2020-05-27,0.091050115,0.065830048,0.069453228,0.117069647,0.122419171
2020-05-28,0.089883814,0.063427613,0.067203481,0.117646185,0.123669292
2020-05-29,0.089254817,0.061503024,0.065404611,0.118995508,0.125864874
2020-05-30,0.089072879,0.059993275,0.064066659,0.121018676,0.12859595
2020-05-31,0.089246901,0.058983417,0.063166067,0.123481964,0.13198116
2020-06-01,0.08976705,0.058314548,0.06261365,0.126418788,0.135780934
2020-06-02,0.090567671,0.057848624,0.062352767,0.129831178,0.14013135
2020-06-03,0.091615882,0.057750311,0.062400945,0.133571397,0.14464574
2020-06-04,0.092871774,0.057871384,0.062750887,0.137380093,0.14950724
2020-06-05,0.094246593,0.058304625,0.063433113,0.141212105,0.154194683
2020-06-06,0.095711996,0.059130591,0.064326522,0.14500135,0.158778059
2020-06-07,0.097254278,0.060093674,0.065419031,0.148834786,0.163400552
2020-06-08,0.098804782,0.061323049,0.066697334,0.151937366,0.167034527
2020-06-09,0.100328271,0.062852309,0.068087928,0.154335668,0.169989278
2020-06-10,0.101782461,0.064583914,0.069680591,0.156121883,0.171777541
2020-06-11,0.103135429,0.066419294,0.071432297,0.156858046,0.172316824
2020-06-12,0.104275768,0.068280457,0.073219657,0.156675235,0.171351914
2020-06-13,0.105101817,0.070217039,0.074979269,0.155764091,0.169749522
2020-06-14,0.105603055,0.072190559,0.076684325,0.153939164,0.167204934
2020-06-15,0.105706439,0.073957428,0.078213535,0.151001852,0.163280885
2020-06-16,0.105343219,0.07530656,0.079310049,0.147263226,0.158258829
2020-06-17,0.104483291,0.076233275,0.079962467,0.142665361,0.152647871
2020-06-18,0.103033444,0.07650474,0.080029234,0.137203808,0.14579985
2020-06-19,0.100864829,0.076267958,0.079564548,0.130820892,0.138094869
2020-06-20,0.097999656,0.075489359,0.078612598,0.12375667,0.129751829
2020-06-21,0.094613606,0.074271269,0.07714427,0.116451544,0.121216721
2020-06-22,0.090791006,0.072607625,0.075199226,0.109307049,0.113204132
2020-06-23,0.086697606,0.070329561,0.072743902,0.102638112,0.105967848
2020-06-24,0.08247027,0.067596683,0.069818883,0.09658954,0.099547439
2020-06-25,0.078213085,0.064412129,0.066523462,0.091209914,0.093878731
2020-06-26,0.074047871,0.060744899,0.062839564,0.086583582,0.089084768
2020-06-27,0.070076101,0.056848865,0.058867127,0.082526684,0.084998593
2020-06-28,0.066287329,0.052874543,0.05489969,0.07898671,0.081518853
2020-06-29,0.062763995,0.049038801,0.051081469,0.075872818,0.078519905
2020-06-30,0.059478151,0.045371662,0.047468396,0.073090931,0.075874118
2020-07-01,0.056455147,0.0419302,0.044066381,0.070606816,0.07354913
2020-07-02,0.053647442,0.038616239,0.040840255,0.068428893,0.071527847
2020-07-03,0.051056165,0.035623779,0.037891563,0.06647658,0.069719509
2020-07-04,0.04867589,0.032931769,0.035239957,0.064661389,0.068017743
2020-07-05,0.046479681,0.030534073,0.032856685,0.06289252,0.066438396
2020-07-06,0.04446268,0.028424916,0.030735037,0.06123581,0.064865253
2020-07-07,0.042565407,0.026551568,0.028861378,0.059624766,0.06343035
2020-07-08,0.040841982,0.024900969,0.027233796,0.057985729,0.061900676
2020-07-09,0.039252187,0.023446862,0.025797028,0.056356017,0.060240833
2020-07-10,0.037782081,0.022170466,0.024538091,0.054687865,0.05865746
2020-07-11,0.036446546,0.021064825,0.023440504,0.053078131,0.057058736
2020-07-12,0.035220908,0.02009203,0.022469429,0.051506962,0.055536804
2020-07-13,0.034106943,0.019299158,0.021673436,0.049955337,0.053949831
2020-07-14,0.033123691,0.018713434,0.021026023,0.048485688,0.052275114
2020-07-15,0.032241314,0.018336873,0.020556414,0.047032512,0.05061356
2020-07-16,0.03149186,0.018117256,0.020223831,0.04567207,0.04900477
2020-07-17,0.030836379,0.018008559,0.020042152,0.044400475,0.047561639
2020-07-18,0.030315118,0.018051167,0.019962054,0.043296253,0.046198851
2020-07-19,0.029927791,0.018181666,0.020030218,0.042325194,0.045053796
2020-07-20,0.02966299,0.018410477,0.020183033,0.041448825,0.04403307
2020-07-21,0.029510437,0.018771136,0.020414806,0.04071535,0.043188174
2020-07-22,0.029423412,0.019183096,0.020714843,0.040057958,0.042388666
2020-07-23,0.029417721,0.019619659,0.021075266,0.039503729,0.041722248
2020-07-24,0.029446518,0.020116598,0.021499634,0.039014311,0.041131115
2020-07-25,0.029550059,0.020666308,0.021983289,0.038607257,0.040596357
2020-07-26,0.029724665,0.021235102,0.022473409,0.038346547,0.040220305
2020-07-27,0.029988448,0.021809635,0.022989367,0.03827936,0.040043331
2020-07-28,0.030363325,0.022369871,0.023528036,0.038439187,0.040097633
2020-07-29,0.030845806,0.02296098,0.024101327,0.038773204,0.040436883
2020-07-30,0.031431049,0.023567785,0.024699916,0.039350944,0.041035195
2020-07-31,0.03209279,0.024145761,0.025280702,0.040130324,0.041873468
2020-08-01,0.032813298,0.024670833,0.025840208,0.041094002,0.042937428
2020-08-02,0.033530591,0.025127784,0.026355365,0.042215996,0.044145934
2020-08-03,0.034254808,0.025553454,0.02681284,0.043380118,0.045424085
2020-08-04,0.034943881,0.025909789,0.027206749,0.044570508,0.046755436
2020-08-05,0.035598145,0.026157094,0.027549091,0.045771388,0.048142504
2020-08-06,0.036210444,0.026360929,0.027828509,0.046972705,0.049548833
2020-08-07,0.036786257,0.026453229,0.028038318,0.048132574,0.050933191
2020-08-08,0.0373086,0.026517007,0.02816342,0.049254431,0.052271946
2020-08-09,0.037820279,0.026543416,0.028247276,0.050389294,0.053531951
2020-08-10,0.038362183,0.026575516,0.028320161,0.051496437,0.054765848
2020-08-11,0.038980057,0.026604904,0.028437802,0.052639235,0.055949788
2020-08-12,0.039713002,0.026806948,0.028680299,0.053821862,0.057233511
2020-08-13,0.04057683,0.027196205,0.029144929,0.055029503,0.058538293
2020-08-14,0.041614335,0.027782306,0.02980241,0.056278945,0.059965392
2020-08-15,0.042823033,0.028598916,0.030737711,0.057631363,0.061338081
2020-08-16,0.044221658,0.029739857,0.03191024,0.059049313,0.062814031
