"round","level","wt_prev","lower","upper"
"1","Overall",0.00155941510079631,0.00127082189585173,0.00191341989037962
"2","Overall",0.000883963827922381,0.000701574561601143,0.00111371622792375
"3","Overall",0.00039812421305593,0.000286271308450891,0.000553656463372214
"4","Overall",0.00125223135806515,0.000993097500327567,0.00157887543384389
"5","Overall",0.00596325464001138,0.00541604217305383,0.00656539002276364
"6","Overall",0.0130060539994433,0.0121319261622864,0.0139422754685695
"6a","Overall",0.0128244708194091,0.0115855997226569,0.0141939144751294
"6b","Overall",0.0132056119074662,0.0120143398288771,0.0145132684502645
"7","Overall",0.00940383920174438,0.00872714877828364,0.0101324628896685
"7a","Overall",0.00958089550730643,0.00871490693403345,0.0105320219290462
"7b","Overall",0.00912732223291224,0.00808396767070471,0.0103039381613731
"8a","Overall",0.0158183541583595,0.0149048863423759,0.0167868511877811
