round,region,age_group_char,prevalence,lower,upper
Round 1,South East,35-44,0.001633095,0.000557667,0.004772522
Round 1,North East,35-44,0.000717538,0.000100484,0.005104476
Round 1,North West,35-44,0.001938203,0.000650171,0.005763194
Round 1,Yorkshire and The Humber,35-44,0.002215654,0.000311319,0.01558716
Round 1,East Midlands,35-44,0.001650093,0.000655158,0.004149681
Round 1,West Midlands,35-44,0.000851037,0.000119576,0.006029954
Round 1,East of England,35-44,0.001883923,0.00064611,0.005480129
Round 1,London,35-44,0.001172249,0.000367911,0.003728489
Round 1,South West,35-44,2.68E-12,2.52E-12,2.85E-12
Round 1,South East,05-Dec,0.001219724,0.000391285,0.003795499
Round 1,North East,05-Dec,2.77E-12,2.47E-12,3.12E-12
Round 1,North West,05-Dec,0.00174057,0.00031014,0.009704387
Round 1,Yorkshire and The Humber,05-Dec,2.66E-12,2.42E-12,2.93E-12
Round 1,East Midlands,05-Dec,0.001342072,0.000330744,0.005428974
Round 1,West Midlands,05-Dec,0.002885378,0.00071797,0.011520329
Round 1,East of England,05-Dec,0.001527653,0.000378933,0.006137294
Round 1,London,05-Dec,0.006100845,0.002434123,0.015206855
Round 1,South West,05-Dec,0.000547184,7.68E-05,0.00388809
Round 1,South East,13-17,0.001928713,0.000780116,0.004760375
Round 1,North East,13-17,0.006915251,0.000964288,0.047833317
Round 1,North West,13-17,0.002033897,0.000285803,0.014320946
Round 1,Yorkshire and The Humber,13-17,0.012025071,0.001695513,0.08022793
Round 1,East Midlands,13-17,2.79E-12,2.58E-12,3.01E-12
Round 1,West Midlands,13-17,2.68E-12,2.39E-12,3.00E-12
Round 1,East of England,13-17,0.001955318,0.000405031,0.009383745
Round 1,London,13-17,0.00110919,0.000155445,0.007868663
Round 1,South West,13-17,2.70E-12,2.46E-12,2.97E-12
Round 1,South East,18-24,0.005703959,0.002252799,0.014365976
Round 1,North East,18-24,0.003884711,0.000541217,0.027318861
Round 1,North West,18-24,0.01000908,0.00328643,0.030068579
Round 1,Yorkshire and The Humber,18-24,0.00587249,0.001455369,0.023381876
Round 1,East Midlands,18-24,0.000673382,9.45E-05,0.004781033
Round 1,West Midlands,18-24,0.000654696,9.16E-05,0.004664528
Round 1,East of England,18-24,0.005655652,0.001157135,0.027167097
Round 1,London,18-24,0.000983839,0.000137878,0.006984007
Round 1,South West,18-24,2.70E-12,2.45E-12,2.98E-12
Round 1,South East,25-34,0.002661629,0.001297581,0.005451768
Round 1,North East,25-34,2.75E-12,2.50E-12,3.03E-12
Round 1,North West,25-34,0.002703282,0.000970639,0.007505551
Round 1,Yorkshire and The Humber,25-34,2.64E-12,2.43E-12,2.87E-12
Round 1,East Midlands,25-34,0.002704209,0.000496382,0.014588776
Round 1,West Midlands,25-34,0.002702494,0.000916338,0.007942605
Round 1,East of England,25-34,2.80E-12,2.67E-12,2.94E-12
Round 1,London,25-34,0.001165441,0.000375063,0.003615375
Round 1,South West,25-34,0.000756424,0.000106203,0.00536619
Round 1,South East,45-54,0.001429437,0.000613007,0.0033296
Round 1,North East,45-54,2.76E-12,2.55E-12,2.97E-12
Round 1,North West,45-54,0.00055471,0.000138468,0.002219422
Round 1,Yorkshire and The Humber,45-54,0.001689761,0.000421791,0.006743723
Round 1,East Midlands,45-54,0.00207767,0.000527219,0.008150527
Round 1,West Midlands,45-54,0.002127011,0.00088425,0.005107469
Round 1,East of England,45-54,0.001504917,0.000550184,0.004109582
Round 1,London,45-54,0.00311408,0.001071257,0.009017281
Round 1,South West,45-54,0.000374317,5.26E-05,0.002657105
Round 1,South East,55-64,0.001165978,0.000486738,0.002790451
Round 1,North East,55-64,0.001179692,0.000165573,0.008353305
Round 1,North West,55-64,0.000503088,7.08E-05,0.003565624
Round 1,Yorkshire and The Humber,55-64,2.65E-12,2.50E-12,2.81E-12
Round 1,East Midlands,55-64,0.001903817,0.000401514,0.008976651
Round 1,West Midlands,55-64,0.001438954,0.000391554,0.005273357
Round 1,East of England,55-64,0.000263358,3.71E-05,0.00186886
Round 1,London,55-64,0.002164901,0.000686133,0.006809023
Round 1,South West,55-64,0.002458484,0.000689653,0.008724429
Round 1,South East,65+,0.000408324,0.000117889,0.001413274
Round 1,North East,65+,0.000399179,5.60E-05,0.00283842
Round 1,North West,65+,0.000526036,0.000180835,0.001529195
Round 1,Yorkshire and The Humber,65+,0.000780469,0.000109727,0.005528653
Round 1,East Midlands,65+,0.000663647,0.000211466,0.002080721
Round 1,West Midlands,65+,0.001110341,0.00024483,0.005020207
Round 1,East of England,65+,0.000741178,0.000237958,0.002306127
Round 1,London,65+,0.001122052,0.000157797,0.007931874
Round 1,South West,65+,2.66E-12,2.54E-12,2.79E-12
Round 2,South East,35-44,0.001005033,0.00039623,0.002546868
Round 2,North East,35-44,2.75E-12,2.54E-12,2.98E-12
Round 2,North West,35-44,0.000458999,0.000112456,0.001871446
Round 2,Yorkshire and The Humber,35-44,2.65E-12,2.48E-12,2.82E-12
Round 2,East Midlands,35-44,0.00016163,2.27E-05,0.001147924
Round 2,West Midlands,35-44,0.00241295,0.000907015,0.006403194
Round 2,East of England,35-44,0.000509541,0.000116827,0.002219435
Round 2,London,35-44,0.000955856,0.000298718,0.003054187
Round 2,South West,35-44,0.000392049,5.51E-05,0.002782826
Round 2,South East,05-Dec,0.000994034,0.000218997,0.004499617
Round 2,North East,05-Dec,2.75E-12,2.48E-12,3.06E-12
Round 2,North West,05-Dec,2.70E-12,2.54E-12,2.86E-12
Round 2,Yorkshire and The Humber,05-Dec,2.63E-12,2.41E-12,2.86E-12
Round 2,East Midlands,05-Dec,2.79E-12,2.64E-12,2.94E-12
Round 2,West Midlands,05-Dec,2.70E-12,2.49E-12,2.93E-12
Round 2,East of England,05-Dec,2.82E-12,2.69E-12,2.95E-12
Round 2,London,05-Dec,0.002590064,0.000942208,0.007099421
Round 2,South West,05-Dec,2.71E-12,2.53E-12,2.90E-12
Round 2,South East,13-17,2.83E-12,2.71E-12,2.96E-12
