"ltla","ltla_code","region","positive","number_samples","prevalence","lower","upper"
"Melton","E07000133","East Midlands",2,87,0.0229885057471264,0.00632708510592601,0.0799931801396141
"Bassetlaw","E07000171","East Midlands",4,228,0.0175438596491228,0.00684308011832354,0.0442325940985657
"Oldham","E08000004","North West",6,342,0.0175438596491228,0.00806468646721356,0.0377408652289679
"Waltham Forest","E09000031","London",7,442,0.0158371040723982,0.00769220652938706,0.0323252895282631
"Scarborough","E07000168","Yorkshire and The Humber",3,190,0.0157894736842105,0.00538412606418642,0.0453865340441736
"High Peak","E07000037","East Midlands",3,193,0.0155440414507772,0.00530021524217904,0.0446966648848823
"Rutland","E06000017","East Midlands",1,65,0.0153846153846154,0.00272094460202347,0.0821328472955147
"Rugby","E07000220","West Midlands",3,196,0.0153061224489796,0.00521887977922887,0.0440274521819698
"Derbyshire Dales","E07000035","East Midlands",2,131,0.0152671755725191,0.00419684425602177,0.0539563297697898
"Croydon","E09000008","London",10,657,0.015220700152207,0.00828821839154147,0.0277892075968952
"Rochdale","E08000005","North West",5,330,0.0151515151515152,0.00648873206005857,0.0349724419642508
"Bristol, City of","E06000023","South West",12,836,0.0143540669856459,0.00822989265613338,0.0249209580529863
"Blackburn with Darwen","E06000008","North West",3,210,0.0142857142857143,0.00487011534206569,0.0411521053955237
"Islington","E09000019","London",6,420,0.0142857142857143,0.00656328230121101,0.030812624399308
"Bexley","E09000004","London",5,359,0.0139275766016713,0.00596331024486282,0.032184091283291
"Fylde","E07000119","North West",2,151,0.0132450331125828,0.00363981286206624,0.0470020428813268
"Haringey","E09000014","London",6,453,0.0132450331125828,0.00608407540830724,0.028591977990147
"Hounslow","E09000018","London",6,457,0.0131291028446389,0.00603070313207368,0.0283443699380291
"Liverpool","E08000012","North West",10,771,0.012970168612192,0.00706014531005524,0.0237093218490469
"Newham","E09000025","London",6,466,0.0128755364806867,0.00591397301663215,0.0278026318578213
"Rushcliffe","E07000176","East Midlands",3,236,0.0127118644067797,0.00433242663814388,0.03670075782081
"Luton","E06000032","East of England",4,320,0.0125,0.00487145175177325,0.0316941531087537
"Blaby","E07000129","East Midlands",2,163,0.0122699386503067,0.00337133440611062,0.0436281276947417
"Epsom and Ewell","E07000208","South East",2,164,0.0121951219512195,0.00335073809355977,0.0433687010473452
"Barnsley","E08000016","Yorkshire and The Humber",5,410,0.0121951219512195,0.00521996978443354,0.0282263138724469
"South Tyneside","E08000023","North East",3,248,0.0120967741935484,0.00412236552054738,0.0349556277009779
"Hertsmere","E07000098","East of England",2,168,0.0119047619047619,0.00327080938143977,0.0423611287696219
"Nottingham","E06000018","East Midlands",6,509,0.0117878192534381,0.00541335429914749,0.0254762287254434
"Wandsworth","E09000032","London",6,517,0.011605415860735,0.00532942199539092,0.025085704435909
"Watford","E07000103","East of England",2,173,0.0115606936416185,0.0031761056273469,0.0411656390799554
"North East Derbyshire","E07000038","East Midlands",2,176,0.0113636363636364,0.0031218708243353,0.0404801933054504
"Mole Valley","E07000210","South East",2,176,0.0113636363636364,0.0031218708243353,0.0404801933054504
"North West Leicestershire","E07000134","East Midlands",2,177,0.0112994350282486,0.00310420183162746,0.0402567557266114
"Middlesbrough","E06000002","North East",2,178,0.0112359550561798,0.00308673171797286,0.0400357711015093
"Birmingham","E08000025","West Midlands",20,1794,0.0111482720178372,0.00722832358517873,0.0171572853936309
"Lancaster","E07000121","North West",3,274,0.0109489051094891,0.00373047039945379,0.0316906609985257
"Portsmouth","E06000044","South East",4,376,0.0106382978723404,0.00414458704315138,0.02703015322206
"Kettering","E07000153","East Midlands",2,189,0.0105820105820106,0.00290678213143634,0.0377559408569081
"Merton","E09000024","London",4,381,0.010498687664042,0.00409009783112048,0.0266796088865004
"Hambleton","E07000164","Yorkshire and The Humber",2,191,0.0104712041884817,0.002876294579849,0.0373690354857114
"Leeds","E08000035","Yorkshire and The Humber",15,1434,0.0104602510460251,0.00634922117803403,0.0171870724884809
"Wirral","E08000015","North West",6,576,0.0104166666666667,0.0047825519281101,0.0225377760334557
"Rotherham","E08000018","Yorkshire and The Humber",5,486,0.0102880658436214,0.00440222891709668,0.0238547888821272
"Manchester","E08000003","North West",9,880,0.0102272727272727,0.00538979226187384,0.0193221723135796
"Lambeth","E09000022","London",5,492,0.0101626016260163,0.00434844908648504,0.023566640655334
"Doncaster","E08000017","Yorkshire and The Humber",5,497,0.0100603621730382,0.00430462620100582,0.0233317816420787
"Barrow-in-Furness","E07000027","North West",1,100,0.01,0.00176743206414065,0.0544861961787053
"Ribble Valley","E07000124","North West",1,100,0.01,0.00176743206414065,0.0544861961787053
"Blackpool","E06000009","North West",2,203,0.00985221674876847,0.00270600435479927,0.0352044748373423
"East Devon","E07000040","South West",3,308,0.00974025974025974,0.00331798972504602,0.0282411841510385
"Reigate and Banstead","E07000211","South East",3,309,0.00970873786407767,0.00330723434177899,0.028151060405321
"Southend-on-Sea","E06000033","East of England",3,311,0.00964630225080386,0.00328593141222077,0.0279725275517207
"Maldon","E07000074","East of England",1,106,0.00943396226415094,0.0016672717027589,0.0515135480297044
"Ashford","E07000105","South East",2,212,0.00943396226415094,0.00259095672875689,0.0337387589039022
"Camden","E09000007","London",4,427,0.00936768149882904,0.00364876813226813,0.0238357243144587
"North East Lincolnshire","E06000012","Yorkshire and The Humber",2,215,0.00930232558139535,0.00255475107068954,0.0332769366860575
"Woking","E07000217","South East",2,220,0.00909090909090909,0.00249660572454089,0.0325347010852286
"Tameside","E08000008","North West",3,330,0.00909090909090909,0.00309645191450506,0.0263829867851082
"Southwark","E09000028","London",5,552,0.00905797101449275,0.00387505339476068,0.0210267573662807
"Elmbridge","E07000207","South East",2,221,0.00904977375565611,0.0024852928256482,0.0323902095030727
"Sevenoaks","E07000111","South East",2,223,0.00896860986547085,0.00246297183975623,0.0321050425852099
"Hyndburn","E07000120","North West",1,112,0.00892857142857143,0.00157785470329214,0.0488484683088849
"Swale","E07000113","South East",2,230,0.00869565217391304,0.00238790957034841,0.0311453178574997
"Kensington and Chelsea","E09000020","London",2,231,0.00865800865800866,0.00237755825973631,0.0310128782503742
"Gateshead","E08000037","North East",3,347,0.00864553314121038,0.00294453183513859,0.0251064825853773
"Cheltenham","E07000078","South West",2,232,0.00862068965517241,0.00236729630541058,0.0308815601929536
"Wellingborough","E07000156","East Midlands",1,116,0.00862068965517241,0.00152338777663861,0.0472198341281787
"Gloucester","E07000081","South West",2,233,0.00858369098712446,0.00235712255530741,0.0307513494991173
"Bedford","E06000055","East of England",3,350,0.00857142857142857,0.00291925658987322,0.0248939308571105
"Sunderland","E08000024","North East",4,478,0.00836820083682008,0.00325890417201951,0.021316521217228
"South Cambridgeshire","E07000012","East of England",3,360,0.00833333333333333,0.0028380524355807,0.0242107035049679
"Calderdale","E08000033","Yorkshire and The Humber",3,363,0.00826446280991736,0.00281456484561735,0.0240129885403386
"Torbay","E06000027","South West",2,247,0.00809716599190283,0.0022233508015701,0.0290372663928919
"Milton Keynes","E06000042","South East",4,494,0.00809716599190283,0.0031532056851069,0.020632396359256
"Hartlepool","E06000001","North East",1,124,0.00806451612903226,0.00142500645812517,0.0442679860544771
"Sutton","E09000029","London",3,374,0.00802139037433155,0.00273167182617125,0.0233148579840061
"Lewisham","E09000023","London",4,502,0.00796812749003984,0.00310288656544225,0.020306540665574
"South Bucks","E07000006","South East",1,126,0.00793650793650794,0.00140236506081231,0.0435867999851607
"Brentwood","E07000068","East of England",1,126,0.00793650793650794,0.00140236506081231,0.0435867999851607
"Kirklees","E08000034","Yorkshire and The Humber",6,762,0.0078740157480315,0.00361358418929976,0.0170714526916862
"Harlow","E07000073","East of England",1,128,0.0078125,0.00138043189287424,0.0429262594388606
"North Hertfordshire","E07000099","East of England",2,256,0.0078125,0.00214509036768142,0.0280327683015358
"Brighton and Hove","E06000043","South East",4,514,0.00778210116731518,0.0030303487345052,0.019836609132602
"Walsall","E08000030","West Midlands",3,389,0.0077120822622108,0.00262620080685459,0.0224257854326785
"Wolverhampton","E08000031","West Midlands",3,393,0.00763358778625954,0.00259943671210395,0.0222000357269408
"York","E06000014","Yorkshire and The Humber",3,395,0.00759493670886076,0.00258625819634544,0.0220888566971604
"Bolton","E08000001","North West",3,396,0.00757575757575758,0.00257971892077585,0.0220336837256652
"Test Valley","E07000093","South East",2,266,0.0075187969924812,0.00206435280761008,0.0269951507059129
"Vale of White Horse","E07000180","South East",2,266,0.0075187969924812,0.00206435280761008,0.0269951507059129
"Bradford","E08000032","Yorkshire and The Humber",7,944,0.00741525423728814,0.00359651127805125,0.0152267409174082
"Central Bedfordshire","E06000056","East of England",4,550,0.00727272727272727,0.00283175073876062,0.0185488422668775
"Broxbourne","E07000095","East of England",1,138,0.0072463768115942,0.00128031078382889,0.0399027034720981
"Lincoln","E07000138","East Midlands",1,144,0.00694444444444444,0.00122691860705971,0.0382847235756571
"County Durham","E06000047","North East",6,881,0.00681044267877412,0.00312491534793109,0.0147782453400948
"Guildford","E07000209","South East",2,295,0.00677966101694915,0.00186120077965856,0.0243783272016281
"Trafford","E08000009","North West",3,450,0.00666666666666667,0.00226980569990087,0.0194149889115635
"Sheffield","E08000019","Yorkshire and The Humber",7,1056,0.00662878787878788,0.00321463588002546,0.0136194468709425
"Mansfield","E07000174","East Midlands",1,157,0.00636942675159236,0.0011252464719863,0.0351928699112167
"Salford","E08000006","North West",2,320,0.00625,0.00171565206683687,0.0224982297790815
"Kingston upon Thames","E09000021","London",2,323,0.00619195046439629,0.001699701758943,0.0222919266256187
"Harrogate","E07000165","Yorkshire and The Humber",2,325,0.00615384615384615,0.00168923197114284,0.0221564803329429
"Arun","E07000224","South East",2,325,0.00615384615384615,0.00168923197114284,0.0221564803329429
"Forest of Dean","E07000080","South West",1,163,0.00613496932515337,0.00108379488609264,0.0339282390650848
"Charnwood","E07000130","East Midlands",2,326,0.00613496932515337,0.00168404529746511,0.0220893725400931
"Daventry","E07000151","East Midlands",1,163,0.00613496932515337,0.00108379488609264,0.0339282390650848
"East Northamptonshire","E07000152","East Midlands",1,163,0.00613496932515337,0.00108379488609264,0.0339282390650848
"Malvern Hills","E07000235","West Midlands",1,163,0.00613496932515337,0.00108379488609264,0.0339282390650848
"Wyre Forest","E07000239","West Midlands",1,164,0.00609756097560976,0.00107718139046266,0.0337262507397036
"Redbridge","E09000026","London",3,495,0.00606060606060606,0.00206324956839453,0.017665380934692
"South Ribble","E07000126","North West",1,167,0.00598802395209581,0.00105781647748409,0.0331344624986923
"Wigan","E08000010","North West",3,518,0.00579150579150579,0.00197154895855674,0.0168875482908929
"Spelthorne","E07000213","South East",1,174,0.00574712643678161,0.00101523035741215,0.0318312097214655
"Worcester","E07000237","West Midlands",1,174,0.00574712643678161,0.00101523035741215,0.0318312097214655
"Newcastle upon Tyne","E08000021","North East",3,522,0.00574712643678161,0.00195642671682827,0.0167592121047389
"Brent","E09000005","London",3,523,0.00573613766730402,0.00195268233428962,0.0167274322541175
