region,age_group_char,Positive_r1,Total_r1,Prevalence_r1,Lower_r1,Upper_r1,Positive_r2,Total_r2,Prevalence_r2,Lower_r2,Upper_r2,Positive_r3,Total_r3,Prevalence_r3,Lower_r3,Upper_r3,Positive_r4,Total_r4,Prevalence_r4,Lower_r4,Upper_r4
East Midlands,13-17,0,933,0,0,0.002891,0,1222,0,0,0.002209,3,1183,0.002536,0.000863,0.007429,1,1101,0.000908,0.00016,0.005127
East of England,13-17,2,1048,0.001908,0.000524,0.006931,0,1373,0,0,0.001967,1,1396,0.000716,0.000126,0.004046,0,1265,0,0,0.002134
London,13-17,1,621,0.00161,0.000284,0.009064,1,969,0.001032,0.000182,0.005822,2,871,0.002296,0.00063,0.008333,1,855,0.00117,0.000206,0.006595
North East,13-17,1,247,0.004049,0.000715,0.022572,0,306,0,0,0.008764,0,282,0,0,0.009503,0,268,0,0,0.009994
North West,13-17,1,973,0.001028,0.000181,0.005798,0,1056,0,0,0.002556,0,1082,0,0,0.002494,0,902,0,0,0.002991
South East,13-17,5,1689,0.00296,0.001265,0.006911,0,2099,0,0,0.001287,0,2132,0,0,0.001267,1,2040,0.00049,8.70E-05,0.002772
South West,13-17,0,625,0,0,0.00431,0,882,0,0,0.003058,0,826,0,0,0.003265,0,755,0,0,0.003571
West Midlands,13-17,0,701,0,0,0.003845,3,915,0.003279,0.001116,0.009595,0,849,0,0,0.003177,1,794,0.001259,0.000222,0.007099
Yorkshire and The Humber,13-17,1,456,0.002193,0.000387,0.012316,0,603,0,0,0.004467,0,588,0,0,0.00458,2,585,0.003419,0.000938,0.012379
East Midlands,18-24,1,935,0.00107,0.000189,0.006033,0,960,0,0,0.00281,2,903,0.002215,0.000608,0.008039,1,777,0.001287,0.000227,0.007254
East of England,18-24,2,1051,0.001903,0.000522,0.006912,1,1102,0.000907,0.00016,0.005122,2,1102,0.001815,0.000498,0.006593,3,963,0.003115,0.00106,0.009119
London,18-24,1,636,0.001572,0.000278,0.008852,0,891,0,0,0.003027,0,818,0,0,0.003297,3,735,0.004082,0.001389,0.011931
North East,18-24,1,272,0.003676,0.000649,0.020528,0,294,0,0,0.009119,0,277,0,0,0.009673,1,257,0.003891,0.000687,0.021707
North West,18-24,5,868,0.00576,0.002463,0.013413,1,967,0.001034,0.000183,0.005834,1,886,0.001129,0.000199,0.006365,5,692,0.007225,0.00309,0.016802
South East,18-24,6,1454,0.004127,0.001893,0.008974,2,1680,0.00119,0.000327,0.00433,1,1596,0.000627,0.000111,0.003541,0,1448,0,0,0.001865
South West,18-24,0,576,0,0,0.004675,0,717,0,0,0.003759,0,674,0,0,0.003998,2,540,0.003704,0.001016,0.013402
West Midlands,18-24,1,670,0.001493,0.000264,0.008405,0,755,0,0,0.003571,0,729,0,0,0.003698,0,614,0,0,0.004387
Yorkshire and The Humber,18-24,2,454,0.004405,0.001209,0.015918,0,507,0,0,0.005308,0,467,0,0,0.00576,1,388,0.002577,0.000455,0.014453
East Midlands,25-34,2,1610,0.001242,0.000341,0.004518,1,1980,0.000505,8.90E-05,0.002855,1,1810,0.000552,9.80E-05,0.003123,4,1622,0.002466,0.000959,0.006324
East of England,25-34,0,1886,0,0,0.001432,2,2225,0.000899,0.000247,0.003272,0,2061,0,0,0.001311,3,1955,0.001535,0.000522,0.004502
London,25-34,3,1805,0.001662,0.000565,0.004875,6,2599,0.002309,0.001058,0.005028,3,2437,0.001231,0.000419,0.003613,1,2201,0.000454,8.00E-05,0.002569
North East,25-34,0,519,0,0,0.005186,0,627,0,0,0.004297,0,533,0,0,0.00505,1,577,0.001733,0.000306,0.009751
North West,25-34,5,1735,0.002882,0.001232,0.006729,2,1811,0.001104,0.000303,0.004018,2,1803,0.001109,0.000304,0.004036,2,1497,0.001336,0.000366,0.004858
South East,25-34,8,2747,0.002912,0.001476,0.005736,2,3097,0.000646,0.000177,0.002352,0,3065,0,0,0.000882,3,2805,0.00107,0.000364,0.00314
South West,25-34,1,998,0.001002,0.000177,0.005654,2,1321,0.001514,0.000415,0.005503,1,1298,0.00077,0.000136,0.004351,1,1121,0.000892,0.000157,0.005036
West Midlands,25-34,4,1207,0.003314,0.001289,0.00849,1,1471,0.00068,0.00012,0.003841,0,1357,0,0,0.00199,1,1291,0.000775,0.000137,0.004375
Yorkshire and The Humber,25-34,0,810,0,0,0.003329,1,942,0.001062,0.000187,0.005989,1,957,0.001045,0.000184,0.005895,3,843,0.003559,0.001211,0.01041
East Midlands,35-44,5,1976,0.00253,0.001081,0.00591,1,2596,0.000385,6.80E-05,0.002179,1,2374,0.000421,7.40E-05,0.002382,2,2274,0.00088,0.000241,0.003201
East of England,35-44,4,2364,0.001692,0.000658,0.004343,2,3005,0.000666,0.000183,0.002424,1,2880,0.000347,6.10E-05,0.001964,5,2860,0.001748,0.000747,0.004086
London,35-44,3,2000,0.0015,0.00051,0.004401,3,2874,0.001044,0.000355,0.003065,1,2540,0.000394,7.00E-05,0.002227,6,2642,0.002271,0.001041,0.004946
North East,35-44,1,582,0.001718,0.000303,0.009668,0,711,0,0,0.003791,0,703,0,0,0.003834,2,678,0.00295,0.000809,0.010691
North West,35-44,4,2038,0.001963,0.000764,0.005036,2,2353,0.00085,0.000233,0.003094,2,2278,0.000878,0.000241,0.003196,6,2024,0.002964,0.001359,0.006453
South East,35-44,4,3677,0.001088,0.000423,0.002794,5,4557,0.001097,0.000469,0.002566,1,4547,0.00022,3.90E-05,0.001245,2,4461,0.000448,0.000123,0.001633
South West,35-44,0,1326,0,0,0.002036,1,1717,0.000582,0.000103,0.003292,0,1650,0,0,0.001637,1,1642,0.000609,0.000108,0.003442
West Midlands,35-44,1,1470,0.00068,0.00012,0.003843,5,1790,0.002793,0.001194,0.006522,1,1795,0.000557,9.80E-05,0.003149,1,1740,0.000575,0.000101,0.003248
Yorkshire and The Humber,35-44,1,939,0.001065,0.000188,0.006008,0,1245,0,0,0.002168,1,1189,0.000841,0.000148,0.004749,3,1095,0.00274,0.000932,0.008024
East Midlands,45-54,3,2638,0.001137,0.000387,0.003338,5,3524,0.001419,0.000606,0.003317,1,3518,0.000284,5.00E-05,0.001608,1,3283,0.000305,5.40E-05,0.001723
East of England,45-54,4,3005,0.001331,0.000518,0.003418,3,3842,0.000781,0.000266,0.002293,0,3935,0,0,0.000687,1,3761,0.000266,4.70E-05,0.001505
London,45-54,4,1693,0.002363,0.000919,0.006059,2,2548,0.000785,0.000215,0.002858,1,2444,0.000409,7.20E-05,0.002314,0,2523,0,0,0.001071
North East,45-54,0,757,0,0,0.003561,1,994,0.001006,0.000178,0.005676,0,939,0,0,0.002873,2,918,0.002179,0.000598,0.007909
North West,45-54,2,2688,0.000744,0.000204,0.002709,3,3028,0.000991,0.000337,0.002909,1,3134,0.000319,5.60E-05,0.001805,4,2870,0.001394,0.000542,0.003578
South East,45-54,6,4725,0.00127,0.000582,0.002768,4,5896,0.000678,0.000264,0.001743,0,5988,0,0,0.000452,6,5848,0.001026,0.00047,0.002237
South West,45-54,1,1772,0.000564,1.00E-04,0.00319,0,2395,0,0,0.001128,0,2426,0,0,0.001114,1,2352,0.000425,7.50E-05,0.002405
West Midlands,45-54,6,2025,0.002963,0.001359,0.006449,1,2471,0.000405,7.10E-05,0.002289,0,2527,0,0,0.00107,2,2429,0.000823,0.000226,0.002997
Yorkshire and The Humber,45-54,2,1314,0.001522,0.000418,0.005533,1,1699,0.000589,0.000104,0.003327,0,1780,0,0,0.001518,2,1635,0.001223,0.000336,0.004449
East Midlands,05-Dec,2,1342,0.00149,0.000409,0.005418,0,1682,0,0,0.001606,0,1415,0,0,0.001908,1,1347,0.000742,0.000131,0.004193
East of England,05-Dec,2,1633,0.001225,0.000336,0.004455,0,1921,0,0,0.001406,0,1715,0,0,0.001575,1,1717,0.000582,0.000103,0.003292
London,05-Dec,5,886,0.005643,0.002413,0.013142,4,1324,0.003021,0.001175,0.007742,0,1153,0,0,0.002341,4,1222,0.003273,0.001274,0.008386
North East,05-Dec,0,350,0,0,0.007671,0,435,0,0,0.006181,0,349,0,0,0.007693,0,362,0,0,0.007418
North West,05-Dec,2,1326,0.001508,0.000414,0.005483,0,1466,0,0,0.001842,0,1317,0,0,0.00205,4,1153,0.003469,0.00135,0.008886
South East,05-Dec,3,2489,0.001205,0.00041,0.003538,2,3016,0.000663,0.000182,0.002415,1,2622,0.000381,6.70E-05,0.002157,0,2654,0,0,0.001018
South West,05-Dec,1,919,0.001088,0.000192,0.006138,0,1163,0,0,0.002321,0,997,0,0,0.002706,0,975,0,0,0.002767
West Midlands,05-Dec,2,986,0.002028,0.000556,0.007365,0,1247,0,0,0.002165,0,1030,0,0,0.00262,1,990,0.00101,0.000178,0.005699
Yorkshire and The Humber,05-Dec,0,642,0,0,0.004197,0,823,0,0,0.003277,1,731,0.001368,0.000242,0.007708,0,675,0,0,0.003992
East Midlands,55-64,2,2797,0.000715,0.000196,0.002604,4,3796,0.001054,0.00041,0.002706,0,4072,0,0,0.000664,0,3734,0,0,0.000724
East of England,55-64,1,2994,0.000334,5.90E-05,0.00189,6,4163,0.001441,0.000661,0.003141,0,4327,0,0,0.000625,2,4302,0.000465,0.000128,0.001694
London,55-64,3,1433,0.002094,0.000712,0.006137,2,2200,0.000909,0.000249,0.003309,0,2287,0,0,0.001182,0,2303,0,0,0.001173
North East,55-64,1,845,0.001183,0.000209,0.006673,0,1148,0,0,0.002351,0,1106,0,0,0.00244,1,1200,0.000833,0.000147,0.004705
North West,55-64,1,2738,0.000365,6.40E-05,0.002066,6,3468,0.00173,0.000793,0.00377,1,3796,0.000263,4.70E-05,0.001491,5,3338,0.001498,0.00064,0.003502
South East,55-64,6,4731,0.001268,0.000581,0.002764,3,6205,0.000483,0.000164,0.001421,1,6713,0.000149,2.60E-05,0.000843,5,6457,0.000774,0.000331,0.001812
South West,55-64,3,1994,0.001505,0.000512,0.004414,4,2846,0.001405,0.000547,0.003608,2,3043,0.000657,0.00018,0.002393,2,2858,7.00E-04,0.000192,0.002548
West Midlands,55-64,3,1964,0.001527,0.00052,0.004482,2,2632,0.00076,0.000208,0.002767,0,2857,0,0,0.000946,3,2729,0.001099,0.000374,0.003227
Yorkshire and The Humber,55-64,0,1484,0,0,0.00182,3,2005,0.001496,0.000509,0.00439,2,2201,0.000909,0.000249,0.003307,3,2002,0.001499,0.00051,0.004397
East Midlands,65+,3,3198,0.000938,0.000319,0.002755,3,4973,0.000603,0.000205,0.001772,1,5606,0.000178,3.10E-05,0.00101,0,5334,0,0,0.000507
East of England,65+,3,3617,0.000829,0.000282,0.002436,3,5470,0.000548,0.000187,0.001611,2,6217,0.000322,8.80E-05,0.001172,2,6057,0.00033,9.10E-05,0.001203
London,65+,1,1414,0.000707,0.000125,0.003995,5,2345,0.002132,0.000911,0.004982,0,2512,0,0,0.001076,0,2520,0,0,0.001072
North East,65+,1,939,0.001065,0.000188,0.006008,0,1405,0,0,0.001922,1,1598,0.000626,0.00011,0.003536,2,1455,0.001375,0.000377,0.004998
North West,65+,4,3279,0.00122,0.000474,0.003133,2,4466,0.000448,0.000123,0.001631,3,5281,0.000568,0.000193,0.001669,3,4738,0.000633,0.000215,0.00186
South East,65+,3,5633,0.000533,0.000181,0.001565,3,8198,0.000366,0.000124,0.001075,3,9455,0.000317,0.000108,0.000933,3,9164,0.000327,0.000111,0.000962
South West,65+,0,2482,0,0,0.001089,5,4052,0.001234,0.000527,0.002886,0,4736,0,0,0.000571,3,4430,0.000677,0.00023,0.001989
West Midlands,65+,2,2314,0.000864,0.000237,0.003146,1,3646,0.000274,4.80E-05,0.001552,4,4049,0.000988,0.000384,0.002538,1,3874,0.000258,4.60E-05,0.001461
Yorkshire and The Humber,65+,1,1676,0.000597,0.000105,0.003372,1,2488,0.000402,7.10E-05,0.002273,1,3007,0.000333,5.90E-05,0.001881,3,2891,0.001038,0.000353,0.003047
