"ltla","ltla_code","region","positive","number_samples","prevalence","lower","upper"
"Rutland","E06000017","East Midlands",1,32,0.03125,0.00553786016400313,0.157442638200126
"Melton","E07000133","East Midlands",1,34,0.0294117647058824,0.00521090627626895,0.149155732926859
"Blackburn with Darwen","E06000008","North West",3,104,0.0288461538461538,0.009858182902777,0.0814004010251103
"Ribble Valley","E07000124","North West",1,35,0.0285714285714286,0.0050614918554442,0.145330872336137
"Scarborough","E07000168","Yorkshire and The Humber",3,105,0.0285714285714286,0.00976383903870233,0.0806562906373156
"Rochdale","E08000005","North West",5,179,0.0279329608938547,0.0119890504074095,0.0637129206333484
"Oldham","E08000004","North West",5,194,0.0257731958762887,0.0110579002219857,0.0589044772453114
"Hertsmere","E07000098","East of England",2,80,0.025,0.00688289320297065,0.0866443298557801
"Waltham Forest","E09000031","London",5,203,0.0246305418719212,0.0105655469715601,0.0563526564660445
"Bexley","E09000004","London",4,170,0.0235294117647059,0.00918729517494668,0.0589291305673603
"Hounslow","E09000018","London",5,226,0.0221238938053097,0.0094861571092953,0.050735610067584
"Wandsworth","E09000032","London",5,234,0.0213675213675214,0.00916064048024398,0.0490355162761314
"Islington","E09000019","London",4,197,0.0203045685279188,0.00792369332487371,0.0510355419357398
"Rugby","E07000220","West Midlands",2,103,0.0194174757281553,0.00534122527417838,0.0680521831203475
"Bassetlaw","E07000171","East Midlands",2,104,0.0192307692307692,0.00528971158506402,0.0674231291576782
"Luton","E06000032","East of England",3,161,0.0186335403726708,0.00635699349327421,0.0533455770317728
"Woking","E07000217","South East",2,109,0.018348623853211,0.00504636236734329,0.0644445756499882
"Reigate and Banstead","E07000211","South East",3,164,0.0182926829268293,0.00624034715591708,0.0523950989957265
"Wellingborough","E07000156","East Midlands",1,55,0.0181818181818182,0.00321678045484108,0.0960577606216239
"Southwark","E09000028","London",4,225,0.0177777777777778,0.00693460159296238,0.0448106498213469
"Kensington and Chelsea","E09000020","London",2,113,0.0176991150442478,0.00486723182048741,0.0622447239856079
"North East Lincolnshire","E06000012","Yorkshire and The Humber",2,115,0.0173913043478261,0.00478235236260556,0.0612001666884705
"Portsmouth","E06000044","South East",3,173,0.0173410404624277,0.00591475280522281,0.0497365570534723
"Gloucester","E07000081","South West",2,117,0.0170940170940171,0.00470038260458155,0.0601900854286567
"Broxbourne","E07000095","East of England",1,59,0.0169491525423729,0.00299823391835564,0.089957259641423
"Croydon","E09000008","London",5,298,0.0167785234899329,0.00718753252849724,0.0386691860110076
"Hartlepool","E06000001","North East",1,62,0.0161290322580645,0.00285286716862182,0.0858672026068999
"Newham","E09000025","London",3,188,0.0159574468085106,0.00544155841551921,0.0458583997957687
"Haringey","E09000014","London",3,189,0.0158730158730159,0.00541268989374695,0.0456212469001289
"Torbay","E06000027","South West",2,129,0.0155038759689922,0.00426207038969161,0.0547666311189113
"Brentwood","E07000068","East of England",1,65,0.0153846153846154,0.00272094460202347,0.0821328472955147
"Harlow","E07000073","East of England",1,65,0.0153846153846154,0.00272094460202347,0.0821328472955147
"North Hertfordshire","E07000099","East of England",2,132,0.0151515151515152,0.00416497416733588,0.0535601039404057
"Hyndburn","E07000120","North West",1,67,0.0149253731343284,0.00263957173407889,0.079818623197781
"South Bucks","E07000006","South East",1,70,0.0142857142857143,0.00252624645789031,0.0765818713120833
"Daventry","E07000151","East Midlands",1,74,0.0135135135135135,0.00238946340345683,0.0726535651984323
"Charnwood","E07000130","East Midlands",2,153,0.0130718954248366,0.00359213582787713,0.0464039486236117
"Blaby","E07000129","East Midlands",1,78,0.0128205128205128,0.00226673175383373,0.0691085700170222
"East Northamptonshire","E07000152","East Midlands",1,78,0.0128205128205128,0.00226673175383373,0.0691085700170222
"Fylde","E07000119","North West",1,81,0.0123456790123457,0.00218265005853878,0.0666688159804835
"Mansfield","E07000174","East Midlands",1,81,0.0123456790123457,0.00218265005853878,0.0666688159804835
"Bedford","E06000055","East of England",2,168,0.0119047619047619,0.00327080938143977,0.0423611287696219
"Mole Valley","E07000210","South East",1,84,0.0119047619047619,0.00210458308754922,0.064395437507714
"Manchester","E08000003","North West",5,422,0.0118483412322275,0.00507123093304494,0.0274325531255247
"Middlesbrough","E06000002","North East",1,86,0.0116279069767442,0.00205556866524956,0.0629640658929172
"Spelthorne","E07000213","South East",1,86,0.0116279069767442,0.00205556866524956,0.0629640658929172
"Crawley","E07000226","South East",1,86,0.0116279069767442,0.00205556866524956,0.0629640658929172
"Warrington","E06000007","North West",2,174,0.0114942528735632,0.00315781918756732,0.0409345925183002
"South Northamptonshire","E07000155","East Midlands",1,88,0.0113636363636364,0.00200878531770447,0.0615949389229856
"Runnymede","E07000212","South East",1,88,0.0113636363636364,0.00200878531770447,0.0615949389229856
"Hambleton","E07000164","Yorkshire and The Humber",1,90,0.0111111111111111,0.00196408410091835,0.0602840831175345
"Stockton-on-Tees","E06000004","North East",2,181,0.0110497237569061,0.0030354816305225,0.0393871375736505
"Worcester","E07000237","West Midlands",1,93,0.010752688172043,0.00190064202865556,0.0584191723548702
"Camden","E09000007","London",2,190,0.0105263157894737,0.00289145799240438,0.0375614918997421
"York","E06000014","Yorkshire and The Humber",2,191,0.0104712041884817,0.002876294579849,0.0373690354857114
"East Staffordshire","E07000193","West Midlands",1,96,0.0104166666666667,0.00184117021681625,0.0566661762271578
"Liverpool","E08000012","North West",4,392,0.0102040816326531,0.00397512308611913,0.025939527228612
"Bristol, City of","E06000023","South West",4,396,0.0101010101010101,0.00393490052122837,0.0256804846757438
"Sevenoaks","E07000111","South East",1,99,0.0101010101010101,0.00178530727917008,0.0550153146458729
"Barnsley","E08000016","Yorkshire and The Humber",2,198,0.0101010101010101,0.00277444614678751,0.0360751483146759
"Ashford","E07000105","South East",1,101,0.0099009900990099,0.00174991124896823,0.053967157994455
