,North.West,North.East,South.West,South.East,London,East.Midlands,West.Midlands,Yokrshire.and.The.Humber,East.of.England
2020-05-01,0,0,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,0,0,0,0,0
2020-05-04,0,0,0,0,0,0,0,0,0
2020-05-05,1.078082512,0,0,0,0,0.546260745,0,0,0
2020-05-06,0,0,0,0,0,2.129874436,0,0,0
2020-05-07,0,0,0,0.721178887,1.236317739,0,0,0,0
2020-05-08,0,0,0,0,0,0,0,0,0
2020-05-09,0,0,0,0,0,0,0,0,0.641399478
2020-05-10,0,0,0,0,0,0,0,0,0
2020-05-11,0,0,0,1.680412025,0,0,1.085896527,3.014445492,1.1373077
2020-05-12,0,0,0,0,0,0,0,0,0
2020-05-13,2.428652726,0,0,0,0,0,0,0,0
2020-05-14,0,0.945352136,0,0.685757857,6.871148672,1.421302103,0,0,1.550766296
2020-05-15,2.865582903,0,0.623731237,1.488744771,3.539832592,0.77055991,0,0,0
2020-05-16,4.182229387,0,0,4.402390369,0,1.421199207,0.595967164,0,0.480268303
2020-05-17,1.578583331,0.469076643,3.987235178,3.246529635,1.386875331,0,6.540669285,0,4.095836941
2020-05-18,0,0,0.428239344,0,2.996944056,0,0,1.397152519,4.99004533
2020-05-19,2.623536949,0,0,2.137639532,0,0,1.694734852,2.595986979,0
2020-05-20,0.872288809,0,0,2.389158086,1.510300858,1.165975137,1.657120319,1.880297054,0.657980345
2020-05-21,0.229382395,0,0.673837429,2.224455859,7.16042296,1.193535706,1.344503263,2.913222382,1.250682655
2020-05-22,0.425284952,2.05700147,0.987694523,1.508529168,1.150618175,0.759151251,0,0,1.160274435
2020-05-23,4.054852571,0,0,1.369776699,1.561902466,0,0,0,0
2020-05-24,0.321353744,0,0,0.519292819,0,2.140504799,0,0,0.719554767
2020-05-25,1.181234703,0,0,5.12220283,0.971240662,2.894570291,1.31284433,0,0
2020-05-26,0,1.715074529,0,0.841563513,0,0.585566704,2.010413923,1.431504708,0
2020-05-27,0,0,0,0.669580159,1.388033079,0,0,0,0
2020-05-28,0,0.494456851,0,0.506469544,0,0,0,0,0.812708891
2020-05-29,0.609410736,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,7.899096402,0
2020-06-01,0,0,0,1.424705224,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0
2020-06-20,0,0,0,1.363807344,0,0,1.644915174,0,0.687692954
2020-06-21,0.978576533,0,1.262804197,0.521036592,0,0.67838304,0.382808989,0,1.477424083
2020-06-22,2.132372371,0,3.685542394,0,6.18470716,0.294364557,0.539679094,0,0
2020-06-23,1.381560965,0,7.244694085,4.733312236,3.006031048,1.112160867,1.085831561,0,0.846938053
2020-06-24,7.494051997,0,0,2.123299625,1.223230028,0.789621888,0.441047029,4.146637778,1.304187678
2020-06-25,1.676660027,0,0,0.58277422,5.104578276,2.435170878,0.67315139,1.598217676,0
2020-06-26,0,0,0.263262964,1.035226101,2.40602284,0.313808555,2.701867668,0,1.766189249
2020-06-27,0,0,0,0,0,0.206081686,0,2.633218146,0.557645103
2020-06-28,9.945263146,0,0.60180518,0.956787261,1.146849056,0.246310915,0,0,0
2020-06-29,2.547459841,0,0.358442468,1.893012051,3.38875767,0.343191329,0,0.888939838,1.834425758
2020-06-30,0,2.822198436,0,0,5.087488004,0,1.57926798,1.440302736,2.143646298
2020-07-01,0.670665837,0,0,2.312603364,0.937887426,0.552818013,0,0.921166752,0
2020-07-02,0,0,0,0.80516822,0,0,1.520028947,0,0
2020-07-03,0,0,0,0,0,0,0.801056749,0,1.543782809
2020-07-04,0,0,0,1.236161926,2.234197694,0.549613531,0,0,0.456571578
2020-07-05,0,0,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,1.245852925,0,0,0,0
2020-07-07,0,0,0,0,0,0,0,0,0
2020-07-24,0,0,0,0,0,0,0,0,0
2020-07-25,0,0,0.926451655,0,0,0,0,0,0
2020-07-26,0,0,0,0.977975233,3.242586164,0.752805975,0.57649195,1.988231424,0
2020-07-27,0,0,0,0,1.026275348,0,0,0,0
2020-07-28,0,0,0,0,0,0,0,2.339403901,0
2020-07-29,6.43606336,0,0,0.366463185,1.693558339,2.576853604,0.781154566,0,0.338420922
2020-07-30,0.408771802,0,0,0,0,1.514299536,2.159431894,0,0.761565929
