"ltla","ltla_code","region","positive","number_samples","prevalence","lower","upper"
"Barking and Dagenham","E09000002","London",8,201,0.0398009950248756,0.0203034243526136,0.07655909036938
"Rossendale","E07000125","North West",5,161,0.031055900621118,0.0133367072480414,0.0706316033924883
"Oadby and Wigston","E07000135","East Midlands",5,163,0.0306748466257669,0.0131721900164431,0.0697895565334336
"Boston","E07000136","East Midlands",7,234,0.0299145299145299,0.0145646668649746,0.0604494156636084
"Tamworth","E07000199","West Midlands",5,177,0.0282485875706215,0.0121251871555583,0.064414003088522
"Kirklees","E08000034","Yorkshire and The Humber",5,182,0.0274725274725275,0.011790482343053,0.0626894475311997
"Derbyshire Dales","E07000035","East Midlands",5,192,0.0260416666666667,0.0111736090161574,0.0595032481929533
"Gedling","E07000173","East Midlands",5,192,0.0260416666666667,0.0111736090161574,0.0595032481929533
"Ashfield","E07000170","East Midlands",4,160,0.025,0.00976399254626252,0.0625098928666674
"Hartlepool","E06000001","North East",5,203,0.0246305418719212,0.0105655469715601,0.0563526564660445
"Cheshire West and Chester","E06000050","North West",4,174,0.0229885057471264,0.00897525097601321,0.0576091039838339
"Kingston upon Hull, City of","E06000010","Yorkshire and The Humber",4,177,0.0225988700564972,0.00882253203514191,0.0566572473136579
"Calderdale","E08000033","Yorkshire and The Humber",4,178,0.0224719101123595,0.0087727741610624,0.05634691250165
"Welwyn Hatfield","E07000241","East of England",4,179,0.0223463687150838,0.00872357440438433,0.0560399584238382
"Rotherham","E08000018","Yorkshire and The Humber",5,227,0.0220264317180617,0.0094442079627881,0.0505166798751521
"Tower Hamlets","E09000030","London",5,233,0.0214592274678112,0.00920010304823525,0.0492417714851128
"Middlesbrough","E06000002","North East",4,188,0.0212765957446809,0.00830441689857264,0.0534208164972066
"Newham","E09000025","London",3,143,0.020979020979021,0.00716001722155426,0.0598609651340581
"Oldham","E08000004","North West",3,144,0.0208333333333333,0.00711011939257291,0.059457532869504
"Sheffield","E08000019","Yorkshire and The Humber",4,196,0.0204081632653061,0.00796426317911235,0.0512900021298632
"Bexley","E09000004","London",4,196,0.0204081632653061,0.00796426317911235,0.0512900021298632
"Havering","E09000016","London",4,196,0.0204081632653061,0.00796426317911235,0.0512900021298632
"East Staffordshire","E07000193","West Midlands",3,148,0.0202702702702703,0.00691729426924225,0.0578967485957941
"Bolton","E08000001","North West",3,150,0.02,0.00682475132296745,0.0571466832703861
"Stockton-on-Tees","E06000004","North East",4,201,0.0199004975124378,0.00776546467370701,0.0500424560903187
"Tameside","E08000008","North West",3,156,0.0192307692307692,0.00656140638822535,0.0550087199939044
"Preston","E07000123","North West",3,157,0.0191082802547771,0.00651947883433197,0.0546678474486594
"Maidstone","E07000110","South East",4,211,0.018957345971564,0.00739622595510811,0.0477209701656693
"Tonbridge and Malling","E07000115","South East",4,211,0.018957345971564,0.00739622595510811,0.0477209701656693
"North Somerset","E06000024","South West",4,222,0.018018018018018,0.00702860435417041,0.0454040131223913
"Scarborough","E07000168","Yorkshire and The Humber",3,167,0.0179640718562874,0.00612790448454182,0.051477895001303
"East Lindsey","E07000137","East Midlands",5,279,0.017921146953405,0.00767852582080343,0.0412586380532835
"Bristol, City of","E06000023","South West",4,228,0.0175438596491228,0.00684308011832354,0.0442325940985657
"Harrow","E09000015","London",4,230,0.0173913043478261,0.00678339620168503,0.0438554378203605
"Darlington","E06000005","North East",3,175,0.0171428571428571,0.00584695971698315,0.0491819965753111
"Southend-on-Sea","E06000033","East of England",3,176,0.0170454545454545,0.00581364262530789,0.0489093277355268
"North Lincolnshire","E06000013","Yorkshire and The Humber",3,177,0.0169491525423729,0.00578070308010409,0.0486396653734153
"Camden","E09000007","London",4,237,0.0168776371308017,0.00658245838475727,0.0425845699112724
"Three Rivers","E07000102","East of England",3,179,0.0167597765363128,0.005715931246562,0.0481091633691251
"Rugby","E07000220","West Midlands",3,179,0.0167597765363128,0.005715931246562,0.0481091633691251
"Barnet","E09000003","London",3,182,0.0164835164835165,0.00562145012509735,0.0473347571880915
"Surrey Heath","E07000214","South East",4,244,0.0163934426229508,0.00639308255414579,0.0413852789719662
"Harborough","E07000131","East Midlands",3,185,0.0162162162162162,0.00553004167985439,0.0465848852125429
"Liverpool","E08000012","North West",3,185,0.0162162162162162,0.00553004167985439,0.0465848852125429
"Bolsover","E07000033","East Midlands",3,186,0.0161290322580645,0.00550022924715511,0.0463401794909036
"County Durham","E06000047","North East",3,187,0.0160427807486631,0.00547073653094296,0.0460980309764397
"Cheltenham","E07000078","South West",5,312,0.016025641025641,0.00686412023831202,0.036959951726072
"Hillingdon","E09000017","London",3,192,0.015625,0.00532789338786818,0.0449242793642999
"Bath and North East Somerset","E06000022","South West",3,196,0.0153061224489796,0.00521887977922887,0.0440274521819698
"Redditch","E07000236","West Midlands",3,197,0.0152284263959391,0.00519231987204076,0.0438088120579972
"Windsor and Maidenhead","E06000040","South East",3,198,0.0151515151515152,0.00516602893520584,0.0435923325936651
"Gateshead","E08000037","North East",3,198,0.0151515151515152,0.00516602893520584,0.0435923325936651
"Blackpool","E06000009","North West",2,134,0.0149253731343284,0.00410266436922173,0.0527848561763522
"Burnley","E07000117","North West",2,134,0.0149253731343284,0.00410266436922173,0.0527848561763522
"Haringey","E09000014","London",3,202,0.0148514851485149,0.00506347479769509,0.0427473932221769
"Mole Valley","E07000210","South East",3,211,0.014218009478673,0.00484697883617824,0.040961027098597
"Dartford","E07000107","South East",3,212,0.0141509433962264,0.00482406112195258,0.0407717149373156
"Halton","E06000006","North West",3,213,0.0140845070422535,0.00480135911045081,0.0405841445391627
"Charnwood","E07000130","East Midlands",2,145,0.0137931034482759,0.00379075249039571,0.0488925447765341
"North Kesteven","E07000139","East Midlands",3,218,0.0137614678899083,0.00469098045770675,0.0396715966413223
"Cherwell","E07000177","South East",3,219,0.0136986301369863,0.00466951094347671,0.039493989299146
"Gravesham","E07000109","South East",3,220,0.0136363636363636,0.0046482370569133,0.0393179650601732
"North West Leicestershire","E07000134","East Midlands",2,148,0.0135135135135135,0.00371374962448039,0.047928660041472
"Brentwood","E07000068","East of England",3,223,0.0134529147982063,0.00458556278555097,0.0387991821012877
"Canterbury","E07000106","South East",4,298,0.0134228187919463,0.00523192140834238,0.0339988021210202
"Westminster","E09000033","London",3,225,0.0133333333333333,0.00454471053974316,0.0384608657723939
"Stoke-on-Trent","E06000021","West Midlands",3,226,0.0132743362831858,0.00452455616881301,0.0382939104002307
"Guildford","E07000209","South East",3,227,0.013215859030837,0.00450457976632436,0.038128398170011
"Redbridge","E09000026","London",3,229,0.0131004366812227,0.00446515152010081,0.0378016289344608
"Swale","E07000113","South East",3,232,0.0129310344827586,0.00440728655786614,0.0373218431291089
"Folkestone and Hythe","E07000112","South East",3,236,0.0127118644067797,0.00433242663814388,0.03670075782081
"Broxtowe","E07000172","East Midlands",2,158,0.0126582278481013,0.00347823445751249,0.0449732493454218
"South Oxfordshire","E07000179","South East",3,242,0.012396694214876,0.00422478655979892,0.0358069431081903
"Wellingborough","E07000156","East Midlands",2,164,0.0121951219512195,0.00335073809355977,0.0433687010473452
"Chesterfield","E07000034","East Midlands",2,166,0.0120481927710843,0.00331029132581541,0.0428589942840812
"Fylde","E07000119","North West",2,167,0.0119760479041916,0.00329043192131966,0.042608607309691
"Coventry","E08000026","West Midlands",2,168,0.0119047619047619,0.00327080938143977,0.0423611287696219
"Bradford","E08000032","Yorkshire and The Humber",2,168,0.0119047619047619,0.00327080938143977,0.0423611287696219
"Sunderland","E08000024","North East",2,173,0.0115606936416185,0.0031761056273469,0.0411656390799554
"Derby","E06000015","East Midlands",2,174,0.0114942528735632,0.00315781918756732,0.0409345925183002
"Rushcliffe","E07000176","East Midlands",2,179,0.0111731843575419,0.00306945714433102,0.0398171992588207
"East Northamptonshire","E07000152","East Midlands",2,180,0.0111111111111111,0.00305237484599262,0.0396010008995846
"Swindon","E06000030","South West",2,181,0.0110497237569061,0.0030354816305225,0.0393871375736505
"Adur","E07000223","South East",2,181,0.0110497237569061,0.0030354816305225,0.0393871375736505
"Milton Keynes","E06000042","South East",2,182,0.010989010989011,0.00301877437577072,0.0391755716568862
"Epping Forest","E07000072","East of England",2,187,0.0106951871657754,0.00293792292031151,0.0381509414656058
"Harlow","E07000073","East of England",2,189,0.0105820105820106,0.00290678213143634,0.0377559408569081
"Newcastle-under-Lyme","E07000195","West Midlands",2,189,0.0105820105820106,0.00290678213143634,0.0377559408569081
"Woking","E07000217","South East",2,193,0.0103626943005181,0.00284643992449458,0.0369899790274551
"Leeds","E08000035","Yorkshire and The Humber",2,193,0.0103626943005181,0.00284643992449458,0.0369899790274551
"Hertsmere","E07000098","East of England",2,196,0.0102040816326531,0.00280280217231913,0.0364355964411027
"Runnymede","E07000212","South East",2,196,0.0102040816326531,0.00280280217231913,0.0364355964411027
"Tewkesbury","E07000083","South West",3,296,0.0101351351351351,0.00345273239396416,0.0293694759137247
"Medway","E06000035","South East",2,198,0.0101010101010101,0.00277444614678751,0.0360751483146759
"Hastings","E07000062","South East",2,198,0.0101010101010101,0.00277444614678751,0.0360751483146759
"Gloucester","E07000081","South West",3,298,0.0100671140939597,0.00342952040817825,0.029175208111042
"Nuneaton and Bedworth","E07000219","West Midlands",2,200,0.01,0.00274665813354444,0.0357217617161768
"Broxbourne","E07000095","East of England",2,202,0.0099009900990099,0.0027194212346266,0.0353752311527951
"Daventry","E07000151","East Midlands",2,202,0.0099009900990099,0.0027194212346266,0.0353752311527951
"Stafford","E07000197","West Midlands",2,206,0.00970873786407767,0.00266653647409699,0.0347019552661101
"East Devon","E07000040","South West",3,310,0.00967741935483871,0.00329654846134999,0.028061510023577
"Cheshire East","E06000049","North West",2,207,0.00966183574879227,0.00265363512146149,0.0345376215913026
"Watford","E07000103","East of England",2,210,0.00952380952380952,0.00261566938740944,0.0340538280240779
"West Lindsey","E07000142","East Midlands",2,210,0.00952380952380952,0.00261566938740944,0.0340538280240779
"Dover","E07000108","South East",2,211,0.00947867298578199,0.0026032544100313,0.0338955613387417
"Wychavon","E07000238","West Midlands",2,211,0.00947867298578199,0.0026032544100313,0.0338955613387417
"Wealden","E07000065","South East",2,213,0.00938967136150235,0.0025787746890863,0.0335834004933737
"South Holland","E07000140","East Midlands",2,214,0.00934579439252336,0.00256670666749039,0.0334294662517722
"Richmond upon Thames","E09000027","London",2,214,0.00934579439252336,0.00256670666749039,0.0334294662517722
"Thanet","E07000114","South East",2,216,0.00925925925925926,0.00254290633495237,0.0331257926573052
"Pendle","E07000122","North West",1,109,0.00917431192660551,0.0016213312925451,0.0501456245917832
"South Cambridgeshire","E07000012","East of England",2,219,0.0091324200913242,0.00250802208584553,0.0326804875487267
"Selby","E07000169","Yorkshire and The Humber",2,219,0.0091324200913242,0.00250802208584553,0.0326804875487267
