areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2022-02-03,34779,15177316,31477,14567609,3302,609707
nation,England,E92000001,2022-02-02,71326,15142537,64277,14536132,7049,606405
nation,England,E92000001,2022-02-01,77365,15071211,69397,14471855,7968,599356
nation,England,E92000001,2022-01-31,87955,14993846,78940,14402458,9015,591388
nation,England,E92000001,2022-01-30,74624,14905891,67246,14323518,7378,582373
nation,England,E92000001,2022-01-29,62761,14831267,57039,14256272,5722,574995
nation,England,E92000001,2022-01-28,71449,14768506,64653,14199233,6796,569273
nation,England,E92000001,2022-01-27,82477,14697057,74432,14134580,8045,562477
nation,England,E92000001,2022-01-26,93038,14614580,83844,14060148,9194,554432
nation,England,E92000001,2022-01-25,96781,14521542,87195,13976304,9586,545238
nation,England,E92000001,2022-01-24,109027,14424761,98080,13889109,10947,535652
nation,England,E92000001,2022-01-23,88452,14315734,80005,13791029,8447,524705
nation,England,E92000001,2022-01-22,70287,14227282,64014,13711024,6273,516258
nation,England,E92000001,2022-01-21,78895,14156995,71549,13647010,7346,509985
nation,England,E92000001,2022-01-20,86818,14078100,78780,13575461,8038,502639
nation,England,E92000001,2022-01-19,97188,13991282,88024,13496681,9164,494601
nation,England,E92000001,2022-01-18,103020,13894094,93207,13408657,9813,485437
nation,England,E92000001,2022-01-17,114544,13791074,103605,13315450,10939,475624
nation,England,E92000001,2022-01-16,85452,13676530,77555,13211845,7897,464685
nation,England,E92000001,2022-01-15,67674,13591078,61906,13134290,5768,456788
nation,England,E92000001,2022-01-14,75008,13523404,68304,13072384,6704,451020
nation,England,E92000001,2022-01-13,83971,13448396,76158,13004080,7813,444316
nation,England,E92000001,2022-01-12,89838,13364425,81289,12927922,8549,436503
nation,England,E92000001,2022-01-11,100809,13274587,91331,12846633,9478,427954
nation,England,E92000001,2022-01-10,115891,13173778,104839,12755302,11052,418476
nation,England,E92000001,2022-01-09,82836,13057887,75071,12650463,7765,407424
nation,England,E92000001,2022-01-08,81030,12975051,73537,12575392,7493,399659
nation,England,E92000001,2022-01-07,104752,12894021,94438,12501855,10314,392166
nation,England,E92000001,2022-01-06,150275,12789269,134382,12407417,15893,381852
nation,England,E92000001,2022-01-05,183210,12638994,163971,12273035,19239,365959
nation,England,E92000001,2022-01-04,234290,12455784,210051,12109064,24239,346720
nation,England,E92000001,2022-01-03,193076,12221494,172999,11899013,20077,322481
nation,England,E92000001,2022-01-02,148201,12028418,133583,11726014,14618,302404
nation,England,E92000001,2022-01-01,98761,11880217,89780,11592431,8981,287786
nation,England,E92000001,2021-12-31,152704,11781456,138765,11502651,13939,278805
nation,England,E92000001,2021-12-30,192465,11628752,174722,11363886,17743,264866
nation,England,E92000001,2021-12-29,223660,11436287,204105,11189164,19555,247123
nation,England,E92000001,2021-12-28,170338,11212627,155446,10985059,14892,227568
nation,England,E92000001,2021-12-27,155254,11042289,142276,10829613,12978,212676
nation,England,E92000001,2021-12-26,98780,10887035,91069,10687337,7711,199698
nation,England,E92000001,2021-12-25,59835,10788255,55492,10596268,4343,191987
nation,England,E92000001,2021-12-24,117392,10728420,107862,10540776,9530,187644
nation,England,E92000001,2021-12-23,136666,10611028,125113,10432914,11553,178114
nation,England,E92000001,2021-12-22,137806,10474362,126180,10307801,11626,166561
nation,England,E92000001,2021-12-21,129428,10336556,118856,10181621,10572,154935
nation,England,E92000001,2021-12-20,117342,10207128,108186,10062765,9156,144363
nation,England,E92000001,2021-12-19,78411,10089786,72640,9954579,5771,135207
nation,England,E92000001,2021-12-18,78818,10011375,73100,9881939,5718,129436
nation,England,E92000001,2021-12-17,84810,9932557,78483,9808839,6327,123718
nation,England,E92000001,2021-12-16,93663,9847747,86803,9730356,6860,117391
nation,England,E92000001,2021-12-15,99503,9754084,92451,9643553,7052,110531
nation,England,E92000001,2021-12-14,90608,9654581,84672,9551102,5936,103479
nation,England,E92000001,2021-12-13,76400,9563973,72398,9466430,4002,97543
nation,England,E92000001,2021-12-12,46283,9487573,44424,9394032,1859,93541
nation,England,E92000001,2021-12-11,41890,9441290,40468,9349608,1422,91682
nation,England,E92000001,2021-12-10,44942,9399400,43462,9309140,1480,90260
nation,England,E92000001,2021-12-09,48796,9354458,47224,9265678,1572,88780
nation,England,E92000001,2021-12-08,49966,9305662,48492,9218454,1474,87208
nation,England,E92000001,2021-12-07,48044,9255696,46801,9169962,1243,85734
nation,England,E92000001,2021-12-06,51014,9207652,49871,9123161,1143,84491
nation,England,E92000001,2021-12-05,34951,9156638,34370,9073290,581,83348
nation,England,E92000001,2021-12-04,33342,9121687,32801,9038920,541,82767
nation,England,E92000001,2021-12-03,39164,9088345,38565,9006119,599,82226
nation,England,E92000001,2021-12-02,42994,9049181,42342,8967554,652,81627
nation,England,E92000001,2021-12-01,47219,9006187,46516,8925212,703,80975
nation,England,E92000001,2021-11-30,47583,8958968,46894,8878696,689,80272
nation,England,E92000001,2021-11-29,47895,8911385,47144,8831802,751,79583
nation,England,E92000001,2021-11-28,33827,8863490,33370,8784658,457,78832
nation,England,E92000001,2021-11-27,28424,8829663,28043,8751288,381,78375
nation,England,E92000001,2021-11-26,33645,8801239,33194,8723245,451,77994
nation,England,E92000001,2021-11-25,37116,8767594,36559,8690051,557,77543
nation,England,E92000001,2021-11-24,39851,8730478,39287,8653492,564,76986
nation,England,E92000001,2021-11-23,40995,8690627,40458,8614205,537,76422
nation,England,E92000001,2021-11-22,42844,8649632,42288,8573747,556,75885
nation,England,E92000001,2021-11-21,31735,8606788,31332,8531459,403,75329
nation,England,E92000001,2021-11-20,29849,8575053,29481,8500127,368,74926
nation,England,E92000001,2021-11-19,33152,8545204,32746,8470646,406,74558
nation,England,E92000001,2021-11-18,37084,8512052,36591,8437900,493,74152
nation,England,E92000001,2021-11-17,38247,8474968,37760,8401309,487,73659
nation,England,E92000001,2021-11-16,38629,8436721,38082,8363549,547,73172
nation,England,E92000001,2021-11-15,42456,8398092,41870,8325467,586,72625
nation,England,E92000001,2021-11-14,29562,8355636,29207,8283597,355,72039
nation,England,E92000001,2021-11-13,27335,8326074,27019,8254390,316,71684
nation,England,E92000001,2021-11-12,31313,8298739,30895,8227371,418,71368
nation,England,E92000001,2021-11-11,33672,8267426,33204,8196476,468,70950
nation,England,E92000001,2021-11-10,35363,8233754,34885,8163272,478,70482
nation,England,E92000001,2021-11-09,34662,8198391,34186,8128387,476,70004
nation,England,E92000001,2021-11-08,36130,8163729,35599,8094201,531,69528
nation,England,E92000001,2021-11-07,25426,8127599,25085,8058602,341,68997
nation,England,E92000001,2021-11-06,22568,8102173,22266,8033517,302,68656
nation,England,E92000001,2021-11-05,24388,8079605,24029,8011251,359,68354
nation,England,E92000001,2021-11-04,27357,8055217,27010,7987222,347,67995
nation,England,E92000001,2021-11-03,29362,8027860,28982,7960212,380,67648
nation,England,E92000001,2021-11-02,31305,7998498,30890,7931230,415,67268
nation,England,E92000001,2021-11-01,37633,7967193,37089,7900340,544,66853
nation,England,E92000001,2021-10-31,29530,7929560,29131,7863251,399,66309
nation,England,E92000001,2021-10-30,28208,7900030,27913,7834120,295,65910
nation,England,E92000001,2021-10-29,33973,7871822,33538,7806207,435,65615
nation,England,E92000001,2021-10-28,35051,7837849,34620,7772669,431,65180
nation,England,E92000001,2021-10-27,36509,7802798,36088,7738049,421,64749
nation,England,E92000001,2021-10-26,35249,7766289,34833,7701961,416,64328
nation,England,E92000001,2021-10-25,39936,7731040,39437,7667128,499,63912
nation,England,E92000001,2021-10-24,30070,7691104,29729,7627691,341,63413
nation,England,E92000001,2021-10-23,29728,7661034,29403,7597962,325,63072
nation,England,E92000001,2021-10-22,34491,7631306,34074,7568559,417,62747
nation,England,E92000001,2021-10-21,38562,7596815,38094,7534485,468,62330
nation,England,E92000001,2021-10-20,43932,7558253,43448,7496391,484,61862
nation,England,E92000001,2021-10-19,44597,7514321,44075,7452943,522,61378
nation,England,E92000001,2021-10-18,49225,7469724,48623,7408868,602,60856
nation,England,E92000001,2021-10-17,37478,7420499,37094,7360245,384,60254
nation,England,E92000001,2021-10-16,31623,7383021,31281,7323151,342,59870
nation,England,E92000001,2021-10-15,36605,7351398,36225,7291870,380,59528
nation,England,E92000001,2021-10-14,39244,7314793,38759,7255645,485,59148
nation,England,E92000001,2021-10-13,40532,7275549,40079,7216886,453,58663
nation,England,E92000001,2021-10-12,40861,7235017,40361,7176807,500,58210
nation,England,E92000001,2021-10-11,43085,7194156,42627,7136446,458,57710
nation,England,E92000001,2021-10-10,31486,7151071,31148,7093819,338,57252
nation,England,E92000001,2021-10-09,27167,7119585,26852,7062671,315,56914
nation,England,E92000001,2021-10-08,29831,7092418,29478,7035819,353,56599
nation,England,E92000001,2021-10-07,32155,7062587,31788,7006341,367,56246
nation,England,E92000001,2021-10-06,32535,7030432,32164,6974553,371,55879
nation,England,E92000001,2021-10-05,32249,6997897,31857,6942389,392,55508
