areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E92000001,England,nation,2021-07-14,00_04,0,0,0.0
E92000001,England,nation,2021-07-14,00_59,4,33,0.1
E92000001,England,nation,2021-07-14,05_09,0,0,0.0
E92000001,England,nation,2021-07-14,10_14,0,0,0.0
E92000001,England,nation,2021-07-14,15_19,0,0,0.0
E92000001,England,nation,2021-07-14,20_24,1,1,0.0
E92000001,England,nation,2021-07-14,25_29,0,1,0.0
E92000001,England,nation,2021-07-14,30_34,0,2,0.1
E92000001,England,nation,2021-07-14,35_39,1,2,0.1
E92000001,England,nation,2021-07-14,40_44,0,4,0.1
E92000001,England,nation,2021-07-14,45_49,1,3,0.1
E92000001,England,nation,2021-07-14,50_54,1,10,0.3
E92000001,England,nation,2021-07-14,55_59,0,10,0.3
E92000001,England,nation,2021-07-14,60+,21,172,1.3
E92000001,England,nation,2021-07-14,60_64,2,10,0.3
E92000001,England,nation,2021-07-14,65_69,2,19,0.7
E92000001,England,nation,2021-07-14,70_74,2,22,0.8
E92000001,England,nation,2021-07-14,75_79,6,40,2.1
E92000001,England,nation,2021-07-14,80_84,4,31,2.2
E92000001,England,nation,2021-07-14,85_89,2,23,2.6
E92000001,England,nation,2021-07-14,90+,3,27,5.2
E92000001,England,nation,2021-07-13,00_04,0,0,0.0
E92000001,England,nation,2021-07-13,00_59,5,32,0.1
E92000001,England,nation,2021-07-13,05_09,0,0,0.0
E92000001,England,nation,2021-07-13,10_14,0,0,0.0
E92000001,England,nation,2021-07-13,15_19,0,0,0.0
E92000001,England,nation,2021-07-13,20_24,0,0,0.0
E92000001,England,nation,2021-07-13,25_29,0,1,0.0
E92000001,England,nation,2021-07-13,30_34,1,2,0.1
E92000001,England,nation,2021-07-13,35_39,0,1,0.0
E92000001,England,nation,2021-07-13,40_44,0,4,0.1
E92000001,England,nation,2021-07-13,45_49,0,2,0.1
E92000001,England,nation,2021-07-13,50_54,2,10,0.3
E92000001,England,nation,2021-07-13,55_59,2,12,0.3
E92000001,England,nation,2021-07-13,60+,29,170,1.3
E92000001,England,nation,2021-07-13,60_64,1,9,0.3
E92000001,England,nation,2021-07-13,65_69,3,20,0.7
E92000001,England,nation,2021-07-13,70_74,4,22,0.8
E92000001,England,nation,2021-07-13,75_79,8,36,1.9
E92000001,England,nation,2021-07-13,80_84,5,30,2.1
E92000001,England,nation,2021-07-13,85_89,4,25,2.8
E92000001,England,nation,2021-07-13,90+,4,28,5.4
E92000001,England,nation,2021-07-12,00_04,0,0,0.0
E92000001,England,nation,2021-07-12,00_59,2,29,0.1
E92000001,England,nation,2021-07-12,05_09,0,0,0.0
E92000001,England,nation,2021-07-12,10_14,0,0,0.0
E92000001,England,nation,2021-07-12,15_19,0,0,0.0
E92000001,England,nation,2021-07-12,20_24,0,0,0.0
E92000001,England,nation,2021-07-12,25_29,0,1,0.0
E92000001,England,nation,2021-07-12,30_34,0,1,0.0
E92000001,England,nation,2021-07-12,35_39,0,1,0.0
E92000001,England,nation,2021-07-12,40_44,1,5,0.1
E92000001,England,nation,2021-07-12,45_49,0,2,0.1
E92000001,England,nation,2021-07-12,50_54,1,8,0.2
E92000001,England,nation,2021-07-12,55_59,0,11,0.3
E92000001,England,nation,2021-07-12,60+,27,156,1.2
E92000001,England,nation,2021-07-12,60_64,1,9,0.3
E92000001,England,nation,2021-07-12,65_69,6,19,0.7
E92000001,England,nation,2021-07-12,70_74,1,18,0.6
E92000001,England,nation,2021-07-12,75_79,6,29,1.5
E92000001,England,nation,2021-07-12,80_84,5,29,2.0
E92000001,England,nation,2021-07-12,85_89,3,26,3.0
E92000001,England,nation,2021-07-12,90+,5,26,5.0
E92000001,England,nation,2021-07-11,00_04,0,0,0.0
