level,prevalence_r9,lower_r9,upper_r9,prevalence_r9a,lower_r9a,upper_r9a,prevalence_r9b,lower_r9b,upper_r9b
Health care workers with direct patient contact,0.008672121,0.005493505,0.013664658,0.009758593,0.006121911,0.015521882,0.007981346,0.003855569,0.016449143
Health care workers with no patient contact,0.003218352,0.001627851,0.006352969,0.005161379,0.002247486,0.011808461,0.001626463,0.000506793,0.005206955
Care home workers with direct contact with clients,0.004174274,0.001473661,0.011765682,0.005020557,0.001122291,0.022159015,0.00359815,0.000835715,0.015351463
Care home workers without contact with clients,0.010689265,0.002939096,0.038095199,0.02824922,0.006193917,0.119403328,2.68E-12,2.02E-12,3.56E-12
Other essential/key workers,0.005536009,0.004501536,0.006806583,0.006285636,0.00480441,0.00821976,0.004940103,0.003604861,0.00676656
None of these,0.004466495,0.003915936,0.005094063,0.004606019,0.003825772,0.005544508,0.004307356,0.003582032,0.005178787
Don't know,0.004293537,0.002003497,0.009177073,0.005671807,0.002492888,0.012852239,0.003376942,0.000893728,0.012672229
WT1 - NA,0.006556417,0.004267129,0.010061483,0.004540058,0.002729243,0.007543238,0.009385657,0.004985582,0.017600371
No,0.004709154,0.004216304,0.005259309,0.004982219,0.004275034,0.005805705,0.004423761,0.003771404,0.005188372
Yes,0.004523876,0.001602089,0.012706415,0.002419228,0.000752651,0.00774745,0.006287081,0.001677398,0.023269435
WT2_1 - NA,0.006556417,0.004267129,0.010061483,0.004540058,0.002729243,0.007543238,0.009385657,0.004985582,0.017600371
WT2_No,0.007149246,0.004860092,0.010505234,0.008586582,0.005858926,0.012568059,0.00618286,0.003203678,0.01189939
No,0.004623426,0.004132369,0.005172534,0.004852639,0.004144522,0.005681051,0.004382609,0.003737728,0.00513818
Yes,0.006631107,0.00395589,0.011095319,0.00750662,0.004192592,0.013404956,0.005882905,0.002453526,0.014038193
WT2_2 - NA,0.006556417,0.004267129,0.010061483,0.004540058,0.002729243,0.007543238,0.009385657,0.004985582,0.017600371
WT2_No,0.007149246,0.004860092,0.010505234,0.008586582,0.005858926,0.012568059,0.00618286,0.003203678,0.01189939
No,0.004697546,0.004204217,0.005248457,0.004977805,0.004269131,0.005803431,0.004405221,0.003753135,0.005170016
Yes,0.005257024,0.00232324,0.011851574,0.003363672,0.001150346,0.009793796,0.00715982,0.002404639,0.02111932
WT2_10 - NA,0.006556417,0.004267129,0.010061483,0.004540058,0.002729243,0.007543238,0.009385657,0.004985582,0.017600371
WT2_No,0.007149246,0.004860092,0.010505234,0.008586582,0.005858926,0.012568059,0.00618286,0.003203678,0.01189939
No,0.00472176,0.004229231,0.005271344,0.004975199,0.004271393,0.005794298,0.004457669,0.003802017,0.005225794
Yes,0.002225454,0.000467164,0.010531786,0.001072049,0.000149412,0.007648485,0.003401585,0.000473452,0.024004262
WT2_11 - NA,0.006556417,0.004267129,0.010061483,0.004540058,0.002729243,0.007543238,0.009385657,0.004985582,0.017600371
WT2_No,0.007149246,0.004860092,0.010505234,0.008586582,0.005858926,0.012568059,0.00618286,0.003203678,0.01189939
No,0.004678207,0.004187911,0.005225604,0.00486755,0.004172395,0.005677862,0.004480772,0.003821929,0.00525259
Yes,0.007812573,0.003057331,0.019816899,0.01473166,0.005288758,0.040350625,0.001410741,0.000350338,0.005662593
WT2_3 - NA,0.006556417,0.004267129,0.010061483,0.004540058,0.002729243,0.007543238,0.009385657,0.004985582,0.017600371
WT2_No,0.007149246,0.004860092,0.010505234,0.008586582,0.005858926,0.012568059,0.00618286,0.003203678,0.01189939
No,0.004614062,0.004127533,0.005157642,0.004914718,0.004214293,0.005730886,0.004300088,0.003659112,0.005052775
Yes,0.014196848,0.007232197,0.027681489,0.009160502,0.002969013,0.0279022,0.018541885,0.008030019,0.042228728
WT2_4 - NA,0.006556417,0.004267129,0.010061483,0.004540058,0.002729243,0.007543238,0.009385657,0.004985582,0.017600371
WT2_No,0.007149246,0.004860092,0.010505234,0.008586582,0.005858926,0.012568059,0.00618286,0.003203678,0.01189939
No,0.004553366,0.004054759,0.00511297,0.004682559,0.003986338,0.005499705,0.004416599,0.003736532,0.005219792
Yes,0.007280011,0.005174313,0.010233811,0.010304806,0.006410174,0.016526343,0.004949834,0.003131263,0.00781631
WT2_5 - NA,0.006556417,0.004267129,0.010061483,0.004540058,0.002729243,0.007543238,0.009385657,0.004985582,0.017600371
WT2_No,0.007149246,0.004860092,0.010505234,0.008586582,0.005858926,0.012568059,0.00618286,0.003203678,0.01189939
No,0.004711762,0.004219927,0.005260618,0.004937019,0.004235911,0.005753501,0.004477014,0.003820363,0.005245938
Yes,0.003786581,0.000909836,0.015616917,0.007807778,0.001864469,0.032087342,2.72E-12,2.42E-12,3.06E-12
WT2_12 - NA,0.006556417,0.004267129,0.010061483,0.004540058,0.002729243,0.007543238,0.009385657,0.004985582,0.017600371
WT2_No,0.007149246,0.004860092,0.010505234,0.008586582,0.005858926,0.012568059,0.00618286,0.003203678,0.01189939
No,0.004705491,0.004214961,0.005252807,0.004942431,0.004242312,0.005757425,0.004458538,0.003804592,0.005224297
Yes,0.005588501,0.001242926,0.024750772,0.013513008,0.00281116,0.062406216,2.66E-12,2.07E-12,3.41E-12
WT2_6 - NA,0.006556417,0.004267129,0.010061483,0.004540058,0.002729243,0.007543238,0.009385657,0.004985582,0.017600371
WT2_No,0.007149246,0.004860092,0.010505234,0.008586582,0.005858926,0.012568059,0.00618286,0.003203678,0.01189939
No,0.004583219,0.004081917,0.005145767,0.004869173,0.004151972,0.00570955,0.004275767,0.003613434,0.005058888
Yes,0.006129318,0.004326091,0.008677625,0.006126534,0.003641101,0.010291011,0.006131342,0.003836989,0.009784144
WT2_7 - NA,0.006556417,0.004267129,0.010061483,0.004540058,0.002729243,0.007543238,0.009385657,0.004985582,0.017600371
WT2_No,0.007149246,0.004860092,0.010505234,0.008586582,0.005858926,0.012568059,0.00618286,0.003203678,0.01189939
No,0.004485286,0.003970907,0.005065958,0.004852994,0.004102566,0.005739896,0.004082277,0.003425535,0.004864314
Yes,0.006296244,0.004889353,0.008104666,0.005831182,0.004297852,0.007907208,0.006639243,0.004603332,0.009566919
WT2_8 - NA,0.006556417,0.004267129,0.010061483,0.004540058,0.002729243,0.007543238,0.009385657,0.004985582,0.017600371
WT2_No,0.007149246,0.004860092,0.010505234,0.008586582,0.005858926,0.012568059,0.00618286,0.003203678,0.01189939
No,0.006412998,0.005480222,0.007503341,0.006881265,0.005576475,0.008488746,0.006048482,0.004801691,0.007616533
Yes,0.003810582,0.003267657,0.004443312,0.00414157,0.003345884,0.005125506,0.003408356,0.002752486,0.004219847
WT2_9 - NA,0.006556417,0.004267129,0.010061483,0.004540058,0.002729243,0.007543238,0.009385657,0.004985582,0.017600371
WT2_No,0.007149246,0.004860092,0.010505234,0.008586582,0.005858926,0.012568059,0.00618286,0.003203678,0.01189939
English/Welsh/Scottish/Northern Irish/British,0.004141155,0.003709565,0.004622725,0.004588411,0.003994965,0.005269545,0.003627681,0.003030152,0.004342525
Irish,0.004831135,0.002105141,0.011047999,0.007760428,0.003101732,0.019280994,0.00164128,0.000229604,0.011631414
Gypsy or Irish Traveller,7.42E-12,3.18E-12,1.73E-11,7.49E-12,2.56E-12,2.19E-11,7.33E-12,NA,NA
Other white background,0.009488245,0.007094807,0.012678799,0.009822434,0.006702884,0.014372827,0.009215001,0.005990981,0.014149315
Indian,0.007232667,0.00474418,0.011012009,0.005750942,0.002665696,0.012362754,0.008075157,0.004874151,0.013350158
Pakistani,0.020816337,0.010199547,0.042015132,0.034124557,0.012484178,0.089863334,0.012923425,0.005038554,0.032741346
Bangladeshi,0.007322617,0.002257903,0.023480651,0.008124427,0.00109854,0.057498937,0.006937464,0.001595674,0.029631073
Chinese,0.001167021,0.00016346,0.008280891,0.002835767,0.000393083,0.020151677,2.71E-12,2.39E-12,3.07E-12
Other Asian background,0.005492961,0.00288189,0.010444954,0.003521173,0.001107776,0.01113378,0.006627641,0.00308181,0.014195098
African,0.010244466,0.004711178,0.022132097,0.00091415,0.00012716,0.006539925,0.013701333,0.006196817,0.030019498
Caribbean,0.000540051,7.54E-05,0.003855521,2.69E-12,2.27E-12,3.19E-12,0.000875309,0.000121408,0.006281275
Other Black/African/Caribbean background,0.012112566,0.002860851,0.049789494,2.75E-12,1.94E-12,3.91E-12,0.017694093,0.004055081,0.073807446
White and Black Caribbean,0.002727827,0.000380966,0.019253571,2.66E-12,2.26E-12,3.14E-12,0.005164629,0.000710727,0.036509961
White and Black African,2.71E-12,2.37E-12,3.10E-12,2.72E-12,2.20E-12,3.35E-12,2.71E-12,2.25E-12,3.25E-12
White and Asian,0.005817496,0.001694421,0.019774619,0.002373673,0.000499568,0.011199607,0.009070152,0.002039234,0.039385715
