areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E92000001,England,nation,2022-05-15,00_04,0,0,0.0
E92000001,England,nation,2022-05-15,00_59,5,35,0.1
E92000001,England,nation,2022-05-15,05_09,0,0,0.0
E92000001,England,nation,2022-05-15,10_14,0,0,0.0
E92000001,England,nation,2022-05-15,15_19,0,1,0.0
E92000001,England,nation,2022-05-15,20_24,0,0,0.0
E92000001,England,nation,2022-05-15,25_29,0,1,0.0
E92000001,England,nation,2022-05-15,30_34,0,2,0.1
E92000001,England,nation,2022-05-15,35_39,0,0,0.0
E92000001,England,nation,2022-05-15,40_44,1,3,0.1
E92000001,England,nation,2022-05-15,45_49,0,4,0.1
E92000001,England,nation,2022-05-15,50_54,3,11,0.3
E92000001,England,nation,2022-05-15,55_59,1,13,0.3
E92000001,England,nation,2022-05-15,60+,68,581,4.3
E92000001,England,nation,2022-05-15,60_64,1,17,0.5
E92000001,England,nation,2022-05-15,65_69,5,42,1.5
E92000001,England,nation,2022-05-15,70_74,12,66,2.3
E92000001,England,nation,2022-05-15,75_79,9,73,3.6
E92000001,England,nation,2022-05-15,80_84,8,104,7.2
E92000001,England,nation,2022-05-15,85_89,16,132,14.9
E92000001,England,nation,2022-05-15,90+,17,147,28.2
E92000001,England,nation,2022-05-14,00_04,0,0,0.0
E92000001,England,nation,2022-05-14,00_59,2,34,0.1
E92000001,England,nation,2022-05-14,05_09,0,0,0.0
E92000001,England,nation,2022-05-14,10_14,0,0,0.0
E92000001,England,nation,2022-05-14,15_19,0,1,0.0
E92000001,England,nation,2022-05-14,20_24,0,0,0.0
E92000001,England,nation,2022-05-14,25_29,0,1,0.0
E92000001,England,nation,2022-05-14,30_34,0,2,0.1
E92000001,England,nation,2022-05-14,35_39,0,0,0.0
E92000001,England,nation,2022-05-14,40_44,2,3,0.1
E92000001,England,nation,2022-05-14,45_49,0,5,0.1
E92000001,England,nation,2022-05-14,50_54,0,8,0.2
E92000001,England,nation,2022-05-14,55_59,0,14,0.4
E92000001,England,nation,2022-05-14,60+,72,613,4.5
E92000001,England,nation,2022-05-14,60_64,1,23,0.7
E92000001,England,nation,2022-05-14,65_69,5,38,1.4
E92000001,England,nation,2022-05-14,70_74,5,66,2.3
E92000001,England,nation,2022-05-14,75_79,8,81,4.0
E92000001,England,nation,2022-05-14,80_84,19,113,7.8
E92000001,England,nation,2022-05-14,85_89,15,133,15.0
E92000001,England,nation,2022-05-14,90+,19,159,30.5
E92000001,England,nation,2022-05-13,00_04,0,0,0.0
E92000001,England,nation,2022-05-13,00_59,4,36,0.1
E92000001,England,nation,2022-05-13,05_09,0,0,0.0
E92000001,England,nation,2022-05-13,10_14,0,0,0.0
E92000001,England,nation,2022-05-13,15_19,0,1,0.0
E92000001,England,nation,2022-05-13,20_24,0,0,0.0
E92000001,England,nation,2022-05-13,25_29,0,1,0.0
E92000001,England,nation,2022-05-13,30_34,0,2,0.1
E92000001,England,nation,2022-05-13,35_39,0,0,0.0
E92000001,England,nation,2022-05-13,40_44,0,2,0.1
E92000001,England,nation,2022-05-13,45_49,1,7,0.2
E92000001,England,nation,2022-05-13,50_54,0,8,0.2
E92000001,England,nation,2022-05-13,55_59,3,15,0.4
E92000001,England,nation,2022-05-13,60+,75,653,4.8
E92000001,England,nation,2022-05-13,60_64,2,24,0.8
E92000001,England,nation,2022-05-13,65_69,4,41,1.5
E92000001,England,nation,2022-05-13,70_74,8,70,2.5
E92000001,England,nation,2022-05-13,75_79,10,96,4.8
E92000001,England,nation,2022-05-13,80_84,10,110,7.6
E92000001,England,nation,2022-05-13,85_89,22,144,16.3
E92000001,England,nation,2022-05-13,90+,19,168,32.2
E92000001,England,nation,2022-05-12,00_04,0,0,0.0
E92000001,England,nation,2022-05-12,00_59,6,41,0.1
E92000001,England,nation,2022-05-12,05_09,0,0,0.0
E92000001,England,nation,2022-05-12,10_14,0,0,0.0
E92000001,England,nation,2022-05-12,15_19,0,1,0.0
E92000001,England,nation,2022-05-12,20_24,0,0,0.0
E92000001,England,nation,2022-05-12,25_29,0,3,0.1
E92000001,England,nation,2022-05-12,30_34,0,3,0.1
E92000001,England,nation,2022-05-12,35_39,0,0,0.0
E92000001,England,nation,2022-05-12,40_44,0,2,0.1
E92000001,England,nation,2022-05-12,45_49,1,6,0.2
E92000001,England,nation,2022-05-12,50_54,2,10,0.3
E92000001,England,nation,2022-05-12,55_59,3,16,0.4
E92000001,England,nation,2022-05-12,60+,89,688,5.0
E92000001,England,nation,2022-05-12,60_64,4,22,0.7
E92000001,England,nation,2022-05-12,65_69,2,42,1.5
E92000001,England,nation,2022-05-12,70_74,12,73,2.6
E92000001,England,nation,2022-05-12,75_79,15,100,5.0
E92000001,England,nation,2022-05-12,80_84,16,124,8.6
E92000001,England,nation,2022-05-12,85_89,18,143,16.2
E92000001,England,nation,2022-05-12,90+,22,184,35.3
E92000001,England,nation,2022-05-11,00_04,0,0,0.0
E92000001,England,nation,2022-05-11,00_59,6,41,0.1
E92000001,England,nation,2022-05-11,05_09,0,0,0.0
E92000001,England,nation,2022-05-11,10_14,0,0,0.0
E92000001,England,nation,2022-05-11,15_19,0,1,0.0
E92000001,England,nation,2022-05-11,20_24,0,0,0.0
E92000001,England,nation,2022-05-11,25_29,1,4,0.1
E92000001,England,nation,2022-05-11,30_34,0,3,0.1
E92000001,England,nation,2022-05-11,35_39,0,1,0.0
E92000001,England,nation,2022-05-11,40_44,0,2,0.1
E92000001,England,nation,2022-05-11,45_49,1,5,0.1
E92000001,England,nation,2022-05-11,50_54,3,10,0.3
E92000001,England,nation,2022-05-11,55_59,1,15,0.4
E92000001,England,nation,2022-05-11,60+,82,706,5.2
E92000001,England,nation,2022-05-11,60_64,3,21,0.7
E92000001,England,nation,2022-05-11,65_69,5,45,1.6
E92000001,England,nation,2022-05-11,70_74,10,73,2.6
E92000001,England,nation,2022-05-11,75_79,8,99,4.9
E92000001,England,nation,2022-05-11,80_84,14,134,9.2
E92000001,England,nation,2022-05-11,85_89,18,144,16.3
E92000001,England,nation,2022-05-11,90+,24,190,36.5
E92000001,England,nation,2022-05-10,00_04,0,0,0.0
E92000001,England,nation,2022-05-10,00_59,6,41,0.1
E92000001,England,nation,2022-05-10,05_09,0,0,0.0
E92000001,England,nation,2022-05-10,10_14,0,0,0.0
E92000001,England,nation,2022-05-10,15_19,1,1,0.0
E92000001,England,nation,2022-05-10,20_24,0,0,0.0
E92000001,England,nation,2022-05-10,25_29,0,3,0.1
E92000001,England,nation,2022-05-10,30_34,1,3,0.1
E92000001,England,nation,2022-05-10,35_39,0,1,0.0
E92000001,England,nation,2022-05-10,40_44,0,3,0.1
E92000001,England,nation,2022-05-10,45_49,1,4,0.1
E92000001,England,nation,2022-05-10,50_54,1,9,0.2
E92000001,England,nation,2022-05-10,55_59,2,17,0.5
E92000001,England,nation,2022-05-10,60+,99,741,5.4
E92000001,England,nation,2022-05-10,60_64,4,21,0.7
E92000001,England,nation,2022-05-10,65_69,10,46,1.7
E92000001,England,nation,2022-05-10,70_74,9,78,2.8
E92000001,England,nation,2022-05-10,75_79,9,108,5.4
E92000001,England,nation,2022-05-10,80_84,21,145,10.0
E92000001,England,nation,2022-05-10,85_89,20,146,16.5
E92000001,England,nation,2022-05-10,90+,26,197,37.8
E92000001,England,nation,2022-05-09,00_04,0,0,0.0
E92000001,England,nation,2022-05-09,00_59,6,46,0.1
E92000001,England,nation,2022-05-09,05_09,0,0,0.0
E92000001,England,nation,2022-05-09,10_14,0,1,0.0
E92000001,England,nation,2022-05-09,15_19,0,1,0.0
E92000001,England,nation,2022-05-09,20_24,0,1,0.0
E92000001,England,nation,2022-05-09,25_29,0,3,0.1
E92000001,England,nation,2022-05-09,30_34,1,3,0.1
E92000001,England,nation,2022-05-09,35_39,0,2,0.1
E92000001,England,nation,2022-05-09,40_44,0,4,0.1
E92000001,England,nation,2022-05-09,45_49,0,5,0.1
E92000001,England,nation,2022-05-09,50_54,2,9,0.2
E92000001,England,nation,2022-05-09,55_59,3,17,0.5
E92000001,England,nation,2022-05-09,60+,96,750,5.5
E92000001,England,nation,2022-05-09,60_64,2,18,0.6
E92000001,England,nation,2022-05-09,65_69,11,48,1.7
E92000001,England,nation,2022-05-09,70_74,10,80,2.8
E92000001,England,nation,2022-05-09,75_79,14,109,5.4
E92000001,England,nation,2022-05-09,80_84,16,139,9.6
E92000001,England,nation,2022-05-09,85_89,23,154,17.4
E92000001,England,nation,2022-05-09,90+,20,202,38.8
E92000001,England,nation,2022-05-08,00_04,0,0,0.0
E92000001,England,nation,2022-05-08,00_59,4,54,0.1
E92000001,England,nation,2022-05-08,05_09,0,0,0.0
E92000001,England,nation,2022-05-08,10_14,0,1,0.0
E92000001,England,nation,2022-05-08,15_19,0,1,0.0
E92000001,England,nation,2022-05-08,20_24,0,2,0.1
E92000001,England,nation,2022-05-08,25_29,0,3,0.1
E92000001,England,nation,2022-05-08,30_34,0,2,0.1
E92000001,England,nation,2022-05-08,35_39,0,3,0.1
E92000001,England,nation,2022-05-08,40_44,1,5,0.1
E92000001,England,nation,2022-05-08,45_49,1,7,0.2
E92000001,England,nation,2022-05-08,50_54,0,14,0.4
E92000001,England,nation,2022-05-08,55_59,2,16,0.4
E92000001,England,nation,2022-05-08,60+,100,777,5.7
E92000001,England,nation,2022-05-08,60_64,7,19,0.6
E92000001,England,nation,2022-05-08,65_69,1,41,1.5
E92000001,England,nation,2022-05-08,70_74,12,81,2.9
E92000001,England,nation,2022-05-08,75_79,17,116,5.8
E92000001,England,nation,2022-05-08,80_84,17,150,10.4
E92000001,England,nation,2022-05-08,85_89,17,162,18.3
E92000001,England,nation,2022-05-08,90+,29,208,39.9
E92000001,England,nation,2022-05-07,00_04,0,1,0.0
E92000001,England,nation,2022-05-07,00_59,4,64,0.1
E92000001,England,nation,2022-05-07,05_09,0,0,0.0
E92000001,England,nation,2022-05-07,10_14,0,1,0.0
E92000001,England,nation,2022-05-07,15_19,0,1,0.0
E92000001,England,nation,2022-05-07,20_24,0,2,0.1
E92000001,England,nation,2022-05-07,25_29,0,3,0.1
E92000001,England,nation,2022-05-07,30_34,0,5,0.1
E92000001,England,nation,2022-05-07,35_39,0,3,0.1
E92000001,England,nation,2022-05-07,40_44,1,5,0.1
E92000001,England,nation,2022-05-07,45_49,2,11,0.3
E92000001,England,nation,2022-05-07,50_54,0,14,0.4
E92000001,England,nation,2022-05-07,55_59,1,18,0.5
E92000001,England,nation,2022-05-07,60+,112,815,6.0
E92000001,England,nation,2022-05-07,60_64,2,15,0.5
E92000001,England,nation,2022-05-07,65_69,8,48,1.7
E92000001,England,nation,2022-05-07,70_74,9,84,3.0
E92000001,England,nation,2022-05-07,75_79,23,125,6.2
E92000001,England,nation,2022-05-07,80_84,16,157,10.8
E92000001,England,nation,2022-05-07,85_89,26,175,19.8
E92000001,England,nation,2022-05-07,90+,28,211,40.5
E92000001,England,nation,2022-05-06,00_04,0,1,0.0
E92000001,England,nation,2022-05-06,00_59,9,68,0.2
E92000001,England,nation,2022-05-06,05_09,0,0,0.0
E92000001,England,nation,2022-05-06,10_14,0,1,0.0
E92000001,England,nation,2022-05-06,15_19,0,1,0.0
E92000001,England,nation,2022-05-06,20_24,0,2,0.1
E92000001,England,nation,2022-05-06,25_29,2,3,0.1
E92000001,England,nation,2022-05-06,30_34,1,5,0.1
E92000001,England,nation,2022-05-06,35_39,0,3,0.1
E92000001,England,nation,2022-05-06,40_44,0,4,0.1
E92000001,England,nation,2022-05-06,45_49,0,9,0.2
E92000001,England,nation,2022-05-06,50_54,2,19,0.5
E92000001,England,nation,2022-05-06,55_59,4,20,0.5
E92000001,England,nation,2022-05-06,60+,110,856,6.3
E92000001,England,nation,2022-05-06,60_64,0,20,0.6
E92000001,England,nation,2022-05-06,65_69,5,51,1.8
E92000001,England,nation,2022-05-06,70_74,11,91,3.2
E92000001,England,nation,2022-05-06,75_79,14,121,6.0
E92000001,England,nation,2022-05-06,80_84,24,166,11.5
E92000001,England,nation,2022-05-06,85_89,21,186,21.0
