"Variable","Category","Positive_r1","Total_r1","Prevalence_r1","Lower_r1","Upper_r1","Positive_r2","Total_r2","Prevalence_r2","Lower_r2","Upper_r2","Positive_r3","Total_r3","Prevalence_r3","Lower_r3","Upper_r3","Positive_r4","Total_r4","Prevalence_r4","Lower_r4","Upper_r4","Positive_r5","Total_r5","Prevalence_r5","Lower_r5","Upper_r5","Positive_r6","Total_r6","Prevalence_r6","Lower_r6","Upper_r6","Positive_r6a","Total_r6a","Prevalence_r6a","Lower_r6a","Upper_r6a","Positive_r6b","Total_r6b","Prevalence_r6b","Lower_r6b","Upper_r6b","Positive_r7","Total_r7","Prevalence_r7","Lower_r7","Upper_r7","Positive_r7a","Total_r7a","Prevalence_r7a","Lower_r7a","Upper_r7a","Positive_r7b","Total_r7b","Prevalence_r7b","Lower_r7b","Upper_r7b","Positive_r8","Total_r8","Prevalence_r8","Lower_r8","Upper_r8","Positive_r8a","Total_r8a","Prevalence_r8a","Lower_r8a","Upper_r8a","Positive_r8b","Total_r8b","Prevalence_r8b","Lower_r8b","Upper_r8b","Positive_all","Total_all","Prevalence_all","Lower_all","Upper_all"
"age_group_char","65+",18,24552,0.000733,0.000464,0.001159,23,37043,0.000621,0.000414,0.000932,15,42461,0.000353,0.000214,0.000583,17,40463,0.00042,0.000262,0.000673,143,43944,0.003254,0.002763,0.003832,320,41110,0.007784,0.006979,0.008681,196,26150,0.007495,0.00652,0.008615,124,14960,0.008289,0.006957,0.009873,196,45634,0.004295,0.003735,0.004938,139,31300,0.004441,0.003763,0.005241,57,14334,0.003977,0.003071,0.005148,382,43449,0.008792,0.007957,0.009714,358,40182,0.008909,0.008036,0.009876,24,3267,0.007346,0.004942,0.010908,1692,407739,0.00415,0.003957,0.004352
"region","South East",41,27145,0.00151,0.001114,0.002048,21,34748,0.000604,0.000395,0.000924,7,36118,0.000194,9.4e-05,4e-04,20,34877,0.000573,0.000371,0.000886,104,39496,0.002633,0.002174,0.003189,244,36164,0.006747,0.005954,0.007645,106,19367,0.005473,0.004528,0.006615,138,16797,0.008216,0.006959,0.009698,254,38296,0.006633,0.005868,0.007496,162,23996,0.006751,0.005791,0.007869,92,14300,0.006434,0.005249,0.007883,578,39156,0.014761,0.013614,0.016004,517,33980,0.015215,0.013967,0.016572,61,5176,0.011785,0.009186,0.015108,2101,363452,0.005781,0.005539,0.006032
"region","North East",5,4511,0.001108,0.000474,0.002592,1,5920,0.000169,3e-05,0.000956,1,5787,0.000173,3.1e-05,0.000978,9,5715,0.001575,0.000829,0.00299,61,6702,0.009102,0.007093,0.011673,89,5846,0.015224,0.012389,0.018696,45,3322,0.013546,0.010139,0.018077,44,2524,0.017433,0.013012,0.02332,53,5673,0.009342,0.00715,0.012199,25,3403,0.007346,0.004981,0.010823,28,2270,0.012335,0.008548,0.01777,62,5731,0.010818,0.008449,0.013843,55,4974,0.011057,0.008505,0.014364,7,757,0.009247,0.004486,0.018963,396,57289,0.006912,0.006266,0.007625
"region","North West",24,15645,0.001534,0.001031,0.002282,16,18615,0.00086,0.000529,0.001396,10,19577,0.000511,0.000277,0.00094,29,17214,0.001685,0.001173,0.002418,199,19468,0.010222,0.008902,0.011735,372,17866,0.020822,0.018829,0.023021,192,10035,0.019133,0.016631,0.022003,180,7831,0.022986,0.019893,0.026546,157,18337,0.008562,0.007327,0.010002,109,11776,0.009256,0.007679,0.011153,48,6561,0.007316,0.005523,0.009686,220,17917,0.012279,0.010768,0.013999,196,15617,0.01255,0.01092,0.01442,24,2300,0.010435,0.007022,0.01548,1404,180893,0.007761,0.007367,0.008176
"region","Yorkshire and The Humber",7,7775,9e-04,0.000436,0.001857,6,10312,0.000582,0.000267,0.001269,6,10920,0.000549,0.000252,0.001198,17,10114,0.001681,0.00105,0.00269,74,11658,0.006348,0.00506,0.007961,189,10697,0.017669,0.01534,0.020344,113,6179,0.018288,0.015234,0.02194,76,4518,0.016822,0.013461,0.021003,107,11288,0.009479,0.007851,0.011441,69,7355,0.009381,0.00742,0.011855,38,3933,0.009662,0.007047,0.013233,93,10665,0.00872,0.007124,0.01067,86,9472,0.009079,0.007358,0.011199,7,1193,0.005868,0.002845,0.012062,699,105382,0.006633,0.006161,0.007141
"region","East Midlands",18,15429,0.001167,0.000738,0.001843,14,20733,0.000675,0.000402,0.001133,9,20881,0.000431,0.000227,0.000819,10,19472,0.000514,0.000279,0.000945,101,21897,0.004613,0.003798,0.005601,233,20458,0.011389,0.010024,0.012938,128,11461,0.011168,0.009402,0.013263,105,8997,0.011671,0.00965,0.014107,221,22001,0.010045,0.00881,0.011451,143,14647,0.009763,0.008294,0.011489,78,7354,0.010606,0.008507,0.013217,225,21698,0.01037,0.009106,0.011807,195,19103,0.010208,0.008878,0.011735,30,2595,0.011561,0.00811,0.016455,1277,206268,0.006191,0.005862,0.006539
"region","West Midlands",19,11337,0.001676,0.001073,0.002616,13,14927,0.000871,0.000509,0.00149,5,15193,0.000329,0.000141,0.00077,10,14461,0.000692,0.000376,0.001273,70,16343,0.004283,0.003392,0.005408,196,14861,0.013189,0.011476,0.015153,90,8005,0.011243,0.009156,0.013798,106,6856,0.015461,0.0128,0.018664,156,15757,0.0099,0.00847,0.01157,116,10179,0.011396,0.009511,0.01365,40,5578,0.007171,0.005271,0.00975,198,15088,0.013123,0.011427,0.015067,176,13136,0.013398,0.01157,0.015512,22,1952,0.01127,0.007455,0.017006,1021,148812,0.006861,0.006454,0.007293
"region","East of England",18,17598,0.001023,0.000647,0.001616,17,23101,0.000736,0.00046,0.001178,6,23633,0.000254,0.000116,0.000554,17,22880,0.000743,0.000464,0.00119,81,25625,0.003161,0.002544,0.003927,150,23231,0.006457,0.005505,0.007572,74,12611,0.005868,0.004677,0.00736,76,10620,0.007156,0.005722,0.008947,125,24627,0.005076,0.004262,0.006044,75,15671,0.004786,0.00382,0.005994,50,8956,0.005583,0.004238,0.007352,391,25178,0.015529,0.014074,0.017132,332,21626,0.015352,0.013797,0.017079,59,3552,0.01661,0.012899,0.021366,1321,235678,0.005605,0.005312,0.005915
"region","London",21,10488,0.002002,0.00131,0.003059,23,15750,0.00146,0.000973,0.00219,7,15062,0.000465,0.000225,0.000959,15,15001,0.001,0.000606,0.001649,79,17500,0.004514,0.003624,0.005622,141,15757,0.008948,0.007593,0.010543,61,7298,0.008358,0.006513,0.010721,80,8459,0.009457,0.007606,0.011754,136,15566,0.008737,0.007391,0.010325,68,8659,0.007853,0.0062,0.009943,68,6907,0.009845,0.007774,0.012461,390,15641,0.024934,0.022605,0.027497,309,12368,0.024984,0.022377,0.027885,81,3273,0.024748,0.019957,0.030653,1338,151972,0.008804,0.008347,0.009286
"region","South West",6,10692,0.000561,0.000257,0.001224,12,15093,0.000795,0.000455,0.001389,3,15650,0.000192,6.5e-05,0.000563,10,14673,0.000682,0.00037,0.001254,55,16260,0.003383,0.0026,0.0044,118,15295,0.007715,0.006447,0.00923,54,7687,0.007025,0.005388,0.009154,64,7608,0.008412,0.006594,0.010727,90,16636,0.00541,0.004404,0.006644,54,9436,0.005723,0.004389,0.007459,36,7200,0.005,0.003614,0.006914,125,16568,0.007545,0.006336,0.008981,108,13177,0.008196,0.006794,0.009885,17,3391,0.005013,0.003132,0.008014,634,154071,0.004115,0.003807,0.004447
"work_new_alt","HCW/CHW",21,4225,0.00497,0.003253,0.007587,7,7988,0.000876,0.000425,0.001808,4,8289,0.000483,0.000188,0.00124,13,7903,0.001645,0.000962,0.002813,51,9620,0.005301,0.004035,0.006963,124,9257,0.013395,0.011247,0.015947,54,4069,0.013271,0.010186,0.017274,70,5212,0.013431,0.010645,0.016933,122,9460,0.012896,0.010812,0.015376,72,5392,0.013353,0.010617,0.016782,50,4068,0.012291,0.009336,0.016167,161,8259,0.019494,0.016728,0.022707,139,6495,0.021401,0.018154,0.025214,22,1764,0.012472,0.00825,0.018812,786,82720,0.009502,0.008863,0.010186
"work_new_alt","Key worker (other)",28,16364,0.001711,0.001184,0.002472,26,26575,0.000978,0.000668,0.001433,10,26979,0.000371,0.000201,0.000682,28,25378,0.001103,0.000763,0.001594,154,28846,0.005339,0.004561,0.006248,357,26894,0.013274,0.011974,0.014713,169,12503,0.013517,0.011637,0.015695,188,14427,0.013031,0.011306,0.015016,267,29910,0.008927,0.007922,0.010058,168,17908,0.009381,0.008071,0.010902,99,12002,0.008249,0.00678,0.010031,531,30239,0.01756,0.01614,0.019103,441,24394,0.018078,0.016481,0.019828,90,5845,0.015398,0.012545,0.018888,2199,271334,0.008104,0.007774,0.008449
"work_new_alt","Other worker",30,32588,0.000921,0.000645,0.001314,53,65326,0.000811,0.00062,0.001061,18,67533,0.000267,0.000169,0.000421,64,63203,0.001013,0.000793,0.001293,338,72175,0.004683,0.004211,0.005208,677,64811,0.010446,0.009692,0.011258,366,34259,0.010683,0.009648,0.011828,345,33018,0.010449,0.009408,0.011604,457,64423,0.007094,0.006474,0.007772,272,36793,0.007393,0.006567,0.008321,185,27630,0.006696,0.0058,0.007728,867,64772,0.013385,0.012529,0.0143,731,53780,0.013592,0.012648,0.014606,136,10992,0.012373,0.01047,0.014616,3828,624026,0.006134,0.005944,0.006331
"work_new_alt","Not FT, PT, SE",42,36518,0.00115,0.000851,0.001554,36,54677,0.000658,0.000476,0.000911,19,56250,0.000338,0.000216,0.000528,30,54431,0.000551,0.000386,0.000787,256,59762,0.004284,0.003791,0.00484,520,55445,0.009379,0.00861,0.010216,256,33133,0.007726,0.006839,0.008728,228,19547,0.011664,0.010252,0.013268,380,60222,0.00631,0.005708,0.006975,267,42673,0.006257,0.005552,0.007051,113,17549,0.006439,0.005359,0.007735,670,60438,0.011086,0.010282,0.011952,621,55673,0.011154,0.010315,0.012061,49,4765,0.010283,0.007787,0.013568,3003,558403,0.005378,0.005189,0.005573
"work_new_alt","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,3934,0.013472,0.010315,0.017579,42,3111,0.0135,0.010004,0.018197,11,823,0.013366,0.007479,0.023774,106,7868,0.013472,0.011152,0.016268
"ethnic_new_char","White",140,111502,0.001256,0.001064,0.001481,108,145080,0.000744,0.000617,0.000899,44,147241,0.000299,0.000223,0.000401,106,139727,0.000759,0.000627,0.000917,707,157645,0.004485,0.004167,0.004827,1550,145336,0.010665,0.01015,0.011206,793,79400,0.009987,0.009319,0.010703,757,65936,0.011481,0.010696,0.012323,1122,153463,0.007311,0.006897,0.00775,723,97377,0.007425,0.006905,0.007984,399,56086,0.007114,0.006451,0.007844,1938,152111,0.012741,0.012189,0.013317,1714,131253,0.013059,0.012459,0.013687,224,20858,0.010739,0.009428,0.012231,8775,1457679,0.00602,0.005896,0.006147
"ethnic_new_char","Asian / Asian British",11,4578,0.002403,0.001342,0.004298,7,7103,0.000985,0.000477,0.002033,5,7124,0.000702,3e-04,0.001642,13,6635,0.001959,0.001145,0.00335,71,7907,0.008979,0.007125,0.01131,84,6712,0.012515,0.01012,0.015467,35,2863,0.012225,0.008803,0.016954,49,3849,0.012731,0.009643,0.01679,95,6577,0.014444,0.011831,0.017624,50,3321,0.015056,0.011439,0.019793,45,3256,0.013821,0.010345,0.018442,163,6537,0.024935,0.021425,0.029003,121,5065,0.023889,0.020031,0.02847,42,1472,0.028533,0.021178,0.038342,707,66287,0.010666,0.009912,0.011477
"ethnic_new_char","Black / African / Caribbean / Black British",2,1188,0.001684,0.000462,0.006117,3,1977,0.001517,0.000516,0.004452,2,2041,0.00098,0.000269,0.003566,4,2017,0.001983,0.000771,0.005088,16,2194,0.007293,0.004494,0.011814,23,1760,0.013068,0.008724,0.019534,7,603,0.011609,0.005634,0.023766,16,1157,0.013829,0.00853,0.022346,18,1754,0.010262,0.006501,0.016164,10,802,0.012469,0.006787,0.022799,8,952,0.008403,0.004264,0.016494,60,1832,0.032751,0.025529,0.041929,42,1252,0.033546,0.024913,0.045033,18,580,0.031034,0.019719,0.048521,206,18349,0.011227,0.009801,0.012857
"ethnic_new_char","Mixed",4,2281,0.001754,0.000682,0.0045,2,2896,0.000691,0.000189,0.002515,1,2796,0.000358,6.3e-05,0.002023,4,2547,0.00157,0.000611,0.004031,11,3080,0.003571,0.001995,0.006384,28,2697,0.010382,0.007193,0.014964,14,1326,0.010558,0.0063,0.017644,14,1371,0.010212,0.006092,0.017068,23,2721,0.008453,0.005639,0.012652,14,1565,0.008946,0.005336,0.01496,9,1156,0.007785,0.004101,0.01473,46,2751,0.016721,0.01256,0.02223,39,2237,0.017434,0.012779,0.023743,7,514,0.013619,0.006612,0.027841,188,27241,0.006901,0.005985,0.007956
"ethnic_new_char","Other",2,937,0.002134,0.000586,0.007749,2,1377,0.001452,0.000398,0.00528,1,1368,0.000731,0.000129,0.004129,3,1256,0.002389,0.000813,0.006999,7,1439,0.004864,0.002358,0.010007,17,1184,0.014358,0.008984,0.022874,6,536,0.011194,0.00514,0.024205,11,648,0.016975,0.009505,0.030139,16,1157,0.013829,0.00853,0.022346,6,592,0.010135,0.004653,0.021934,10,565,0.017699,0.009642,0.032271,29,1190,0.02437,0.017021,0.03478,21,933,0.022508,0.014768,0.034164,8,257,0.031128,0.015856,0.060211,122,12255,0.009955,0.008345,0.011873
"ethnic_new_char","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,3221,0.014281,0.010724,0.018996,37,2713,0.013638,0.009911,0.018741,9,508,0.017717,0.009348,0.033324,92,6442,0.014281,0.01166,0.017482
"hh_size_cat","1",10,15384,0.00065,0.000353,0.001196,21,22643,0.000927,0.000607,0.001417,5,24134,0.000207,8.8e-05,0.000485,15,22209,0.000675,0.000409,0.001114,88,24916,0.003532,0.002868,0.004349,228,23639,0.009645,0.008476,0.010973,106,12366,0.008572,0.007093,0.010356,122,11273,0.010822,0.009072,0.012906,125,25606,0.004882,0.004099,0.005813,80,15483,0.005167,0.004154,0.006426,45,10123,0.004445,0.003324,0.005943,275,25360,0.010844,0.009641,0.012195,234,21698,0.010784,0.009494,0.012248,41,3662,0.011196,0.008264,0.015153,1167,234857,0.004969,0.004693,0.005262
"hh_size_cat","2",46,38671,0.00119,0.000892,0.001586,44,53062,0.000829,0.000618,0.001113,15,58124,0.000258,0.000156,0.000426,35,55833,0.000627,0.000451,0.000872,227,61717,0.003678,0.00323,0.004188,553,59221,0.009338,0.008594,0.010145,306,34112,0.00897,0.008024,0.010028,247,25109,0.009837,0.008689,0.011135,351,62446,0.005621,0.005064,0.006238,231,40988,0.005636,0.004956,0.006408,120,21458,0.005592,0.004679,0.006682,622,61379,0.010134,0.009372,0.010957,553,54488,0.010149,0.009341,0.011026,69,6891,0.010013,0.00792,0.012652,2866,574278,0.004991,0.004812,0.005176
"hh_size_cat","3",37,23038,0.001606,0.001165,0.002213,30,29601,0.001013,0.00071,0.001446,10,29501,0.000339,0.000184,0.000624,27,27974,0.000965,0.000663,0.001404,172,32395,0.005309,0.004575,0.006162,359,30043,0.01195,0.010782,0.013242,180,15409,0.011681,0.010103,0.013504,179,14634,0.012232,0.010575,0.014145,277,30729,0.009014,0.008017,0.010134,167,18569,0.008993,0.007734,0.010457,110,12160,0.009046,0.007511,0.010891,455,29965,0.015184,0.013861,0.016632,401,24946,0.016075,0.014587,0.017712,54,5019,0.010759,0.008256,0.014011,2099,293940,0.007141,0.006843,0.007452
"hh_size_cat","4",40,27450,0.001457,0.00107,0.001984,22,35140,0.000626,0.000414,0.000948,17,33756,0.000504,0.000314,0.000806,35,32402,0.00108,0.000777,0.001502,211,37231,0.005667,0.004954,0.006483,349,31911,0.010937,0.009853,0.012138,161,16329,0.00986,0.008455,0.011495,188,15582,0.012065,0.010467,0.013904,315,33498,0.009404,0.008425,0.010495,202,20511,0.009848,0.008586,0.011295,113,12987,0.008701,0.007243,0.01045,568,34847,0.0163,0.015023,0.017684,478,29017,0.016473,0.015071,0.018003,90,5830,0.015437,0.012577,0.018936,2440,334580,0.007293,0.00701,0.007587
"hh_size_cat","5",18,10257,0.001755,0.00111,0.002772,2,13046,0.000153,4.2e-05,0.000559,1,12084,8.3e-05,1.5e-05,0.000469,18,11258,0.001599,0.001012,0.002526,77,13145,0.005858,0.00469,0.007314,172,10795,0.015933,0.013738,0.018473,76,5438,0.013976,0.011181,0.017457,96,5357,0.01792,0.014698,0.021834,147,11274,0.013039,0.011105,0.015305,92,6861,0.013409,0.010947,0.016416,55,4413,0.012463,0.009588,0.016186,246,11566,0.021269,0.018794,0.024062,209,9608,0.021753,0.019021,0.024866,37,1958,0.018897,0.013741,0.025937,1074,116265,0.009238,0.008704,0.009804
"hh_size_cat","6",4,3135,0.001276,0.000496,0.003276,1,3835,0.000261,4.6e-05,0.001476,5,3508,0.001425,0.000609,0.003332,3,3238,0.000926,0.000315,0.002721,31,3845,0.008062,0.005686,0.011421,50,3159,0.015828,0.012027,0.020805,27,1632,0.016544,0.011395,0.023964,23,1527,0.015062,0.010058,0.022501,60,3202,0.018738,0.014586,0.024044,34,1873,0.018153,0.013019,0.025259,26,1329,0.019564,0.013385,0.028511,79,3196,0.024718,0.019879,0.030699,65,2640,0.024621,0.019365,0.031259,14,556,0.02518,0.015057,0.041819,372,33516,0.011099,0.010032,0.012278
"hh_size_cat","7+",2,1382,0.001447,0.000397,0.005261,3,1872,0.001603,0.000545,0.004701,1,1714,0.000583,0.000103,0.003297,4,1493,0.002679,0.001042,0.006869,18,1700,0.010588,0.006708,0.016675,21,1407,0.014925,0.009783,0.02271,7,679,0.010309,0.005003,0.021126,14,728,0.019231,0.011489,0.032019,24,1426,0.01683,0.011336,0.024921,15,837,0.017921,0.01089,0.029357,9,589,0.01528,0.008059,0.028783,37,1329,0.02784,0.020265,0.038138,34,1056,0.032197,0.023131,0.044654,3,273,0.010989,0.003744,0.031805,171,15078,0.011341,0.009771,0.01316
"covidcon_char","No",96,91047,0.001054,0.000864,0.001287,101,129887,0.000778,0.00064,0.000945,36,133965,0.000269,0.000194,0.000372,103,127791,0.000806,0.000665,0.000977,556,139853,0.003976,0.003659,0.004319,1131,128070,0.008831,0.008333,0.009358,529,67860,0.007795,0.007161,0.008486,541,54514,0.009924,0.009126,0.010791,705,133663,0.005274,0.0049,0.005677,462,88545,0.005218,0.004764,0.005714,243,45118,0.005386,0.004751,0.006105,1130,138065,0.008185,0.007723,0.008674,994,121900,0.008154,0.007665,0.008675,136,16165,0.008413,0.007117,0.009943,5693,1294069,0.004399,0.004287,0.004515
"covidcon_char","Yes, contact with confirmed/tested COVID-19 case",25,1000,0.025,0.01699,0.036645,9,533,0.016886,0.008908,0.031777,3,355,0.008451,0.002878,0.024548,9,329,0.027356,0.014457,0.051164,102,1566,0.065134,0.053945,0.078451,301,3621,0.083126,0.07457,0.092566,147,1787,0.082261,0.0704,0.095914,139,1666,0.083433,0.071093,0.09769,362,4658,0.077716,0.070371,0.085757,248,3198,0.077548,0.068777,0.087333,114,1460,0.078082,0.065401,0.092978,730,5008,0.145767,0.136265,0.155811,665,4375,0.152,0.141667,0.162943,65,633,0.102686,0.081385,0.128779,2633,26736,0.098481,0.094967,0.102111
"covidcon_char","Yes, contact with suspected COVID-19 case",5,894,0.005593,0.002391,0.013025,1,625,0.0016,0.000282,0.009007,1,451,0.002217,0.000392,0.012451,3,393,0.007634,0.002599,0.0222,17,1487,0.011432,0.00715,0.018233,50,1669,0.029958,0.022797,0.039278,22,842,0.026128,0.017317,0.039244,28,754,0.037135,0.025816,0.053147,31,1495,0.020736,0.014646,0.029282,19,1025,0.018537,0.011899,0.02877,12,470,0.025532,0.014665,0.044092,58,1329,0.043642,0.033911,0.056004,48,1134,0.042328,0.032073,0.055673,10,195,0.051282,0.028091,0.091811,255,11167,0.022835,0.020224,0.025774
