"Variable","Category","Positive_r1","Total_r1","Prevalence_r1","Lower_r1","Upper_r1","Positive_r2","Total_r2","Prevalence_r2","Lower_r2","Upper_r2","Positive_r3","Total_r3","Prevalence_r3","Lower_r3","Upper_r3","Positive_r4","Total_r4","Prevalence_r4","Lower_r4","Upper_r4","Positive_r5","Total_r5","Prevalence_r5","Lower_r5","Upper_r5","Positive_r6","Total_r6","Prevalence_r6","Lower_r6","Upper_r6","Positive_r6a","Total_r6a","Prevalence_r6a","Lower_r6a","Upper_r6a","Positive_r6b","Total_r6b","Prevalence_r6b","Lower_r6b","Upper_r6b","Positive_r7","Total_r7","Prevalence_r7","Lower_r7","Upper_r7","Positive_r7a","Total_r7a","Prevalence_r7a","Lower_r7a","Upper_r7a","Positive_r7b","Total_r7b","Prevalence_r7b","Lower_r7b","Upper_r7b","Positive_r8","Total_r8","Prevalence_r8","Lower_r8","Upper_r8","Positive_r8a","Total_r8a","Prevalence_r8a","Lower_r8a","Upper_r8a","Positive_r8b","Total_r8b","Prevalence_r8b","Lower_r8b","Upper_r8b","Positive_all","Total_all","Prevalence_all","Lower_all","Upper_all"
"gender_char","Male",73,55064,0.001326,0.001055,0.001666,59,72371,0.000815,0.000632,0.001051,24,73211,0.000328,0.00022,0.000488,61,69564,0.000877,0.000683,0.001126,387,78565,0.004926,0.00446,0.00544,769,72316,0.010634,0.009912,0.011408,387,39316,0.009843,0.008914,0.010868,382,33000,0.011576,0.010477,0.012788,599,75656,0.007917,0.00731,0.008574,384,47366,0.008107,0.007338,0.008955,215,28290,0.0076,0.006653,0.008681,1043,75296,0.013852,0.013042,0.014712,894,64535,0.013853,0.01298,0.014784,149,10761,0.013846,0.011806,0.016234,4657,722995,0.006441,0.006259,0.006628
"gender_char","Female",86,65556,0.001312,0.001062,0.00162,64,86828,0.000737,0.000577,0.000941,30,89606,0.000335,0.000235,0.000478,76,84839,0.000896,0.000716,0.001121,437,96380,0.004534,0.004129,0.004978,963,87853,0.010961,0.010294,0.011672,476,46645,0.010205,0.009332,0.011158,487,41208,0.011818,0.010819,0.012908,700,92524,0.007566,0.007027,0.008145,437,57756,0.007566,0.006892,0.008307,263,34768,0.007564,0.006707,0.008531,1239,92340,0.013418,0.012696,0.01418,1080,78915,0.013686,0.012898,0.01452,159,13425,0.011844,0.010148,0.013818,5534,880790,0.006283,0.00612,0.00645
"gender_char","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0.310784,0,3,0,0,0.474196,0,3,0,0,0.474196,0,12,0,0,0.183981
"age_group_char","5-12",17,10573,0.001608,0.001004,0.002574,6,13077,0.000459,0.00021,0.001001,2,11329,0.000177,4.8e-05,0.000644,11,11095,0.000991,0.000554,0.001775,59,13771,0.004284,0.003323,0.005522,113,11245,0.010049,0.008365,0.012067,55,5513,0.009976,0.007673,0.012962,58,5732,0.010119,0.007836,0.013057,147,11873,0.012381,0.010544,0.014534,88,7330,0.012005,0.009755,0.014767,59,4543,0.012987,0.010082,0.016715,170,11727,0.014496,0.012487,0.016824,146,9450,0.01545,0.013153,0.018141,24,2277,0.01054,0.007093,0.015636,842,118290,0.007118,0.006655,0.007613
"age_group_char","13-17",11,7293,0.001508,0.000842,0.002699,4,9425,0.000424,0.000165,0.001091,6,9209,0.000652,0.000299,0.001421,6,8565,0.000701,0.000321,0.001528,59,10480,0.00563,0.004367,0.007255,119,8616,0.013812,0.011555,0.016501,60,5169,0.011608,0.009029,0.014912,59,3447,0.017116,0.013293,0.022015,172,9861,0.017442,0.01504,0.020221,111,6501,0.017074,0.014198,0.020521,61,3360,0.018155,0.01416,0.02325,172,8947,0.019224,0.016579,0.022283,153,7861,0.019463,0.016636,0.02276,19,1086,0.017495,0.011229,0.027164,893,91204,0.009791,0.009173,0.010451
"age_group_char","18-24",19,6916,0.002747,0.00176,0.004287,4,7873,0.000508,0.000198,0.001306,6,7452,0.000805,0.000369,0.001756,16,6414,0.002495,0.001536,0.004049,83,6852,0.012113,0.009783,0.01499,120,6308,0.019023,0.015933,0.022699,53,3091,0.017147,0.013133,0.022359,67,3217,0.020827,0.016434,0.026363,86,6475,0.013282,0.010768,0.016373,60,3940,0.015228,0.01185,0.019552,26,2535,0.010256,0.007009,0.014986,156,6753,0.023101,0.01978,0.026964,128,5471,0.023396,0.019713,0.027748,28,1282,0.021841,0.015154,0.031385,732,68271,0.010722,0.009976,0.011523
"age_group_char","25-34",23,13317,0.001727,0.001151,0.00259,17,16073,0.001058,0.00066,0.001693,8,15321,0.000522,0.000265,0.00103,19,13912,0.001366,0.000875,0.002132,86,15683,0.005484,0.004443,0.006767,206,15242,0.013515,0.011801,0.015475,97,7186,0.013498,0.011078,0.016438,109,8056,0.01353,0.011229,0.016295,130,14758,0.008809,0.007424,0.010449,71,8391,0.008461,0.006714,0.010659,59,6367,0.009267,0.007191,0.011934,263,15031,0.017497,0.015521,0.01972,222,12003,0.018495,0.016235,0.021064,41,3028,0.01354,0.009997,0.018316,1145,149126,0.007678,0.007248,0.008134
"age_group_char","35-44",23,16372,0.001405,0.000936,0.002107,19,20848,0.000911,0.000584,0.001423,8,19956,0.000401,0.000203,0.000791,28,19416,0.001442,0.000998,0.002083,121,22954,0.005271,0.004414,0.006295,214,21004,0.010189,0.008917,0.011639,98,10079,0.009723,0.007986,0.011834,116,10925,0.010618,0.008861,0.012719,160,20846,0.007675,0.006578,0.008954,91,11981,0.007595,0.006191,0.009316,69,8865,0.007783,0.006155,0.009838,314,21764,0.014427,0.012927,0.0161,259,17607,0.01471,0.013035,0.016597,55,4157,0.013231,0.010179,0.017181,1361,205770,0.006614,0.006273,0.006974
"age_group_char","45-54",28,20617,0.001358,0.00094,0.001962,20,26397,0.000758,0.000491,0.00117,3,26691,0.000112,3.8e-05,0.00033,19,25619,0.000742,0.000475,0.001158,157,29380,0.005344,0.004572,0.006245,314,26898,0.011674,0.010458,0.013029,137,13009,0.010531,0.008916,0.012435,177,13889,0.012744,0.011009,0.014749,220,27338,0.008047,0.007055,0.009178,142,16116,0.008811,0.007481,0.010376,78,11222,0.006951,0.005573,0.008665,412,27982,0.014724,0.013378,0.016203,350,23219,0.015074,0.013585,0.016723,62,4763,0.013017,0.010168,0.016651,1805,266242,0.00678,0.006475,0.007098
"age_group_char","55-64",20,20980,0.000953,0.000617,0.001472,30,28463,0.001054,0.000738,0.001504,6,30402,0.000197,9e-05,0.000431,21,28923,0.000726,0.000475,0.00111,116,31885,0.003638,0.003034,0.004361,326,29752,0.010957,0.009836,0.012205,167,15768,0.010591,0.009108,0.012312,159,13984,0.01137,0.009742,0.013266,188,31396,0.005988,0.005193,0.006904,119,19563,0.006083,0.005086,0.007274,69,11833,0.005831,0.004611,0.007372,413,31989,0.012911,0.011731,0.014208,358,27660,0.012943,0.011677,0.014344,55,4329,0.012705,0.009774,0.0165,1721,297175,0.005791,0.005525,0.00607
