areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2020-11-19,773,1267276
nation,England,E92000001,2020-11-18,10415,1266503
nation,England,E92000001,2020-11-17,18833,1256088
nation,England,E92000001,2020-11-16,23209,1237255
nation,England,E92000001,2020-11-15,13624,1214046
nation,England,E92000001,2020-11-14,15892,1200422
nation,England,E92000001,2020-11-13,21601,1184530
nation,England,E92000001,2020-11-12,21663,1162929
nation,England,E92000001,2020-11-11,24608,1141266
nation,England,E92000001,2020-11-10,24434,1116658
nation,England,E92000001,2020-11-09,28076,1092224
nation,England,E92000001,2020-11-08,17951,1064148
nation,England,E92000001,2020-11-07,16608,1046197
nation,England,E92000001,2020-11-06,20807,1029589
nation,England,E92000001,2020-11-05,20861,1008782
nation,England,E92000001,2020-11-04,20687,987921
nation,England,E92000001,2020-11-03,22293,967234
nation,England,E92000001,2020-11-02,27882,944941
nation,England,E92000001,2020-11-01,13347,917059
nation,England,E92000001,2020-10-31,14356,903712
nation,England,E92000001,2020-10-30,19642,889356
nation,England,E92000001,2020-10-29,19956,869714
nation,England,E92000001,2020-10-28,20234,849758
nation,England,E92000001,2020-10-27,20504,829524
nation,England,E92000001,2020-10-26,22751,809020
nation,England,E92000001,2020-10-25,13159,786269
nation,England,E92000001,2020-10-24,13519,773110
nation,England,E92000001,2020-10-23,18115,759591
nation,England,E92000001,2020-10-22,19606,741476
nation,England,E92000001,2020-10-21,21504,721870
nation,England,E92000001,2020-10-20,21319,700366
nation,England,E92000001,2020-10-19,22093,679047
nation,England,E92000001,2020-10-18,11844,656954
nation,England,E92000001,2020-10-17,12353,645110
nation,England,E92000001,2020-10-16,14539,632757
nation,England,E92000001,2020-10-15,15236,618218
nation,England,E92000001,2020-10-14,16442,602982
nation,England,E92000001,2020-10-13,15429,586540
nation,England,E92000001,2020-10-12,16192,571111
nation,England,E92000001,2020-10-11,9649,554919
nation,England,E92000001,2020-10-10,10146,545270
nation,England,E92000001,2020-10-09,12993,535124
nation,England,E92000001,2020-10-08,15255,522131
nation,England,E92000001,2020-10-07,15182,506876
nation,England,E92000001,2020-10-06,14288,491694
nation,England,E92000001,2020-10-05,14034,477406
nation,England,E92000001,2020-10-04,9818,463372
nation,England,E92000001,2020-10-03,9705,453554
nation,England,E92000001,2020-10-02,11562,443849
nation,England,E92000001,2020-10-01,11290,432287
nation,England,E92000001,2020-09-30,10514,420997
nation,England,E92000001,2020-09-29,8719,410483
nation,England,E92000001,2020-09-28,8574,401764
nation,England,E92000001,2020-09-27,6025,393190
nation,England,E92000001,2020-09-26,5648,387165
