Variable,Category,Positive_r8,Total_r8,Prevalence_r8,Lower_r8,Upper_r8,Positive_r9,Total_r9,Prevalence_r9,Lower_r9,Upper_r9,Positive_r9a,Total_r9a,Prevalence_r9a,Lower_r9a,Upper_r9a,Positive_r9b,Total_r9b,Prevalence_r9b,Lower_r9b,Upper_r9b
work_type1_char,Health care workers with direct patient contact,124,5922,0.020939,0.017591,0.024908,42,6430,0.006532,0.004836,0.008817,24,2583,0.009292,0.006252,0.013789,18,3847,0.004679,0.002962,0.007384
work_type1_char,Health care workers with no patient contact,14,1896,0.007384,0.004404,0.012356,9,2041,0.00441,0.002322,0.00836,6,926,0.006479,0.002973,0.014064,3,1115,0.002691,0.000915,0.007881
work_type1_char,Care home workers with direct contact with clients,28,780,0.035897,0.024951,0.051393,4,891,0.004489,0.001747,0.011486,2,365,0.005479,0.001504,0.019756,2,526,0.003802,0.001043,0.013756
work_type1_char,Care home workers without contact with clients,9,156,0.057692,0.030646,0.105999,3,198,0.015152,0.005166,0.043592,3,73,0.041096,0.014074,0.114001,0,125,0,0,0.021186
work_type1_char,Other essential/key workers,552,31300,0.017636,0.016236,0.019154,168,32426,0.005181,0.004456,0.006023,87,14644,0.005941,0.004819,0.007322,81,17782,0.004555,0.003667,0.005658
work_type1_char,None of these,1430,119720,0.011945,0.011345,0.012576,411,112869,0.003641,0.003306,0.00401,235,62867,0.003738,0.00329,0.004246,176,50002,0.00352,0.003038,0.004078
work_type1_char,Don't know,33,2479,0.013312,0.009494,0.018635,11,2309,0.004764,0.002662,0.008511,8,986,0.008114,0.004117,0.015928,3,1323,0.002268,0.000771,0.006646
work_type1_char,WT1 - NA,92,5389,0.017072,0.013941,0.02089,41,8292,0.004945,0.003647,0.0067,23,4965,0.004632,0.003089,0.006942,18,3327,0.00541,0.003425,0.008536
worktyp2_1_char,No,1985,151649,0.013089,0.01253,0.013674,584,145767,0.004006,0.003695,0.004344,327,77635,0.004212,0.00378,0.004693,257,68132,0.003772,0.003339,0.004261
worktyp2_1_char,Yes,30,1850,0.016216,0.011382,0.023055,6,1837,0.003266,0.001498,0.007108,3,862,0.00348,0.001184,0.010182,3,975,0.003077,0.001047,0.009007
worktyp2_1_char,WT2_1 - NA,92,5389,0.017072,0.013941,0.02089,41,8292,0.004945,0.003647,0.0067,23,4965,0.004632,0.003089,0.006942,18,3327,0.00541,0.003425,0.008536
worktyp2_1_char,WT2_No,175,8754,0.019991,0.017262,0.02314,58,9560,0.006067,0.004696,0.007834,35,3947,0.008867,0.006383,0.012307,23,5613,0.004098,0.002732,0.006141
worktyp2_2_char,No,1886,146737,0.012853,0.012289,0.013442,561,142123,0.003947,0.003634,0.004287,313,75869,0.004126,0.003694,0.004607,248,66254,0.003743,0.003306,0.004238
worktyp2_2_char,Yes,129,6762,0.019077,0.016079,0.022621,29,5481,0.005291,0.003687,0.007588,17,2628,0.006469,0.004043,0.010336,12,2853,0.004206,0.002408,0.007338
