"ltla","ltla_code","region","positive","number_samples","prevalence","lower","upper"
"Liverpool","E08000012","North West",5,215,0.0232558139534884,0.00997345713589524,0.0532753390258732
"Charnwood","E07000130","East Midlands",6,259,0.0231660231660232,0.0106594466446879,0.0496105689448272
"Thurrock","E06000034","East of England",3,151,0.0198675496688742,0.00677940225509032,0.0567788908251273
"North Tyneside","E08000022","North East",5,261,0.0191570881226054,0.00820983817950665,0.0440533493226632
"Newham","E09000025","London",2,106,0.0188679245283019,0.00518960877959574,0.0661992721118586
"Bury","E08000002","North West",5,272,0.0183823529411765,0.00787676454663313,0.0423022726433185
"Trafford","E08000009","North West",5,273,0.0183150183150183,0.00784782033159829,0.0421499613578091
"Chorley","E07000118","North West",5,275,0.0181818181818182,0.00779056540956914,0.0418486054627749
"Waltham Forest","E09000031","London",4,221,0.0180995475113122,0.007060507525038,0.0456053081248125
"Hyndburn","E07000120","North West",4,242,0.0165289256198347,0.0064460688102188,0.0417209851826179
"Hartlepool","E06000001","North East",3,185,0.0162162162162162,0.00553004167985439,0.0465848852125429
"Basildon","E07000066","East of England",4,253,0.0158102766798419,0.00616503967961345,0.0399391168497297
"Sandwell","E08000028","West Midlands",3,198,0.0151515151515152,0.00516602893520584,0.0435923325936651
"Tower Hamlets","E09000030","London",3,200,0.015,0.00511423779325832,0.0431657287926903
"Hambleton","E07000164","Yorkshire and The Humber",5,337,0.0148367952522255,0.00635360535314108,0.0342560636366155
"Redcar and Cleveland","E06000003","North East",4,270,0.0148148148148148,0.00577587785958206,0.0374661457247565
"Pendle","E07000122","North West",4,277,0.0144404332129964,0.00562955334321721,0.0365346587016092
"Luton","E06000032","East of England",3,208,0.0144230769230769,0.00491705738231966,0.041539660181281
"Barking and Dagenham","E09000002","London",1,76,0.0131578947368421,0.00232648004557906,0.0708367475178441
"Stoke-on-Trent","E06000021","West Midlands",3,231,0.012987012987013,0.00442640751343764,0.0374804128159671
"Westminster","E09000033","London",3,232,0.0129310344827586,0.00440728655786614,0.0373218431291089
"Hounslow","E09000018","London",3,237,0.0126582278481013,0.00431410733394104,0.0365487028686041
"Preston","E07000123","North West",3,244,0.0122950819672131,0.00419008537264383,0.0355186012511471
"Blackburn with Darwen","E06000008","North West",3,249,0.0120481927710843,0.00410577620874548,0.0348176616902319
"Corby","E07000150","East Midlands",3,250,0.012,0.0040893198805343,0.0346807804270196
"Calderdale","E08000033","Yorkshire and The Humber",3,256,0.01171875,0.00399328712300776,0.0338815726678823
"Tameside","E08000008","North West",3,260,0.0115384615384615,0.00393173246263534,0.0333689209853974
"Oadby and Wigston","E07000135","East Midlands",3,262,0.0114503816793893,0.00390166131997249,0.033118368830148
"Huntingdonshire","E07000011","East of England",4,353,0.0113314447592068,0.00441515791373635,0.0287689313449174
"Sunderland","E08000024","North East",3,273,0.010989010989011,0.00374416042602911,0.0318049183232932
"Kirklees","E08000034","Yorkshire and The Humber",3,280,0.0107142857142857,0.00365038745833758,0.0310219921918498
"Chesterfield","E07000034","East Midlands",3,288,0.0104166666666667,0.00354880989087774,0.0301731255067268
"Lichfield","E07000194","West Midlands",3,293,0.0102389078498294,0.00348814556261684,0.0296657772748222
"South Derbyshire","E07000039","East Midlands",3,298,0.0100671140939597,0.00342952040817825,0.029175208111042
"King's Lynn and West Norfolk","E07000146","East of England",3,302,0.00993377483443709,0.00338402031298791,0.0287942816694908
"Erewash","E07000036","East Midlands",3,304,0.00986842105263158,0.00336172002703767,0.0286075243313916
"Worcester","E07000237","West Midlands",3,308,0.00974025974025974,0.00331798972504602,0.0282411841510385
"North Kesteven","E07000139","East Midlands",3,309,0.00970873786407767,0.00330723434177899,0.028151060405321
"Northumberland","E06000057","North East",3,315,0.00952380952380952,0.00324413839687881,0.0276221700722109
"Salford","E08000006","North West",2,210,0.00952380952380952,0.00261566938740944,0.0340538280240779
"Kettering","E07000153","East Midlands",3,321,0.00934579439252336,0.00318340489663798,0.027112785917252
"St. Helens","E08000013","North West",2,215,0.00930232558139535,0.00255475107068954,0.0332769366860575
"Tamworth","E07000199","West Midlands",2,218,0.00917431192660551,0.00251954333541264,0.0328275863777582
"Newark and Sherwood","E07000175","East Midlands",3,328,0.00914634146341463,0.00311536178481801,0.0265417487391922
"East Riding of Yorkshire","E06000011","Yorkshire and The Humber",3,329,0.00911854103343465,0.00310587806707372,0.0264621296431552
"Hinckley and Bosworth","E07000132","East Midlands",3,330,0.00909090909090909,0.00309645191450506,0.0263829867851082
"Chichester","E07000225","South East",3,331,0.00906344410876133,0.00308708280457463,0.0263043159049985
"Stevenage","E07000243","East of England",2,225,0.00888888888888889,0.00244104822562496,0.0318248529843398
"Southampton","E06000045","South East",2,232,0.00862068965517241,0.00236729630541058,0.0308815601929536
"Broxbourne","E07000095","East of England",2,232,0.00862068965517241,0.00236729630541058,0.0308815601929536
"Southwark","E09000028","London",2,238,0.00840336134453781,0.00230753790306031,0.0301164263706085
"Gloucester","E07000081","South West",2,241,0.00829875518672199,0.00227877597714623,0.0297479030765703
"Somerset West and Taunton","E07000246","South West",3,362,0.00828729281767956,0.0028223507266393,0.0240785337505287
"Brentwood","E07000068","East of England",2,244,0.00819672131147541,0.00225072222220295,0.0293882894992669
"Oldham","E08000004","North West",2,244,0.00819672131147541,0.00225072222220295,0.0293882894992669
"Rossendale","E07000125","North West",2,246,0.00813008130081301,0.00223240033644828,0.029153338674633
"Haringey","E09000014","London",2,249,0.00803212851405622,0.00220547006794385,0.0288078726697082
"Rushcliffe","E07000176","East Midlands",3,375,0.008,0.00272437756547036,0.0232533991312245
