"ltla","ltla_code","region","positive","number_samples","prevalence","lower","upper"
"Derbyshire Dales","E07000035","East Midlands",2,59,0.0338983050847458,0.00934590909166131,0.115435707501108
"Barrow-in-Furness","E07000027","North West",1,34,0.0294117647058824,0.00521090627626895,0.149155732926859
"Rushcliffe","E07000176","East Midlands",3,108,0.0277777777777778,0.00949133989928973,0.0785033887502363
"Epsom and Ewell","E07000208","South East",2,82,0.024390243902439,0.00671437033116336,0.0846337839106394
"High Peak","E07000037","East Midlands",2,85,0.0235294117647059,0.00647651122594785,0.0817869968792071
"North East Derbyshire","E07000038","East Midlands",2,85,0.0235294117647059,0.00647651122594785,0.0817869968792071
"Kettering","E07000153","East Midlands",2,96,0.0208333333333333,0.00573196985243042,0.0728071351778421
"Tameside","E08000008","North West",3,148,0.0202702702702703,0.00691729426924225,0.0578967485957941
"Watford","E07000103","East of England",2,99,0.0202020202020202,0.0055577201107578,0.0706903116715008
"Melton","E07000133","East Midlands",1,53,0.0188679245283019,0.00333845338826376,0.0994291205250124
"Bristol, City of","E06000023","South West",8,440,0.0181818181818182,0.00924116717733587,0.035462765784253
"Calderdale","E08000033","Yorkshire and The Humber",3,165,0.0181818181818182,0.00620241054953635,0.0520857545103589
"Doncaster","E08000017","Yorkshire and The Humber",4,224,0.0178571428571429,0.00696565520969372,0.0450067069845506
"Rotherham","E08000018","Yorkshire and The Humber",4,230,0.0173913043478261,0.00678339620168503,0.0438554378203605
"Nottingham","E06000018","East Midlands",4,240,0.0166666666666667,0.00649994072183164,0.0420621818883419
"Bassetlaw","E07000171","East Midlands",2,124,0.0161290322580645,0.00443436446054248,0.0569030052239843
"South Tyneside","E08000023","North East",2,124,0.0161290322580645,0.00443436446054248,0.0569030052239843
"Maldon","E07000074","East of England",1,63,0.0158730158730159,0.00280749421386928,0.0845852545943839
"Liverpool","E08000012","North West",6,379,0.0158311345646438,0.00727522567858253,0.0341034141100448
"Merton","E09000024","London",3,193,0.0155440414507772,0.00530021524217904,0.0446966648848823
"Lancaster","E07000121","North West",2,131,0.0152671755725191,0.00419684425602177,0.0539563297697898
"Test Valley","E07000093","South East",2,133,0.0150375939849624,0.00413358446517348,0.0531696545405502
"Lincoln","E07000138","East Midlands",1,68,0.0147058823529412,0.00260068357610681,0.0787097312816087
"Walsall","E08000030","West Midlands",3,204,0.0147058823529412,0.00501370963340237,0.0423370878279665
"Lewisham","E09000023","London",4,279,0.014336917562724,0.00558909829764211,0.0362769664230923
"Birmingham","E08000025","West Midlands",13,907,0.0143329658213892,0.00839513708133677,0.0243673799645289
"Fylde","E07000119","North West",1,70,0.0142857142857143,0.00252624645789031,0.0765818713120833
"Barnsley","E08000016","Yorkshire and The Humber",3,212,0.0141509433962264,0.00482406112195258,0.0407717149373156
"Croydon","E09000008","London",5,359,0.0139275766016713,0.00596331024486282,0.032184091283291
"North West Leicestershire","E07000134","East Midlands",1,72,0.0138888888888889,0.00245595188290577,0.0745660214747615
"Malvern Hills","E07000235","West Midlands",1,73,0.0136986301369863,0.00242225146648386,0.0735973727096382
"Wirral","E08000015","North West",4,300,0.0133333333333333,0.00519696173935886,0.0337755302525326
"Sunderland","E08000024","North East",3,229,0.0131004366812227,0.00446515152010081,0.0378016289344608
"Wigan","E08000010","North West",3,236,0.0127118644067797,0.00433242663814388,0.03670075782081
"Milton Keynes","E06000042","South East",3,240,0.0125,0.00426006732197097,0.0361000046210489
"Carlisle","E07000028","North West",1,81,0.0123456790123457,0.00218265005853878,0.0666688159804835
"East Devon","E07000040","South West",2,162,0.0123456790123457,0.00339218548848356,0.0438906765681763
"Forest of Dean","E07000080","South West",1,81,0.0123456790123457,0.00218265005853878,0.0666688159804835
"Wyre Forest","E07000239","West Midlands",1,81,0.0123456790123457,0.00218265005853878,0.0666688159804835
"Kingston upon Thames","E09000021","London",2,164,0.0121951219512195,0.00335073809355977,0.0433687010473452
"Newcastle upon Tyne","E08000021","North East",3,247,0.0121457489878543,0.00413908943444787,0.0350946914045042
"Arun","E07000224","South East",2,165,0.0121212121212121,0.00333039190979245,0.0431123412640637
"Southend-on-Sea","E06000033","East of England",2,167,0.0119760479041916,0.00329043192131966,0.042608607309691
"Blaby","E07000129","East Midlands",1,85,0.0117647058823529,0.0020797871346641,0.0636717088249391
"Erewash","E07000036","East Midlands",1,86,0.0116279069767442,0.00205556866524956,0.0629640658929172
"Wyre","E07000128","North West",1,86,0.0116279069767442,0.00205556866524956,0.0629640658929172
"South Cambridgeshire","E07000012","East of England",2,174,0.0114942528735632,0.00315781918756732,0.0409345925183002
"Lambeth","E09000022","London",3,263,0.0114068441064639,0.00388679758748237,0.0329944983857463
"South Holland","E07000140","East Midlands",1,88,0.0113636363636364,0.00200878531770447,0.0615949389229856
"Haringey","E09000014","London",3,264,0.0113636363636364,0.00387204667513534,0.0328715510637138
"Blackpool","E06000009","North West",1,90,0.0111111111111111,0.00196408410091835,0.0602840831175345
"Gateshead","E08000037","North East",2,180,0.0111111111111111,0.00305237484599262,0.0396010008995846
"Leeds","E08000035","Yorkshire and The Humber",8,723,0.0110650069156293,0.00561725093901513,0.0216809426077413
"Kirklees","E08000034","Yorkshire and The Humber",4,367,0.0108991825613079,0.00424641615473159,0.0276849079705453
"Middlesbrough","E06000002","North East",1,92,0.0108695652173913,0.00192132904009171,0.0590278561306252
"Mole Valley","E07000210","South East",1,92,0.0108695652173913,0.00192132904009171,0.0590278561306252
"Central Bedfordshire","E06000056","East of England",3,278,0.0107913669064748,0.00367669698147932,0.0312417243958213
"Newham","E09000025","London",3,278,0.0107913669064748,0.00367669698147932,0.0312417243958213
"Rugby","E07000220","West Midlands",1,93,0.010752688172043,0.00190064202865556,0.0584191723548702
"Bolton","E08000001","North West",2,188,0.0106382978723404,0.00292226956602864,0.037952413460768
"Stoke-on-Trent","E06000021","West Midlands",2,189,0.0105820105820106,0.00290678213143634,0.0377559408569081
"Halton","E06000006","North West",1,95,0.0105263157894737,0.00186057626234791,0.0572387014131361
"Eastbourne","E07000061","South East",1,97,0.0103092783505155,0.00182216480828685,0.056104990242899
"Wolverhampton","E08000031","West Midlands",2,198,0.0101010101010101,0.00277444614678751,0.0360751483146759
"Chesterfield","E07000034","East Midlands",1,100,0.01,0.00176743206414065,0.0544861961787053
"Hambleton","E07000164","Yorkshire and The Humber",1,101,0.0099009900990099,0.00174991124896823,0.053967157994455
"New Forest","E07000091","South East",2,204,0.00980392156862745,0.00269271921576089,0.035035359028046
"Sedgemoor","E07000188","South West",1,102,0.00980392156862745,0.00173273439742166,0.0534579147657775
"Sheffield","E08000019","Yorkshire and The Humber",5,511,0.00978473581213307,0.00418649221985955,0.0226984032825338
"Sutton","E09000029","London",2,209,0.00956937799043062,0.00262820334710411,0.0342135795655946
"West Lancashire","E07000127","North West",1,105,0.00952380952380952,0.0016831692328562,0.0519862586118897
"Plymouth","E06000026","South West",2,219,0.0091324200913242,0.00250802208584553,0.0326804875487267
"Darlington","E06000005","North East",1,110,0.00909090909090909,0.00160657530432161,0.0497056520793305
"Elmbridge","E07000207","South East",1,110,0.00909090909090909,0.00160657530432161,0.0497056520793305
"Ashford","E07000105","South East",1,111,0.00900900900900901,0.00159208548706721,0.049273332635273
"Islington","E09000019","London",2,223,0.00896860986547085,0.00246297183975623,0.0321050425852099
"Swale","E07000113","South East",1,112,0.00892857142857143,0.00157785470329214,0.0488484683088849
"Manchester","E08000003","North West",4,458,0.00873362445414847,0.0034014281257626,0.0222382336987326
"Tendring","E07000076","East of England",1,115,0.00869565217391304,0.0015366489058808,0.0476167263443138
"Camden","E09000007","London",2,237,0.00843881856540084,0.00231728723729301,0.0302413048717677
"Waltham Forest","E09000031","London",2,239,0.00836820083682008,0.00229787026044864,0.029992574949255
"Cheshire East","E06000049","North West",3,359,0.00835654596100279,0.00284596898845929,0.024277333989874
"Bracknell Forest","E06000036","South East",1,120,0.00833333333333333,0.00147255573334209,0.0456962912450497
"Cheltenham","E07000078","South West",1,120,0.00833333333333333,0.00147255573334209,0.0456962912450497
"Newark and Sherwood","E07000175","East Midlands",1,122,0.00819672131147541,0.0014483909512207,0.0449708009068247
"Sevenoaks","E07000111","South East",1,124,0.00806451612903226,0.00142500645812517,0.0442679860544771
"Tonbridge and Malling","E07000115","South East",1,125,0.008,0.00141359510399802,0.0439247523049952
"Breckland","E07000143","East of England",1,125,0.008,0.00141359510399802,0.0439247523049952
"Brighton and Hove","E06000043","South East",2,253,0.00790513833992095,0.00217055775149311,0.0283597890885332
"Barnet","E09000003","London",3,381,0.0078740157480315,0.00268141715957312,0.0228913442857562
"Thurrock","E06000034","East of England",1,128,0.0078125,0.00138043189287424,0.0429262594388606
"West Suffolk","E07000245","East of England",1,130,0.00769230769230769,0.00135917423557972,0.0422854398635527
"Hackney","E09000012","London",2,260,0.00769230769230769,0.00211204917383828,0.0276082944588247
"Dudley","E08000027","West Midlands",2,262,0.00763358778625954,0.00209590736461181,0.0274008417710565
"Wakefield","E08000036","Yorkshire and The Humber",2,264,0.00757575757575758,0.00208001041912575,0.0271964834262261
"South Gloucestershire","E06000025","South West",2,269,0.00743494423791822,0.00204130345034417,0.0266986793022307
"Vale of White Horse","E07000180","South East",1,135,0.00740740740740741,0.00130878824627451,0.0407640830006204
"Stafford","E07000197","West Midlands",1,137,0.0072992700729927,0.0012896645694117,0.0401857565857391
"Bury","E08000002","North West",1,138,0.0072463768115942,0.00128031078382889,0.0399027034720981
"West Oxfordshire","E07000181","South East",1,139,0.00719424460431655,0.00127109170515931,0.0396236097976221
"Warwick","E07000222","West Midlands",1,139,0.00719424460431655,0.00127109170515931,0.0396236097976221
"Redbridge","E09000026","London",2,279,0.00716845878136201,0.00196805623539583,0.0257558101786336
