areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2021-07-17,18_to_64,446.2,151003
E92000001,England,nation,2021-07-17,85+,6192.3,84524
E92000001,England,nation,2021-07-17,6_to_17,41.5,3280
E92000001,England,nation,2021-07-17,0_to_5,82.6,3347
E92000001,England,nation,2021-07-17,65_to_84,1895.1,167040
E92000001,England,nation,2021-07-16,18_to_64,445.1,150620
E92000001,England,nation,2021-07-16,85+,6187.9,84463
E92000001,England,nation,2021-07-16,6_to_17,41.3,3263
E92000001,England,nation,2021-07-16,0_to_5,82.1,3327
E92000001,England,nation,2021-07-16,65_to_84,1893.5,166900
E92000001,England,nation,2021-07-15,18_to_64,443.9,150229
E92000001,England,nation,2021-07-15,85+,6184.5,84417
E92000001,England,nation,2021-07-15,6_to_17,41.1,3245
E92000001,England,nation,2021-07-15,0_to_5,81.7,3309
E92000001,England,nation,2021-07-15,65_to_84,1892.2,166781
E92000001,England,nation,2021-07-14,18_to_64,442.6,149796
E92000001,England,nation,2021-07-14,85+,6181.1,84370
E92000001,England,nation,2021-07-14,6_to_17,40.8,3225
E92000001,England,nation,2021-07-14,0_to_5,81.3,3292
E92000001,England,nation,2021-07-14,65_to_84,1890.6,166640
E92000001,England,nation,2021-07-13,18_to_64,441.4,149385
E92000001,England,nation,2021-07-13,85+,6177.5,84322
E92000001,England,nation,2021-07-13,6_to_17,40.6,3207
E92000001,England,nation,2021-07-13,0_to_5,80.8,3274
E92000001,England,nation,2021-07-13,65_to_84,1889.0,166499
E92000001,England,nation,2021-07-12,18_to_64,440.2,148984
E92000001,England,nation,2021-07-12,85+,6174.5,84281
E92000001,England,nation,2021-07-12,6_to_17,40.3,3186
E92000001,England,nation,2021-07-12,0_to_5,80.3,3253
E92000001,England,nation,2021-07-12,65_to_84,1887.4,166362
E92000001,England,nation,2021-07-11,18_to_64,439.1,148619
E92000001,England,nation,2021-07-11,85+,6170.5,84226
E92000001,England,nation,2021-07-11,6_to_17,40.0,3159
E92000001,England,nation,2021-07-11,0_to_5,79.7,3226
E92000001,England,nation,2021-07-11,65_to_84,1885.9,166226
E92000001,England,nation,2021-07-10,18_to_64,438.2,148311
E92000001,England,nation,2021-07-10,85+,6166.4,84170
E92000001,England,nation,2021-07-10,6_to_17,39.8,3146
E92000001,England,nation,2021-07-10,0_to_5,79.1,3204
E92000001,England,nation,2021-07-10,65_to_84,1884.7,166123
E92000001,England,nation,2021-07-09,18_to_64,437.4,148016
E92000001,England,nation,2021-07-09,85+,6164.1,84138
E92000001,England,nation,2021-07-09,6_to_17,39.6,3133
E92000001,England,nation,2021-07-09,0_to_5,78.9,3197
E92000001,England,nation,2021-07-09,65_to_84,1883.6,166028
E92000001,England,nation,2021-07-08,18_to_64,436.5,147730
E92000001,England,nation,2021-07-08,85+,6161.0,84096
E92000001,England,nation,2021-07-08,6_to_17,39.5,3122
E92000001,England,nation,2021-07-08,0_to_5,78.5,3179
E92000001,England,nation,2021-07-08,65_to_84,1882.6,165934
E92000001,England,nation,2021-07-07,18_to_64,435.6,147417
E92000001,England,nation,2021-07-07,85+,6157.9,84054
E92000001,England,nation,2021-07-07,6_to_17,39.4,3111
E92000001,England,nation,2021-07-07,0_to_5,78.3,3172
E92000001,England,nation,2021-07-07,65_to_84,1881.3,165819
E92000001,England,nation,2021-07-06,18_to_64,434.7,147112
E92000001,England,nation,2021-07-06,85+,6155.1,84016
E92000001,England,nation,2021-07-06,6_to_17,39.2,3102
E92000001,England,nation,2021-07-06,0_to_5,78.1,3164
E92000001,England,nation,2021-07-06,65_to_84,1880.1,165718
E92000001,England,nation,2021-07-05,18_to_64,433.8,146825
E92000001,England,nation,2021-07-05,85+,6152.3,83977
E92000001,England,nation,2021-07-05,6_to_17,39.1,3090
E92000001,England,nation,2021-07-05,0_to_5,77.8,3152
E92000001,England,nation,2021-07-05,65_to_84,1878.9,165610
E92000001,England,nation,2021-07-04,18_to_64,433.1,146564
E92000001,England,nation,2021-07-04,85+,6149.2,83935
E92000001,England,nation,2021-07-04,6_to_17,39.0,3081
E92000001,England,nation,2021-07-04,0_to_5,77.5,3137
E92000001,England,nation,2021-07-04,65_to_84,1877.9,165521
E92000001,England,nation,2021-07-03,18_to_64,432.3,146316
E92000001,England,nation,2021-07-03,85+,6146.8,83903
E92000001,England,nation,2021-07-03,6_to_17,38.8,3066
E92000001,England,nation,2021-07-03,0_to_5,77.1,3122
E92000001,England,nation,2021-07-03,65_to_84,1877.0,165441
E92000001,England,nation,2021-07-02,18_to_64,431.7,146113
E92000001,England,nation,2021-07-02,85+,6145.0,83878
E92000001,England,nation,2021-07-02,6_to_17,38.6,3054
E92000001,England,nation,2021-07-02,0_to_5,76.9,3115
E92000001,England,nation,2021-07-02,65_to_84,1876.2,165373
E92000001,England,nation,2021-07-01,18_to_64,431.2,145931
E92000001,England,nation,2021-07-01,85+,6142.7,83846
E92000001,England,nation,2021-07-01,6_to_17,38.4,3039
E92000001,England,nation,2021-07-01,0_to_5,76.8,3109
E92000001,England,nation,2021-07-01,65_to_84,1875.5,165309
E92000001,England,nation,2021-06-30,18_to_64,430.7,145759
E92000001,England,nation,2021-06-30,85+,6140.5,83816
E92000001,England,nation,2021-06-30,6_to_17,38.3,3031
E92000001,England,nation,2021-06-30,0_to_5,76.5,3098
E92000001,England,nation,2021-06-30,65_to_84,1874.7,165240
E92000001,England,nation,2021-06-29,18_to_64,430.1,145550
E92000001,England,nation,2021-06-29,85+,6138.6,83791
E92000001,England,nation,2021-06-29,6_to_17,38.2,3023
E92000001,England,nation,2021-06-29,0_to_5,76.1,3083
E92000001,England,nation,2021-06-29,65_to_84,1873.9,165168
E92000001,England,nation,2021-06-28,18_to_64,429.6,145384
E92000001,England,nation,2021-06-28,85+,6137.2,83772
E92000001,England,nation,2021-06-28,6_to_17,38.1,3013
E92000001,England,nation,2021-06-28,0_to_5,75.7,3066
E92000001,England,nation,2021-06-28,65_to_84,1873.1,165100
E92000001,England,nation,2021-06-27,18_to_64,429.1,145218
E92000001,England,nation,2021-06-27,85+,6135.8,83752
E92000001,England,nation,2021-06-27,6_to_17,38.1,3008
E92000001,England,nation,2021-06-27,0_to_5,75.6,3062
E92000001,England,nation,2021-06-27,65_to_84,1872.6,165053
E92000001,England,nation,2021-06-26,18_to_64,428.6,145063
E92000001,England,nation,2021-06-26,85+,6134.6,83736
E92000001,England,nation,2021-06-26,6_to_17,38.0,3005
E92000001,England,nation,2021-06-26,0_to_5,75.5,3057
E92000001,England,nation,2021-06-26,65_to_84,1872.0,165006
E92000001,England,nation,2021-06-25,18_to_64,428.2,144927
E92000001,England,nation,2021-06-25,85+,6133.8,83725
E92000001,England,nation,2021-06-25,6_to_17,37.9,2992
E92000001,England,nation,2021-06-25,0_to_5,75.2,3044
E92000001,England,nation,2021-06-25,65_to_84,1871.5,164958
E92000001,England,nation,2021-06-24,18_to_64,427.8,144797
E92000001,England,nation,2021-06-24,85+,6132.9,83713
E92000001,England,nation,2021-06-24,6_to_17,37.7,2983
E92000001,England,nation,2021-06-24,0_to_5,75.0,3037
E92000001,England,nation,2021-06-24,65_to_84,1871.0,164913
E92000001,England,nation,2021-06-23,18_to_64,427.5,144671
E92000001,England,nation,2021-06-23,85+,6132.0,83700
E92000001,England,nation,2021-06-23,6_to_17,37.7,2977
E92000001,England,nation,2021-06-23,0_to_5,74.8,3028
E92000001,England,nation,2021-06-23,65_to_84,1870.6,164877
E92000001,England,nation,2021-06-22,18_to_64,427.1,144530
E92000001,England,nation,2021-06-22,85+,6131.1,83688
E92000001,England,nation,2021-06-22,6_to_17,37.6,2972
E92000001,England,nation,2021-06-22,0_to_5,74.6,3020
E92000001,England,nation,2021-06-22,65_to_84,1870.0,164831
E92000001,England,nation,2021-06-21,18_to_64,426.7,144405
E92000001,England,nation,2021-06-21,85+,6130.2,83676
E92000001,England,nation,2021-06-21,6_to_17,37.5,2966
E92000001,England,nation,2021-06-21,0_to_5,74.4,3012
E92000001,England,nation,2021-06-21,65_to_84,1869.7,164800
E92000001,England,nation,2021-06-20,18_to_64,426.3,144289
E92000001,England,nation,2021-06-20,85+,6129.5,83666
E92000001,England,nation,2021-06-20,6_to_17,37.5,2962
E92000001,England,nation,2021-06-20,0_to_5,74.2,3005
E92000001,England,nation,2021-06-20,65_to_84,1869.2,164758
E92000001,England,nation,2021-06-19,18_to_64,426.0,144177
E92000001,England,nation,2021-06-19,85+,6128.9,83658
E92000001,England,nation,2021-06-19,6_to_17,37.4,2955
E92000001,England,nation,2021-06-19,0_to_5,74.0,2997
E92000001,England,nation,2021-06-19,65_to_84,1868.8,164722
E92000001,England,nation,2021-06-18,18_to_64,425.6,144052
E92000001,England,nation,2021-06-18,85+,6128.0,83646
E92000001,England,nation,2021-06-18,6_to_17,37.3,2949
E92000001,England,nation,2021-06-18,0_to_5,73.8,2990
E92000001,England,nation,2021-06-18,65_to_84,1868.5,164694
E92000001,England,nation,2021-06-17,18_to_64,425.3,143928
E92000001,England,nation,2021-06-17,85+,6127.4,83638
E92000001,England,nation,2021-06-17,6_to_17,37.2,2944
E92000001,England,nation,2021-06-17,0_to_5,73.7,2983
E92000001,England,nation,2021-06-17,65_to_84,1868.0,164653
E92000001,England,nation,2021-06-16,18_to_64,424.9,143795
E92000001,England,nation,2021-06-16,85+,6126.0,83618
E92000001,England,nation,2021-06-16,6_to_17,37.2,2940
E92000001,England,nation,2021-06-16,0_to_5,73.5,2977
E92000001,England,nation,2021-06-16,65_to_84,1867.6,164614
E92000001,England,nation,2021-06-15,18_to_64,424.6,143684
E92000001,England,nation,2021-06-15,85+,6124.8,83602
E92000001,England,nation,2021-06-15,6_to_17,37.1,2934
E92000001,England,nation,2021-06-15,0_to_5,73.4,2971
E92000001,England,nation,2021-06-15,65_to_84,1867.2,164576
E92000001,England,nation,2021-06-14,18_to_64,424.2,143566
E92000001,England,nation,2021-06-14,85+,6124.1,83592
E92000001,England,nation,2021-06-14,6_to_17,37.0,2924
E92000001,England,nation,2021-06-14,0_to_5,73.1,2959
E92000001,England,nation,2021-06-14,65_to_84,1866.7,164538
E92000001,England,nation,2021-06-13,18_to_64,423.9,143457
E92000001,England,nation,2021-06-13,85+,6122.7,83573
E92000001,England,nation,2021-06-13,6_to_17,36.9,2918
E92000001,England,nation,2021-06-13,0_to_5,73.0,2955
E92000001,England,nation,2021-06-13,65_to_84,1866.2,164495
E92000001,England,nation,2021-06-12,18_to_64,423.5,143328
E92000001,England,nation,2021-06-12,85+,6121.4,83556
E92000001,England,nation,2021-06-12,6_to_17,36.9,2913
E92000001,England,nation,2021-06-12,0_to_5,72.9,2953
E92000001,England,nation,2021-06-12,65_to_84,1865.8,164461
E92000001,England,nation,2021-06-11,18_to_64,423.2,143241
E92000001,England,nation,2021-06-11,85+,6120.3,83541
E92000001,England,nation,2021-06-11,6_to_17,36.8,2908
E92000001,England,nation,2021-06-11,0_to_5,72.8,2950
E92000001,England,nation,2021-06-11,65_to_84,1865.5,164434
E92000001,England,nation,2021-06-10,18_to_64,423.0,143147
E92000001,England,nation,2021-06-10,85+,6119.3,83527
E92000001,England,nation,2021-06-10,6_to_17,36.8,2906
E92000001,England,nation,2021-06-10,0_to_5,72.8,2947
E92000001,England,nation,2021-06-10,65_to_84,1865.2,164403
E92000001,England,nation,2021-06-09,18_to_64,422.6,143025
E92000001,England,nation,2021-06-09,85+,6118.9,83521
E92000001,England,nation,2021-06-09,6_to_17,36.7,2904
E92000001,England,nation,2021-06-09,0_to_5,72.7,2944
E92000001,England,nation,2021-06-09,65_to_84,1864.9,164374
E92000001,England,nation,2021-06-08,18_to_64,422.3,142924
E92000001,England,nation,2021-06-08,85+,6117.4,83501
E92000001,England,nation,2021-06-08,6_to_17,36.7,2897
E92000001,England,nation,2021-06-08,0_to_5,72.5,2937
E92000001,England,nation,2021-06-08,65_to_84,1864.6,164351
E92000001,England,nation,2021-06-07,18_to_64,422.1,142839
E92000001,England,nation,2021-06-07,85+,6116.4,83488
E92000001,England,nation,2021-06-07,6_to_17,36.5,2889
E92000001,England,nation,2021-06-07,0_to_5,72.3,2929
E92000001,England,nation,2021-06-07,65_to_84,1864.2,164318
E92000001,England,nation,2021-06-06,18_to_64,421.8,142751
E92000001,England,nation,2021-06-06,85+,6115.8,83479
E92000001,England,nation,2021-06-06,6_to_17,36.4,2881
E92000001,England,nation,2021-06-06,0_to_5,72.1,2921
E92000001,England,nation,2021-06-06,65_to_84,1864.0,164300
E92000001,England,nation,2021-06-05,18_to_64,421.5,142666
E92000001,England,nation,2021-06-05,85+,6115.2,83471
E92000001,England,nation,2021-06-05,6_to_17,36.4,2876
E92000001,England,nation,2021-06-05,0_to_5,72.0,2918
E92000001,England,nation,2021-06-05,65_to_84,1863.8,164280
E92000001,England,nation,2021-06-04,18_to_64,421.4,142610
E92000001,England,nation,2021-06-04,85+,6114.7,83464
E92000001,England,nation,2021-06-04,6_to_17,36.3,2872
E92000001,England,nation,2021-06-04,0_to_5,71.9,2914
E92000001,England,nation,2021-06-04,65_to_84,1863.6,164259
E92000001,England,nation,2021-06-03,18_to_64,421.2,142542
E92000001,England,nation,2021-06-03,85+,6114.2,83458
E92000001,England,nation,2021-06-03,6_to_17,36.3,2871
E92000001,England,nation,2021-06-03,0_to_5,71.8,2910
E92000001,England,nation,2021-06-03,65_to_84,1863.4,164242
E92000001,England,nation,2021-06-02,18_to_64,421.0,142479
E92000001,England,nation,2021-06-02,85+,6113.8,83452
E92000001,England,nation,2021-06-02,6_to_17,36.3,2870
E92000001,England,nation,2021-06-02,0_to_5,71.7,2904
E92000001,England,nation,2021-06-02,65_to_84,1863.2,164225
E92000001,England,nation,2021-06-01,18_to_64,420.8,142413
E92000001,England,nation,2021-06-01,85+,6113.3,83445
E92000001,England,nation,2021-06-01,6_to_17,36.3,2866
E92000001,England,nation,2021-06-01,0_to_5,71.6,2901
E92000001,England,nation,2021-06-01,65_to_84,1862.9,164204
E92000001,England,nation,2021-05-31,18_to_64,420.6,142336
E92000001,England,nation,2021-05-31,85+,6112.6,83436
E92000001,England,nation,2021-05-31,6_to_17,36.2,2860
E92000001,England,nation,2021-05-31,0_to_5,71.6,2898
E92000001,England,nation,2021-05-31,65_to_84,1862.7,164184
E92000001,England,nation,2021-05-30,18_to_64,420.4,142284
E92000001,England,nation,2021-05-30,85+,6112.0,83427
E92000001,England,nation,2021-05-30,6_to_17,36.2,2859
E92000001,England,nation,2021-05-30,0_to_5,71.5,2894
E92000001,England,nation,2021-05-30,65_to_84,1862.3,164152
E92000001,England,nation,2021-05-29,18_to_64,420.3,142239
E92000001,England,nation,2021-05-29,85+,6111.7,83423
E92000001,England,nation,2021-05-29,6_to_17,36.1,2856
E92000001,England,nation,2021-05-29,0_to_5,71.3,2887
E92000001,England,nation,2021-05-29,65_to_84,1862.1,164131
E92000001,England,nation,2021-05-28,18_to_64,420.2,142197
E92000001,England,nation,2021-05-28,85+,6111.2,83417
E92000001,England,nation,2021-05-28,6_to_17,36.1,2854
E92000001,England,nation,2021-05-28,0_to_5,71.2,2884
E92000001,England,nation,2021-05-28,65_to_84,1861.9,164115
E92000001,England,nation,2021-05-27,18_to_64,420.0,142131
E92000001,England,nation,2021-05-27,85+,6110.9,83412
E92000001,England,nation,2021-05-27,6_to_17,36.1,2853
E92000001,England,nation,2021-05-27,0_to_5,71.1,2880
E92000001,England,nation,2021-05-27,65_to_84,1861.7,164099
E92000001,England,nation,2021-05-26,18_to_64,419.8,142075
E92000001,England,nation,2021-05-26,85+,6110.4,83406
E92000001,England,nation,2021-05-26,6_to_17,36.1,2852
E92000001,England,nation,2021-05-26,0_to_5,71.1,2879
E92000001,England,nation,2021-05-26,65_to_84,1861.5,164080
E92000001,England,nation,2021-05-25,18_to_64,419.6,142014
E92000001,England,nation,2021-05-25,85+,6109.9,83399
E92000001,England,nation,2021-05-25,6_to_17,36.0,2846
E92000001,England,nation,2021-05-25,0_to_5,71.0,2877
E92000001,England,nation,2021-05-25,65_to_84,1861.3,164061
E92000001,England,nation,2021-05-24,18_to_64,419.4,141955
E92000001,England,nation,2021-05-24,85+,6109.3,83390
E92000001,England,nation,2021-05-24,6_to_17,36.0,2845
E92000001,England,nation,2021-05-24,0_to_5,71.0,2875
E92000001,England,nation,2021-05-24,65_to_84,1861.1,164044
E92000001,England,nation,2021-05-23,18_to_64,419.3,141891
E92000001,England,nation,2021-05-23,85+,6108.6,83381
E92000001,England,nation,2021-05-23,6_to_17,36.0,2845
E92000001,England,nation,2021-05-23,0_to_5,70.9,2873
E92000001,England,nation,2021-05-23,65_to_84,1860.9,164021
E92000001,England,nation,2021-05-22,18_to_64,419.1,141849
E92000001,England,nation,2021-05-22,85+,6108.1,83374
E92000001,England,nation,2021-05-22,6_to_17,35.9,2839
E92000001,England,nation,2021-05-22,0_to_5,70.9,2871
E92000001,England,nation,2021-05-22,65_to_84,1860.6,164001
E92000001,England,nation,2021-05-21,18_to_64,419.0,141803
E92000001,England,nation,2021-05-21,85+,6107.5,83366
E92000001,England,nation,2021-05-21,6_to_17,35.8,2833
E92000001,England,nation,2021-05-21,0_to_5,70.8,2869
E92000001,England,nation,2021-05-21,65_to_84,1860.5,163988
E92000001,England,nation,2021-05-20,18_to_64,418.9,141753
E92000001,England,nation,2021-05-20,85+,6106.8,83357
E92000001,England,nation,2021-05-20,6_to_17,35.8,2829
E92000001,England,nation,2021-05-20,0_to_5,70.7,2865
E92000001,England,nation,2021-05-20,65_to_84,1860.3,163970
E92000001,England,nation,2021-05-19,18_to_64,418.7,141689
E92000001,England,nation,2021-05-19,85+,6106.0,83345
E92000001,England,nation,2021-05-19,6_to_17,35.8,2827
E92000001,England,nation,2021-05-19,0_to_5,70.7,2862
E92000001,England,nation,2021-05-19,65_to_84,1860.1,163953
E92000001,England,nation,2021-05-18,18_to_64,418.5,141633
E92000001,England,nation,2021-05-18,85+,6105.4,83337
E92000001,England,nation,2021-05-18,6_to_17,35.7,2824
E92000001,England,nation,2021-05-18,0_to_5,70.6,2859
E92000001,England,nation,2021-05-18,65_to_84,1859.8,163930
E92000001,England,nation,2021-05-17,18_to_64,418.3,141571
E92000001,England,nation,2021-05-17,85+,6104.7,83328
E92000001,England,nation,2021-05-17,6_to_17,35.7,2822
E92000001,England,nation,2021-05-17,0_to_5,70.6,2859
E92000001,England,nation,2021-05-17,65_to_84,1859.6,163913
E92000001,England,nation,2021-05-16,18_to_64,418.2,141525
E92000001,England,nation,2021-05-16,85+,6103.9,83317
E92000001,England,nation,2021-05-16,6_to_17,35.7,2820
E92000001,England,nation,2021-05-16,0_to_5,70.5,2855
E92000001,England,nation,2021-05-16,65_to_84,1859.5,163902
E92000001,England,nation,2021-05-15,18_to_64,418.1,141490
E92000001,England,nation,2021-05-15,85+,6103.4,83310
E92000001,England,nation,2021-05-15,6_to_17,35.6,2817
E92000001,England,nation,2021-05-15,0_to_5,70.5,2855
E92000001,England,nation,2021-05-15,65_to_84,1859.3,163888
E92000001,England,nation,2021-05-14,18_to_64,417.9,141447
E92000001,England,nation,2021-05-14,85+,6103.1,83306
E92000001,England,nation,2021-05-14,6_to_17,35.6,2816
E92000001,England,nation,2021-05-14,0_to_5,70.5,2854
E92000001,England,nation,2021-05-14,65_to_84,1859.1,163867
E92000001,England,nation,2021-05-13,18_to_64,417.8,141408
E92000001,England,nation,2021-05-13,85+,6102.5,83298
E92000001,England,nation,2021-05-13,6_to_17,35.6,2813
E92000001,England,nation,2021-05-13,0_to_5,70.4,2853
E92000001,England,nation,2021-05-13,65_to_84,1858.9,163846
E92000001,England,nation,2021-05-12,18_to_64,417.7,141360
E92000001,England,nation,2021-05-12,85+,6101.6,83286
E92000001,England,nation,2021-05-12,6_to_17,35.6,2811
E92000001,England,nation,2021-05-12,0_to_5,70.4,2853
E92000001,England,nation,2021-05-12,65_to_84,1858.7,163834
E92000001,England,nation,2021-05-11,18_to_64,417.5,141312
E92000001,England,nation,2021-05-11,85+,6100.5,83271
E92000001,England,nation,2021-05-11,6_to_17,35.5,2809
E92000001,England,nation,2021-05-11,0_to_5,70.4,2851
E92000001,England,nation,2021-05-11,65_to_84,1858.4,163808
E92000001,England,nation,2021-05-10,18_to_64,417.4,141270
E92000001,England,nation,2021-05-10,85+,6099.8,83261
E92000001,England,nation,2021-05-10,6_to_17,35.5,2806
E92000001,England,nation,2021-05-10,0_to_5,70.2,2845
E92000001,England,nation,2021-05-10,65_to_84,1858.2,163790
E92000001,England,nation,2021-05-09,18_to_64,417.3,141231
E92000001,England,nation,2021-05-09,85+,6099.4,83255
E92000001,England,nation,2021-05-09,6_to_17,35.5,2803
E92000001,England,nation,2021-05-09,0_to_5,70.1,2839
E92000001,England,nation,2021-05-09,65_to_84,1858.0,163768
E92000001,England,nation,2021-05-08,18_to_64,417.2,141192
E92000001,England,nation,2021-05-08,85+,6098.6,83244
E92000001,England,nation,2021-05-08,6_to_17,35.5,2803
E92000001,England,nation,2021-05-08,0_to_5,70.1,2838
E92000001,England,nation,2021-05-08,65_to_84,1857.7,163743
E92000001,England,nation,2021-05-07,18_to_64,417.1,141152
E92000001,England,nation,2021-05-07,85+,6097.5,83230
E92000001,England,nation,2021-05-07,6_to_17,35.4,2800
E92000001,England,nation,2021-05-07,0_to_5,70.1,2838
E92000001,England,nation,2021-05-07,65_to_84,1857.4,163720
